"accepted_species","trait_ARD"
"t4","1"
"t12","0"
"t13","1"
"t11","1"
"t16","1"
"t17","1"
"t45","0"
"t61","0"
"t62","0"
"t40","0"
"t115","0"
"t212","1"
"t213","1"
"t174","1"
"t204","1"
"t227","1"
"t228","1"
"t217","1"
"t190","1"
"t114","0"
"t84","0"
"t122","0"
"t123","1"
"t107","0"
"t172","1"
"t173","0"
"t100","0"
"t184","1"
"t185","0"
"t75","1"
"t79","1"
"t133","1"
"t134","1"
"t208","1"
"t209","1"
"t85","1"
"t71","1"
"t82","0"
"t83","1"
"t66","0"
"t67","0"
"t130","1"
"t144","0"
"t145","0"
"t215","1"
"t216","1"
"t194","0"
"t195","0"
"t199","0"
"t200","0"
"t154","1"
"t60","1"
"t50","1"
"t39","0"
"t31","1"
"t29","1"
"t28","0"
"t117","1"
"t179","0"
"t180","1"
"t171","1"
"t148","0"
"t147","1"
"t21","0"
"t41","0"
"t95","0"
"t96","1"
"t151","0"
"t188","1"
"t189","1"
"t170","0"
"t186","0"
"t187","0"
"t138","1"
"t73","1"
"t88","0"
"t90","0"
"t91","1"
"t125","0"
"t237","1"
"t238","1"
"t124","1"
"t76","0"
"t77","1"
"t72","0"
"t58","1"
"t7","1"
"t6","1"
"t3","0"
"t9","1"
"t10","1"
"t14","1"
"t15","0"
"t8","1"
"t23","0"
"t51","1"
"t120","1"
"t163","0"
"t164","1"
"t162","1"
"t113","1"
"t63","0"
"t64","1"
"t49","1"
"t104","1"
"t105","0"
"t35","0"
"t36","0"
"t44","1"
"t101","1"
"t110","1"
"t159","1"
"t160","1"
"t146","1"
"t165","0"
"t166","0"
"t214","1"
"t231","1"
"t232","1"
"t94","1"
"t55","1"
"t56","0"
"t43","1"
"t59","1"
"t108","1"
"t127","0"
"t128","1"
"t37","0"
"t38","0"
"t48","0"
"t131","1"
"t132","1"
"t47","1"
"t34","0"
"t25","0"
"t26","1"
"t42","0"
"t54","0"
"t80","0"
"t81","0"
"t74","0"
"t119","0"
"t137","1"
"t168","0"
"t169","0"
"t193","0"
"t225","0"
"t226","0"
"t157","1"
"t158","1"
"t116","1"
"t106","0"
"t70","0"
"t111","0"
"t112","1"
"t141","0"
"t142","1"
"t102","0"
"t103","1"
"t121","0"
"t135","1"
"t136","1"
"t93","0"
"t210","1"
"t211","1"
"t183","1"
"t196","1"
"t219","1"
"t220","1"
"t223","1"
"t224","1"
"t203","1"
"t218","1"
"t229","1"
"t230","1"
"t139","0"
"t140","1"
"t197","1"
"t198","1"
"t97","1"
"t98","1"
"t86","1"
"t191","0"
"t192","0"
"t118","1"
"t221","0"
"t222","0"
"t149","1"
"t143","0"
"t129","0"
"t206","0"
"t207","1"
"t177","0"
"t178","1"
"t78","0"
"t65","0"
"t92","0"
"t235","0"
"t236","0"
"t126","0"
"t161","1"
"t233","0"
"t234","0"
"t205","0"
"t152","0"
"t153","0"
"t201","1"
"t202","1"
"t89","0"
"t57","0"
"t32","0"
"t33","0"
"t27","0"
"t30","1"
"t52","1"
"t53","0"
"t22","0"
"t68","0"
"t69","0"
"t150","0"
"t175","0"
"t176","0"
"t167","0"
"t155","0"
"t99","1"
"t181","0"
"t182","0"
"t156","0"
"t109","0"
"t87","1"
"t46","0"
"t24","1"
"t20","1"
"t19","1"
"t18","1"
"t5","0"
"t1","1"
"t2","1"
