,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
t1,11.485031,4.1440134,6.444442,6.7927346,4.9935822,3.0057852,2.2667656,3.278321,5.2416253,5.086737,5.6171227,4.768192,3.9011676,5.2578244,5.726901,3.587642,4.2943406,5.506163,4.6982365,3.454157,5.9747624,3.9649913,7.0734696,3.4151955,3.8636117,6.103201,7.7897863,7.683784,4.0068474,3.2238145,5.065094,2.9793544,3.5893059,2.1885216,5.0314913,3.8854632,5.8171887,4.1461086,4.5527973,6.576988,3.8640292,5.007354,5.7486706,7.112305
t2,11.43202,4.101588,6.4751077,6.819568,4.9910803,3.0052223,2.2671022,3.2677894,5.2291946,5.097183,5.592864,4.7211013,3.9188786,5.266946,5.7507005,3.5586283,4.27111,5.5175176,4.738924,3.4491115,5.983078,4.0004983,7.0647483,3.416969,3.8532689,6.094162,7.8299217,7.723779,4.01508,3.2245004,5.076588,2.9337437,3.5966773,2.1481245,5.0068374,3.860738,5.8062873,4.159279,4.5815053,6.5625315,3.9047573,4.979624,5.7571855,7.0958138
t4,11.449903,4.111088,6.452907,6.806937,4.99045,3.0014267,2.2644002,3.2754056,5.2395515,5.0867553,5.612942,4.753456,3.902384,5.2574577,5.7295628,3.587013,4.293927,5.506092,4.705978,3.452346,5.974511,3.9776444,7.074482,3.4178314,3.8650174,6.101258,7.798735,7.7005854,4.007224,3.221561,5.064541,2.9528806,3.5905442,2.1802235,5.0297847,3.8834565,5.8172255,4.1470785,4.5542927,6.575017,3.876976,5.0073714,5.749045,7.1139593
t19,11.928009,4.615592,6.4597034,7.007314,5.0617037,2.732694,2.35599,3.2592347,5.438081,5.0738416,5.776526,5.0149903,3.6789145,5.3010006,5.4667497,3.7707548,4.370115,5.4408092,4.514226,3.6184056,5.9568768,3.7614334,7.008851,3.3459508,3.8216565,6.1555867,7.5698085,7.4100356,3.9942575,3.2599173,5.065405,3.3219528,3.5617495,2.363983,5.1193757,4.007876,5.9240694,4.1339173,4.393,6.670491,3.6021576,5.1748567,5.736616,7.2192473
t20,11.788687,4.4632487,6.4587965,6.944414,5.0462337,2.8136282,2.3283591,3.264876,5.379659,5.077234,5.7299995,4.941295,3.7477834,5.2830067,5.54826,3.7220483,4.3488884,5.459729,4.566984,3.5724971,5.957635,3.824477,7.0295644,3.3664577,3.8365858,6.136854,7.6339636,7.4942703,4.001261,3.2469437,5.0634327,3.2135177,3.5707464,2.3159628,5.097929,3.9744775,5.8952937,4.1387095,4.4346724,6.6393957,3.6827166,5.1283503,5.7427006,7.1939163
t12,11.897438,4.582204,6.4650726,7.009548,5.0628924,2.740863,2.351467,3.2584426,5.427817,5.075761,5.7671065,4.999137,3.6919162,5.2974877,5.48217,3.7606673,4.361979,5.446296,4.5279727,3.6119742,5.956047,3.776088,7.0110497,3.3481543,3.8220072,6.150695,7.5849876,7.4274797,3.9991052,3.257094,5.0669546,3.2990232,3.5655391,2.3532193,5.112826,4.000818,5.918906,4.138854,4.400409,6.662011,3.6203008,5.1639013,5.738926,7.2141657
t7,11.978212,4.6790442,6.484927,7.116502,5.074257,2.6604567,2.3717325,3.2481518,5.4662614,5.0764093,5.7980905,5.041359,3.6422472,5.3124356,5.421776,3.7883658,4.3698754,5.436046,4.501349,3.6428835,5.9556885,3.7394679,6.9946985,3.3333862,3.807128,6.1600413,7.5488915,7.3741584,3.9995642,3.2652652,5.0727806,3.3659613,3.5612397,2.3765554,5.1192126,4.018155,5.9358172,4.1405783,4.3775897,6.6787314,3.5687823,5.190481,5.736334,7.2282753
t9,11.407358,4.068963,6.468344,6.807292,4.9862804,3.0134966,2.2633293,3.2774088,5.2281637,5.0889635,5.590794,4.72464,3.9209487,5.262727,5.753552,3.574101,4.283315,5.5086303,4.731667,3.448264,5.975738,4.005859,7.0696864,3.4182594,3.8608325,6.089865,7.8251095,7.730484,4.015654,3.2207894,5.067868,2.918016,3.5957842,2.1537943,5.014871,3.8628345,5.8123803,4.1548715,4.572977,6.5602183,3.9051049,4.9890566,5.7506533,7.108163
t11,11.37264,4.0314293,6.4724793,6.7988124,4.9796343,3.0192795,2.2605937,3.2837865,5.2243075,5.0830727,5.5819774,4.7149577,3.9268837,5.262235,5.762157,3.5815983,4.289087,5.503548,4.735737,3.4469917,5.9716706,4.0199986,7.071273,3.4204035,3.8652658,6.0842714,7.830312,7.745234,4.0173397,3.217613,5.062107,2.8940113,3.5961988,2.1492267,5.016779,3.859255,5.8159146,4.153905,4.5723743,6.55554,3.9150488,4.99193,5.7464967,7.11643
t18,4.856061,-1.074537,8.420907,4.116359,3.2391155,2.5635006,2.7805936,4.821018,4.8529024,3.4746804,4.69119,3.189558,3.9202447,6.3184237,5.9645944,4.648913,4.7659683,5.440919,4.9322557,3.6594582,6.020944,4.8404603,6.4169455,3.5830853,4.0629954,6.0798016,7.717642,7.550568,3.7295463,3.4715497,4.0545173,1.7640245,3.1887908,1.8171833,4.7545595,3.3299787,6.1743126,4.1692343,5.0089326,6.5361423,4.0295568,5.882966,4.7447877,7.9926124
