,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
t1,6.504526,0.04231535,0.09700477,-0.31285676,-0.05934305,-0.9283009,-0.6358698,2.2686582,-0.23198327,-0.027785182,15.363306,3.4728324,-0.03923329,1.4640532,9.1960125,-0.009468252,-0.41584563,-0.39597005,2.7472224,-0.6558554,-0.5504996,-0.69574726,-0.049275745,1.6061273,6.8623085,-0.00013728852,2.924486,-0.29556933,1.3200679,-0.5034814,1.1590277,-0.41851816,-0.004087505,-0.3901832,6.892734,-0.029302182,9.352741,4.6925645,8.56555,12.389906,-0.18981732,-0.26506314,-0.0629285,-0.99808013
t2,6.884505,0.04443432,0.10095579,-0.33849642,-0.062907174,-0.9803342,-0.6767392,2.4352362,-0.24257736,-0.029291674,16.166235,3.6422167,-0.04162606,1.566294,9.8506775,-0.010251167,-0.4482526,-0.4204129,2.9058857,-0.7014342,-0.58017546,-0.73761654,-0.05341188,1.6293216,7.1865406,-0.00017202333,3.009774,-0.3102331,1.4285707,-0.51920235,1.2632062,-0.4368335,-0.0028461877,-0.40403205,7.1772346,-0.030933073,9.715484,4.9158325,9.109551,13.150866,-0.19741377,-0.27878,-0.06488866,-1.0519062
t4,6.9623976,0.04438525,0.095793344,-0.3553228,-0.063688874,-0.9558891,-0.7016523,2.6543007,-0.2358317,-0.028288217,15.971514,3.5671027,-0.0421995,1.6680677,10.187978,-0.010559881,-0.48099777,-0.4214175,2.873041,-0.724473,-0.5792775,-0.7327136,-0.0613799,1.4242277,6.9811344,-0.0002268897,2.9845169,-0.30511716,1.5153844,-0.47133365,1.5506881,-0.432981,0.16785736,-0.38845456,7.0316706,-0.030979931,9.277751,4.7669244,9.279497,13.193814,-0.18918729,-0.27524057,-0.06317534,-1.0520406
t19,3.6736531,0.026257478,0.059981946,-0.12609124,-0.035888743,-0.5330356,-0.29246956,1.2152658,-0.14516026,-0.016902493,9.495949,2.4081683,-0.022646314,0.7902531,4.9785085,-0.0016263789,-0.20929146,-0.19935876,1.9393039,-0.31970996,-0.32893884,-0.38649622,-0.0029455079,1.2300434,4.4710727,0.11493646,2.361402,-0.19117177,0.5455497,-0.385285,0.054064438,-0.24698114,-0.004752758,-0.27902824,4.3708725,-0.016838655,6.1839194,3.1953487,4.6345186,7.0126147,-0.1252755,-0.16163972,-0.052336678,-0.60803133
t20,4.6023254,0.031101769,0.070432864,-0.19405632,-0.043395873,-0.64759153,-0.4077182,1.6405635,-0.17002572,-0.020017173,11.313116,2.7480173,-0.029104104,1.060528,6.426411,-0.0039353254,-0.28798467,-0.26061022,2.2081037,-0.42997763,-0.39871588,-0.47998503,-0.021893233,1.2905276,5.136289,-5.4515083e-05,2.4628167,-0.224126,0.8071683,-0.40774748,0.5010535,-0.3001163,-0.001164139,-0.30776367,5.080311,-0.021175927,7.025984,3.5946288,5.8951144,8.781734,-0.14114583,-0.19259317,-0.054728393,-0.731832
t12,3.903914,0.029001802,0.06535677,-0.15376617,-0.04010161,-0.5719463,-0.36190546,1.2771229,-0.15837876,-0.017972259,10.228749,2.4747846,-0.025704786,0.95144135,5.587079,-0.0032416412,-0.259465,-0.22719376,2.0814528,-0.36604318,-0.3682458,-0.41909066,-0.008197393,1.2126085,4.641992,0.026496682,2.4118657,-0.20621736,0.6157527,-0.37154356,0.39530838,-0.26681092,0.107176386,-0.290672,4.6593456,-0.018213468,6.4980655,3.182043,5.2086115,7.7112226,-0.12949821,-0.17599744,-0.05213087,-0.66924435
t7,1.6748874,0.016576787,0.041934907,-0.022483671,-0.02120003,-0.29194614,-0.12134658,0.3736944,-0.085580476,-0.0120540215,5.28211,1.260497,-0.020439614,0.3355024,2.3126028,-0.0016691543,-0.108891346,-0.09221873,1.1227236,-0.12965585,-0.18826218,-0.15691575,0.09967704,1.0776039,2.6936572,0.42005342,1.8761377,-0.11830906,-0.0011098938,-0.21527329,0.0021672412,-0.15367216,0.09552663,-0.20468485,2.8780751,-0.0095999325,4.2412825,1.9287972,2.084859,3.5801427,-0.078707226,-0.09751561,-0.038440894,-0.35203218
t9,7.205869,0.044424247,0.08449638,-0.4044885,-0.067113236,-0.87756073,-0.7869352,3.256979,-0.22302374,-0.025575519,15.499891,3.3813126,-0.04540985,1.8498408,11.317839,-0.012470954,-0.56500715,-0.43186837,2.8125455,-0.795518,-0.57938665,-0.7272405,-0.084409274,0.8467643,6.548929,-0.00037556543,2.936094,-0.29327643,1.881686,-0.3420113,2.327318,-0.4197956,0.83573616,-0.34573483,6.6568465,-0.03168549,8.159239,4.3815084,9.938709,13.383796,-0.16693825,-0.26360202,-0.05852958,-1.0611469
t11,8.133111,0.048720393,0.08180066,-0.48884302,-0.07649947,-0.8566964,-0.90779775,3.8483527,-0.23364927,-0.025953863,16.17709,3.5026975,-0.050678503,1.8774576,13.133353,-0.016280571,-0.686438,-0.46784753,2.881542,-0.91864175,-0.6129359,-0.8029872,-0.10124524,0.50671214,6.811089,-0.0005139553,3.1771743,-0.30546308,2.429589,-0.25310072,3.3139021,-0.453482,1.2062544,-0.33683485,6.628576,-0.034570873,8.005828,4.413766,11.355599,14.728437,-0.16209197,-0.27379924,-0.059345797,-1.1554337
t18,8.435775,0.048553016,0.035782207,-0.5931247,-0.07579022,-0.48141485,-0.971758,4.647361,-0.19258626,-0.020227158,12.898526,2.2271023,-0.042577352,1.2460308,14.135981,-0.020479983,-0.81673396,-0.4208954,2.054918,-1.0128157,-0.500794,-0.7132845,-0.14088619,0.009171052,5.6308885,-0.0007497776,3.2382724,-0.25749,2.906438,0.6838906,5.745915,-0.43916908,2.0325897,-0.21495546,5.006344,-0.03216224,4.804418,3.2585797,12.01665,14.47829,-0.08333352,-0.19962677,-0.04743691,-1.0715349
