,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
t1,10.385229,6.3056707,2.7198403,8.945857,8.350049,4.8876886,7.12732,3.2367086,3.8974676,8.795579,7.554777,4.420938,6.1914315,6.1483364,3.2918832,6.1911044,7.1859493,4.1119294,6.7846003,5.301268,4.0365944,4.6640916,5.432464,5.0696106,5.3292103,7.60607,4.4384804,5.020233
t2,10.435785,6.251303,2.7481506,8.997375,8.38046,4.860161,7.1066804,3.2624602,3.870156,8.788216,7.5429397,4.424718,6.185062,6.1689506,3.3029435,6.188681,7.2176085,4.120051,6.7523913,5.298279,4.0221295,4.640042,5.42367,5.0782127,5.368864,7.5805597,4.45485,4.978996
t3,10.325627,6.3685746,2.7157156,8.885598,8.319799,4.8955708,7.12512,3.2330844,3.903559,8.783329,7.5473185,4.4323783,6.198817,6.149452,3.2970195,6.1794705,7.139651,4.119917,6.796806,5.288841,4.0547724,4.702406,5.418908,5.0475597,5.2864637,7.6189675,4.4374084,5.0620165
t4,10.17403,6.589353,2.645535,8.672835,8.178803,4.975086,7.143756,3.1966915,3.9614468,8.732393,7.4999156,4.501027,6.257309,6.151648,3.3254018,6.196224,7.0185475,4.1769614,6.885356,5.216911,4.149553,4.792926,5.426473,5.0311255,5.184558,7.650709,4.4363756,5.2069182
t5,10.356497,6.338535,2.6932294,8.919858,8.330115,4.9136086,7.1476855,3.2107873,3.9221742,8.807441,7.568565,4.411589,6.195252,6.1290827,3.2790205,6.1923656,7.1615934,4.0989866,6.8104963,5.310866,4.049212,4.6813536,5.441901,5.0609674,5.3044887,7.627534,4.421559,5.0447035
t6,10.420286,6.2642884,2.735153,8.980235,8.374168,4.8734274,7.119837,3.2464569,3.8847442,8.798667,7.5562754,4.413858,6.183966,6.1537857,3.290941,6.1885953,7.206836,4.1077414,6.768128,5.308594,4.024132,4.6481757,5.4301386,5.072587,5.3506637,7.5971713,4.441703,4.993633
t7,10.281386,6.4140267,2.65359,8.853014,8.204017,4.974723,7.145307,3.1986337,3.9654794,8.757881,7.520494,4.4832964,6.2466087,6.1403084,3.3103948,6.1984215,7.0526166,4.1516066,6.870176,5.2423415,4.141947,4.768413,5.4283633,5.0405126,5.2577963,7.634381,4.4276643,5.138317
t8,10.215739,6.5190787,2.6807156,8.745042,8.247732,4.9312053,7.1352544,3.21744,3.9335887,8.745671,7.506563,4.4860125,6.238484,6.160618,3.3243625,6.1993847,7.073699,4.1702127,6.836461,5.233745,4.0959153,4.732535,5.4390187,5.052562,5.217158,7.6302657,4.447129,5.157971
t9,9.983651,7.02484,2.6302109,8.2584,8.021643,4.9479876,7.0793943,3.2219434,3.972042,8.637473,7.344853,4.630133,6.3615017,6.230865,3.4333632,6.2094975,6.8677917,4.335847,6.8903728,5.0751815,4.218174,4.8610687,5.4330854,5.070916,5.0376964,7.642138,4.525867,5.4141383
t10,9.8610115,7.1219816,2.5707288,8.155461,8.043006,4.9945374,7.13969,3.1579316,3.9282913,8.670147,7.4295278,4.5491705,6.295802,6.2087545,3.4136937,6.1514373,6.8981295,4.284068,6.987449,5.134598,4.233197,4.955326,5.380842,4.9847655,4.9613595,7.718251,4.4840584,5.448475
t11,9.841792,7.1435122,2.5540347,8.135266,8.026932,5.006948,7.1497602,3.14429,3.9664805,8.683785,7.393627,4.5527735,6.336853,6.221783,3.424419,6.170817,6.855278,4.298022,6.9811473,5.12925,4.2395606,4.9324827,5.4161644,5.017208,4.962386,7.726473,4.5034847,5.4634347
t12,9.798894,7.2448883,2.5931227,8.035026,7.9989824,4.966656,7.1027083,3.1932065,3.898651,8.61903,7.43603,4.5849605,6.2729955,6.1909795,3.4112515,6.128541,6.8703294,4.308888,7.010219,5.0991135,4.2439604,5.024899,5.322802,4.946485,4.8852406,7.7233195,4.4662666,5.52035
t13,10.304765,6.3595614,2.7182674,8.920099,8.232591,4.900466,7.091491,3.2698162,3.895204,8.701047,7.446515,4.5734777,6.266296,6.2203264,3.3924475,6.2169366,7.097193,4.2440624,6.788619,5.1657066,4.1195555,4.7077045,5.42071,5.092541,5.3163543,7.543575,4.505553,5.1151304
