,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
t1,0.008926898,-0.2806548,2.3010924,5.899053,2.8922544,-0.19358101,-0.27481416,0.030781625,-0.5874709,-0.122853264,-0.62081766,0.12011876,-0.013856073,-0.33521426,-0.021972446,0.71281207,1.6841837,2.512903,-0.75770503,-0.5278955,0.031864822,0.040491134,-0.0072403853,-0.09843192,7.4408717,1.6757206,-0.17615642,-0.046891067
t2,0.016725004,-0.25907138,2.1370828,5.3512063,2.1229005,-0.19244808,-0.25674224,0.022416696,-0.5322965,-0.11459053,-0.5384879,0.24622379,-0.00496229,-0.23413856,-0.012085228,0.6882453,1.7579076,2.4948456,-0.68692297,-0.42442936,0.048996404,0.033913683,-0.012717714,-0.07198021,6.8978014,1.2988881,-0.16760084,-0.047984686
t3,0.0018344023,-0.3319733,2.2607584,7.094825,4.459446,-0.19577406,-0.31730068,0.052455932,-0.6818064,-0.13998139,-0.7938008,-0.015672572,-0.036556132,-0.5121164,-0.032008823,0.76272255,1.3182322,2.462286,-0.8886101,-0.7233588,0.008178939,0.055282433,0.31242225,-0.16354364,8.592016,2.3581555,-0.1952183,-0.047127277
t4,0.013895836,-0.4512448,2.2449064,9.654947,8.016339,-0.1766326,-0.37076023,0.2046136,-0.9372267,-0.1630791,-1.193688,-0.09902386,-0.09135634,-0.97890127,-0.038987592,0.8081248,0.4335907,2.220776,-1.1701853,-1.1185485,0.25608465,0.1119506,1.466418,-0.3146051,10.873301,5.049265,-0.27466837,-0.06350512
t5,0.15458545,-0.31777403,2.014732,7.0485578,3.9944313,-0.20224118,-0.31313568,0.024387833,-0.6544041,-0.13062626,-0.766687,-0.0026005276,-0.015712932,-0.39210722,-0.030939596,0.7789965,1.2767991,2.6042984,-0.8837917,-0.65998554,0.034665298,0.04318539,0.3283048,-0.121939614,8.101461,2.0054133,-0.185502,-0.052940268
t6,0.14505847,-0.24791105,1.8390303,4.971897,1.3287992,-0.20642202,-0.25031954,0.3330617,-0.49853367,-0.097402476,-0.5069901,0.6667632,0.43818742,-0.045114283,-0.001243911,0.70464903,1.8092254,2.3133833,-0.7017475,-0.31851944,0.09667589,0.01624526,-0.01771262,-0.04446518,6.2283382,0.9671993,-0.161286,-0.045033034
t7,0.012654886,-0.40247342,2.386097,8.678172,6.8222084,-0.17634988,-0.36678553,0.16648804,-0.84483325,-0.15783978,-1.0463278,-0.077515446,-0.080967896,-0.84263074,-0.033431318,0.7763071,0.8411341,2.084941,-1.0603191,-0.99096006,0.25170058,0.097702906,1.0503744,-0.28023577,10.363138,4.107393,-0.23880053,-0.059373755
t8,0.012372327,-0.41149944,2.3664408,8.851663,7.0239043,-0.1767417,-0.36874482,0.17342149,-0.8605534,-0.15920496,-1.0733103,-0.080834985,-0.08390996,-0.86331475,-0.034442954,0.7840899,0.7750848,2.1198285,-1.0805858,-1.0181276,0.25168926,0.09958742,1.1114385,-0.28328615,10.4708805,4.254088,-0.24332401,-0.059899863
t9,0.03899204,-0.5589254,1.9228382,11.36663,10.137698,-0.17975684,-0.3764107,0.27241713,-1.1113473,-0.16987537,-1.4547155,-0.14368093,-0.12391198,-1.2156473,-0.04274235,0.8692311,0.021445783,2.3580682,-1.3432783,-1.2880441,0.1798656,0.1426622,2.1926634,-0.3567372,11.586672,6.951893,-0.3791897,-0.0741669
t10,0.04949951,-0.61978394,1.7388165,12.263009,11.272395,-0.18361835,-0.3777025,0.29884833,-1.2030262,-0.17499232,-1.598159,-0.1680057,-0.143932,-1.3276944,-0.044070896,0.91034144,0.04807244,2.4729674,-1.4406941,-1.3832848,0.121323764,0.15687984,2.5211957,-0.37457955,11.989393,7.97246,-0.43195063,-0.07803435
