,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
t1,10.972627,10.099072,3.9366333,6.2018394,3.7731304,8.280181,3.7184587,2.426133,5.4536753,2.7558587,4.8794713,4.7482424,8.451001,5.4466662,5.2922244,7.7742133,3.7482483,3.875186,3.0269127,3.9767094,4.590465,5.541786,4.872069,4.084588,5.7139497
t2,10.967274,10.071844,3.9232917,6.246317,3.737072,8.317189,3.758667,2.4078224,5.4522986,2.7729795,4.875873,4.7224097,8.42556,5.4933524,5.2626286,7.7432647,3.7247424,3.9106958,2.984719,3.941434,4.613112,5.573691,4.8880057,4.0627894,5.676999
t3,10.988952,10.13409,3.9238365,6.2892065,3.69136,8.356219,3.7821124,2.394065,5.4366016,2.7799819,4.8728266,4.705171,8.434525,5.4919877,5.2782955,7.750632,3.6989772,3.9046197,2.967407,3.9370146,4.6285725,5.6265535,4.8981667,4.069362,5.686996
t4,10.966306,10.145161,3.90904,6.251398,3.7112434,8.336599,3.74343,2.410753,5.4444623,2.8261569,4.8554254,4.7587605,8.393732,5.4914436,5.2939653,7.7758894,3.7369397,3.9180298,2.9832194,3.8957455,4.612151,5.6106124,4.8541865,4.105723,5.6922708
t5,11.004778,10.221531,3.9266412,6.289306,3.6962779,8.363308,3.7661629,2.3955944,5.4269214,2.7957108,4.864241,4.7183876,8.439212,5.458947,5.3149977,7.783004,3.692671,3.8821428,2.9785259,3.9381528,4.625737,5.651634,4.8882847,4.0961647,5.721632
t6,9.637676,3.937919,4.5089555,4.5343914,5.581465,6.8339295,2.7573674,3.4372523,6.436686,2.6516192,5.277793,5.125259,7.2823253,5.933186,4.2942514,6.895564,4.5517616,4.7055326,4.0070834,4.0011754,4.047461,3.9472106,5.1369567,2.3968182,4.9451447
t7,9.676602,3.9460478,4.499571,4.523318,5.558831,6.8070884,2.7417676,3.466103,6.423393,2.636568,5.2748365,5.150684,7.289303,5.9304733,4.2932715,6.9073195,4.535732,4.714713,3.998873,4.02189,4.0513945,3.9329095,5.145984,2.409408,4.922423
t8,9.608513,3.9668844,4.4692535,4.539407,5.585398,6.8364353,2.7524376,3.440399,6.4012423,2.60401,5.272753,5.1225815,7.2791233,5.9541674,4.26709,6.8865213,4.5065403,4.7409825,4.0197105,4.007135,4.080349,3.935264,5.1704316,2.420079,4.941311
t9,9.721859,3.8595934,4.4646835,4.539487,5.564952,6.8452682,2.772253,3.4467483,6.409698,2.6011083,5.26294,5.172727,7.3091283,5.9637074,4.2551184,6.8663745,4.495675,4.760028,4.0384617,4.00807,4.098567,3.957023,5.175904,2.4319787,4.949502
t10,11.0322075,10.4402895,3.9545908,6.298398,3.709289,8.366311,3.7531369,2.3999023,5.424831,2.7802124,4.872603,4.70221,8.459888,5.395058,5.364949,7.8219266,3.648985,3.8379855,2.9951987,3.9810684,4.6193767,5.6916018,4.9176908,4.1076,5.782669
t11,11.054084,10.470949,3.9599018,6.307037,3.691404,8.378231,3.769557,2.3903112,5.4145207,2.7760184,4.869196,4.686161,8.479944,5.383868,5.3694973,7.8125134,3.6356678,3.8161,2.9878688,4.001613,4.627184,5.7096815,4.9325686,4.097415,5.7946587
t12,11.020624,10.331966,3.942696,6.265354,3.7260096,8.359309,3.7381158,2.4056668,5.4220047,2.7959177,4.8645267,4.7342186,8.451153,5.412967,5.3546576,7.824485,3.6915426,3.8526437,3.005569,3.955005,4.614773,5.655471,4.884423,4.121339,5.7634172
t13,9.98179,3.3812146,4.4771786,4.3847437,5.417387,6.711934,2.6856086,3.5421069,6.4820166,2.6099632,5.367692,5.4117613,7.321311,5.9780517,4.2067456,6.74825,4.4574776,4.842983,4.144755,3.9912126,4.0997214,3.9104147,5.189483,2.2967002,4.8129716
t14,9.44978,4.090539,4.4500937,4.5626926,5.6073236,6.8568497,2.7583163,3.4118226,6.3736854,2.579988,5.272183,5.068426,7.262908,5.958249,4.259621,6.8911867,4.4901123,4.7476134,4.015537,4.0024667,4.094367,3.9331946,5.180175,2.4346607,4.9611874
t15,11.102257,10.779151,3.9969335,6.4696693,3.6642134,8.426927,3.7849138,2.3904004,5.4038463,2.7824957,4.8725004,4.611941,8.516103,5.3582315,5.3913493,7.824815,3.5414126,3.7826521,2.9935842,4.0411544,4.615376,5.8537054,4.980608,4.0848007,5.822187
t16,9.722498,3.700596,4.526029,4.4362106,5.579563,6.7300434,2.649695,3.5070188,6.492619,2.6636357,5.3272843,5.189763,7.2160497,5.9493423,4.2826023,6.895087,4.5604014,4.7084,4.008318,3.9857378,3.9993649,3.8568232,5.1346364,2.2903326,4.833927
t17,9.014521,10.670808,1.6323491,2.9589882,-0.037188843,3.7967236,3.5201359,4.656967,4.2177634,5.1895566,5.6378846,4.988945,3.3040287,6.5542755,5.722076,5.516437,4.4384575,4.123578,4.001002,1.1413794,6.3976727,4.4423203,1.4441409,7.1477323,6.475221
t18,11.022522,10.451224,3.9499872,6.183235,3.7857606,8.308429,3.6765015,2.4222176,5.4303803,2.835202,4.8415737,4.763715,8.430664,5.322461,5.413662,7.8554187,3.7196655,3.7949736,3.0481582,3.9941912,4.6025953,5.60445,4.884288,4.142154,5.8516283
t19,10.164706,3.1789753,4.3837705,4.3079205,5.260118,6.6372137,2.6629133,3.5724056,6.480334,2.5320876,5.4571333,5.5878873,7.402397,6.0603337,4.1074557,6.5969777,4.3545675,4.977657,4.292767,4.0275364,4.208076,3.966146,5.2098384,2.259495,4.771124
t20,9.293396,4.2099357,4.4276805,4.5815687,5.640609,6.8551373,2.7468874,3.3879178,6.3313847,2.5508156,5.2731414,4.9909,7.231594,5.9618945,4.2555814,6.8956184,4.4694586,4.7518744,4.0157447,4.005861,4.1038723,3.9180253,5.2087054,2.4415295,4.97293
t21,9.330318,4.195014,4.400605,4.6147876,5.5866723,6.8903074,2.789699,3.35685,6.338251,2.5253797,5.249473,5.0587254,7.285851,5.967322,4.222083,6.858239,4.4411235,4.7871103,4.04291,3.9885867,4.1365533,3.9651954,5.189479,2.479123,5.008331
t22,9.336227,4.1782746,4.4405518,4.5724335,5.646994,6.8503804,2.7422297,3.3979821,6.3402557,2.563987,5.2762866,4.9960895,7.2284603,5.959717,4.2652435,6.9053383,4.4824967,4.7415814,4.00718,4.008829,4.094171,3.9135911,5.2046995,2.4344444,4.9653807
t23,9.997783,3.3761086,4.4579573,4.362586,5.3912244,6.7127814,2.7070632,3.567952,6.486947,2.5982804,5.3673987,5.4265637,7.340164,5.9860306,4.190304,6.7211914,4.445981,4.862998,4.1681676,3.9787621,4.1146054,3.9089875,5.2269816,2.3140938,4.8109255
t24,9.32678,4.1867976,4.431643,4.5846977,5.634785,6.858216,2.7530327,3.3855336,6.3400145,2.5550253,5.2696342,5.005449,7.23952,5.9594445,4.2563667,6.895803,4.4727564,4.752507,4.0132565,4.004645,4.1052136,3.9251242,5.19976,2.4479058,4.978113
t25,11.184184,11.099028,4.0128546,6.536956,3.6507828,8.487338,3.7875566,2.3526163,5.3475475,2.7197456,4.8833313,4.566749,8.623141,5.24862,5.4846582,7.890486,3.4349494,3.693121,3.017349,4.1245623,4.660075,5.967297,4.9976025,4.109046,5.924154
t26,11.120161,10.839357,3.9979978,6.4337893,3.6900082,8.431267,3.7752006,2.3786936,5.3846006,2.753726,4.8627977,4.639621,8.54114,5.321194,5.4272723,7.859655,3.5545719,3.756758,3.0023932,4.043745,4.62315,5.851131,4.950332,4.098653,5.847003
t27,11.195487,11.539782,4.0397468,6.736097,3.5875068,8.469866,3.8150837,2.3712666,5.36098,2.7429044,4.9049797,4.4726768,8.645965,5.2380476,5.481124,7.850589,3.2734408,3.6477466,2.9944546,4.1960697,4.6471725,6.1618786,5.135799,4.0870314,5.9789047
t28,9.840943,3.489693,4.563855,4.3663545,5.611427,6.6624393,2.559232,3.5351233,6.591902,2.7521877,5.373328,5.1613727,7.15786,5.874022,4.377532,6.9564595,4.6588454,4.626676,3.9420207,4.0346303,3.8989952,3.8121448,5.0716314,2.163888,4.74156
t29,9.791016,3.5311453,4.5683312,4.3936253,5.6122084,6.6807528,2.586373,3.5269995,6.565003,2.7177393,5.3450193,5.189327,7.1663294,5.928273,4.325292,6.943432,4.6329947,4.649959,3.9610112,3.9844193,3.930371,3.8153796,5.082924,2.2076023,4.784567
t30,9.23886,4.2619452,4.4267855,4.5980296,5.6729,6.840706,2.7363305,3.3786142,6.3028407,2.543435,5.268015,4.9467115,7.2092896,5.9597983,4.26832,6.912175,4.472206,4.7391996,4.005914,4.0171967,4.100429,3.907188,5.226308,2.4489298,4.9805255
t31,11.169178,10.97334,4.0289335,6.4975576,3.7038188,8.419856,3.8133936,2.4013407,5.38676,2.732757,4.8907,4.6597505,8.544202,5.333192,5.4302645,7.856967,3.5414042,3.7081125,2.9891493,4.015447,4.591109,5.9210644,4.9234204,4.0974755,5.8543835
t32,11.208565,11.49673,4.0459456,6.7527223,3.5631764,8.486351,3.85084,2.359304,5.3625493,2.7898476,4.875523,4.451173,8.604204,5.286061,5.460051,7.8121567,3.2916605,3.6662338,2.963183,4.1954646,4.6482625,6.157148,5.1519117,4.047343,5.923112
t33,11.110708,11.028154,4.034246,6.5795846,3.6262648,8.469897,3.802816,2.3897665,5.419483,2.8298807,4.822939,4.5423408,8.495944,5.3181953,5.3875785,7.7970476,3.4803307,3.7766712,2.9657977,4.087689,4.5905967,5.9855227,5.0537944,4.033804,5.826563
t34,11.153117,10.994169,4.009165,6.4987974,3.6860843,8.455271,3.7817478,2.366716,5.3575044,2.7327034,4.8681273,4.6120853,8.582697,5.275314,5.464506,7.886571,3.5034392,3.726735,3.0061088,4.068128,4.6389856,5.928526,4.968398,4.102893,5.8768
t35,9.89259,3.4367554,4.5526705,4.368595,5.6161346,6.670617,2.5365944,3.528723,6.5924015,2.7511973,5.3715205,5.1637173,7.134171,5.8628974,4.378676,6.9555526,4.668849,4.626976,3.9457643,4.0430746,3.8974404,3.8086267,5.0800953,2.1496968,4.7176332
t36,11.17664,11.072142,4.016391,6.5293417,3.681279,8.454398,3.7894616,2.373046,5.349823,2.7245781,4.8934894,4.601838,8.601833,5.2768245,5.4732366,7.893527,3.4638777,3.7006328,3.0116265,4.076861,4.638701,5.963441,4.9782596,4.115565,5.906408
t37,11.168401,11.062404,4.0476747,6.616498,3.6448576,8.464489,3.8046112,2.391474,5.3860936,2.791644,4.866061,4.55963,8.541617,5.3118234,5.435445,7.848826,3.460981,3.7163284,2.9877474,4.0769863,4.594729,6.0219812,5.0309653,4.075883,5.8833475
t38,11.155701,10.964872,4.0137887,6.4759903,3.6801298,8.459795,3.7868888,2.3558762,5.3645153,2.7206047,4.858086,4.6205015,8.587638,5.286403,5.4622803,7.88254,3.5224423,3.7179794,3.0015113,4.0707455,4.633548,5.899247,4.9650455,4.090271,5.877259
t39,11.2005,11.379539,3.9971797,6.6463737,3.5770092,8.557551,3.8125963,2.3210118,5.3368254,2.6609817,4.9051237,4.461169,8.720763,5.2150245,5.4870424,7.853953,3.2885754,3.6782935,3.0195808,4.2363896,4.731935,6.0886793,5.039761,4.084375,5.9385643
t40,9.817494,3.3239539,4.636734,4.3302665,5.7074933,6.594502,2.4636204,3.5355902,6.6745424,2.7966251,5.3861203,5.175568,7.079442,5.89203,4.4085555,7.037428,4.7751036,4.525617,3.8573186,3.9934683,3.8168263,3.7326238,4.976972,2.0731258,4.717521
t41,9.717867,3.4765477,4.6088457,4.42307,5.722465,6.678755,2.5256057,3.4870412,6.5804644,2.7309654,5.310352,5.1407385,7.0760274,5.960377,4.348011,7.0469236,4.715261,4.553925,3.8730829,3.9340355,3.8838208,3.7684197,5.0068197,2.1781166,4.818467
t42,9.788274,3.3982468,4.61555,4.364787,5.6892934,6.6339555,2.5078878,3.5270584,6.6308947,2.7696753,5.358053,5.1531467,7.095909,5.9112496,4.3780975,7.0189486,4.7299504,4.559921,3.8820887,3.9808319,3.8512056,3.759716,5.0115376,2.12142,4.7518306
t43,10.133839,3.1851432,4.4836664,4.380311,5.3337154,6.7178082,2.7122197,3.5466218,6.4739137,2.5978575,5.380587,5.5531445,7.3827577,5.976395,4.175392,6.679466,4.39627,4.9161897,4.21229,3.986964,4.144451,3.9420645,5.2044196,2.30481,4.7979703
t44,10.136951,3.179286,4.4447675,4.3412495,5.3102627,6.688767,2.7015104,3.572494,6.4933505,2.5828846,5.407651,5.558562,7.3847604,6.0043683,4.1583123,6.650534,4.393744,4.932077,4.2403207,3.9943357,4.1599264,3.933467,5.2205725,2.2954757,4.7776637
t45,10.14749,3.1819324,4.440631,4.336591,5.3014493,6.6700354,2.6807106,3.5661564,6.4817615,2.570845,5.416342,5.567461,7.3850775,6.013798,4.1453485,6.642911,4.384051,4.9397926,4.2460303,4.00105,4.16586,3.945966,5.207381,2.274188,4.7835016
t46,11.193213,11.245529,4.022753,6.6042566,3.613307,8.51457,3.8137786,2.3343787,5.3472967,2.7065187,4.8733525,4.5158334,8.650236,5.239778,5.482142,7.862199,3.3760471,3.6819217,2.997118,4.167777,4.6738753,6.0357523,5.0413113,4.072022,5.9240813
t47,11.21243,11.636645,3.9851072,6.7517576,3.5320947,8.584499,3.812852,2.3202305,5.328896,2.6134741,4.9490614,4.3872166,8.799637,5.1875024,5.498337,7.837234,3.1600661,3.651364,3.0411413,4.324577,4.7871647,6.200558,5.068284,4.098945,5.9853024
t48,9.021294,10.60105,1.5401553,2.801583,-0.07218113,3.8151944,3.5073164,4.721163,4.259394,5.098848,5.78392,5.066493,3.3280723,6.599688,5.7132854,5.593036,4.486143,4.0152965,3.999595,1.1526654,6.508952,4.487019,1.467799,7.1407843,6.541279
t49,9.030382,10.58036,1.6087143,2.8850226,-0.11564013,3.7245429,3.4883745,4.7032986,4.205112,5.142701,5.68885,5.044126,3.303231,6.5906816,5.7388234,5.598945,4.4532924,4.0999513,3.9554217,1.109384,6.4774194,4.5191884,1.3947657,7.1918335,6.4896326
t50,9.011785,10.678953,1.5657715,2.9297934,-0.024354512,3.7680867,3.4170887,4.6664233,4.2365775,5.0656524,5.7095,4.9583554,3.3551652,6.5238156,5.739138,5.544512,4.369734,4.0529,3.9475687,1.0682466,6.4559755,4.44526,1.3981316,7.0877466,6.5588174
t51,11.214626,11.297921,4.065774,6.6923823,3.6214185,8.481521,3.8368545,2.3814027,5.3636336,2.779634,4.8826737,4.511852,8.577828,5.305856,5.4642534,7.8450475,3.3765087,3.6640854,2.9770555,4.1179233,4.6054063,6.1130815,5.0766573,4.0667067,5.9275084
t52,0.96316636,5.8642755,2.3345456,6.582479,2.653091,4.956429,3.5683396,3.6323938,4.486835,3.0137918,5.1575203,3.2116742,6.8468266,5.727155,4.151007,7.503412,4.1115184,4.021097,4.1292377,4.0471334,3.6910207,4.0454917,4.8219,3.233443,5.72891
t53,0.9018738,5.8752594,2.2957525,6.5970488,2.590716,4.8947825,3.6287515,3.573708,4.5012226,3.0114639,5.19063,3.2440786,6.8691936,5.7889004,4.1330905,7.4961867,4.1255493,4.0722685,4.1837115,4.034281,3.7163608,4.0663505,4.8181605,3.1752589,5.7242765
t54,10.212422,3.0733118,4.3839355,4.2967987,5.240719,6.6653314,2.7106352,3.6005871,6.52489,2.5589054,5.459951,5.637207,7.421272,6.049267,4.126605,6.5777683,4.3606467,4.990563,4.3178244,4.0131454,4.2131658,3.9364603,5.2431993,2.302467,4.735677
t55,9.098304,4.296695,4.4345098,4.5973186,5.754494,6.7802525,2.6720736,3.3812702,6.2682867,2.5440464,5.2721767,4.854633,7.1305747,5.9523125,4.3071637,6.951399,4.498882,4.692931,3.9813678,4.0383196,4.0686755,3.8464937,5.259099,2.4072745,4.9603415
t56,11.184304,11.444153,4.0461006,6.6943474,3.5925057,8.44714,3.8373904,2.346864,5.3598065,2.8001456,4.832792,4.511029,8.578189,5.245649,5.4643745,7.8438387,3.3449876,3.6856375,2.9428031,4.148328,4.6222887,6.095759,5.1736217,4.0352635,5.9055343
t57,11.234261,11.625641,4.0220327,6.763329,3.5845807,8.568841,3.7981918,2.3176165,5.295471,2.54157,4.9603605,4.4201427,8.840538,5.1369405,5.5555544,7.8903227,3.1611037,3.597598,3.0497713,4.2919846,4.7616644,6.213878,5.042399,4.1122336,6.051361
t58,9.03638,10.640771,1.6154917,2.9435554,-0.06041348,3.7711658,3.4794211,4.6579785,4.2274585,5.15319,5.668542,4.979568,3.3466756,6.542253,5.7505226,5.548066,4.4262333,4.0949745,3.9595287,1.0992479,6.425098,4.47161,1.4080685,7.1531796,6.500568
t59,8.995314,10.576282,1.5792857,2.853311,-0.09597561,3.7199366,3.5196173,4.746018,4.168904,5.185784,5.723998,5.0728564,3.2471128,6.653831,5.677951,5.5818324,4.5040274,4.0890365,3.9755192,1.1276876,6.5171638,4.484057,1.4084785,7.2183957,6.4934688
t60,11.24511,11.649729,4.003908,6.817419,3.5245008,8.593576,3.8382516,2.3180282,5.314398,2.630388,4.9577713,4.362778,8.78467,5.2102876,5.5088596,7.822007,3.1435833,3.6244793,3.0391629,4.3312025,4.790612,6.250798,5.065857,4.0896783,5.9938025
t61,9.811871,3.4058986,4.6076074,4.3500066,5.653642,6.625798,2.5167027,3.5487096,6.631388,2.7597308,5.3654666,5.182454,7.110335,5.922198,4.349868,6.981893,4.6987104,4.59971,3.9196575,3.9740028,3.8650749,3.7645056,5.0410986,2.1268065,4.7374415
t62,9.771202,3.3597224,4.630755,4.377814,5.736762,6.6386447,2.4906685,3.5024524,6.6408052,2.7994215,5.353533,5.103968,7.0694942,5.875954,4.4403763,7.0819654,4.7828846,4.498513,3.8216236,4.001458,3.8196154,3.7529275,4.965518,2.0970407,4.757486
