,Unnamed: 0,Ev Model,Missing Type,Tree Type,Variable Type,Signal,phylopars,phylnn_fill_means,linear_eigenvecs,linear_umap,linear_autoencoded,xgb_eigenvecs,xgb_umap,xgb_autoencoded
count,400.0,400,400,400,400,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0
unique,,1,2,2,1,,,,,,,,,
top,,BM,mcar,ultrametric,continuous,,,,,,,,,
freq,,400,200,200,400,,,,,,,,,
mean,199.5,,,,,0.9992054896514468,0.3328165549071819,0.6665634385265156,0.49483696278672684,0.5313509618614464,0.567019428367566,0.40003533655756385,0.4706094050432743,0.4301151955080643
std,115.61430130683084,,,,,0.005087570388814568,0.14885336517121944,0.26166998687796833,0.21305222126515,0.3084347058207218,0.3641637153556107,0.17904110056518405,0.17136318342795845,0.19379392499238568
min,0.0,,,,,0.932322774983526,0.0801435604009731,0.1352007289129126,0.0711434264946898,0.1795668248152312,0.2019898916408156,0.0660684758984014,0.1668327547210503,0.1309079633968054
25%,99.75,,,,,0.9999156269371352,0.23527977255648577,0.4990728765241423,0.36962827744964744,0.3979270831989451,0.41798756347253657,0.2938107542076125,0.35526617464157917,0.3154911902005536
50%,199.5,,,,,0.999926686256414,0.30480988515968904,0.6389325953337481,0.45612313790795445,0.48481089008616735,0.510933237931949,0.36097587665537345,0.4450383509202679,0.3947038991036257
75%,299.25,,,,,0.9999542343014709,0.3886538991687565,0.7997488611327265,0.5680919896043166,0.607787034772188,0.6389168857245446,0.4583946554442275,0.5498067437302017,0.5004280606804127
max,399.0,,,,,1.00277267642852,1.19423782051109,2.160168163599056,1.7416178082091336,4.713686455040389,6.463174279686935,1.642661813441742,1.457983701441742,1.917017721441742
