,Unnamed: 0,Ev Model,Missing Type,Tree Type,Variable Type,Signal,phylopars,phylnn_fill_means,linear_eigenvecs,linear_PEM,linear_umap,linear_autoencoded,xgb_eigenvecs,xgb_PEM,xgb_umap,xgb_autoencoded
count,324.0,324,324,324,324,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0
unique,,1,2,2,1,,,,,,,,,,,
top,,LB,mcar,with_extinct,continuous,,,,,,,,,,,
freq,,324,162,164,324,,,,,,,,,,,
mean,196.27777777777777,,,,,0.9247960960789169,0.5305867418758347,0.6535782408940117,0.7730245232475561,0.5914024696335348,0.8028570805681893,0.8025139603904566,0.6124958596190601,0.582774874807851,0.6627732532709372,0.6156754059034655
std,113.45474132081644,,,,,0.09931144579791766,0.20267219492628916,0.21075716772281264,0.823514726119652,0.25507048664680726,1.3616943201793479,1.0202183218179535,0.25287605359440285,0.21973788347333056,0.209147377245617,0.20640998955907502
min,0.0,,,,,0.60594095814231,0.1817746396917157,0.1425743409427073,0.275574855488935,0.1590530255669646,0.2630142738021276,0.2726974071052117,0.1790798315092828,0.1909644950817875,0.2201340707171897,0.2209859258183001
25%,104.75,,,,,0.891371067098215,0.3754248049077523,0.5200788688054455,0.5196724086015758,0.4244980632085767,0.5491590787511152,0.5748718748253085,0.4508288429885764,0.4256407904696387,0.5031262301013484,0.472739811493352
50%,193.5,,,,,0.9695975900921625,0.5010116729017351,0.6322936226506084,0.6899750396390247,0.5479890880198792,0.6922350538250275,0.7165518099307622,0.5621426033542604,0.5580738385358848,0.6563335105975991,0.6005256695801663
75%,290.25,,,,,0.998161498242494,0.6468470554336508,0.7845327280260697,0.8173190515329507,0.7059415327160575,0.8474384888459603,0.8699281116206824,0.7278309016141156,0.6809162137360065,0.7810119398921652,0.7328971700989548
max,399.0,,,,,1.00170445898406,1.4920934977510167,1.556802732867091,12.839330468268958,2.4927368383036628,24.34905752225572,18.24276378864078,2.4017257631725046,1.5789015224807,1.3361014835416385,1.6584673657493805
