,Unnamed: 0,Ev Model,Missing Type,Tree Type,Variable Type,Signal,phylopars,phylnn_fill_means,linear_eigenvecs,linear_umap,linear_autoencoded,xgb_eigenvecs,xgb_umap,xgb_autoencoded
count,400.0,400,400,400,400,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0
unique,,1,2,2,1,,,,,,,,,
top,,EB,mcar,ultrametric,continuous,,,,,,,,,
freq,,400,200,200,400,,,,,,,,,
mean,199.5,,,,,1.0001478633083563,0.10340102440199336,0.5644954778773758,0.32248264782485797,0.40048512881615933,0.34395713254002075,0.14829448715162807,0.18488883714951507,0.17665379474591478
std,115.61430130683084,,,,,0.0006085667483160855,0.1401899997576126,0.391733982609694,1.88413590296424,2.74784568713884,1.1529147939725348,0.2185470695267586,0.19421864886778187,0.3549957592683524
min,0.0,,,,,0.997276712313504,9.460263260594036e-13,0.0004390065469549,0.0006360314494867,0.0073749007353514,0.0008969836220765,6.438731666357275e-06,1.2441079718328308e-05,8.696912069298636e-06
25%,99.75,,,,,0.999926686256414,0.006507163346342,0.3016702873654484,0.04303051542836315,0.08737126981708623,0.05970831857524887,0.013982078799575,0.02989091524800055,0.023794414594089174
50%,199.5,,,,,0.999926686256414,0.03917234866007585,0.5383970526878821,0.1202902682778508,0.2166491921592042,0.1964357522878225,0.06668322878056085,0.11833126242175245,0.09855757943532575
75%,299.25,,,,,1.0000957738218375,0.1695101556828465,0.7436299498333905,0.31639174696146877,0.3695540083581571,0.40539590431813544,0.22660535095100198,0.29657501076476744,0.24948843915283456
max,399.0,,,,,1.00342865958072,1.1000974721126922,2.6124073384355286,36.60057884076015,55.03765695098281,18.77306497244842,2.6075951610797183,0.9400395650670476,6.251309184782016
