,Unnamed: 0,Ev Model,Missing Type,Tree Type,Variable Type,Signal,phylopars,phylnn_fill_means,linear_eigenvecs,linear_PEM,linear_umap,linear_autoencoded,xgb_eigenvecs,xgb_PEM,xgb_umap,xgb_autoencoded
count,130.0,130,130,130,130,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0
unique,,1,2,1,1,,,,,,,,,,,
top,,Seed Mass,mcar,ultrametric,continuous,,,,,,,,,,,
freq,,130,65,130,130,,,,,,,,,,,
mean,104.4076923076923,,,,,0.8570479264406762,0.46053640188048417,0.5002217279098623,0.6613826732153405,0.5066242414904526,0.6358679056598335,0.6408193895121349,0.47308452087491937,0.48444231718711106,0.5458350639198088,0.4910621026650518
std,56.12329949825882,,,,,0.12645862024597332,0.38207923589142545,0.3094282320779569,1.2667337921031931,0.4595855093758978,0.47824636912776886,0.4507545907849938,0.39802932419483583,0.36811220446953347,0.5392109579662282,0.3436598696934513
min,0.0,,,,,0.610231722338173,0.0166160447331869,0.031619435263593,0.0124768845879438,0.0063096485266448,0.0794863133443657,0.0392828766247344,0.0050703447202445,0.0215964902902773,0.001271868712154,0.0104598286783363
25%,58.25,,,,,0.747767736989897,0.1778837838792515,0.279148283967403,0.2623796321249803,0.14398872940590685,0.34570017258014857,0.36721720135643005,0.20661815841954806,0.21621003267789557,0.22453961965695374,0.22644469579168655
50%,108.5,,,,,0.892152562703122,0.3701723053823638,0.45822898016248725,0.43308248009183614,0.4260672068398299,0.54608523063438,0.5523037399121962,0.341445312944443,0.3845432450054249,0.43304965242821514,0.37871356544111856
75%,150.75,,,,,0.96336072237897,0.6281428143577453,0.621651315828623,0.7418807673149581,0.6570400911085954,0.7484264920065044,0.7902539328163494,0.6397259679044356,0.6824866106307946,0.7033814366120358,0.7084195555288739
max,199.0,,,,,1.00832101138695,2.2416403766933617,1.4257141145982029,12.47485763823531,2.370560286794462,3.4413910272881942,3.613873759141269,2.413283327898056,2.269075617898056,4.417661899491002,1.4878284492254497
