,Unnamed: 0,Ev Model,Missing Type,Tree Type,Variable Type,Signal,phylopars,phylnn_fill_means,linear_eigenvecs,linear_PEM,linear_umap,linear_autoencoded,xgb_eigenvecs,xgb_PEM,xgb_umap,xgb_autoencoded
count,262.0,262,262,262,262,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0
unique,,1,2,2,1,,,,,,,,,,,
top,,OU,mcar,with_extinct,continuous,,,,,,,,,,,
freq,,262,131,164,262,,,,,,,,,,,
mean,197.5381679389313,,,,,0.9316251045634951,0.6733953100945478,0.7013325459458849,0.7997211588878272,0.7223610836206259,0.8209083534106391,0.8174766186919287,0.7105637583743292,0.7030860214796727,0.7426717758234219,0.7138329018536269
std,114.16448304515663,,,,,0.09196506969124006,0.18524049791820624,0.17609190273876393,0.287838669689537,0.19650692675545803,0.4056616963152458,0.38261381491614904,0.22138324422249783,0.18553443689972146,0.16705819339592035,0.1802536899386043
min,2.0,,,,,0.627899165811806,0.2589034536400766,0.3172869235122278,0.3992663946607496,0.2615744929795908,0.3824720671296391,0.2740198425586193,0.3063894946454634,0.3407471763102442,0.3769930982850463,0.2884607185482497
25%,94.25,,,,,0.9082708280897642,0.5393630784668679,0.574387138208512,0.6584739651471672,0.5956316326450436,0.6693629814845599,0.6596402835963757,0.5912612153914074,0.5814938102121244,0.6363697779313306,0.5969715568538625
50%,202.5,,,,,0.972501898034087,0.6574756543761043,0.6902430502835797,0.7641296758240568,0.6956888436974199,0.7555816702412813,0.7759621103888374,0.6824928894445756,0.6829319610228146,0.7384472158981132,0.701249980104885
75%,293.75,,,,,0.9976671936836832,0.7931289982556233,0.8158173975378744,0.8552973154366856,0.8139996013306151,0.8758523928870909,0.8917809511739777,0.7895229499750538,0.7997359711974429,0.8230186649920292,0.8093272155029899
max,399.0,,,,,1.00013310555245,1.6364799746993726,1.7383292168231494,2.9809092220993127,1.8389626225631528,5.189173120978568,5.594487943781966,2.5202028722977032,1.6357151157691856,1.6485079763507706,1.7785423451507705
