,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
Anthorrhiza_areolata,11.515926,5.4545693,4.29143,4.402968,4.86466,6.2171016,6.2995315,5.517821,3.3697584,3.9751127,6.1174765,5.0577235,8.209748,4.958281,3.8965626,5.8455224,5.605662,0.8488689,4.508891,3.299692,4.381049,2.6163828,5.355673,5.0720406,3.2678964,1.7389072,7.246804,4.5614696,7.8803196,5.6306214,8.110191,8.042878,3.8574083,5.687137,4.5366983,8.591121,3.2418172,3.6473212,7.069295,5.9274983,7.4061484,8.843536,8.143257,6.450118,6.5462084,5.157422,6.747976,4.7108808,6.983246,4.472304,6.5442653,1.5773515,0.453953,4.0652876
Anthorrhiza_bracteosa,11.517353,5.454086,4.2924013,4.40197,4.866245,6.218646,6.2980347,5.51922,3.3700674,3.9746702,6.118945,5.0567293,8.21012,4.957292,3.8978803,5.845996,5.604282,0.84854144,4.5074263,3.2986624,4.381546,2.614852,5.355937,5.0735064,3.267623,1.7394006,7.2455616,4.5617065,7.880655,5.6292496,8.109325,8.043941,3.8588362,5.6885633,4.536243,8.59176,3.2433717,3.646834,7.069598,5.926193,7.406688,8.842596,8.144745,6.4506173,6.5459805,5.1581893,6.748483,4.7104945,6.983402,4.4724536,6.545284,1.576824,0.45488846,4.0642776
Hydnophytum_formicarum,11.552355,5.417836,4.3318496,4.3627653,4.908677,6.258372,6.261179,5.549375,3.4042037,3.9921322,6.153438,5.0177493,8.251287,4.9176326,3.9494734,5.8814754,5.569575,0.81352264,4.471298,3.25977,4.4166975,2.576785,5.392818,5.107678,3.2249048,1.7755761,7.2181716,4.604415,7.9166694,5.6006145,8.101679,8.083894,3.891047,5.720491,4.5525165,8.630164,3.284415,3.6622598,7.1048417,5.896867,7.443001,8.801926,8.186264,6.435136,6.503099,5.1953993,6.7336464,4.677465,7.027102,4.5147967,6.5840626,1.5905205,0.4958207,4.0258117
Ciliosemina_pedunculata,11.546599,5.4562917,4.289382,4.405003,4.912841,6.2639112,6.2535167,5.562002,3.3639803,3.956319,6.162234,5.0598073,8.212938,4.960029,3.9148173,5.839768,5.5799837,0.8521443,4.472732,3.3016746,4.3750205,2.570552,5.354782,5.116997,3.2640228,1.7335277,7.223436,4.565503,7.878147,5.5869737,8.081514,8.0425415,3.901641,5.731553,4.5180116,8.590593,3.2897456,3.6275668,7.0664773,5.8999906,7.400687,8.845178,8.169905,6.470614,6.541976,5.1531796,6.7681956,4.717661,6.985091,4.4745483,6.5422845,1.5568687,0.4525261,4.0674996
Canthiumera_glabra,11.5235405,5.4612503,4.2882915,4.407354,4.8732195,6.225324,6.29211,5.523928,3.3684764,3.9757862,6.124617,5.0626044,8.204814,4.961787,3.8929148,5.8482785,5.5992956,0.85181665,4.500553,3.3056555,4.3840437,2.6083422,5.351209,5.078977,3.2740302,1.7425541,7.2412806,4.555687,7.8769236,5.624938,8.106273,8.035969,3.8638668,5.6936264,4.5362444,8.58675,3.249946,3.6486802,7.065811,5.9210596,7.409554,8.843244,8.150084,6.4487023,6.5522614,5.156547,6.7459784,4.7099404,6.9770107,4.465819,6.5381765,1.5789539,0.4547891,4.0717096
Brachytome_wallichii,11.539944,5.4342513,4.3249707,4.368038,4.89277,6.242757,6.2758007,5.536538,3.3860462,3.961511,6.1391873,5.0224476,8.228764,4.925628,3.9229183,5.871877,5.582508,0.82190263,4.4837294,3.2622316,4.413181,2.592332,5.3756213,5.093597,3.2527463,1.7646598,7.2284756,4.5731616,7.9063454,5.611864,8.0937395,8.075764,3.8777616,5.707081,4.522351,8.62018,3.2692325,3.6321566,7.094621,5.90738,7.4364347,8.815335,8.170482,6.4653034,6.5347733,5.1921434,6.76364,4.6817408,6.9947414,4.48374,6.580451,1.5608904,0.47991195,4.0280046
Pseudopyxis_heterophylla,11.509332,5.44998,4.295786,4.3995047,4.8635826,6.216947,6.2998705,5.5172777,3.3783424,3.9827037,6.117438,5.0545444,8.217179,4.9543304,3.8980238,5.8571296,5.6133065,0.83975005,4.5144844,3.2972133,4.393368,2.6159048,5.36393,5.0719037,3.2607722,1.7510172,7.2551646,4.568813,7.8891153,5.6314735,8.115185,8.044331,3.856889,5.6867876,4.543817,8.597299,3.2403476,3.6550333,7.0781765,5.9351926,7.418074,8.837056,8.136989,6.4425917,6.5389934,5.164678,6.740079,4.6997333,6.990493,4.4795113,6.5466075,1.5849909,0.46069312,4.063071
Pittoniotis_trichantha,11.556527,5.41222,4.3391747,4.355427,4.9148,6.264992,6.254665,5.555768,3.4080276,3.9891415,6.15947,5.010422,8.25769,4.9103208,3.9608283,5.8869767,5.565788,0.80767477,4.4666786,3.252319,4.4227333,2.5708325,5.397937,5.1138177,3.219965,1.781134,7.2140956,4.6089606,7.9226346,5.5941563,8.098312,8.091558,3.8972101,5.7267456,4.549836,8.637562,3.2906237,3.6588395,7.1104474,5.8925476,7.449042,8.794758,8.189448,6.4388523,6.4986115,5.202228,6.7373576,4.6714325,7.0299797,4.517818,6.591407,1.5868347,0.50291693,4.018464
Exallage_auricularia,11.510579,5.422797,4.3234334,4.372013,4.8698225,6.222645,6.295182,5.5225215,3.405988,3.9962084,6.122166,5.0271096,8.244312,4.9267,3.9235508,5.884598,5.6121445,0.81286085,4.512643,3.2699564,4.4205117,2.6103346,5.390867,5.076631,3.23487,1.7785798,7.2579265,4.594957,7.9160347,5.6270456,8.125407,8.071613,3.8607442,5.691855,4.5578246,8.624413,3.2458305,3.667525,7.1050467,5.9367833,7.445554,8.808981,8.14112,6.4308715,6.5129075,5.192241,6.72823,4.67276,7.014734,4.5046377,6.5739055,1.596715,0.48886847,4.035832
Crossopteryx_febrifuga,11.511232,5.4203935,4.329348,4.3662205,4.8724327,6.2263365,6.291406,5.52729,3.409492,3.994988,6.126469,5.0214267,8.245756,4.9208236,3.9268444,5.8901305,5.612018,0.8100384,4.5116644,3.2643147,4.426416,2.6059003,5.392503,5.080916,3.2354643,1.7843521,7.2576385,4.594301,7.9185905,5.6225467,8.125157,8.076864,3.8647637,5.6964197,4.5565996,8.628116,3.248214,3.6663575,7.1075053,5.9361663,7.4515815,8.802605,8.140998,6.4323845,6.5137887,5.1980305,6.7293973,4.6676965,7.0122943,4.5027933,6.5794306,1.595509,0.495256,4.0303664
