,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
Anthorrhiza_areolata,0.018710898,-0.16028868,0.004241083,-0.28414127,-0.006857096,0.0919525,-0.16910265,0.013643881,0.0055442015,0.022356039,0.09123204,4.780594,-0.17730483,14.782422,-0.14667954,8.8157015,0.05460913,6.7625203,0.30529198,0.33533633,-0.03863127,0.20187345,9.666737,7.3313026,-0.0857229,-0.43430638,-0.15104115,8.140713,-0.050201878,0.60472536,0.5265059,0.0025035238,11.106669,0.082030825,-0.060569078,0.27176714,-0.120311454,0.57979876,4.009302,0.11701342,0.062258504,-0.012496257,-0.07606359,-0.50853896,0.4035569,-0.0058452864,-0.27117753,-0.056347195,0.059002206,-0.014368538,-0.024079375,5.431962,-0.006121611,-0.045176744
Anthorrhiza_bracteosa,0.01892597,-0.11605466,0.0056417314,-0.29752296,-0.0070370142,0.09389386,-0.17004399,0.014323266,0.007098923,0.021353781,0.09896768,4.785403,-0.2039713,14.933833,-0.14583659,8.941531,0.058073483,6.843147,0.31401965,0.34268788,-0.0028688035,0.18936393,9.895632,7.3804517,-0.07594686,-0.43922466,-0.15907237,8.219302,-0.048240956,0.6410802,0.52570796,0.002489874,11.216744,0.08797529,-0.053950552,0.2889811,-0.12250672,0.5872393,4.2616057,0.10720992,0.05980839,-0.010346003,-0.07808047,-0.51057965,0.41738495,-0.011236655,-0.27252024,-0.057179946,0.056322124,-0.0005275282,-0.019319784,5.90287,-0.005564189,-0.045505196
Hydnophytum_formicarum,0.01867946,-0.0908792,0.0039360165,-0.2786515,-0.006064884,0.08678454,-0.16061892,0.015714476,0.007325932,0.016261587,0.09850086,5.03866,-0.1761471,14.55123,-0.1329107,8.813981,0.058432322,6.6584115,0.29974252,0.32856637,-0.0059763356,0.20267479,9.758145,7.2830186,-0.068958096,-0.43126366,-0.13850817,8.063219,-0.04409678,0.5336953,0.5256501,0.0033927504,11.233568,0.081611566,-0.06109857,0.29242155,-0.11530279,0.5826809,4.0072274,0.107404225,0.0561088,-0.011414118,-0.083555534,-0.4893066,0.36882523,-0.002970165,-0.24257968,-0.057174474,0.07831873,0.06938495,-0.010103899,6.06176,-0.0050144577,-0.03983318
Ciliosemina_pedunculata,0.017629828,-0.10698676,0.00090716133,-0.26787147,-0.006117689,0.08303653,-0.16242908,0.025954511,0.0073243626,0.018760215,0.10090471,5.0815454,-0.1838036,14.589937,-0.138862,8.700668,0.05481413,6.8189096,0.29670262,0.34865284,-0.036381345,0.24180308,9.754032,7.158667,-0.072106935,-0.43408275,-0.1422839,8.0176525,-0.03334434,0.8786809,0.5120145,0.0026795282,11.094551,0.076649755,-0.05230802,0.28639156,-0.11548817,0.575783,3.890916,0.118485264,0.05613226,-0.014381371,-0.07180767,-0.5089087,0.39312634,-0.011323722,-0.24674495,-0.050630923,0.05647849,-0.0053814,-0.016869752,6.0543013,-0.0050544925,-0.045824576
Canthiumera_glabra,0.018714458,-0.095562145,0.001992919,-0.2806764,-0.0068055848,0.09320092,-0.1642922,0.01880083,0.005754466,0.02061995,0.103017226,5.0454783,-0.2025289,14.615338,-0.14198948,9.001821,0.05389397,6.645727,0.3002631,0.35424268,-0.029376227,0.23878469,9.926449,7.3357105,-0.0689142,-0.43303135,-0.14426678,8.033541,-0.038965862,1.0112603,0.5106379,0.0018397407,11.272494,0.0805079,-0.048167046,0.30127648,-0.12532295,0.5750117,4.078133,0.11007813,0.06168465,-0.011220743,-0.07057428,-0.51731455,0.3959991,-0.009380909,-0.2547786,-0.05618136,0.05436193,-0.0070776357,-0.010701498,6.1042705,-0.0052687004,-0.04496894
Brachytome_wallichii,0.018167116,-0.082287535,0.0004987308,-0.2718913,-0.0059274933,0.08886015,-0.17112298,0.012354663,0.010164898,0.016904537,0.09126676,5.230896,-0.16638587,14.421638,-0.14750063,8.621708,0.055259373,6.7324686,0.32356632,0.3439899,-0.03376203,0.1965165,9.694969,7.1963983,-0.076798126,-0.43525165,-0.15938972,8.101831,-0.03971721,0.59674287,0.50938624,0.0027424006,11.08432,0.07804491,-0.055195946,0.28648004,-0.118402764,0.5770991,4.0322375,0.10633408,0.06335077,-0.009140335,-0.07078015,-0.506709,0.3892126,-0.0044134213,-0.26789373,-0.055784263,0.046928614,-0.0016878973,-0.015047881,5.984727,-0.0062328125,-0.044243395
Pseudopyxis_heterophylla,0.018061437,-0.06438959,0.0035902164,-0.2799804,-0.006091052,0.08782452,-0.16280425,0.022726128,0.0098777795,0.016186148,0.10453165,5.028159,-0.19066249,14.721027,-0.1470347,8.507241,0.062231664,7.0298114,0.31161913,0.3312318,-0.014902716,0.2089357,9.609411,7.340177,-0.058328025,-0.4516907,-0.13651168,7.8906903,-0.03378885,0.9151175,0.5054894,0.0028755665,10.6421795,0.0825777,-0.05945625,0.28670406,-0.11159316,0.5577951,4.092768,0.11260174,0.052759685,-0.011822345,-0.06094883,-0.5108832,0.38009164,-0.013579351,-0.26264915,-0.05131794,0.043871056,0.3980887,-0.021887613,6.091137,-0.0039130873,-0.044156246
Pittoniotis_trichantha,0.01754952,-0.11364771,0.0034267118,-0.27858698,-0.0059548877,0.08830327,-0.15674645,0.021079937,0.0070160325,0.019837799,0.097013175,5.2184873,-0.19366558,14.485715,-0.14514005,8.595032,0.055613544,6.7677355,0.28983036,0.32812726,-0.015767882,0.2161599,9.731359,6.8964367,-0.06649094,-0.43204427,-0.14534628,7.9502945,-0.031288322,0.92892337,0.49391258,0.002002779,10.727489,0.08351677,-0.043964084,0.2891363,-0.11938397,0.5405434,3.813107,0.10116876,0.0584749,-0.008574097,-0.070356674,-0.5175598,0.37750554,-0.00876817,-0.24817741,-0.053970736,0.05219824,-0.0080497395,-0.009608659,6.212721,-0.004372203,-0.044823207
Exallage_auricularia,0.019409487,-0.092002615,0.0054054535,-0.29223746,-0.0062313327,0.089259714,-0.15422808,0.017952342,0.008163554,0.016339798,0.09741468,5.1434245,-0.20770065,14.5671835,-0.13048722,8.766614,0.061796222,6.6583138,0.30930355,0.3520396,-0.013232892,0.20987059,9.695939,7.30093,-0.063283764,-0.4299569,-0.15320604,7.817818,-0.04102709,0.71657556,0.5061592,0.0019385085,11.017486,0.07452032,-0.051569078,0.28088123,-0.11590481,0.56814426,3.9127572,0.1040181,0.06258543,-0.009010786,-0.071749784,-0.5084719,0.3753981,-0.014462821,-0.25884926,-0.057160016,0.057353508,-0.0047316407,-0.010297709,6.056515,-0.004776279,-0.04265158
Crossopteryx_febrifuga,0.0179671,-0.0865139,0.0037804702,-0.27454948,-0.0065145046,0.100211926,-0.15709195,0.016007148,0.0054285154,0.01528797,0.09900831,5.1590853,-0.16695921,14.528382,-0.14946298,8.692737,0.05798101,6.8638806,0.31261125,0.3404846,-0.025212988,0.2384363,9.577439,7.2490425,-0.06987942,-0.44640958,-0.14374994,8.101238,-0.03519786,0.959476,0.50554925,0.0013432789,11.035401,0.08531119,-0.04614814,0.29054248,-0.12043142,0.5676569,4.188276,0.12160484,0.06377373,-0.011601183,-0.07518566,-0.50582165,0.364356,-0.005141686,-0.25191435,-0.058846053,0.06415044,-0.007360547,-0.017019335,6.1159143,-0.0058302428,-0.049359858
