wcvp_id|ipni_id|family|taxon_name|authority|infra_rank|only_synonym_has_common_name
2160|899079-1|Apocynaceae|Acokanthera laevigata|Kupicha||
2164|77164695-1|Apocynaceae|Acokanthera oblongifolia|(Hochst.) Benth. & Hook.f. ex B.D.Jacks.||
2165|76349-1|Apocynaceae|Acokanthera oppositifolia|(Lam.) Codd||
2171|60447729-2|Apocynaceae|Acokanthera schimperi|(A.DC.) Schweinf.||
3021|76360-1|Apocynaceae|Adenium boehmianum|Schinz||
3027|76366-1|Apocynaceae|Adenium multiflorum|Klotzsch||
3030|76369-1|Apocynaceae|Adenium obesum|(Forssk.) Roem. & Schult.||
3038|76370-1|Apocynaceae|Adenium oleifolium|Stapf||
3046|76374-1|Apocynaceae|Adenium swazicum|Stapf||
4408|76388-1|Apocynaceae|Aganosma cymosa|(Roxb.) G.Don||
316895|77125846-1|Apocynaceae|Aganosma heynei|(Spreng.) I.M.Turner||Y
4439|76413-1|Apocynaceae|Aganosma wallichii|G.Don||
5464|76417-1|Apocynaceae|Alafia barteri|Oliv.||
5465|76418-1|Apocynaceae|Alafia benthamii|(Baill.) Stapf||
5470|76422-1|Apocynaceae|Alafia caudata|Stapf||
5477|991376-1|Apocynaceae|Alafia erythrophthalma|(K.Schum.) Leeuwenb.||
5479|76427-1|Apocynaceae|Alafia fuscata|Pichon||
5487|77176689-1|Apocynaceae|Alafia landolphioides|(A.DC.) K.Schum.||
5488|76437-1|Apocynaceae|Alafia lucida|Stapf||
5496|76446-1|Apocynaceae|Alafia multiflora|(Stapf) Stapf||
5501|76451-1|Apocynaceae|Alafia pauciflora|Radlk.||
5502|76452-1|Apocynaceae|Alafia perrieri|Jum.||
5508|76456-1|Apocynaceae|Alafia schumannii|Stapf||
5510|76459-1|Apocynaceae|Alafia thouarsii|Roem. & Schult.||
6154|76468-1|Apocynaceae|Allamanda blanchetii|A.DC.||
6157|319065-2|Apocynaceae|Allamanda cathartica|L.||
6161|76472-1|Apocynaceae|Allamanda doniana|Müll.Arg.||
6176|76487-1|Apocynaceae|Allamanda schottii|Pohl||
6997|105718-3|Apocynaceae|Alstonia angustifolia|Wall. ex A.DC.||
7001|76507-1|Apocynaceae|Alstonia angustiloba|Miq.||
7007|76511-1|Apocynaceae|Alstonia boonei|De Wild.||
7014|76517-1|Apocynaceae|Alstonia congensis|Engl.||
7016|76518-1|Apocynaceae|Alstonia constricta|F.Muell.||
7018|76521-1|Apocynaceae|Alstonia costata|(G.Forst.) R.Br.||Y
7043|76543-1|Apocynaceae|Alstonia iwahigensis|Elmer||
