accepted_species,Medicinal
Anisopus exellii,0
Scleromitrion tenuifolium,0
Eumachia domatiicola,0
Leptopetalum taiwanense,0
Scleromitrion gibsonii,0
Guettarda shaferi,0
Malouetia arborea,1
Strophanthus caudatus,1
Forsteronia spicata,0
Chomelia longiflora,0
Ectadium rotundifolium,0
Chomelia anisomeris,0
Ruehssia weberbaueri,0
Ruehssia bourgaeana,0
Chomelia klugii,0
Rytigynia umbellulata,0
Ruehssia haitiensis,0
Symbolanthus calygonus,0
Neobertiera palustris,0
Schenkia elegans,0
Symbolanthus argyreus,0
Micrechites serpyllifolius,0
Didymosalpinx konguensis,0
Tarenna alleizettei,0
Rubia sylvatica,1
Decalepis nervosa,0
Urceola minutiflora,1
Pentagonia amazonica,0
Tarenna compactiflora,0
Asclepias velutina,0
Hoodia gordonii,1
Schradera monocephala,0
Alafia erythrophthalma,1
Tavaresia barklyi,1
Houstonia correllii,0
Jasminanthes saxatilis,0
Orthosia stannardii,0
Rauvolfia semperflorens,1
Houstonia acerosa,0
Ornichia lancifolia,0
Notopleura uberta,0
Antirhea bifurcata,1
Boucerosia indica,1
Notopleura microbracteata,0
Mandevilla vanheurckii,0
Hippotis panamensis,0
Isertia pittieri,0
Atractocarpus confertus,0
Mandevilla emarginata,0
Mandevilla lanuginosa,0
Sacleuxia newii,0
Mandevilla glandulosa,0
Irlbachia tatei,0
Finlaysonia insularum,0
Mandevilla spigeliiflora,1
Atractocarpus pentagonioides,0
Cyclophyllum coprosmoides,0
Cynanchum eurychiton,0
Afrocanthium racemulosum,0
Lomatogonium caeruleum,0
Cynanchum resiliens,0
Cynanchum ellipticum,1
Cynanchum floriferum,0
Cynanchum messeri,0
Peponidium boivinianum,0
Afrocanthium shabanii,0
Peponidium pervilleanum,0
Himatanthus tarapotensis,1
Peponidium celastroides,0
Ceriscoides sessiliflora,0
Ceropegia discoidea,0
Valantia columella,0
Ceropegia spaniflora,0
Ceriscoides perakensis,0
Ceropegia meyeriana,0
Spigelia texana,0
Plocama afghanica,0
Spigelia stenocardia,0
Spigelia macrophylla,0
Swertia lurida,0
Psychotria grandistipulata,0
Psychotria puffii,0
Psychotria bridsoniae,0
Galium vile,0
Psychotria costata,0
Psychotria madagascariensis,0
Psychotria alto-macahensis,0
Galium diffusoramosum,0
Galium kinuta,0
Psychotria paradoxalis,0
Psychotria bidentata,1
Psychotria radicans,0
Ptycanthera ovatifolia,0
Psychotria calothyris,0
Psychotria guianensis,1
Galium moldavicum,0
Hoppea fastigiata,0
Psychotria psychotriifolia,1
Psychotria brachylaena,0
Psychotria bathieana,0
Quaqua cincta,0
Empogona coriacea,0
Empogona aequatoria,0
Asperula kotschyana,0
Manettia secundiflora,0
Quaqua parviflora,0
Minaria lourteigiae,0
Bremeria pilosa,0
Ixora miquelii,0
Bremeria scabridior,0
Hedyotis pubescens,0
Cynanchica boissieri,0
Hedyotis hainanensis,0
Cynanchica bryoides,0
Hedyotis marginata,0
Hedyotis rugosa,0
Hedyotis barberi,0
Leptactina angolensis,0
Benkara pierrei,0
Rosenbergiodendron longiflorum,1
Megacodon venosus,0
Machaonia ottonis,0
Funastrum flavum,1
Sericanthe petitii,0
Chimarrhis cubensis,0
Mitracarpus frigidus,0
