,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
t2,4.348116,6.699943,9.057365,4.655348,5.543689,6.0124927,5.3133717,6.501242,7.256321,5.1040325,3.3833337,1.233371,4.751244,4.7885804,5.139935,7.282697,4.3256106,5.5186734,4.7949634,6.03057,4.5833673,5.8574333,5.6145988
t3,4.713266,6.7910004,8.949692,4.593738,5.4681964,5.929228,5.395959,6.3960214,7.1052685,5.188926,3.482664,1.1561891,4.710222,4.8047047,5.124335,7.327553,4.358833,5.4717836,4.759161,6.0319896,4.5525165,5.9032326,5.416426
t4,4.475206,6.720356,9.009931,4.6200075,5.500978,5.964285,5.3645477,6.4905868,7.223933,5.1444836,3.4348598,1.1961778,4.7264624,4.8092923,5.128466,7.316567,4.356479,5.4999495,4.772683,6.015812,4.555629,5.8923597,5.562812
t13,3.8997414,6.6337414,9.105085,4.6600223,5.570079,6.0466313,5.2997284,6.6169124,7.427424,5.0613785,3.1895707,1.2690897,4.7634797,4.8112345,5.1398835,7.1465983,4.3491545,5.5492706,4.793464,5.9734473,4.544493,5.8477907,5.7783523
t19,3.3630767,6.5360713,9.177859,4.6857452,5.623433,6.105512,5.269386,6.768083,7.6245747,5.000077,3.007631,1.3221803,4.801028,4.837146,5.137776,7.038839,4.381239,5.6000004,4.819394,5.916326,4.5103374,5.83631,6.0048313
t20,3.166646,6.502511,9.210356,4.69336,5.637525,6.1337285,5.252418,6.834522,7.7104893,4.968424,2.9262402,1.3470719,4.8117385,4.852068,5.136711,6.9923096,4.388115,5.61307,4.823347,5.8856945,4.4942765,5.829173,6.1048203
t24,2.9975111,6.4648457,9.227559,4.699477,5.660338,6.148271,5.250513,6.890962,7.7815137,4.9553246,2.8598578,1.3602659,4.8282447,4.8616104,5.1360164,6.952189,4.410689,5.6367974,4.8364816,5.8671823,4.4756503,5.829464,6.188037
t44,1.9057364,6.1698565,9.288002,4.744733,5.879381,6.178916,5.289321,7.2016196,8.203642,4.955842,2.4826193,1.3792623,4.976444,4.896785,5.1515207,6.697334,4.620117,5.865027,4.9802313,5.803045,4.3461185,5.8581524,6.694609
t45,1.722594,6.140269,9.339419,4.7637024,5.883311,6.1623106,5.3300476,7.2146792,8.210944,4.9772377,2.4533856,1.3664813,4.963363,4.8820777,5.1782775,6.736442,4.6315923,5.87821,5.0043426,5.8305063,4.3696284,5.8678393,6.786554
t40,1.9963664,6.209205,9.2550335,4.726005,5.847,6.2025437,5.255521,7.2118406,8.174591,4.914375,2.4784918,1.4189012,4.969773,4.923613,5.1431465,6.706257,4.611955,5.8338776,4.951248,5.789784,4.328289,5.845333,6.6307187
t41,2.1530702,6.3203087,9.325202,4.733395,5.728716,6.194466,5.2790933,7.106186,8.046232,4.9138117,2.581876,1.4090314,4.8794136,4.873823,5.1501527,6.8315024,4.501616,5.711834,4.898279,5.826443,4.428782,5.8382907,6.581507
t48,1.3574317,6.012348,9.449346,4.820198,5.946271,6.061892,5.4453425,7.244025,8.199708,5.0975585,2.392405,1.2793897,4.903381,4.9201493,5.3080144,6.8786426,4.7373257,5.9914064,5.1140885,5.921985,4.408457,5.8916283,6.945329
t77,1.2489457,6.0486236,9.369577,4.7682567,5.9335,6.0886607,5.421492,7.1860185,8.191813,5.0579495,2.4538348,1.3075078,5.008067,4.829928,5.249484,6.8112345,4.7004786,5.961007,5.091564,5.919163,4.437899,5.920311,6.9619384
t79,1.1268038,5.943025,9.415818,4.810489,6.0516667,6.0215707,5.496694,7.179231,8.257546,5.1548777,2.4687803,1.2185494,5.0748377,4.806614,5.2867556,6.7871366,4.77011,6.072389,5.1984444,5.9510093,4.4480877,5.9630876,7.087639
t80,1.1947875,6.000957,9.392403,4.8104715,5.9729834,6.035467,5.483599,7.197285,8.218702,5.1051183,2.432752,1.2866666,5.0208883,4.8437104,5.284621,6.8148084,4.758659,6.0115666,5.156911,5.953768,4.4308233,5.9421315,7.0108385
