,0,1,2,3,4,5,6,7,8,9,10
t111,1.6170684,4.320617,2.1598825,-0.22602764,9.315335,9.049741,7.5519967,-0.084901266,-0.22754414,9.429238,6.793837
t112,1.6191704,4.3200855,2.1620283,-0.22610696,9.323759,9.057514,7.5594363,-0.084710784,-0.2278326,9.439659,6.795867
t113,1.6174364,4.3156486,2.160518,-0.22615811,9.321976,9.049495,7.552269,-0.084823884,-0.22811161,9.433033,6.7952476
t9,1.2423466,3.1564255,-0.03943103,2.5853689,0.7173035,10.169055,12.728234,-0.070796356,-0.25259343,3.9787922,0.20680861
t12,1.3371925,3.620988,-0.07568802,1.8893836,1.6676978,10.705485,13.206401,-0.06982894,-0.22763264,4.833029,0.42138457
t15,1.6300899,4.482524,1.102691,-0.16249718,7.8500314,9.638767,9.58638,-0.07392959,-0.1170829,9.158145,5.573922
t116,1.7422488,5.1060185,1.5974039,-0.2335708,9.799602,10.032282,9.170221,-0.08164125,-0.18997957,10.251695,6.9913397
t117,1.7422564,5.106433,1.5971278,-0.233547,9.798669,10.031792,9.169941,-0.081632555,-0.18992127,10.250801,6.9910803
t7,1.2661151,3.5845857,-0.1111236,3.652286,0.379029,10.744781,13.683825,-0.068032086,-0.24520068,3.8201137,0.0018652993
t6,1.6411988,4.579513,1.7406924,-0.22136356,9.247302,9.268949,8.05437,-0.07330271,-0.18684876,9.593898,6.605444
t69,1.8213875,4.97142,1.7880061,-0.21935767,9.843386,9.881369,8.787988,-0.054075625,-0.13022703,10.18942,7.0324955
t70,1.8186729,5.0004253,1.7906908,-0.21798861,9.789909,9.839274,8.775845,-0.051261846,-0.12692036,10.162234,6.9770994
t99,1.6010174,4.3122435,2.3539295,-0.21531871,9.251929,8.568994,7.115115,-0.050753776,-0.22262175,9.156426,6.7874455
t100,1.6006339,4.279487,2.3498583,-0.21455066,9.253168,8.557092,7.125845,-0.050332878,-0.2226613,9.15048,6.7853994
t95,1.6013362,4.326441,2.3446105,-0.21551363,9.252856,8.573918,7.128514,-0.051122174,-0.22263806,9.153153,6.790776
t82,1.6006817,4.328596,2.3527536,-0.2155066,9.283823,8.540465,7.0828676,-0.049040213,-0.22246383,9.153287,6.7827725
t107,0.0047635967,0.006139313,-0.13421173,-0.043715816,0.068603426,-0.014073748,0.030067349,-0.06767113,0.91064185,-0.34119412,4.20018
t108,0.0072377473,0.0057359026,-0.13240132,-0.04367152,0.080136284,-0.013402067,0.027532531,-0.06795463,0.886263,-0.3417611,4.2243013
t88,0.23588052,0.009696987,0.08923025,-0.039656173,-0.038132753,-0.011666969,0.040150944,-0.114741944,0.54851353,-0.7207823,8.887812
t89,0.24641909,0.008885855,-0.0005599981,-0.046115536,-0.009266427,-0.011949746,0.04347976,-0.11417767,0.6307845,-0.6992111,8.795005
t36,0.16836065,0.01725717,0.4726183,0.43669242,-0.24284618,-0.0031499267,0.011766735,-0.12682822,-0.0029067455,-0.8846399,9.896187
t37,0.227023,0.012246252,0.008303463,-0.042905845,-0.028634058,-0.013053822,0.05487377,-0.11703594,0.7002558,-0.7299519,8.909552
t24,0.20951633,0.013618982,-0.009636501,-0.044223275,-0.036354747,-0.013107739,0.06255995,-0.119583055,0.68036836,-0.7437064,8.949457
t25,0.19749485,0.015656192,-0.0101350015,-0.039446954,-0.05574942,-0.015100987,0.060576484,-0.1164653,0.68859315,-0.7373423,8.786479
t33,0.23635644,0.0070576244,-0.010036438,-0.039470993,-0.03977145,-0.011414463,0.032910146,-0.11529092,0.59846663,-0.7151565,8.944224
t34,0.22366859,0.011619376,0.023265474,-0.037605643,-0.05463655,-0.01301112,0.04753517,-0.11504457,0.6131305,-0.7329954,8.902596
t16,0.15781704,0.014638118,0.2809491,-0.011883125,-0.160673,-0.012837449,0.03887453,-0.116920546,0.22350267,-0.799141,8.955477
t40,0.15951614,0.0107672345,-0.041863557,-0.044481084,-0.0039935424,-0.015715258,0.058695186,-0.104191184,0.74149734,-0.61641806,7.488406
t41,0.17087303,0.010651876,-0.033455092,-0.045949973,0.01202805,-0.015682133,0.06462768,-0.10472643,0.7532856,-0.6215222,7.614216
t93,0.14596434,0.011233743,-0.0051813787,-0.033973448,-0.011699948,-0.018442525,0.070102744,-0.096424356,0.7034995,-0.6052116,7.082916
t94,0.14864528,0.011282831,-0.006225585,-0.033628847,-0.012937856,-0.01892624,0.06756994,-0.09658112,0.71703964,-0.60670805,7.1147995
t17,0.15357749,0.0036459349,0.017687999,-0.028321294,-0.018576944,-0.0142486375,0.05093733,-0.10381395,0.6869527,-0.639023,7.6091533
t44,0.1617964,0.0044659683,-0.023876265,-0.028804485,-0.04343991,-0.014702513,0.038228422,-0.106866956,0.54039866,-0.64973855,7.8581367
t45,0.15770884,0.004923279,-0.00716141,-0.026654534,-0.034684233,-0.0155600365,0.04461928,-0.10533414,0.6390392,-0.64955795,7.7431254
t26,0.14909835,0.0054785213,-0.020947384,-0.028532948,-0.029523134,-0.016563574,0.045995694,-0.103097446,0.68296355,-0.6287872,7.5256796
t8,3.9253573,0.050267003,-0.20483026,-0.041819893,-0.15826875,-0.030684445,0.5020516,-0.042658478,2.5383792,-0.33077314,0.014076985
t56,4.9581075,0.04520615,-0.22735816,-0.0402665,-0.14785567,-0.012534087,0.64224315,-0.04911445,1.620026,-0.34976423,0.04967149
t63,5.0155067,0.04617093,-0.23262136,-0.040729474,-0.15024056,-0.013379507,0.6439058,-0.049018897,1.6855217,-0.35162,0.05129712
t64,4.9405694,0.04734357,-0.228441,-0.040940356,-0.14914817,-0.01434649,0.64199483,-0.050109617,1.6738383,-0.35796374,0.0456942
t101,5.7812657,0.09383458,-0.47037065,-0.08440986,-0.16963342,-0.09772682,0.8895364,-0.047098525,6.438845,-0.37597144,0.009174518
t102,5.7929068,0.09390291,-0.47021407,-0.08443677,-0.16908696,-0.09782104,0.891578,-0.047137883,6.4484205,-0.37526393,0.009526931
t92,5.7901206,0.09403198,-0.47286764,-0.08517836,-0.17363602,-0.09862767,0.8902478,-0.04676339,6.490154,-0.3764826,0.009572973
t71,5.758252,0.09392508,-0.47505963,-0.08567594,-0.17571448,-0.098808475,0.8792825,-0.04547604,6.5180893,-0.3673824,0.011717724
