,0,1,2,3,4,5,6,7,8,9,10
t111,3.4093006,1.8105892,4.4565787,0.6805854,4.9995785,6.24042,5.549137,6.9232583,4.517915,5.9346075,5.0918202
t112,3.3208864,1.757435,4.366037,0.57080084,5.130437,6.311585,5.5736656,6.8122597,4.4929457,5.854712,5.0613537
t113,3.3670707,1.6783644,4.4703593,0.6040829,5.213327,6.250985,5.6849327,6.8857136,4.411829,5.8303595,5.0991683
t9,3.333485,1.6106926,4.371587,0.9201112,5.094938,6.2915096,5.68224,6.785832,4.449254,5.78257,4.9838753
t12,3.3816571,1.5373154,4.4350924,0.98326325,5.11617,6.2875996,5.774497,6.7737827,4.4346185,5.7437563,5.021051
t15,3.4856486,1.564484,4.557448,0.7096406,5.103047,6.2754273,5.826696,6.878992,4.4471073,5.81255,5.219086
t116,3.4164567,1.6727792,4.5013137,0.64200985,5.136986,6.223713,5.762776,6.7909765,4.4908667,5.8063464,5.262291
t117,3.389078,1.572544,4.434642,0.52848023,5.2308097,6.4171176,5.749927,6.8281198,4.4255404,5.7626166,5.08556
t7,3.3680148,1.6109854,4.3272443,1.0742437,5.1422853,6.2875314,5.749214,6.5940394,4.4932146,5.648645,4.872218
t6,3.3987322,1.6435313,4.5018067,0.5447693,5.098908,6.2699637,5.7404103,6.8457484,4.4850464,5.8724556,5.322547
t69,3.3287523,1.7741702,4.435554,0.80213714,5.149634,6.223076,5.64201,6.8725777,4.3952584,5.84605,5.05206
t70,3.3254008,1.8632423,4.481689,0.73820305,5.1159854,6.162707,5.56756,6.89956,4.4037857,5.9444146,5.161358
t99,3.0988348,1.7732513,4.279157,0.76555705,5.201421,6.4596653,5.447497,6.622962,4.3049192,5.9980197,5.2783
t100,3.2028623,1.714698,4.2822957,0.62389815,5.038065,6.3542233,5.5332665,6.6717877,4.4886746,5.9140654,5.352396
t95,3.2025247,1.7233263,4.2630415,0.5662167,5.058045,6.3537974,5.535046,6.6539326,4.5227036,5.889844,5.3320527
