,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
t1,13.290294,9.354264,7.7496185,4.09421,6.4880857,4.534942,6.4660563,4.618029,4.0030336,4.6053834,4.013574,5.862594,6.1763263,6.2695537,3.044628,4.7174835,7.1405272,5.3233013,4.1735706,5.242951,6.5029945,6.138083,4.0737996,6.2312403,4.7721744,5.8924775,6.836166,2.6748564,6.04585,6.24437,5.610451,3.7415862,3.7911274,4.6848383
t2,10.014763,3.5168095,4.5868573,8.242569,1.6531943,6.799822,6.4193497,1.359534,6.680302,5.5715876,0.5262647,4.990053,6.218216,4.180015,4.12423,6.9616284,7.456971,6.2118263,4.0342116,7.1506987,5.925891,6.3346252,5.995696,5.367836,5.7673306,5.3728957,5.079165,4.6729894,6.8214903,4.256419,3.7114816,5.185886,3.4408646,4.6376953
t3,10.01473,3.527295,4.589489,8.24387,1.6695971,6.789977,6.405504,1.3428923,6.652667,5.571233,0.5441674,4.99543,6.2244716,4.1795564,4.149346,6.9630146,7.4437823,6.2357807,4.0371585,7.139718,5.928402,6.3184724,5.9825153,5.3952065,5.7600718,5.3852654,5.086521,4.7015886,6.822199,4.2385597,3.7294834,5.170053,3.4399729,4.611385
t4,9.971169,3.5137882,4.574253,8.217581,1.7358525,6.8191566,6.425432,1.4070339,6.6693954,5.5166187,0.76743436,5.0019207,6.2315264,4.183518,4.1780095,6.9666095,7.415755,6.197746,4.085591,7.1562724,5.9839454,6.2638636,6.0167303,5.394373,5.817239,5.3532133,5.097016,4.674248,6.8374352,4.3104076,3.759939,5.2133102,3.4411252,4.6853113
t5,12.113716,4.903921,2.924649,4.5450373,4.7254066,5.8673005,6.3119154,4.840455,5.548089,4.1159997,3.707743,6.31274,6.534348,5.6229825,4.5592837,5.0454035,6.52011,6.2284603,4.6652546,5.2316976,6.2040987,4.9873447,5.601134,5.1682706,5.0812736,5.6403437,6.096735,4.5955625,6.0615196,5.3354707,4.6989775,4.4155087,2.7006395,2.9517832
t6,10.019786,3.5311937,4.5833945,8.237884,1.6653894,6.7865834,6.399765,1.3317919,6.6520033,5.5813193,0.52593505,5.000505,6.225654,4.178267,4.1421523,6.9582877,7.451933,6.238423,4.027411,7.1331973,5.9223948,6.3224964,5.984384,5.388446,5.752957,5.3842354,5.0858235,4.7027345,6.8143497,4.2292733,3.7306006,5.1648264,3.445435,4.608837
t7,9.943665,3.5287325,4.5771723,8.258357,1.7784181,6.7887487,6.376067,1.3744513,6.5690365,5.525765,0.84952164,5.024696,6.241573,4.180594,4.2479773,6.991869,7.38656,6.269096,4.098675,7.128053,5.991208,6.213101,6.009698,5.470116,5.8240542,5.3572345,5.090167,4.76691,6.843045,4.279546,3.819619,5.199385,3.4584396,4.5952992
t8,9.953452,3.5247962,4.5925503,8.271953,1.7609053,6.785464,6.393291,1.3548008,6.5863466,5.523395,0.82055706,5.0148454,6.242518,4.1830287,4.257353,6.9964857,7.3709865,6.2639155,4.1044054,7.1288176,5.989133,6.2345448,5.9899964,5.482447,5.8208156,5.3787546,5.09522,4.761344,6.855583,4.25881,3.8037858,5.1845503,3.448067,4.5988355
t9,9.974827,3.5135872,4.569832,8.210486,1.7310672,6.822953,6.428775,1.4095645,6.6768208,5.5209684,0.7655243,5.000364,6.2290497,4.1822295,4.167547,6.9626656,7.4251056,6.1917014,4.08088,7.1593537,5.9813447,6.2699575,6.0216355,5.384381,5.8166347,5.348327,5.096015,4.6669593,6.832562,4.312301,3.7528832,5.2140803,3.4432032,4.6919155
t10,9.978202,3.4815197,4.604153,8.247421,1.6966687,6.794343,6.4382544,1.4091629,6.6712933,5.5334363,0.7739664,4.973316,6.2117734,4.1929297,4.1494117,6.994929,7.39891,6.2103343,4.081843,7.1682396,5.950591,6.3020644,5.9922028,5.3963594,5.797369,5.377131,5.0621634,4.66369,6.8655844,4.3153,3.7198167,5.23257,3.4201207,4.664082
