,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
t1,5.004176,4.1847906,2.5221968,-0.39510292,5.3436112,4.681013,0.010053832,-0.057719983,0.070537925,-0.036300637,3.9163613,1.0752076,2.3706822,-0.077101886,-0.22046134,4.736846,0.024484744,6.650025,7.9484315,-0.32240778,-0.19489057,-0.008302294,0.05586796,4.7602506,0.64140254,-0.326441,-0.8898157,4.301678,7.646519,-0.38190854,3.9553864,-0.33835402,-0.044400815,0.024409179
t2,-0.23369785,-0.05754728,4.5889335,2.3769548,-0.18908407,-0.07974123,0.001902892,-0.1852382,0.081714734,-0.042105354,-0.5040548,-0.4298389,1.9295588,-0.45822617,-0.6019497,1.7982829,0.081145756,14.156485,13.326429,-1.167231,1.7672176,2.4624066,0.12219462,5.8852005,0.677993,-1.1312943,-0.7338836,-0.12951611,10.722829,-0.9540356,4.9515815,-0.79955935,0.41374224,0.14939934
t3,-0.17220286,-0.048211142,3.96428,2.0101638,-0.13605653,-0.045692135,0.048881058,-0.16737947,0.07488472,-0.03467698,-0.41408265,-0.36822814,1.5875617,-0.4031349,-0.5982549,1.8618627,0.07605717,12.82551,12.224141,-1.0545056,1.5325749,2.1441023,0.10681317,5.2658095,0.42491657,-0.99525803,-0.68739104,-0.09379688,9.712517,-0.85425675,4.2369018,-0.7076553,0.49414355,0.13585018
t4,-0.34322718,-0.026231764,6.05038,4.165486,-0.5752741,-0.0622529,1.3403925,-0.24885032,0.07726981,-0.03983434,-1.257248,-0.84784174,3.2062798,-0.8723499,-1.1957142,2.1429517,0.03458264,12.917006,15.845156,-1.5314605,5.534823,5.892373,0.18710604,8.266521,0.6045104,-0.98663044,-0.9789296,-0.27798268,9.739485,-0.9750212,3.4148414,-0.7540833,2.7314043,0.22186671
t5,0.04142481,0.60387385,1.0952802,-0.08284606,0.8707638,0.71409625,0.009678457,-0.032334454,0.031517915,-0.026823265,1.5817235,0.750926,0.7742951,0.8911308,1.297702,1.0121534,0.16255152,4.0937166,1.7044405,-0.04989262,-0.06981489,-0.052456383,0.021144861,-0.07832236,2.0360608,-0.37659806,-0.26682207,1.4841757,3.3326297,-0.26658872,2.1897254,-0.22638187,-0.051221173,0.016571913
t6,-0.17309998,-0.044779904,3.8816962,1.8822037,-0.14584754,-0.044102028,0.13725726,-0.16879919,0.07541148,-0.03481761,-0.41181988,-0.36739048,1.4851562,-0.40780148,-0.56054336,1.8409463,0.07220413,12.567015,11.97988,-1.0298017,1.5691583,2.06834,0.10620216,5.211043,0.34359947,-0.9583854,-0.69505703,-0.09557412,9.439224,-0.8373176,4.098691,-0.69935805,0.50721395,0.13334379
t7,-0.21290669,-0.05128232,3.868909,2.3255875,-0.34253156,-0.03140356,1.8940524,-0.19370714,0.06309883,-0.032319378,-0.7481526,-0.53333056,1.9622889,-0.5431338,-0.94146687,2.4181828,0.02162012,10.758877,12.306082,-1.1071784,3.6967678,3.1214886,0.13997373,5.375087,-0.0039726975,-0.7418474,-0.7998152,-0.16055828,7.6073055,-0.8113308,2.3016307,-0.6078263,1.9566249,0.16077343
t8,-0.21051174,-0.05443263,3.8036458,2.3711693,-0.34758765,-0.028291278,1.8985509,-0.1971352,0.062560864,-0.033988275,-0.75337285,-0.5269142,1.9978164,-0.53825593,-0.94418824,2.4518633,0.019130887,10.850548,12.345441,-1.1187044,3.7188766,3.1474788,0.1382368,5.3126097,-0.008197162,-0.7480814,-0.7965389,-0.1633474,7.687114,-0.81066537,2.3677354,-0.61230487,1.9003582,0.16014859
t9,-0.40603167,-0.01724081,6.706886,4.4919,-0.6468673,-0.08424207,1.3299628,-0.26438177,0.08061816,-0.041218836,-1.405334,-0.9467941,3.493903,-0.96858937,-1.2805449,2.0453506,0.039187092,13.023453,16.658026,-1.6213942,6.0817456,6.6072283,0.1987641,8.966125,0.7220655,-1.0039498,-1.0286809,-0.31153166,10.003924,-1.0007783,3.6581793,-0.78538984,3.1202524,0.239112
t10,-0.41842487,-0.011941663,6.9069023,4.789004,-0.66609794,-0.10152123,1.3868994,-0.26485652,0.08158799,-0.0381253,-1.4427732,-0.993517,3.6748133,-1.0042982,-1.2903444,1.9589194,0.036517404,12.573239,16.554466,-1.6255296,6.2861714,6.6599374,0.19991933,8.999159,0.59963506,-0.9721954,-1.0506655,-0.31906277,9.737991,-0.9766962,3.529139,-0.7806068,3.5274427,0.24168196
