,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
t4,-0.097713016,-0.06892051,0.09353101,13.490487,-0.09029319,-0.09207579,7.3315253,3.408744,-0.6413517,13.563296,-0.06133287,1.8596579,13.558348,-0.23114696,-1.2163761,-0.040227853,-0.11238783,-0.5289561,10.252429,-0.087011665,1.4029759,-0.019352684,-0.013698598,7.096401,14.108877,0.21810429,-0.34523308,11.055704,0.00035707979,16.871199,-0.10285137,6.801732
t5,-0.09728328,-0.06264405,0.08719555,13.022849,-0.08813296,-0.12058237,7.116645,3.247996,-0.6257891,13.225861,-0.06867282,1.7863245,13.328882,-0.23051205,-1.158635,-0.039410803,-0.10826015,-0.50758445,10.131136,-0.08593338,1.8199282,-0.021710448,-0.014872298,6.7000155,13.70667,0.2107382,-0.32697666,10.68188,0.0002893566,16.040745,-0.09887678,6.438912
t11,-0.091110446,-0.053013355,0.08128839,12.43088,-0.09386997,-0.17009798,6.7231784,3.098775,-0.60487074,12.806761,-0.08252754,1.5867406,12.996433,-0.23764691,-1.0879989,-0.03746027,-0.10131051,-0.49126038,9.98021,-0.081384815,2.3504512,-0.02456013,-0.017357562,6.2271047,13.230223,0.19607939,-0.30420303,10.190072,0.0005973065,15.035208,-0.0933539,5.9051013
t12,-0.09460168,-0.059877243,0.08593215,12.953737,-0.08480598,-0.14173523,6.9779277,3.2327766,-0.6168732,13.170412,-0.07132306,1.7092574,13.251363,-0.2378628,-1.1495088,-0.038682546,-0.10638671,-0.50727093,10.151661,-0.08200403,1.9031762,-0.021488002,-0.0155223925,6.6257644,13.647793,0.20482197,-0.32369214,10.619663,0.00021364295,15.860334,-0.09720073,6.3475876
t2,-0.072874434,-0.031294707,0.058442935,10.439867,-0.12310669,-0.25890687,5.6207266,2.6338162,-0.54012805,11.396597,-0.1217677,1.3328625,11.980279,-0.26680148,-0.84330356,-0.031886164,-0.08161125,-0.45442048,9.234237,-0.08615981,4.2802887,-0.037515186,-0.024288693,4.539237,11.184046,0.15058026,-0.21971762,8.589938,0.39847672,11.692637,-0.07742587,4.097815
t6,-0.11546542,-0.08742522,0.10796176,15.373348,-0.04607348,-0.014186426,8.282609,3.947064,-0.67972356,14.554655,-0.017626217,2.34681,14.475242,-0.22799589,-1.4361627,-0.045292262,-0.12679309,-0.5590118,10.824651,-0.10165093,0.030764705,-0.009842202,-0.0035005633,8.621655,15.475402,0.24760051,-0.42023763,12.414909,0.0016684562,19.417412,-0.11696166,8.13695
t7,-0.08857361,-0.0484887,0.07710494,11.91842,-0.10255383,-0.18954676,6.497078,2.959718,-0.5904097,12.37549,-0.090932794,1.5094206,12.703249,-0.22628967,-1.0272046,-0.035971712,-0.09601099,-0.4737997,9.752637,-0.08059174,2.6928718,-0.026944403,-0.018846951,5.846217,12.756888,0.18764223,-0.28577933,9.777739,0.031288754,14.192661,-0.09007971,5.4697375
t9,-0.08149094,-0.039314467,0.06655861,11.095059,-0.11130812,-0.23133495,6.056557,2.7915425,-0.5725724,11.817753,-0.10693845,1.3247821,12.306209,-0.23473538,-0.93166304,-0.034082677,-0.08819609,-0.45771027,9.514711,-0.08254407,3.467241,-0.032026038,-0.02090722,5.1973276,12.028945,0.17387103,-0.25399572,9.169236,0.21649796,12.936633,-0.08418033,4.762219
t10,-0.08452479,-0.04286447,0.07001979,11.36612,-0.1071366,-0.22045234,6.201556,2.8772774,-0.5788784,12.002804,-0.100996,1.3790905,12.432795,-0.23034078,-0.9628266,-0.034844097,-0.09104872,-0.46281672,9.5987625,-0.08059735,3.200518,-0.030388912,-0.019920366,5.4649205,12.318767,0.17984253,-0.26610294,9.38712,0.14343366,13.413573,-0.08623563,5.0301538
t8,-0.09082037,-0.05402493,0.07806393,12.161127,-0.0994292,-0.17507987,6.6492,3.0549178,-0.6055829,12.572761,-0.08496405,1.517752,12.871967,-0.23466009,-1.0601736,-0.0370311,-0.09964443,-0.4867078,9.876993,-0.08178199,2.497359,-0.0258402,-0.017230311,6.0939507,13.046463,0.19716851,-0.2973304,10.045012,0.08289582,14.763479,-0.092795275,5.703131
t3,-0.09532743,-0.061818548,0.085061096,12.9198675,-0.07332857,-0.1453945,6.956972,3.308897,-0.61688256,13.117545,-0.069944605,1.7725068,13.254437,-0.2208322,-1.1528695,-0.038653873,-0.10567094,-0.5056,10.064294,-0.08214998,1.9372268,-0.024253981,-0.013756124,6.684913,13.585315,0.20901082,-0.32496348,10.607185,0.015604665,15.906187,-0.098709784,6.2730613
