"","V_1","V_2","V_3","V_4","V_5","V_6","V_7","V_8","V_9","V_10","V_11","V_12","V_13","V_14","V_15","V_16","V_17","V_18","V_19","V_20","V_21","V_22","V_23","V_24","V_25","V_26","V_27","V_28","V_29","V_30","V_31","V_32","V_33","V_34","V_35","V_36","V_37","V_38","V_39","V_40","V_41","V_42","V_43","V_44","V_45","V_46","V_47","V_48","V_49","V_50","V_51","V_52","V_53","V_54","V_55","V_56","V_57","V_58","V_59","V_60","V_61","V_62","V_63","V_64","V_65","V_66","V_67","V_68","V_69","V_70","V_71","V_72","V_73","V_74","V_75","V_76","V_77","V_78","V_79","V_80","V_81","V_82","V_83","V_84","V_85","V_86","V_87","V_88","V_89","V_90","V_91","V_92","V_93","V_94","V_95","V_96","V_97","V_98","V_99","V_100","V_101","V_102","V_103","V_104","V_105","V_106","V_107","V_108","V_109","V_110","V_111","V_112","V_113","V_114","V_115","V_116"
"t1",-0.103170984322577,-0.012757360763395,3.09217799674546e-05,-0.0054784501609192,-0.00955840190693888,0.0124884383375595,-0.00180741858863279,0.025574699051794,-0.00624454494150247,0.000892296194970361,-0.0160758527518385,0.00329434900855714,-0.00124277491217851,0.00223642890077215,-0.0222639895751207,0.113945353690831,-0.020006764672594,0.000990450980739718,-1.82132274383464e-05,0.000713542037306874,-0.013353864201747,0.000544195524455799,-0.0361053922656413,0.0186793065451622,-0.014138283794343,0.00659197978554743,-0.103646297340537,8.57325921681766e-11,0.000328860494183862,-0.00445884958242052,0.0182557737700009,-0.0365912486848621,0.277187273586417,-0.0137588925895968,-0.00928233262255517,0.66450097698143,-0.0386154522867429,0.409345535897986,-0.195639216601986,-0.0969284750454629,0.0126566766848783,0.0011851053630483,0.00425462671503497,-0.34206442067488,-0.0066999781700432,0.0204815019458264,-0.00547199385753156,-2.76325628007024e-16,-0.000469876304508874,0.00155706081764013,0.00239604983538774,-8.82460533442491e-06,-0.00475522954832087,-0.000415473595204444,-0.000924336456928096,0.00045192120356445,0.0151331825514561,-1.83521212615364e-12,-9.51532713707487e-16,-1.7091469563892e-05,-9.07275151017497e-13,-0.00991450300779548,0.000144494539411058,0.0444654497750687,-0.0327227856974241,-0.000251181458719976,0.306433758160104,2.24116997460937e-07,8.10461076391394e-06,8.76222367285568e-08,3.47484637228903e-16,0.0239740023303414,-2.30834508479276e-06,-0.00145475524653157,4.75311954712786e-06,-2.24740702856726e-17,6.04227018846379e-05,6.91553194704081e-05,0.00166155256813816,-1.63193946727938e-05,-0.00593570005573768,2.55328916427603e-06,8.98312997277834e-06,0.000251979031639391,6.59120388928798e-17,2.4175557756376e-17,0.00191092894807588,-0.000308893585542917,0.00010486360783319,4.26593547850772e-17,1.06193382613336e-16,1.2390790236026e-05,2.67172917070153e-06,5.16639234319596e-18,8.53456972416516e-07,2.47715890907283e-17,-0.00027070991929934,4.01094921058394e-17,1.44294581186943e-17,4.84416386847962e-18,5.32888373224413e-05,4.65934127640362e-17,-6.09994059820413e-18,-9.5693038761729e-07,-1.20310032136444e-17,-5.37034775298382e-16,0.000904113351422647,-4.09386473922218e-17,3.22675278343739e-18,1.82366656573011e-17,2.15548040039722e-16,2.20056826579607e-17,-0.000157315888952609,3.28286758977318e-18,-5.44742812554905e-17,-1.48113657965943e-17
"t109",-0.135859926582121,-0.0314658032214833,0.00019827299291165,-0.273566314904543,0.0522693029355458,-0.0780064216773474,0.00360661981212597,-0.162064924142485,0.00156538439687965,-0.000230513251661608,0.00546338176620233,-0.000826918169937784,0.000301098716266453,-0.000517445671671278,0.00463146046292771,-0.0174480937007695,0.00249901615811688,-6.26818117514237e-05,1.38861346901362e-06,-4.08929434921597e-05,0.000664834522321103,-2.41503109924583e-05,-0.000106378215756826,0.00016262721709356,-0.460476018609464,-0.000776287986371348,0.0115095789490564,-7.96688580452952e-12,-2.55360941276392e-05,0.000315451120497326,-0.0012207262488215,0.00265514454659208,-0.0228983954647852,0.00116330715086314,0.000877919412234704,-0.019669097901903,0.0011863932643816,-0.0112682789165388,0.00448485448185335,0.00188291587286687,-0.000199609906809181,-3.79497592508445e-05,-3.72075264158502e-05,0.00304953822208831,5.5307590685485e-05,-0.000196167958524705,2.43189977777118e-05,2.66551069459204e-16,8.84575512376728e-07,-8.83844810317756e-07,2.01623661898827e-05,-4.95483818547191e-08,-3.15568917798707e-05,-2.95125428852311e-06,-6.77597679374549e-06,4.50919372434097e-06,0.000300235289569708,-3.99855676363482e-14,-3.79200389913326e-16,-3.33092148433251e-07,-2.62309985206531e-14,-0.000240167508890707,4.15529774670356e-06,0.00139909185258688,-0.00112201101874596,-9.23853912215876e-06,0.0119814750170729,1.13467518973214e-08,4.72418096640273e-07,5.64169476812685e-09,3.98303205685153e-16,-0.00235754735631128,-6.77636542825253e-08,-0.0551312955103225,1.92354870553614e-07,5.53514058446417e-15,8.10450917056904e-06,1.18240306123386e-05,0.381124723365601,9.73966944285207e-07,0.00154825693094969,-3.63625594864923e-08,-8.14512416992482e-08,-0.000487580979531786,6.34247530225358e-16,-4.75414493866107e-16,6.41939450560572e-06,-1.33897297551157e-06,7.87580132990764e-07,-4.18541421087845e-16,-1.02871933136331e-15,1.24128069577411e-07,2.7968220331049e-08,-1.46285703342929e-17,1.59054730056279e-08,6.55979371216023e-15,-8.63555163217776e-06,8.71220608211503e-16,1.01495384750956e-15,1.55362273295577e-15,1.2915721100673e-06,-5.65758793639341e-17,1.13351074941693e-16,-2.54973378965404e-08,5.1979068207632e-15,0.707106781186547,2.50161029981903e-05,5.76402973530776e-15,2.84791783525685e-15,2.04279217630992e-16,1.39482484420159e-15,1.59625198593101e-16,-7.06428111215642e-06,2.16966760901422e-16,5.53267171836666e-17,-2.33627571139126e-16
"t110",-0.135859926582121,-0.0314658032214837,0.000198272992911504,-0.273566314904544,0.0522693029355461,-0.0780064216773478,0.00360661981212596,-0.162064924142486,0.00156538439687955,-0.000230513251661746,0.00546338176620247,-0.000826918169937693,0.000301098716266479,-0.000517445671671291,0.00463146046292768,-0.0174480937007698,0.00249901615811729,-6.26818117514357e-05,1.38861346908997e-06,-4.08929434919508e-05,0.000664834522321053,-2.41503109925088e-05,-0.000106378215756614,0.000162627217093566,-0.460476018609465,-0.000776287986371365,0.0115095789490566,-7.96686559084137e-12,-2.55360941279189e-05,0.000315451120496977,-0.00122072624882155,0.00265514454659213,-0.0228983954647864,0.00116330715086336,0.000877919412235123,-0.0196690979019035,0.0011863932643818,-0.0112682789165391,0.0044848544818534,0.00188291587286697,-0.000199609906808907,-3.79497592508657e-05,-3.72075264157613e-05,0.00304953822208881,5.53075906856212e-05,-0.000196167958524654,2.43189977776762e-05,4.24165633367122e-16,8.84575512258753e-07,-8.83844810432844e-07,2.01623661899737e-05,-4.95483820599137e-08,-3.15568917798599e-05,-2.95125428820203e-06,-6.77597679444553e-06,4.50919372466909e-06,0.000300235289570103,-3.95074954300594e-14,-3.02349782713984e-16,-3.33092147923268e-07,-2.65490908240692e-14,-0.000240167508890608,4.15529774681993e-06,0.00139909185258695,-0.00112201101874587,-9.23853912230477e-06,0.0119814750170724,1.13467517045728e-08,4.72418096733163e-07,5.64169491880189e-09,4.67123681040728e-16,-0.00235754735631134,-6.77636544651298e-08,-0.0551312955103222,1.92354870882184e-07,5.62809219278518e-15,8.10450917143823e-06,1.18240306124911e-05,0.381124723365601,9.73966944430463e-07,0.00154825693094989,-3.63625590293335e-08,-8.14512416025634e-08,-0.000487580979532896,9.11450208761544e-16,-4.65358885850214e-16,6.41939450603295e-06,-1.33897297515067e-06,7.87580133335735e-07,-6.49401944817208e-16,3.73190569473394e-16,1.24128068665389e-07,2.79682204169479e-08,-8.24208658247929e-17,1.5905473947404e-08,-6.66302188633022e-15,-8.63555162905011e-06,-8.2518249957093e-16,-9.06274981174551e-16,-1.51895579157363e-15,1.2915721141962e-06,-3.99441191703952e-17,-1.50533988136072e-16,-2.5497347098456e-08,-5.02548195587497e-15,-0.707106781186547,2.50161030240979e-05,-5.85926148923925e-15,-2.78001630314802e-15,-3.57522414027095e-16,-1.67210015158313e-15,-2.59059706481925e-16,-7.06428111219504e-06,-3.08764466618248e-17,-1.00698262520146e-16,1.70709765106822e-16
"t69",-0.135467541502613,-0.0312403418985677,0.000196249413358984,-0.269737222867215,0.0513766776871025,-0.0766634382854111,0.00354037792650375,-0.158037846467265,0.00151281813620761,-0.000222622869141346,0.0052624533614947,-0.000795360996093425,0.000288433694349803,-0.000494486261563194,0.00440370250670222,-0.0162543937921781,0.0023084553519206,-5.7766384008095e-05,1.26007514388705e-06,-3.70575195629058e-05,0.000600058613771291,-2.17394519192438e-05,-9.42757927380536e-05,0.000143961184126483,-0.400569182851888,-0.000660757289968837,0.0097372213632869,-6.67979461107536e-12,-2.13295195037198e-05,0.000261173684834819,-0.000998577040453579,0.00216030686390649,-0.0185453200436363,0.00094186163806337,0.00070998642190014,-0.0153306696680149,0.000918727931644662,-0.00870145421034382,0.0033654489564407,0.00137988206494814,-0.000145642067123941,-2.68746748463701e-05,-2.61064500954402e-05,0.00213872762781271,3.86118954400446e-05,-0.000135340644026713,1.57300520181377e-05,1.44176178920472e-16,5.52287152986872e-07,-5.4094547804345e-07,1.18110356511176e-05,-2.70487622214843e-08,-1.68394189147953e-05,-1.55790031977914e-06,-3.55775747661361e-06,2.21364941862382e-06,0.000137195698623508,-1.73290088754625e-14,-1.54549762609066e-16,-1.18360767700506e-07,-8.66553560951531e-15,-6.95063927115512e-05,9.6793009632438e-07,0.000284297703496812,-0.000196893163885114,-1.42006980892737e-06,0.00162421389458287,7.89987291379335e-10,1.97027593426832e-08,1.42966855416591e-10,-7.03486631590169e-16,0.000132056632566009,4.29908297162506e-08,0.0433756859165517,-2.37697552668176e-07,-1.15820623052581e-14,-1.47184821754555e-05,-2.23803608679604e-05,-0.838032064598397,-3.17923737475587e-06,-0.00779189224916419,1.98640236657225e-07,7.81431434342122e-07,0.00822069910205158,-4.85871615462853e-16,1.10010572593052e-15,0.000132013901118892,-2.09766793468815e-05,6.74957366130036e-06,1.18462434499434e-15,4.90970963592623e-16,7.67382946486062e-07,1.64399507484899e-07,2.0713401904971e-16,4.83066879493989e-08,1.53234713859103e-16,-2.31873651882055e-05,1.38468093249742e-16,-1.59325075804587e-16,2.12577869725478e-16,2.97334144255613e-06,2.44558546406607e-16,3.84764666109348e-17,-5.36148936074411e-08,-1.82952890910013e-16,8.15751414934591e-16,5.08277839534551e-05,-4.19844195059834e-17,-1.1698499551952e-16,3.0284303586309e-16,-5.72593985314757e-16,1.7359865154223e-16,-1.30607413759073e-05,-1.62557756786692e-16,-1.24713931015044e-16,-1.09163681663272e-17
"t72",-0.136379102376662,-0.0317811093726839,0.000201219091831479,-0.279433896972051,0.0536965821938286,-0.0801579772977659,0.00371447012405497,-0.169263872049665,0.00167280951528993,-0.000246806165593649,0.00589577397416177,-0.000896400378694033,0.000330893133600558,-0.000573689932819872,0.00524064026203441,-0.022293229573533,0.00345878885111568,-8.91469877365575e-05,2.60344857509635e-06,-7.95641170005098e-05,0.00147685911801717,-6.00213427002136e-05,0.00436088740495168,-0.00230182889855547,0.304925165770361,-4.26785381688133e-05,0.00155618851742392,-1.75271506591771e-12,-6.35023562663088e-06,9.49779697436309e-05,-0.000430666398198119,0.000984302640413077,-0.00879600785131903,0.000447864115895286,0.000340691175608532,-0.00891433534247001,0.000545894677429514,-0.00521554128786945,0.00216662990897716,0.000927623237960799,-9.85918808287739e-05,-1.89567788372291e-05,-1.86183596149248e-05,0.00152606839514652,2.76939787731633e-05,-9.83143208541856e-05,1.21006743191215e-05,2.39680323238623e-16,4.35943568863307e-07,-4.32741025640669e-07,9.71001334762358e-06,-2.31385323694057e-08,-1.45799263532929e-05,-1.35649010964269e-06,-3.10640002632316e-06,1.9992395442934e-06,0.000128275320782597,-1.65442049828575e-14,4.84359207618165e-16,-1.24486597721727e-07,-9.26208115639691e-15,-8.05652766003506e-05,1.24913023843869e-06,0.000393826169739771,-0.000295267643425998,-2.29496587989586e-06,0.00282607606651347,2.13631917899779e-09,7.89287742165895e-08,8.706514878879e-10,2.29289647194658e-16,-0.000204978852664288,7.4972496712099e-08,0.194198560156266,1.96308822497655e-07,-2.63194996660349e-14,2.15376222346197e-06,2.56980544465744e-06,0.022858241665995,-2.64056470583478e-07,-0.000643290012006535,1.36856733079727e-08,-2.06621887551889e-07,-0.850744426987115,-1.19193297753014e-13,-5.93669948681846e-15,9.00919755530789e-05,-1.3818680914648e-05,4.17074732253999e-06,9.31160423460653e-15,2.61655557766463e-15,4.66168968796219e-07,9.97622077476236e-08,-4.36520878168409e-16,3.03122869288971e-08,4.8917170526854e-17,-1.48014148230319e-05,3.83337160753863e-17,2.16075717281956e-16,-8.43659020248448e-16,1.94948155689268e-06,2.68223023660999e-16,-8.70412011019133e-17,-3.58173240348596e-08,1.86208450420092e-16,6.39232506232644e-16,3.421850056777e-05,1.86954486207298e-16,-4.79517400087019e-17,5.472738273016e-17,7.99059123453018e-16,3.70652393125905e-16,-8.99853689798511e-06,1.26634987926964e-18,1.19578232693099e-16,-3.4464030292168e-16
"t121",-0.136775940428574,-0.032011397057367,0.000203301436612825,-0.283413020381368,0.0546320412263249,-0.0815659557508122,0.00378414559678007,-0.173584166840267,0.00173096195216104,-0.000255556938347253,0.00612088807855454,-0.000931960315283652,0.000345412110727546,-0.00060029908583192,0.00551121774630443,-0.0239230406698172,0.00374269103445671,-9.66872059677808e-05,2.86686093718098e-06,-8.7730363431446e-05,0.00163486752244358,-6.66159158047379e-05,0.00491428445760726,-0.00259681275714431,0.34988364208152,-5.00116972021744e-05,0.0018342944818896,-2.08383944181582e-12,-7.57749032868248e-06,0.000114294494049804,-0.000524254143978562,0.00120435724265608,-0.0108096971941477,0.000550559245841358,0.000419267810896914,-0.0113598968238181,0.000699915481558981,-0.00670480489974344,0.00286095538567484,0.00125214383218426,-0.000133625297105468,-2.64098822069015e-05,-2.61593314075984e-05,0.00214505463601478,3.90900479222646e-05,-0.000140277345661027,1.83021527309008e-05,-6.88254845641185e-16,6.80479925506535e-07,-6.87497725140917e-07,1.60309881665583e-05,-4.0599953584835e-08,-2.60837267636038e-05,-2.44916065309035e-06,-5.63415166969299e-06,3.83604115330354e-06,0.000261037369304272,-3.52143935509261e-14,5.16243857811687e-16,-3.08269751936374e-07,-2.50468348077594e-14,-0.000231396926086812,4.14699487312633e-06,0.00142306571335651,-0.00116203404008822,-9.70745023687095e-06,0.012744934528126,1.26425616440981e-08,5.373326851659e-07,6.49694121803039e-09,-1.51466625413337e-16,-0.00289872621714859,-2.16329909845185e-07,-0.433706808008145,-2.69859759096326e-07,8.54653006158636e-15,-2.04595298169585e-06,-2.35126910657143e-06,-0.0183192594868681,1.5320473301126e-07,0.00027407196480184,-5.52995597328143e-09,6.09344372399788e-08,0.198948573530799,2.69732773766868e-14,1.71709966370013e-15,-8.14983253918044e-06,9.75997615607755e-07,-9.90377417625827e-09,-2.03776831900635e-15,-3.27794589977899e-16,2.56383878998021e-08,6.54124969637721e-09,2.65714393949142e-16,7.93580568960217e-09,-5.90408171116684e-16,-4.64039691725295e-06,-2.40585273175329e-17,1.9712556661937e-16,5.3859824102075e-16,7.5375433917265e-07,5.75229024949876e-17,-3.36334991494011e-16,-1.55645606677109e-08,-1.3241518765263e-16,1.31110844703403e-15,1.55257149801059e-05,-1.17184731736718e-15,-1.69437526861724e-15,3.72570332820758e-14,-0.707106781186548,1.61454276246224e-15,-4.58410937075976e-06,-5.06782788449788e-17,1.8994094014888e-16,2.10127773064307e-16
"t122",-0.136775940428574,-0.032011397057367,0.000203301436612763,-0.283413020381367,0.0546320412263246,-0.081565955750812,0.00378414559678005,-0.173584166840267,0.00173096195216126,-0.000255556938347216,0.00612088807855499,-0.000931960315283815,0.00034541211072789,-0.000600299085832062,0.00551121774630464,-0.0239230406698175,0.00374269103445696,-9.66872059674395e-05,2.86686093714418e-06,-8.77303634316828e-05,0.00163486752244375,-6.66159158047486e-05,0.0049142844576069,-0.00259681275714464,0.34988364208152,-5.00116972022204e-05,0.00183429448188949,-2.0842013650523e-12,-7.57749032871089e-06,0.000114294494049888,-0.00052425414397852,0.00120435724265596,-0.010809697194147,0.000550559245841008,0.000419267810897022,-0.0113598968238182,0.000699915481559236,-0.00670480489974282,0.00286095538567493,0.00125214383218463,-0.00013362529710498,-2.64098822064539e-05,-2.61593314077081e-05,0.00214505463601541,3.90900479222394e-05,-0.000140277345661403,1.83021527308839e-05,-1.91022588233604e-16,6.8047992551136e-07,-6.87497724813054e-07,1.60309881664959e-05,-4.05999539228791e-08,-2.60837267641026e-05,-2.44916065298746e-06,-5.6341516691883e-06,3.83604115323155e-06,0.000261037369303989,-3.51869289501265e-14,-1.45632161273751e-16,-3.08269751989898e-07,-2.53983200499041e-14,-0.000231396926086536,4.14699487275946e-06,0.0014230657133562,-0.0011620340400877,-9.70745023718859e-06,0.0127449345281248,1.2642561561792e-08,5.37332685082929e-07,6.49694116116773e-09,-6.77220167769389e-16,-0.0028987262171486,-2.16329909833925e-07,-0.433706808008145,-2.6985975891237e-07,8.60043477023199e-15,-2.04595298229502e-06,-2.35126910641561e-06,-0.0183192594868682,1.53204733172063e-07,0.000274071964801599,-5.52995563845587e-09,6.09344375400335e-08,0.198948573530801,2.75388899708105e-14,1.19349087392974e-15,-8.14983253872052e-06,9.75997615463989e-07,-9.90377454801765e-09,-1.45669300143459e-15,-1.10212805386215e-15,2.56383875376913e-08,6.54124975283725e-09,6.88619085781804e-17,7.93580579601407e-09,6.58570643902707e-16,-4.64039691467036e-06,-3.03513801977478e-17,-2.4583066429248e-16,-1.5746940092534e-16,7.53754340942837e-07,-1.1212345101761e-17,2.6196205753028e-16,-1.55645629838559e-08,-1.83274132876689e-16,-2.03215557698289e-15,1.55257149810182e-05,1.04912427347497e-15,1.89681149467724e-15,-3.71000624010105e-14,0.707106781186547,-1.89212237369244e-15,-4.58410937632112e-06,8.47754494974035e-17,-4.07092258518175e-16,-6.92332431159592e-17
"t64",-0.136141396373866,-0.0316430380079746,0.000199969770182953,-0.277044606053145,0.0531345011153414,-0.0793119519141166,0.00367259302587275,-0.166663558112737,0.00163774159197394,-0.000241528398317056,0.0057599274034334,-0.000874934997406769,0.000322121420512422,-0.00055760575475091,0.00507691472759897,-0.021302871810109,0.00328597849851396,-8.45551029961056e-05,2.44253585441886e-06,-7.45741982347195e-05,0.00138023224736467,-5.59864438535164e-05,0.00402125322603687,-0.00212074947669305,0.277233866979676,-3.81431979883298e-05,0.00138399285878968,-1.54740498616678e-12,-5.58855597193483e-06,8.29700675931012e-05,-0.00037236150195169,0.000847076769045701,-0.00753923993382999,0.00038376724743221,0.000291637788958709,-0.00737775142678559,0.000449013401654888,-0.004278322998433,0.00172757233014926,0.000721615024631556,-7.63366197875674e-05,-1.41996151200743e-05,-1.37981656758678e-05,0.00113038434502852,2.0403939446436e-05,-7.14218758759606e-05,8.08826644020221e-06,-6.24738743494664e-17,2.76935932291421e-07,-2.66634129391426e-07,5.56449861822787e-06,-1.15846064727844e-08,-6.94719153624106e-06,-6.30577827182097e-07,-1.42603877060468e-06,7.68860244910736e-07,3.86671566476593e-05,-3.42771179199762e-15,-4.90285323132161e-16,2.41853252274052e-09,1.98323279925376e-15,2.51449954249139e-05,-8.07928086106577e-07,-0.000341722508108946,0.000328078578263391,3.06226159641095e-06,-0.00437225455377266,-5.60384406152743e-09,-2.60950406632313e-07,-3.31657318024643e-09,5.86236922809058e-17,0.00183760425002601,3.28029725017235e-07,0.760133235548428,6.66045156101335e-07,8.98851052473002e-15,7.08106562367366e-06,8.46541740289277e-06,0.0765981170442183,-1.02358643489264e-06,-0.00432196750941952,1.17208862722478e-07,6.93474813978264e-07,0.443849183397286,6.35911567945566e-14,2.60441699956693e-15,7.69014778058122e-05,-1.27786377078556e-05,4.56562410656739e-06,-5.70945026016402e-15,-1.35288881587631e-15,5.4997542716573e-07,1.18874285867453e-07,-9.384580544268e-18,3.89723111524549e-08,-2.85204158599288e-16,-1.90397442879646e-05,1.29100196701676e-16,-2.49550741923756e-17,2.58187204101177e-16,2.4905475140312e-06,-1.70495795080791e-16,4.1619657321528e-17,-4.53789386879924e-08,7.85902608967601e-17,-6.81474918596755e-17,4.31781191629723e-05,-1.87125753014306e-16,-9.08593198372955e-17,-1.38122372216087e-16,-5.13151072485559e-16,-8.64676418178437e-17,-1.11986911552333e-05,3.707279245549e-17,-7.43281933222452e-17,5.46846762721784e-17
"t26",-0.125173314973847,-0.0244871514178492,0.000128329787242643,-0.116512280732837,0.00838830346256762,-0.0113622631562104,3.45167722810985e-05,0.324803540738488,0.00648207633784334,-0.000863302378690194,0.0154253465212096,-0.00209260390162713,0.00060711852647324,-0.000941460669999367,0.00705003364262313,-0.0133880609581075,0.00118357754035861,-2.41552162587497e-05,-5.23885982060315e-07,1.92866276089716e-05,-0.000537306212384819,2.65490132343386e-05,-0.00353597391290657,0.00189730600274091,-0.00621474529496178,0.00174885251119986,-0.0349231755149005,3.58992031697772e-11,0.000136197738258597,-0.002508140745856,0.0187541943253189,-0.0607189233346884,0.832718523941093,-0.0439827329342005,-0.0386935485210744,-0.310240749369923,0.0160582999022591,-0.144200633894309,0.0394258807487243,0.0138882759997321,-0.00143526002834237,-0.000237968282534328,-0.000225778610940815,0.0184769451124172,0.000330149486817583,-0.0011304179471777,0.000122401901898252,4.61609400510743e-16,4.24036403927718e-06,-4.14253945270544e-06,9.07686650209753e-05,-2.13010011886013e-07,-0.000134134045132525,-1.24829948234867e-05,-2.85939203631777e-05,1.85771002069079e-05,0.00121579422944678,-1.59995790324735e-13,-7.11583830683197e-16,-1.32401727016399e-06,-1.06618005249037e-13,-0.000968227406527373,1.73072644346124e-05,0.00598857711970391,-0.00496730731516182,-4.22954866277649e-05,0.0567428238321019,6.51478427694673e-08,3.11238659696203e-06,4.14430307842097e-08,-8.12578558049401e-16,-0.15846349071034,-4.30784139014116e-08,-0.00139515574252933,2.05590671368754e-07,-8.33827048733947e-17,3.53723419185252e-06,4.18404692428077e-06,0.00155632567500559,-1.66582379742692e-06,-0.0736953396568857,-7.84773454026165e-07,7.54686472547535e-09,5.67607360991797e-05,-8.10917577280034e-17,-1.31694132896299e-16,8.52982536201576e-05,-1.44365038069459e-05,5.57512779811092e-06,1.08584145421445e-17,1.00566082222283e-16,7.18363008393187e-07,1.57167882437495e-07,-2.21031678966726e-17,6.3302836702062e-08,-1.35136094066146e-17,-3.2455285699276e-05,1.42543459057548e-17,6.82380648457154e-20,-5.45207950434523e-17,4.52619805338096e-06,3.5522937794667e-17,1.63407303323806e-17,-8.57571314658673e-08,-2.43579657512376e-17,-8.25552482895968e-16,8.28263864302089e-05,-1.22401155585421e-16,-8.43201845532226e-17,-1.6159229660818e-16,-7.3320389408569e-16,5.85651893028803e-17,-2.23780395483693e-05,-2.76033599169638e-18,-6.55504987480246e-17,-3.69698597026493e-17
"t52",-0.127849508357889,-0.0258565854491845,0.000138962907620055,-0.130449896023641,0.00966733549926496,-0.0131123772822151,4.02851161969628e-05,0.406021027020594,0.0090366262074571,-0.00121443814437442,0.0225139984305239,-0.00311924012588911,0.000964403737637273,-0.00155810052258638,0.0128301568764943,-0.0449497147569782,0.00666483279567993,-0.000169787507841403,4.5711114852504e-06,-0.000138525794032568,0.00250122852089034,-9.95477067662273e-05,0.00582669254282991,-0.00299091904358866,0.00560012957350422,-0.000926959108119678,0.0162232066655053,-1.38550815775694e-11,-4.85959646245079e-05,0.000750843831723851,-0.00443343717559909,0.0129200372972899,-0.161870001498313,0.00849682026174488,0.00730786114121789,0.0267167857095379,-0.00117872452011563,0.0098412235588823,-0.00102630964293272,-2.42208557497715e-05,-2.81059340923127e-06,-5.21984485878519e-06,-5.99709505903388e-06,0.000494644512350664,9.51196632423268e-06,-3.78023783751498e-05,5.5933575408416e-06,3.62847272096039e-16,1.92921202849329e-07,-1.81315959690544e-07,3.32266766315479e-06,-3.6872028484869e-09,-1.26302418239658e-06,-6.75921107072915e-08,-9.65224075299888e-08,-4.66123476609436e-07,-7.36430740315829e-05,1.49100965620674e-14,2.82841651365676e-16,2.84977267548057e-07,3.3577176468085e-14,0.000352972296262868,-9.25418968995141e-06,-0.00386016283253478,0.00378829049311306,3.67044192222008e-05,-0.0547671507845522,-9.21826273653273e-08,-5.18597351193885e-06,-7.61016325979488e-08,1.81776965323763e-15,0.486116113210175,-2.42595405499042e-07,-0.00664848388188061,8.42408185113316e-07,-1.45947370416547e-15,1.49891378075682e-05,1.79380655101796e-05,0.00705262261906275,-9.72079314010147e-06,-0.722748760322048,-8.89503815445364e-06,-4.34427662817235e-06,-0.000767473531849865,-8.23099742804402e-16,5.54168527789508e-16,-0.000237745790494575,3.44502671344407e-05,-8.00179115408823e-06,8.93574737867909e-16,2.11788004578912e-15,-6.72882337554855e-07,-1.35713768524915e-07,2.695857469152e-16,-3.61872769712984e-09,1.33537546288958e-16,-1.81225225472255e-06,-6.47942862422781e-17,6.16953069915414e-17,1.27949569898928e-16,8.11278719000336e-07,-5.84721082184296e-17,5.78598116967252e-17,-2.08316644712166e-08,-3.10181163009817e-17,9.13995664533703e-17,2.198241870927e-05,-1.04816414395385e-16,7.42676811446322e-17,3.26986942491826e-17,2.35189244525892e-17,1.38975256283166e-17,-7.22613848494566e-06,8.36746228631608e-17,-1.31439945516606e-17,-9.35468381197004e-17
