"","c1","c2","c3","c4","c5","c6","c7","c8","c9","c10","c11","c12","c13","c14","c15","c16","c17","c18","c19","c20","c21","c22","c23","c24","c25","c26","c27","c28","c29","c30","c31","c32","c33","c34","c35","c36","c37","c38","c39","c40","c41","c42","c43","c44","c45","c46","c47","c48","c49","c50","c51","c52","c53","c54","c55","c56","c57","c58","c59","c60","c61","c62","c63","c64","c65","c66","c67","c68","c69","c70","c71","c72","c73","c74","c75","c76","c77","c78","c79","c80","c81","c82","c83","c84","c85","c86","c87","c88","c89","c90","c91","c92","c93","c94","c95","c96","c97","c98","c99","c100","c101","c102","c103","c104","c105","c106","c107","c108","c109","c110"
"t7",0.0240696783414712,-0.0513980070602191,0.00244727971014418,-0.0329865851673997,0.0470856379023889,0.174651009188811,-0.393763596817902,0.372554510524483,0.000388344952832932,-0.304644958626146,-0.016229966962477,0.000591085071197098,0.000316407312557743,0.00087516632273474,0.00159299602704337,-0.000350827540584611,0.000122541598917882,0.00140336430089498,-0.00349585256039997,-0.000146251117527074,-0.0126394011533179,0.0106489633817523,-0.000433006733344236,-6.9243363889077e-05,1.12423812436229e-16,-9.3998831725372e-05,0.0031619258743237,0.000301490849669545,1.99172199797713e-05,-0.000757179189201253,6.43725795936466e-05,-4.11202941978928e-05,-0.00199974499433441,-0.00132633757204668,2.03854006885515e-05,0.752088629845237,0.00205573943176403,-0.00577288765046412,0.014474562362376,0.00111673722969442,0.00170795893963229,0.000148775994979394,0.00115068893746331,0.000674770563505738,-0.000474431595185151,-0.00233976223611763,-0.00127799097523793,-0.0244137125944809,0.00148104961096822,-0.00717624604025587,-1.65096799276651e-16,-0.000655454533143107,-0.000929771210306338,0.000559807040874633,0.000166703392501608,0.000149430630219784,0.00019529752360965,-0.000182414040660628,4.7996495741394e-05,0.0098762030762931,-3.71448612648033e-07,8.98980061185648e-05,-9.66657270827277e-07,-8.4466692759383e-05,5.0204904157213e-06,-2.21422650003709e-16,1.15690958276752e-16,-3.03575247858649e-16,-0.000326081243395958,9.06006559304902e-05,2.86249717329209e-05,6.50310011864722e-17,-2.15871878087267e-16,6.4794760388101e-06,5.28423776104832e-06,-4.46123076016436e-05,-5.89198390553027e-05,1.55197244286392e-15,0.000636360174402475,5.55512857498891e-16,-3.30785582348295e-16,-1.71014059642695e-05,-1.12209084416929e-16,6.24736835174061e-18,4.10332404847563e-16,-0.000113433668301227,1.82301203162494e-16,3.89006768968957e-06,-2.61492203708962e-16,-3.1432495739033e-06,-2.47341590231026e-16,-6.27186393703079e-06,8.87119542559684e-16,1.09010999087169e-15,-3.03082395363227e-16,-7.47619033855813e-17,1.41464805485166e-16,-2.28084130511866e-15,1.35074649892925e-15,-3.55148090660827e-16,1.00587001502791e-06,2.6577105166595e-07,-4.78629774553691e-16,1.41503028632926e-15,-8.46642361151874e-16,1.71434195188273e-15,1.07458086419181e-15,4.64695373079595e-15,5.40391867301208e-14,-0.0953462589245586
"t8",0.0243310598728401,-0.0531142836036385,0.0025461842072282,-0.0345377254949896,0.0511981026065973,0.191194219144889,-0.442879261204318,0.419480295013664,0.000441933735417697,-0.373864586753223,-0.0205956880056468,0.000751348168350865,0.0004065366071931,0.00116033364806211,0.00217299040555926,-0.000494709271456786,0.000180387732702228,0.00215960350754852,-0.00594923640489668,-0.000263155662389979,-0.0257108777036688,0.0227799194589746,-0.00100407932552806,-0.000183623565143824,-2.04399594447278e-17,-0.000271764416930505,0.0126265382288214,0.00145561638989364,0.000119067281415076,-0.00486207479036259,0.0108020208510497,0.000774989128776207,0.00953211063746416,0.00394774649288498,-4.38005605138885e-05,-0.658115963608864,-0.00106817070180073,0.00181856302425037,-0.00433489067020652,-0.000204711477565469,-0.000280124196135776,-1.56458020681904e-05,0.000134329710865521,8.77047915180274e-05,-6.92237694685e-05,-0.00034674787665738,-0.000217392772665006,-0.0048371015209035,0.00029790911725766,-0.00161947884103522,-4.56120615721628e-16,-0.000159406963427253,-0.000244863763221096,0.000150621520624167,4.52643637835651e-05,4.54029149846404e-05,6.33747643133494e-05,-5.92223305915428e-05,1.58999146962188e-05,0.00339431643883499,-1.30027532049187e-07,3.24347883088785e-05,-3.50155265373029e-07,-3.15249107923208e-05,1.89850005609017e-06,2.9797351492412e-16,1.53733637502083e-17,1.21710184059129e-16,-0.000145243624920405,4.04487190235692e-05,1.29584242927613e-05,4.07226373766792e-16,-3.53512030601139e-16,3.06624266159512e-06,2.51546422151672e-06,-2.14383837543915e-05,-2.86278649184631e-05,4.72400772621144e-16,0.000316341220169779,5.06547074107968e-17,3.06698565640321e-16,-8.75368081979175e-06,-2.24443500782227e-16,3.36292703546217e-16,9.07381749561784e-17,-5.98749406919838e-05,-1.18559293285965e-16,2.07188680198548e-06,-1.50022671811595e-16,-1.680299282832e-06,-2.81725598785984e-16,-3.35345565627046e-06,8.90424722592722e-16,4.05191414138161e-16,-6.44470958592498e-16,-2.60046067126316e-16,-1.56488102079996e-16,-3.08876188245477e-15,1.31474830017223e-15,-4.49706213625501e-16,5.51985443122516e-07,1.46190488365554e-07,-5.90331360337342e-16,6.78214368370016e-16,-9.95071301835126e-16,1.22524630680461e-15,9.66266649852505e-16,4.41658274328304e-15,5.39134606766745e-14,-0.0953462589245623
"t14",-0.03111746933291,-0.151114299859172,-0.00179038653152032,-0.195759266441849,-0.0285696737608247,-0.0679359743635098,0.00921369169687078,-0.00614676995862865,1.37620484698579e-05,-0.00405418276858132,-0.000271567222658321,-0.000350180304931592,0.0155944332492746,-4.98139218747596e-07,-1.00727666157635e-05,6.53255447730405e-05,-4.66117963725899e-06,-9.04809960709838e-05,0.00328687865336199,3.13377351250009e-05,0.0226798639819922,0.000877263130130454,0.0921163890822758,2.38469475629024e-05,-9.3064954837632e-16,0.000398590304286405,-0.00403101822037329,-0.00408303699806944,-6.7305521149308e-05,0.015956909768231,-0.0649188828135736,-0.00642805162659615,-0.94933662352263,0.0509950019053052,-3.59501133077376e-05,-0.0101781100247596,0.00217744181980971,-0.00256324132010979,0.0213084465065679,0.000295765840665386,0.000471638098899771,4.55055887564837e-05,0.00061272454105705,0.000413466735096738,-0.000689903795133258,-0.05692596666497,-0.00180810177061209,-0.0381746823131982,0.00296144327608698,-0.0114710045754382,-5.18753410151193e-16,0.000256556344119436,-0.00149227091181259,0.00089716344672888,0.000266962460787034,0.000234283459064226,2.44606643896935e-05,-0.000273402566209319,6.83872636705971e-05,0.00143336175250201,-8.65345723355839e-07,1.46085084309091e-05,-1.74859533087339e-06,-0.00014624990833652,8.59981316200093e-06,3.14380820557468e-16,8.60720093883164e-17,-9.04736421557384e-16,-0.0108393839936416,0.00594295288889088,4.35416199724797e-05,4.58602598353863e-16,-3.62468369038466e-16,1.00992616675881e-05,8.23240197128367e-06,-6.94225308482768e-05,-1.29169160408263e-05,-1.56493964359033e-15,0.000983952630750563,-2.23129365412681e-18,1.1186718474019e-15,-2.62542626399036e-05,3.08123578973484e-15,-4.53062648509751e-16,-4.12249602634616e-16,-2.58091412912156e-05,4.35514682883369e-16,5.90604442005122e-06,-7.78908262595725e-17,-4.76686613223976e-06,-2.24086748682695e-16,-9.51094950886884e-06,-1.14802079767306e-16,3.39449913948978e-16,-1.46984035498314e-15,-4.59381696459102e-16,-1.46062959150923e-17,-3.44865302693768e-15,1.46987503562926e-18,-3.04452530405582e-16,1.51293563864565e-06,6.14638112333822e-08,1.51414339596368e-15,6.56078766475428e-16,-5.685660846297e-16,6.66628177970146e-16,1.06584584350293e-15,4.33245556084248e-15,5.50800039906439e-14,-0.0953462589245576
"t28",-0.0321277845962145,-0.167425625984222,-0.00203034403680314,-0.227049666561036,-0.038575193431283,-0.0946159139899989,0.0147429342655799,-0.00989620363630263,2.3596178393921e-05,-0.0139162575508503,-0.00185233998240423,-0.00251894034133583,0.173273319233608,8.1213316007245e-06,4.78817913183042e-05,-0.000162257460773857,6.73663092330845e-06,8.49794589009666e-05,-0.00122911404755611,-5.29858259145976e-06,0.00748333221340066,0.000626247233420028,0.323887254104213,-3.55199634210815e-05,4.36833995326899e-17,-0.000359805422709216,0.00171494896142912,0.00139027313034669,1.91741024492382e-05,-0.0043315796424133,0.0102147407235577,0.000835793345680871,0.0763550263623065,-0.0028023421869572,1.31680391794259e-06,-2.37890437244249e-05,1.48672366045758e-05,1.44214403210639e-05,-0.000165461630850095,-1.0443777601583e-05,-2.02285701017284e-05,-3.43739961474453e-06,-0.000907138424128483,-0.00102837996844119,0.00654241469604402,0.86868685441693,-0.00633736788241098,-0.0577634078071772,0.00424907844418097,-0.0119174950181928,3.06157515584985e-15,0.000228083707294198,-0.00115983777307446,0.000675593861226348,0.000198443315769306,0.000151844985909074,1.48814870207071e-05,-0.000166264200129559,4.08808572423978e-05,0.000832532688957908,-4.96032406261233e-07,8.20782784310511e-06,-9.80016374153592e-07,-8.05423349115842e-05,4.70270729078325e-06,-1.70493315132807e-15,-5.74167975300677e-16,-5.69670341170782e-16,-0.00648442646547314,0.0116744081248952,2.15996540891005e-05,1.17437102206055e-16,-4.62283843009383e-16,5.09412108079205e-06,4.15281240254034e-06,-3.50218567987659e-05,-6.51653736802035e-06,-4.25607447273485e-15,0.00049657920712632,7.40607934307344e-16,4.65148235964913e-17,-1.3268950740096e-05,1.22197713684186e-15,-3.89999314099894e-16,-1.86703201282448e-16,-1.30832420727974e-05,1.78871881231209e-16,2.99749737535596e-06,7.78528053603255e-16,-2.42062098524696e-06,1.36062057895892e-16,-4.82981851041512e-06,1.40408888982157e-15,2.85537315905451e-15,1.48844568100724e-16,-7.57524336123651e-17,-4.26301649863678e-16,-2.70940762441796e-15,1.84490683090209e-15,6.33500948876997e-16,7.71766438559112e-07,3.13682998191306e-08,-8.97477575710018e-16,2.08163212103187e-15,-1.78705787153615e-16,2.02609777246028e-15,9.4490223317324e-16,4.99840147185631e-15,5.31006736699511e-14,-0.0953462589245541
"t56",-0.0323417665376643,-0.170799402176081,-0.00207961431818109,-0.233430606685274,-0.0405330149992963,-0.0997975554330282,0.0157847804378505,-0.0106018221287406,2.54246711835068e-05,-0.0155925930299271,-0.0021097565846653,-0.00287132015187624,0.198527987955985,9.44259434123291e-06,5.63938856141949e-05,-0.000193908240274931,8.19825029376809e-06,0.000105289621788091,-0.00158157745320329,-6.95132225871469e-06,0.0102081119321369,0.000866903188016168,0.45834809443322,-5.19527950536289e-05,-7.05680097584104e-17,-0.000536386972156359,0.00271046975497987,0.00225658297806045,3.1895771764501e-05,-0.00725706586020911,0.0187844977938915,0.00159508791230127,0.161029939122632,-0.00641615282870139,3.28658777863213e-06,-9.82344109801293e-05,0.000141120441632985,-0.000286943621575198,0.00247943054423016,4.60799447833846e-05,7.72889110589373e-05,8.77650357801335e-06,0.000490273645516976,0.000490592052533365,-0.00265017383076437,-0.34321725039786,0.00192597681502207,0.0114102403795484,-0.00079333603138073,0.00122484428623781,9.19835822948679e-16,-1.07006379073464e-05,-1.56514317907528e-05,2.01897422907731e-05,7.31975193005074e-06,1.88072699075157e-05,2.60759381423369e-06,-2.91956795717227e-05,7.82416166864996e-06,0.000183355405591123,-1.16394805931304e-07,2.12080044648003e-06,-2.5628593355333e-07,-2.29541191274963e-05,1.38870197090094e-06,-1.20669670903142e-15,2.39868755779316e-15,-2.31185304618312e-15,-0.00274610352854327,0.00496499357144666,9.41953343143058e-06,3.85976200214784e-16,-2.34662537471793e-15,2.39671653166637e-06,1.97283789227365e-06,-1.6892987588308e-05,-3.19872990595072e-06,0.707106781186551,0.000252486082901468,-9.39839717090783e-15,-4.52695211434747e-15,-7.04418909377103e-06,1.03976105631521e-15,-1.91983096580311e-14,-4.9735999775404e-17,-7.25224598058056e-06,-6.18330217970341e-16,1.68205174053196e-06,-1.91383056427671e-15,-1.365103011973e-06,3.11647412754729e-15,-2.72450798496217e-06,2.04491597974345e-15,1.90319090154126e-16,9.59249698540939e-16,-7.29041174927161e-16,-1.44579629095135e-15,-5.95139853737344e-16,4.48081205031101e-15,3.57938250428912e-16,4.50544973099953e-07,1.8368250996514e-08,3.65934553442522e-15,3.41494463015981e-15,-2.9833312170483e-15,1.14758921912913e-15,9.67663693992805e-16,3.57062170724831e-15,5.3336060148745e-14,-0.095346258924554
"t57",-0.0323417665376643,-0.170799402176081,-0.00207961431818119,-0.233430606685274,-0.0405330149992963,-0.0997975554330277,0.0157847804378508,-0.0106018221287407,2.54246711838149e-05,-0.0155925930299275,-0.00210975658466542,-0.00287132015187592,0.198527987955985,9.44259434103346e-06,5.63938856150733e-05,-0.000193908240274717,8.19825029335559e-06,0.000105289621788182,-0.00158157745320377,-6.95132225874915e-06,0.0102081119321374,0.000866903188016074,0.45834809443322,-5.19527950532663e-05,2.90303642511786e-16,-0.000536386972156497,0.00271046975497988,0.0022565829780604,3.18957717638805e-05,-0.00725706586021024,0.0187844977938911,0.00159508791230289,0.161029939122637,-0.00641615282870137,3.28658777888527e-06,-9.82344109790641e-05,0.000141120441632415,-0.000286943621574975,0.00247943054423166,4.60799447828767e-05,7.72889110599486e-05,8.77650357753897e-06,0.000490273645516121,0.000490592052532231,-0.00265017383076504,-0.343217250397869,0.00192597681501972,0.0114102403795481,-0.000793336031380814,0.00122484428623637,-3.91448752420389e-15,-1.0700637909029e-05,-1.56514317944376e-05,2.0189742289861e-05,7.31975192875968e-06,1.88072699108688e-05,2.6075938143919e-06,-2.91956795725419e-05,7.82416166879603e-06,0.000183355405593781,-1.16394803803324e-07,2.12080044668694e-06,-2.5628593448282e-07,-2.29541191249235e-05,1.38870197383968e-06,2.63132893446214e-15,-1.66090075820761e-15,1.02694521752973e-15,-0.00274610352854507,0.00496499357145976,9.41953341566553e-06,2.55335497509451e-16,1.84353309746585e-15,2.39671653480816e-06,1.9728378914164e-06,-1.68929875781778e-05,-3.1987299063519e-06,-0.707106781186544,0.000252486082988849,9.96250342277937e-15,4.23127801164302e-15,-7.0441890893696e-06,-2.03678473602588e-15,2.00997344589373e-14,1.40978163943403e-15,-7.25224599968239e-06,1.34526545707603e-16,1.68205173466514e-06,1.08536326636458e-15,-1.36510301474184e-06,-4.13635891036221e-15,-2.72450798847914e-06,-2.30172082336354e-16,9.2370142533979e-16,-1.63621723941917e-15,4.06071460751151e-16,1.90376274895473e-15,-4.20015811625526e-15,-1.24344919472805e-15,-1.96292914860434e-15,4.50544979943102e-07,1.83682508790008e-08,-6.25538874334873e-15,-1.71853785113689e-15,4.70290671799087e-16,1.46862636189372e-15,1.35260434544215e-15,5.3281987924468e-15,5.49897661520076e-14,-0.0953462589245684
"t49",-0.0324942865711761,-0.173414176636443,-0.00211878683777111,-0.238625867285718,-0.0423680184080698,-0.104777528382226,0.0168916538660228,-0.0113545100049571,2.74536705585078e-05,-0.0180655601091835,-0.0025426715267957,-0.00346793491443257,0.243167067700074,1.21002033042976e-05,7.57419498530908e-05,-0.000277559708209473,1.29766197001796e-05,0.000190459423553995,-0.0048337370733293,-4.18699459686398e-05,-0.031152058692203,-0.00141542087843643,-0.371164950516004,1.6173736989517e-05,1.34726004888139e-16,8.52400510644353e-05,0.000248351188230577,0.000349065892300649,6.33556307176638e-06,-0.00152025992751198,0.00569926301706959,0.000519456906887557,0.0587239935658841,-0.00246075431504505,1.30234790278218e-06,-4.10935071183827e-05,5.87837299384964e-05,-0.000116221300941338,0.00100037295592999,1.7797116585308e-05,2.9529319709541e-05,3.21139465140475e-06,8.12624086049288e-05,6.47930310618388e-05,-0.000215882636590371,-0.0250666370740406,-5.52482876882036e-05,-0.00297852211123035,0.000237252813524361,-0.00105009165280425,-4.23082700966912e-15,2.47313216101428e-05,-0.000149303137058031,9.04056420750511e-05,2.69729692797934e-05,2.38888413554557e-05,2.42836404120518e-06,-2.71332246537484e-05,6.67365009487258e-06,0.000133381800674418,-7.77258753186728e-08,1.20491871644185e-06,-1.42122962089318e-07,-1.02118081312042e-05,5.42256409030282e-07,-9.94047127688834e-16,-1.24169442093706e-15,-2.87848339146783e-15,0.0861634011134121,-0.824535165783494,7.2805243119497e-05,-1.34679177394594e-14,7.0417992731175e-15,5.76875741762918e-06,4.45201592576019e-06,-3.49126472421127e-05,-6.0720345050059e-06,-6.11639450114523e-15,0.000418732062381929,-2.95862394025769e-15,2.30461874174134e-15,-1.03348964483486e-05,-3.43232948268991e-15,9.16210097623661e-15,-1.51375972952838e-15,-9.69811574130874e-06,7.79944409751586e-16,2.19957754949094e-06,1.1234430787881e-15,-1.76972888960028e-06,5.41708608228028e-16,-3.53041398538167e-06,-1.10577988420945e-15,-3.67501971358775e-15,-2.84538691994766e-16,4.7891842802661e-16,1.08115074315666e-16,-1.85191603304519e-15,-3.20003045940987e-16,-3.21792263326351e-16,5.53151022455544e-07,2.24531813544096e-08,3.70492158338386e-15,8.60027969512336e-16,-9.58683635040642e-16,1.12824550111133e-15,4.16654700872482e-16,2.51386327729602e-15,5.32672360358019e-14,-0.0953462589245589
"t64",-0.032561945427258,-0.174484803119575,-0.0021344443627572,-0.240656617731089,-0.0429982751431155,-0.106449869908462,0.017231925688204,-0.0115850915123523,2.80544609328927e-05,-0.0186460748138429,-0.00263473523001321,-0.00359418787813909,0.252323035912416,1.25982332332884e-05,7.90867342139355e-05,-0.000290735570589017,1.36445822718504e-05,0.000200992755640715,-0.00513822634100216,-4.46642113907773e-05,-0.033454658081886,-0.00152369447833056,-0.400953443879845,1.75588249728578e-05,-1.24755553557646e-16,9.27936556304447e-05,0.000272492541525854,0.000384274500791871,6.9951674604255e-06,-0.00167993469509501,0.00636144088788052,0.000581906275695988,0.066362505378816,-0.00279839984853937,1.48975462295984e-06,-4.81248412053832e-05,7.00766709343783e-05,-0.000141049947837686,0.00121623244780009,2.19872472632274e-05,3.66011735680905e-05,4.02620190584834e-06,0.000110526327191952,8.88918769243568e-05,-0.000299596535755817,-0.034847983383816,-7.82305055809992e-05,-0.00433967195514562,0.000346883144774504,-0.00158557070924981,1.32489739277496e-15,3.84115318268696e-05,-0.000241317937150091,0.000148048736750144,4.44352660105803e-05,4.34977341664219e-05,4.87340489817377e-06,-5.45007946596682e-05,1.3955906844332e-05,0.000306258037865654,-1.89550857075956e-07,3.34643977494572e-06,-4.03099327366107e-07,-3.55037830234784e-05,2.14182576643901e-06,1.94048370084765e-15,7.37805583818191e-16,1.47264074016725e-15,-0.0443522816454374,0.392766411464447,-2.01833409364414e-05,5.80611145926031e-15,-6.31963874815624e-16,7.42184817735615e-07,7.41255696329016e-07,-7.73835221754108e-06,-1.6941801113324e-06,4.18214834577051e-15,0.000158572012783843,-8.71334331748606e-15,-2.36290977864244e-14,-4.94507067501957e-06,0.707106781186548,-4.21086521086783e-14,-1.02734244777001e-15,-5.43043291986065e-06,2.1272078028188e-15,1.2766011019346e-06,-4.62247111626623e-15,-1.04126320824659e-06,4.11215592587386e-15,-2.07873917284847e-06,5.25031186280779e-15,7.44150408747171e-16,-2.14841998103984e-15,1.25118265832372e-15,-9.97815784199306e-17,-5.19961567886353e-15,4.65313837975989e-15,-1.77643846249665e-15,3.53852456433894e-07,1.44576756764249e-08,-1.57678500279934e-14,2.63660733253493e-15,-2.32503257517792e-16,5.01044394958538e-15,2.18488288441445e-15,4.18901923955122e-15,5.41173200513847e-14,-0.0953462589245629
"t65",-0.0325619454272581,-0.174484803119575,-0.0021344443627569,-0.240656617731089,-0.0429982751431155,-0.106449869908461,0.017231925688204,-0.0115850915123526,2.80544609326814e-05,-0.0186460748138431,-0.00263473523001289,-0.00359418787813868,0.252323035912415,1.25982332332566e-05,7.90867342138853e-05,-0.00029073557058855,1.36445822715889e-05,0.00020099275564111,-0.00513822634100237,-4.46642113909712e-05,-0.0334546580818862,-0.00152369447833052,-0.400953443879843,1.75588249729259e-05,1.01135794309369e-17,9.27936556303897e-05,0.00027249254152448,0.000384274500791041,6.99516746054564e-06,-0.00167993469509425,0.00636144088787961,0.000581906275696415,0.0663625053788114,-0.00279839984854029,1.48975462169023e-06,-4.81248412052861e-05,7.0076670934682e-05,-0.000141049947838436,0.00121623244780203,2.19872472638963e-05,3.66011735687982e-05,4.02620190607484e-06,0.000110526327190719,8.88918769240544e-05,-0.000299596535754893,-0.034847983383814,-7.82305055792715e-05,-0.00433967195514317,0.000346883144773479,-0.00158557070925006,1.90161732205989e-15,3.84115318248189e-05,-0.000241317937149967,0.000148048736750702,4.44352660112045e-05,4.34977341673461e-05,4.87340489796454e-06,-5.45007946582947e-05,1.39559068418438e-05,0.000306258037866442,-1.89550859416894e-07,3.34643977403634e-06,-4.03099328331776e-07,-3.55037830228604e-05,2.14182576630726e-06,-8.09039201146489e-16,9.8945778659527e-16,5.73767180206727e-16,-0.0443522816454351,0.392766411464451,-2.01833409356284e-05,7.1873183352961e-15,-7.22381309581775e-15,7.42184808329909e-07,7.41255696112215e-07,-7.73835222533392e-06,-1.69418010349731e-06,6.3297360090298e-15,0.000158572012773467,1.25662479979995e-14,2.06437260406862e-14,-4.94507075246033e-06,-0.707106781186548,3.38975432319083e-14,3.4615165727121e-15,-5.43043298740326e-06,-2.64240393731695e-15,1.27660109572175e-06,2.40733280315214e-15,-1.04126321689589e-06,-5.37743031580425e-15,-2.0787391639353e-06,-1.53698927416483e-15,2.77025148565278e-15,1.04832573183768e-15,-2.08076006337654e-15,8.26809010463663e-17,-2.17839345459482e-16,-1.66863429729298e-16,6.98968039744083e-16,3.53852448291825e-07,1.44576795655799e-08,1.0477417373993e-14,-2.60586166699934e-16,-1.84495521369263e-15,-1.32619384850441e-15,3.25958509393978e-16,6.71914319769187e-15,5.42368427774384e-14,-0.0953462589245612
"t50",-0.031781693528325,-0.161197610132608,-0.00193545642832642,-0.214254286740721,-0.0334863313349114,-0.0804526002912904,0.0112093073493314,-0.00748077878529305,1.67278360868293e-05,0.00118126724393959,0.00264433896791555,0.00391542126487604,-0.466354984072996,0.00402632833456787,0.000328974565530521,-0.000706250138660143,2.42582764590636e-05,0.000294427085792889,-0.00553354360833725,-4.09837107533354e-05,-0.0191169568309104,-0.000621429246077828,-0.0335495115229137,-1.48504238933653e-05,1.66839857071389e-16,-0.000205945578063886,0.00139712677655614,0.00121078252626713,1.73958491364241e-05,-0.00396628010601578,0.00984798998867315,0.00080110525319415,0.0669475175568231,-0.00200827190100642,5.31603549577507e-07,-0.000560857190954403,0.000193221805537358,-0.000288809030006749,0.00244267369183263,3.8400774609326e-05,6.24596098665067e-05,6.38828085817141e-06,9.83162768790765e-05,6.45495372219244e-05,-8.27766038040083e-05,-0.00509251601186684,-0.00034304992455159,-0.00682958706797645,0.000528194742478289,-0.00199857880048192,-1.16725107271785e-16,4.37838442400443e-05,-0.000246202832945095,0.000146196231648772,4.32489852349358e-05,3.38000377990537e-05,3.06115190407997e-06,-3.41667323879384e-05,7.98947369970334e-06,0.000140277223809209,-7.42183503593505e-08,8.82802066209394e-07,-9.87308594864295e-08,-2.95202440506319e-06,-3.28569812700888e-09,-5.91381801183699e-16,-8.69235277771632e-16,1.01783479114132e-13,0.823662689309947,0.0898512497883549,0.000157889039361985,1.35222108112747e-14,1.93022213868044e-15,1.21645745451002e-05,9.29998971599322e-06,-7.18646793709822e-05,-1.2293990627251e-05,1.25099041252465e-15,0.000821379251417108,4.6458149933228e-16,2.08726034948112e-15,-1.95580011484632e-05,1.19108351322749e-15,2.16921879146728e-15,-2.89995511945094e-16,-1.77532935063826e-05,5.37534849466513e-16,3.99034527268896e-06,2.14321819848703e-15,-3.19894807603515e-06,-5.97966650756283e-16,-6.38028426758126e-06,1.55001278940995e-17,8.28665608424547e-15,4.54841479386052e-16,9.15642868833618e-16,5.48085629777322e-16,-3.15371271443794e-15,-2.88164033373994e-15,6.57067150743939e-16,9.7559915019364e-07,3.95168772542629e-08,1.88816462771305e-15,1.28269383982795e-15,-1.58746424208532e-15,1.23170989198215e-16,1.15448188959833e-15,5.87707981485651e-15,5.38413887297065e-14,-0.0953462589245572
