"","V_1","V_2","V_3","V_4","V_5","V_6","V_7","V_8","V_9","V_10","V_11","V_12","V_13","V_14","V_15","V_16","V_17","V_18","V_19","V_20","V_21","V_22","V_23","V_24","V_25","V_26","V_27","V_28","V_29","V_30","V_31","V_32","V_33","V_34","V_35","V_36","V_37","V_38","V_39","V_40","V_41","V_42","V_43","V_44","V_45","V_46","V_47","V_48","V_49","V_50","V_51","V_52","V_53","V_54","V_55","V_56","V_57","V_58","V_59","V_60","V_61","V_62","V_63","V_64","V_65","V_66","V_67","V_68","V_69","V_70","V_71","V_72","V_73","V_74","V_75","V_76","V_77","V_78","V_79","V_80","V_81","V_82","V_83","V_84","V_85","V_86","V_87","V_88","V_89","V_90","V_91","V_92","V_93","V_94","V_95"
"t1",-0.0540603778659208,0.0760597456611652,0.00838955976387426,0.0130974049810733,-0.00081860003319176,0.00973849962980287,-0.11563610858829,0.44605478152327,-0.0122225598428403,0.0230123245194793,-0.0684068944884456,0.0700423282281053,-0.0276075213959273,0.0171939975841692,0.0359122492894654,-0.181060733134554,-0.587736275108326,0.0243585971587565,-0.00604903475587972,0.000160866803821842,-0.00266028117848514,0.00155360305925347,-0.00017040995548921,0.00279591018884087,-2.0484614333467e-06,0.00372711428376011,-0.000210884952279021,0.000438234178103767,-0.0816907111819281,0.00373750868905429,-4.66867708632372e-05,0.00957221777723498,-0.00209320269562592,0.00156553428384658,7.17120907749798e-06,0.000180534645170126,0.0169648291731585,-4.87134241672023e-06,-0.000651697547296335,2.47486526421976e-15,0.0096475859576522,-0.607083662506486,0.0314606535171031,-0.00119306709287171,-0.000956871872351134,-0.000247776521031534,3.26056970904103e-15,5.72834922833304e-05,0.000977316382214843,-0.00036115283587619,4.26252347544595e-18,-4.01480151709486e-16,-2.02708883899627e-05,-2.65210515972004e-16,-1.44098102103247e-16,4.96929678146973e-06,2.10983392739831e-05,-8.36513644143614e-17,4.47020682801445e-17,-1.17277628127293e-16,-6.19674150381535e-17,-1.53421137333126e-17,-6.62093768515994e-06,0.000705479123202654,2.30284551542385e-17,1.0767217170101e-06,1.70247064889431e-16,6.96320874082543e-17,1.44501172428839e-16,1.87172069562648e-05,-7.16898625709894e-17,6.13006192090612e-17,-8.64052674537922e-06,2.69085726187308e-06,2.87660699835015e-16,7.84980931802943e-05,-9.47480450675673e-07,-7.80662418658423e-17,-4.78853244393487e-17,-2.72622736579036e-16,-2.3711221182854e-17,1.38441259752645e-16,-3.65085330521911e-17,8.21695743590653e-06,-7.87412915356229e-19,8.88882360387041e-17,3.93224300761629e-18,1.1508742704453e-16,-2.16815691152619e-18,-6.65995418642141e-18,-1.24851750606705e-05,4.42141722798617e-17,-2.79081598465103e-17,-2.12975386820752e-17,-3.95771588236385e-17
"t11",-0.0537617785230438,0.0748885825394226,0.00823695609818527,0.0128232575232147,-0.00079793912599786,0.00939461199305881,-0.111382737337011,0.424339552915378,-0.0115938128793367,0.0215543590283734,-0.0631777893958259,0.0645705440985843,-0.0250637033324849,0.0154942897774574,0.0322132419160397,-0.161814163339078,0.495989866385415,0.022626744218223,-0.00521986436537905,0.000134498057671917,-0.00222291210758645,0.00127203652538897,-0.00013862630588683,0.00223412582530448,-1.62887800009997e-06,0.00288903551553551,-0.000160850895472265,0.000312039932031562,-0.0570622390480501,0.00246985263333789,-2.93971640723798e-05,0.00528701159609921,-0.0011348050608612,0.00075877985482905,3.41933017660749e-06,8.50569513062715e-05,0.0078229453913117,-2.07960294485515e-06,-0.000260877665248358,1.46985416694329e-15,0.00208185410228803,-0.0388300661186768,0.00156134491915237,-5.34055474320772e-06,4.01882067772646e-05,4.42058817457413e-05,0.707106781186547,-4.82666542142666e-05,-0.00106912702794168,0.000418032253494737,6.25106219750487e-16,5.10225625883782e-15,4.00783355048548e-05,-2.44926048638975e-15,1.06077111132233e-15,-1.86313691125677e-05,-9.25132815346498e-05,1.5106329163133e-15,8.4442210118015e-16,-1.5933629641014e-16,3.68262579288372e-16,3.96908045481258e-16,-2.89763889031879e-05,0.00305784767477432,1.6002959296846e-17,4.07030306363008e-06,3.9209286809132e-16,-7.97656765112829e-16,-2.46540516755273e-16,5.27296253056461e-05,2.60428154830766e-17,-4.27977022274452e-16,-2.31129809718079e-05,6.9687281831815e-06,1.376226449358e-16,0.000185474657806211,-2.23430057812066e-06,-9.91189551797157e-17,-3.0888914277973e-16,-1.37948537719105e-16,-3.07406778075678e-16,-2.07307369335516e-16,6.20958591568246e-17,1.51891919654877e-05,2.45926924323948e-17,-3.22955267888282e-16,-2.5785055586223e-16,-2.81669904001371e-18,1.37585668737336e-17,1.49187616114513e-16,-2.07509253801768e-05,6.19575784703982e-17,1.35462690866951e-17,-4.74359559953302e-17,-7.49027194198873e-17
"t12",-0.0537617785230436,0.0748885825394229,0.00823695609818506,0.0128232575232145,-0.000797939125997649,0.00939461199305901,-0.111382737337011,0.424339552915378,-0.0115938128793368,0.0215543590283732,-0.0631777893958258,0.0645705440985845,-0.0250637033324849,0.0154942897774574,0.0322132419160395,-0.161814163339078,0.495989866385415,0.0226267442182228,-0.0052198643653788,0.000134498057671884,-0.00222291210758669,0.00127203652538897,-0.000138626305886622,0.00223412582530432,-1.62887799950302e-06,0.00288903551553541,-0.000160850895471429,0.000312039932031469,-0.0570622390480493,0.00246985263333843,-2.93971640730618e-05,0.00528701159609736,-0.00113480506086152,0.000758779854828193,3.41933017687106e-06,8.50569513061846e-05,0.00782294539131161,-2.07960294435135e-06,-0.000260877665248006,-1.00739891063031e-15,0.00208185410228844,-0.0388300661186841,0.00156134491915392,-5.34055474901365e-06,4.01882067779e-05,4.42058817586037e-05,-0.707106781186547,-4.82666542173578e-05,-0.00106912702793545,0.000418032253493685,-5.97498936463586e-16,-5.15770976722526e-15,4.00783355071998e-05,2.30007033132409e-15,-1.04220041568842e-15,-1.86313691143923e-05,-9.2513281534705e-05,-1.58366875740929e-15,-7.57722887600627e-16,2.14189534583233e-16,-3.96142824470128e-16,-5.14968984293511e-16,-2.89763889032367e-05,0.00305784767477282,-9.83536512479161e-17,4.07030306354721e-06,-2.73585519385467e-16,7.75747240556895e-16,1.87694712808891e-16,5.27296253069977e-05,-6.52287837289837e-17,5.52545528961999e-16,-2.31129809705618e-05,6.96872818292361e-06,-5.66432469325179e-17,0.00018547465780585,-2.23430057810799e-06,3.9762557775117e-17,3.91678393021023e-16,3.59326151416863e-16,2.10215296375643e-16,8.64555247514648e-17,-1.79628039816561e-16,1.51891919653285e-05,-1.38587239815883e-16,2.33462809222337e-16,2.2041507399574e-16,-2.20169398581852e-16,7.67222441540186e-17,-1.5203707041768e-16,-2.07509253804151e-05,5.06007963422291e-17,6.99480080184928e-17,4.50473156735832e-17,1.47053343540351e-16
"t3",-0.0188810771336873,0.0544293352114786,-0.0174641197324543,0.0234199831787268,-0.00088758420965992,0.00511924802610873,-0.0404350656970469,0.111987233820437,-0.00275543301784042,-0.00362371442005976,0.0317540314176403,-0.0349091501077858,0.00541502707324685,-0.011616708362462,-0.0199766839638888,0.0627113003413027,0.000124456598968536,-0.0197376532950069,0.0228991182370237,-0.000252561195657932,0.0118336368248453,-0.00782961591698554,0.000893394621400068,-0.0163070987767504,1.22910923318769e-05,-0.0122710840616707,0.000818468185900376,-0.00462738984501448,0.937063083181748,-0.225867139083356,-0.00138394728192117,0.0620123676635792,0.138622184737029,0.00679418290098703,0.00141503912079319,0.0222438964412757,0.0639089331437165,-0.000262847467666645,-0.0227502338220211,9.90412467348551e-17,0.0628332549253903,-0.0377090865804424,-0.000453989768937929,0.00208929797035309,0.00289449430374371,0.00156223285231614,4.83969582010981e-16,-0.00107051835891906,-0.00483661559973786,0.00883777301355947,-1.44300949854426e-16,-7.98832020775234e-17,0.000754122655717956,6.43823689700605e-19,-2.29719766063729e-17,-0.000321654748866703,-0.00157202669110309,6.15830393360001e-17,3.10751569703627e-17,-4.56556498120513e-17,6.98347924531653e-17,2.39371770425617e-17,-0.000269436601165117,0.0102867003692313,-1.90139494608181e-17,5.42284533564851e-05,-1.72892481505534e-16,-1.27817416004971e-16,-6.36168003748124e-17,0.000166288373153177,-1.50777836333234e-16,3.47204243000575e-17,-0.000272823160016125,8.12264072830268e-05,2.74906867280833e-16,0.000560312831003881,-2.50834527806784e-05,1.74877818545724e-16,2.66026670555134e-17,1.44034680749802e-16,-1.27802448795587e-18,1.62280322946955e-16,-1.86075766340722e-17,4.18529905688756e-05,-3.27475038467233e-17,7.84125638514738e-17,4.90288898215006e-17,9.11066346594112e-17,-7.40171037221999e-18,1.40476210122934e-17,-5.38618029788098e-05,-5.83356924614354e-17,-6.30068426700229e-17,8.73510820912162e-18,-5.20423388171044e-17
"t22",0.0747196911892812,0.0159330747808659,-0.106551542972981,-0.147563303297472,-0.0577296566480785,-0.00679620305566101,0.00145006027912442,0.000759450198636713,-5.26451430890983e-05,-0.00871238189389173,0.0302550535053408,-0.0159900514093189,0.000855773768247983,-0.037690601128231,-0.376422524671496,-0.0635063840734042,-1.72127267185074e-05,0.00260545068420293,-0.0403718067166286,2.53734010767659e-05,-0.0102525216408906,0.00442654499998633,-0.000441795624168325,0.00113214482409775,-3.97640698807973e-06,0.000189567905032575,-1.02613957819741e-05,1.86568355981138e-05,-0.000792159284827579,-0.00104596098461771,-1.28910070869453e-05,0.00447130963223704,-0.109836848162061,1.20883956838999e-05,0.0100915385959811,0.0809682678292278,-0.000123018739052082,0.000297789826085113,0.141830193021108,-2.6179268825097e-15,0.0220666676530687,-0.00197805781538996,-2.76064546151505e-05,0.0232137253303911,0.864388410144696,-0.00310392028512959,5.75747483599911e-17,-0.000482977401963837,-5.94701738647445e-05,0.000776525962068021,5.69150724774979e-16,8.62242125658476e-16,0.000605966128287782,-5.03250512409391e-16,-1.45009569154006e-15,-0.000578684798972484,-0.0997742711693655,2.74822696813837e-16,1.1815302286734e-16,-5.4290590568265e-17,7.4530590606785e-16,4.58023162081036e-17,-0.00745131317008177,0.000182105504375969,-2.41276889029728e-18,4.10682407520368e-05,-3.48926165150974e-16,1.2143048759964e-17,1.34643331314524e-16,3.91739622582069e-06,-2.59036214520763e-19,4.43147479069092e-16,-0.000217764218841226,6.52009807466765e-05,-3.201222851734e-17,1.4340892022175e-05,-0.000597124258147258,2.00047443793916e-17,1.60774774479465e-17,-2.74434993015042e-16,2.04905691122754e-16,1.55560675130867e-15,1.99981390209241e-16,1.24799987257061e-06,-6.31176706904559e-17,-7.55594394927972e-17,-1.69411958616512e-16,2.55316700604587e-16,1.15847963445792e-16,3.51099433733344e-17,-1.76098596543655e-06,9.14623633176095e-17,2.49413104168874e-17,-7.77489824677402e-17,-1.4446327791792e-16
"t75",0.0759508142701197,0.0166886481787756,-0.112575582679337,-0.157251122592938,-0.0623661164787269,-0.00758656928246219,0.00162661343369169,0.000887073501274177,-6.20861541898764e-05,-0.0107217834241933,0.039089797323983,-0.0207914752192389,0.00117453543485281,-0.0530940120561899,-0.538765094694814,-0.0920342864167605,-2.83293422885245e-05,0.00434750915235363,-0.0735362031472336,5.32437049892535e-05,-0.0215804225508003,0.0104575889487968,-0.00108654685067112,0.00314202850343296,-1.1437646046948e-05,0.000672800920922437,-4.26899475868595e-05,0.000278352692933903,-0.0400928132660975,0.00915957647579062,5.66816916909155e-05,-0.00862501655849304,0.196896626636647,-1.53974873702532e-05,-0.0123541002434038,-0.0964043804171161,0.000139680489306088,-0.000291282241149942,-0.124996688302557,6.12839668638193e-16,-0.0111871923770202,0.000719511295399267,9.76495035850608e-06,-0.00754133045557634,-0.258339498114168,0.00074057579041933,-2.75369082699543e-16,4.74179682502175e-05,4.29823115562548e-06,-5.19036920416411e-05,-1.1643069980442e-15,-4.70746048856432e-16,-1.20836162920104e-05,5.70755551074186e-16,2.79251985414444e-16,-1.2898421262063e-05,-0.00301838065244587,1.48827967692889e-16,2.42643360358256e-16,4.7157295990891e-16,3.091019352597e-16,2.23803581547653e-16,-0.00121140585404435,2.97672187909565e-05,-3.8073998504318e-16,7.28464714824905e-06,-5.76398780989844e-16,1.60617922410329e-16,7.31488971641383e-17,8.57267586886433e-07,1.12603443869396e-16,-9.54497203124169e-17,-4.97309011040329e-05,1.53068496940447e-05,-9.35920146781387e-17,3.65674363626511e-06,-0.000152540333249655,5.13083398786591e-16,9.2994195157557e-15,3.59902698818358e-15,-4.87714598979634e-14,-0.707106781186548,1.81363024101229e-15,4.12045749924771e-07,-1.12359656982226e-15,2.46178001365674e-17,-5.83062781434899e-16,-4.91982303093471e-16,-2.81685544564708e-16,-6.2230196681058e-17,-6.64079491241708e-07,-3.40271700785517e-17,1.34898404975383e-16,1.92799994371371e-16,1.68874945059935e-16
"t76",0.0759508142701198,0.0166886481787756,-0.112575582679337,-0.157251122592938,-0.0623661164787271,-0.00758656928246228,0.00162661343369175,0.000887073501274316,-6.20861541897541e-05,-0.0107217834241931,0.0390897973239829,-0.0207914752192387,0.00117453543485294,-0.05309401205619,-0.538765094694815,-0.0920342864167604,-2.8329342288691e-05,0.00434750915235366,-0.0735362031472338,5.32437049892639e-05,-0.0215804225508004,0.0104575889487969,-0.00108654685067099,0.00314202850343319,-1.14376460468306e-05,0.000672800920922565,-4.26899475870965e-05,0.000278352692934132,-0.040092813266098,0.00915957647579044,5.66816916908369e-05,-0.00862501655849281,0.196896626636648,-1.53974873703406e-05,-0.0123541002434039,-0.0964043804171167,0.000139680489305961,-0.00029128224114994,-0.124996688302557,7.7057715509161e-16,-0.0111871923770204,0.000719511295399267,9.7649503581175e-06,-0.00754133045557613,-0.25833949811417,0.000740575790419731,-2.75132028159985e-17,4.74179682502343e-05,4.29823115541915e-06,-5.19036920419269e-05,4.22482422991092e-16,-4.33298543971028e-17,-1.20836162923034e-05,-1.47451109490424e-17,-9.18714213455357e-17,-1.28984212623801e-05,-0.00301838065244501,-3.49472507295006e-16,-2.17664597969492e-17,-2.39169934764039e-16,-8.69458397963576e-16,-2.02088349033235e-16,-0.00121140585404488,2.97672187903007e-05,2.76480925633256e-16,7.28464714821699e-06,5.47404693050388e-16,-2.73141707394521e-16,-2.65194452053931e-16,8.57267588904035e-07,-1.22259061919324e-16,8.57057567355585e-17,-4.97309011039913e-05,1.53068496938595e-05,9.70175854757303e-19,3.65674363664812e-06,-0.000152540333251524,-3.46932007715957e-16,-9.1625585178042e-15,-3.3662362196592e-15,4.86087640726022e-14,0.707106781186547,-1.80020352515884e-15,4.12045743760139e-07,1.29581792721842e-15,8.02818068100545e-17,5.44718644502564e-16,6.6120573169509e-16,2.96735829404242e-16,-4.75943974446568e-17,-6.64079494161902e-07,3.24220366717205e-17,8.257558839474e-17,-6.32271520551414e-17,-3.34088627769947e-17
"t51",0.0797697034097341,0.0199345286357285,-0.141377630970977,-0.209162857778207,-0.092771264027386,-0.0176899775389294,0.00422344750177052,-0.0120293512394244,0.000290899710278451,0.0104291333762731,-0.0153847994725584,0.00740948826916599,-0.000193731697943456,0.00616257742787261,0.0504283162791883,0.00726617050976811,2.56892862482427e-07,-2.76046804387996e-05,-7.18920967485159e-05,-3.44979770290502e-07,0.000146258099034163,-0.000208376899365603,2.72442974728551e-05,-0.000129258058707727,5.25222482687057e-07,-4.9051837854956e-05,3.89850475722908e-06,-4.93020653071973e-05,0.00812168160486172,-0.00256270970924768,-1.9997287427061e-05,0.00531583033168596,-0.132041097209615,2.09638300087991e-05,0.0199904756476818,0.181876849115963,-0.000382675803247336,-0.000831408034085616,-0.102200040507277,1.04036401147904e-16,0.00197034069571496,-0.000147943832939257,-1.94267576894124e-06,0.00126896656527898,0.0313492551998521,8.22643134582033e-05,-1.4416878271206e-16,0.000207727596792192,3.67169889175691e-05,-0.00051874278943044,1.64065669342611e-15,-1.42300827972606e-15,-0.000890692818268081,-1.17718713197746e-15,1.00493049002775e-14,0.00306219752822554,0.881705409699852,-5.4318906385745e-16,1.11065834901782e-16,-5.00119572536788e-16,5.23955540757598e-16,-1.45453119995891e-17,0.257201303242149,0.0012790275166127,-8.19096463945138e-16,6.62390519277854e-05,9.31460593885664e-16,2.70685620913773e-16,8.47156065379079e-16,4.66970551774891e-06,-9.66882439139045e-16,-1.53570535459471e-16,-0.000249817150700155,7.30841894179508e-05,1.07376855174201e-15,1.63733905851147e-05,-0.0308560360095518,1.87104700930408e-16,-2.60004812370324e-16,1.58376335640463e-16,-5.32145895668146e-16,-4.13548909394614e-16,2.87229974869227e-16,1.10313674661046e-06,1.94267111901613e-16,1.59658894750151e-16,3.14194571493604e-16,-7.82641943329835e-17,1.84559489788312e-16,2.13506038411821e-17,-1.45009793464458e-06,-3.91518327127311e-16,5.50920744857595e-17,-2.11631101207842e-16,6.58178087301612e-17
"t69",0.082322833343734,0.0218352238392042,-0.157618645812565,-0.237365614469476,-0.108345930086032,-0.0221903133355982,0.00535644869424934,-0.0167782415881116,0.000415499796683391,0.0166557530531176,-0.0283556369796594,0.013936468937434,-0.000440785276106526,0.0155944210343705,0.137015271057892,0.0209524124227631,2.02788212974592e-06,-0.000269612758280365,0.00128095181125014,1.04293768490637e-06,-0.000433875281177491,0.000355059510798696,-4.00133866566521e-05,0.000130402563608139,-4.80721091763902e-07,2.71263540841515e-05,-1.53048892259037e-06,-2.01408145249346e-06,0.00102728446332592,-0.000871470854834839,-1.01489500880679e-05,0.00521815953559373,-0.139816715954649,3.42478003291613e-05,0.0347847460303938,0.331552718855837,-0.000759125433565142,-0.0022747518649088,-0.379693788654329,3.9329306413636e-17,-0.00808499746822441,0.000265875085775469,3.33312014299311e-06,-0.00191356640146357,-0.0422700856526021,-8.64669073636317e-05,-1.9471178839043e-16,-0.000123068908115705,-1.9448109770096e-05,0.000268251569499268,-6.18893754497783e-16,3.82190616131347e-16,0.000371045275217031,1.43747183582405e-16,-3.11185688712119e-15,-0.00103112761324112,-0.284542644457161,1.19941331846864e-16,5.14544794190456e-16,-7.61264230095491e-17,-3.72792131429666e-16,-1.03780462827074e-16,0.0988897362376832,0.00034601736972289,1.86848923033351e-16,-5.18612852657815e-08,1.28952520575238e-15,-5.57151721388377e-17,-2.03023194219883e-16,7.27522011775475e-09,-7.43651229039336e-16,-8.1096594555188e-16,-2.79139110872318e-06,1.32505788978679e-06,-2.54003319718714e-16,1.45509361342702e-06,-0.0194801163196575,2.1307638646779e-16,-2.53045683120826e-15,-0.707106781186548,3.58317089967406e-15,-2.86864247044127e-15,-1.88794754005132e-15,1.38084335935158e-07,-7.63524229261774e-16,-5.61938458794087e-16,1.45911246390123e-15,-3.82800029588931e-16,-3.06677806301784e-16,-1.65243176782773e-16,-2.59541970820404e-07,-4.73613853124754e-16,-7.05903041538814e-17,2.83937930477599e-16,-2.91257141502337e-16
"t70",0.082322833343734,0.0218352238392042,-0.157618645812565,-0.237365614469475,-0.108345930086032,-0.0221903133355982,0.00535644869424937,-0.0167782415881115,0.00041549979668333,0.0166557530531177,-0.0283556369796594,0.0139364689374339,-0.000440785276106526,0.0155944210343703,0.137015271057892,0.0209524124227632,2.02788212971404e-06,-0.000269612758280408,0.00128095181124997,1.04293768504304e-06,-0.000433875281177427,0.000355059510798821,-4.00133866567394e-05,0.000130402563608016,-4.80721091833528e-07,2.71263540838999e-05,-1.5304889227157e-06,-2.01408145218381e-06,0.00102728446332556,-0.00087147085483474,-1.01489500881998e-05,0.00521815953559377,-0.139816715954649,3.42478003287645e-05,0.0347847460303937,0.331552718855837,-0.0007591254335651,-0.00227475186490859,-0.37969378865433,-3.08895127526335e-16,-0.0080849974682242,0.000265875085775108,3.3331201426106e-06,-0.00191356640146336,-0.0422700856526015,-8.646690736366e-05,-5.8452769016839e-17,-0.000123068908115165,-1.94481097693391e-05,0.000268251569498755,-3.75253618323984e-16,1.40770449259728e-16,0.000371045275218033,-3.45329004038542e-16,-2.89385202573637e-15,-0.00103112761324122,-0.284542644457162,4.62107867299152e-16,6.17068831334138e-16,2.32534769991353e-16,-3.429194280077e-16,8.50353352087435e-17,0.0988897362376833,0.000346017369721396,-4.49983826848175e-16,-5.18612854004199e-08,5.08992055190429e-17,2.54986476882914e-16,2.65942344898609e-16,7.27522075425597e-09,-1.46210070829178e-16,7.49560529465652e-16,-2.79139110784568e-06,1.32505789156519e-06,3.50746476283047e-16,1.45509361094509e-06,-0.019480116319659,-5.79766672610992e-16,2.63467324529035e-15,0.707106781186547,-3.70349059098176e-15,3.7054699549807e-15,1.61514629786881e-15,1.38084338713223e-07,5.62681402092088e-16,2.30660068892329e-16,-1.41966678178658e-15,5.63521712063426e-16,2.94877115922401e-16,7.08131949784119e-17,-2.59541970888739e-07,5.40804790960814e-16,5.34221293214214e-19,-5.93907730635676e-19,5.28521876659119e-16
