,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
t14,0.030250434,-0.0024515076,3.6073892,6.145551,-0.5279073,-0.04674013,5.126699,-0.04154423,-0.047000878,4.0749507,-0.029723331,0.14221075,-0.4679494,6.6289706,1.3136282,-0.1612154,6.1122622,5.476925,0.007488458,-0.26039293,0.024270685,7.4003663,0.59734964,0.18048231,6.521297,4.5861273
t15,0.028409436,-0.08827641,3.3584864,6.123412,-0.4854046,-0.11214708,4.801287,-0.06613553,-0.048785374,3.725427,-0.022223163,0.06377029,-0.4435803,6.8598733,1.41954,-0.14726691,6.600382,5.6402164,0.00217461,-0.24921243,0.0177929,7.5265613,0.60737175,0.19072352,6.9350047,4.549531
t11,0.027560655,-0.12111652,3.6437924,6.264878,-0.4422411,-0.2118698,4.867522,-0.11893767,-0.1253107,3.7266793,-0.009936152,-0.014183571,-0.42484978,7.514781,1.6376209,-0.13589552,7.3347354,6.3557796,0.33822617,-0.23885734,0.018427907,8.398812,0.6482769,0.21893673,7.7949457,4.528458
t17,0.032757167,0.18405369,4.3325796,6.403972,-0.54110324,-0.086654305,5.537125,-0.082635134,-0.08387648,4.790831,-0.039320253,-0.00432687,-0.4649202,7.1522727,1.535078,-0.15847278,6.2771106,5.848411,0.007612452,-0.25797233,0.026115403,8.255923,0.6281407,0.19530326,6.7398214,4.7074037
t18,0.036948003,0.5873522,4.7699366,6.4266014,-0.60499215,0.04002253,6.026115,-0.027406773,-0.053892206,5.470195,-0.062516265,0.04399307,-0.50766593,6.7193866,1.4163066,-0.17978275,5.4574795,5.453338,0.017197087,-0.27861738,0.03300648,7.9158244,0.6104797,0.17343271,5.958122,4.770156
t172,0.12687641,9.949333,22.037146,17.622988,-0.017816557,8.032286,21.477867,5.7688923,2.8871424,15.352091,-0.35912505,9.438087,-1.3724511,3.135164,7.8923044,-0.75527465,-0.69890505,2.48369,0.15976547,-0.8192334,0.3263924,6.2667875,0.25165674,1.3934621,-0.10635492,-0.009769988
t177,0.12326884,9.698948,21.421623,17.147633,-0.060283933,7.641526,20.91882,5.5687876,2.6917715,15.301094,-0.35295224,8.941678,-1.3571947,3.1778202,7.4720464,-0.7349738,-0.6695305,2.7099822,0.1554249,-0.8047981,0.31072763,6.462645,0.26813754,1.2609282,-0.0911733,-0.0075711147
t178,0.11676804,9.234541,20.350681,16.37795,-0.13994445,6.853598,20.069603,5.1325173,2.3434906,15.230735,-0.33983707,8.041981,-1.3154924,3.412389,6.8781557,-0.6945237,-0.60725224,3.1865468,0.14699636,-0.77107966,0.28159174,6.8759155,0.29449344,1.0342327,-0.060121957,-0.0028489756
t157,0.1274032,10.148987,22.025963,17.52113,0.0053038765,7.964293,21.696293,5.6881547,2.956382,15.441085,-0.37030348,9.560179,-1.3786076,3.049454,7.9832,-0.75319684,-0.69756216,2.667304,0.15940544,-0.83042055,0.32696334,6.2918453,0.2679928,1.5835723,-0.1115036,-0.011442774
t158,0.11406127,9.140177,19.776955,15.910833,-0.16827032,6.330839,19.87848,4.824705,2.2294137,15.263684,-0.34221607,7.6912584,-1.2981961,3.5054557,6.7111363,-0.66962343,-0.56634766,3.653155,0.14154308,-0.7591536,0.26627514,7.126172,0.32147017,1.0942769,-0.04637858,-0.0016858473
t156,0.11757507,9.435396,20.457016,16.374426,-0.11472281,6.930976,20.406588,5.1329365,2.4404194,15.280204,-0.35044247,8.279868,-1.3280475,3.3025522,7.060622,-0.69648767,-0.61221856,3.296021,0.14751029,-0.78394306,0.28830975,6.8330445,0.30615887,1.2256047,-0.06946539,-0.00564859
t232,0.12718904,10.088302,22.022047,17.624142,-0.018608196,7.886294,21.677141,5.694746,2.7789326,15.574673,-0.3708705,9.406816,-1.3650229,3.1475627,7.8449535,-0.75080675,-0.70521224,2.6381123,0.15766878,-0.8192941,0.32675853,6.332418,0.25259545,1.4111004,-0.113731876,-0.010603307
t233,0.12723982,10.079948,22.014385,17.62953,-0.019652527,7.8882203,21.673828,5.6988764,2.7776508,15.570947,-0.37117913,9.412121,-1.3649615,3.1427405,7.8459973,-0.75053823,-0.70519614,2.6360073,0.15762551,-0.8193846,0.32624575,6.328558,0.25193712,1.4136307,-0.1140821,-0.010620451
t218,0.12356457,9.834111,21.458483,17.211765,-0.058542136,7.5916758,21.189125,5.525414,2.5950994,15.506428,-0.36382836,8.964797,-1.3498797,3.1913512,7.4935584,-0.7318155,-0.679604,2.8181233,0.15381134,-0.8054365,0.3137828,6.4923534,0.26537392,1.2834138,-0.10121887,-0.008783654
