,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
t14,12.881932,5.3286996,6.220756,5.7047434,4.6832747,4.3706346,3.2150156,5.734185,7.0663443,5.0398216,5.290767,5.6867332,4.2639685,5.128401,2.4154968,5.0391693,5.7951555,6.6536536,4.6308146,6.449486,5.5976005,4.6491632,4.258247,5.903412,5.630786,6.3849154
t15,12.928725,5.366821,6.163976,5.6905603,4.7387457,4.3361273,3.2582357,5.714947,7.078469,5.0234175,5.250615,5.6846294,4.236011,5.0928164,2.40089,5.113034,5.812831,6.6477113,4.604388,6.4323015,5.591678,4.703202,4.29386,5.8416033,5.566933,6.459612
t11,12.928156,5.3658786,6.17518,5.6994343,4.7366424,4.341797,3.2586102,5.7159977,7.0797663,5.018401,5.2567244,5.6850333,4.241258,5.1092067,2.3973892,5.1105824,5.7966003,6.6480517,4.611415,6.4345255,5.5898023,4.692891,4.2986393,5.837923,5.574537,6.450017
t17,12.90941,5.348999,6.1823125,5.6972804,4.7637367,4.333031,3.2421682,5.6940265,7.1061516,5.0055666,5.2837024,5.662552,4.223574,5.129506,2.3626773,5.1150007,5.776697,6.619413,4.6227274,6.4254026,5.5660677,4.680103,4.29215,5.8233447,5.598895,6.4599752
t18,12.95434,5.399297,6.1914687,5.711126,4.743258,4.3432755,3.291444,5.735857,7.0627875,5.0202537,5.241569,5.7101216,4.2406263,5.118734,2.4105937,5.1445384,5.7864423,6.6487374,4.5972466,6.448745,5.606948,4.694893,4.3238854,5.8202643,5.551042,6.463527
t172,14.110579,8.766356,5.35182,9.438627,6.374999,5.5038047,5.575771,5.759193,6.8250613,5.298115,4.765142,4.250518,3.9920084,3.0642521,2.6351628,5.0065317,5.3434005,5.775583,5.809752,5.1191044,5.095917,8.642143,5.6497674,4.499402,3.1393473,6.406049
t177,14.165987,8.813849,5.306297,9.508335,6.3583317,5.5016522,5.595348,5.7474527,6.816119,5.3525047,4.708885,4.1904454,3.9725142,3.0096812,2.6479204,5.0429087,5.3275886,5.755576,5.8644643,5.0641284,5.100401,8.708285,5.685014,4.4439125,3.0857768,6.411295
t178,14.10361,8.722672,5.2962446,9.409199,6.3271446,5.451777,5.6284614,5.7676926,6.910867,5.3059077,4.779802,4.261327,3.9348228,3.144038,2.6018515,5.031862,5.3426433,5.768516,5.8114376,5.1500354,5.066489,8.559025,5.621448,4.5781837,3.1569226,6.461622
t157,14.093372,8.769598,5.3645506,9.417577,6.3873463,5.5134,5.5736814,5.7615833,6.822753,5.280254,4.782964,4.269372,3.9991891,3.064787,2.6369648,4.990236,5.349746,5.772763,5.793431,5.129917,5.0967255,8.63341,5.6442604,4.5037065,3.1461422,6.4032407
t158,14.108419,8.725168,5.2685423,9.449874,6.3114514,5.4475546,5.639299,5.7591057,6.924387,5.318865,4.771007,4.2183414,3.9298666,3.1327035,2.6104662,5.0426464,5.3481846,5.7538376,5.8158975,5.1400056,5.074072,8.587319,5.61203,4.596084,3.1591196,6.4655423
