accepted_species,estimate
t61,0.5769418
t75,0.18888812
t295,-0.38400015
t413,0.11481854
t359,0.23876557
t257,-0.50146353
t322,-0.17690408
t294,-0.012237323
t218,-0.72474533
t340,0.052350897
t396,-0.15500651
t50,0.12630346
t159,0.08737444
t217,0.3677144
t270,0.52268636
t394,0.6969124
t249,0.1255196
t315,0.1774028
t253,-0.5955048
t191,-0.27186927
t236,0.65156305
t304,0.57762957
t405,0.39751062
t353,-0.8882901
t317,-0.19934726
t173,0.08205269
t348,-0.05195843
t389,0.247086
t378,-0.17846356
t151,0.34914872
t200,0.4142577
t112,0.1400246
t137,-0.120836355
t125,-0.50257903
t111,0.426822
t121,0.45122406
t71,-0.46811512
t58,0.0027282825
t44,-0.24570431
t22,0.08114346
t68,-0.34359363
t14,-0.49729383
