,Ev Model,Missing Type,Tree Type,Variable Type,Signal,phylopars,phylnn_fill_means,linear_eigenvecs,linear_PEM,linear_umap,linear_autoencoded,xgb_eigenvecs,xgb_PEM,xgb_umap,xgb_autoencoded
count,400,400,400,400,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0
unique,1,2,2,1,,,,,,,,,,,
top,BM,mcar,ultrametric,continuous,,,,,,,,,,,
freq,400,200,200,400,,,,,,,,,,,
mean,,,,,0.9992054896514468,0.3328165549071819,0.6665634385265156,0.49483696278672684,0.3524654088741984,0.5313509618614464,0.567019428367566,0.40003533655756385,0.3982361221639036,0.4706094050432743,0.4301151955080643
std,,,,,0.005087570388814568,0.14885336517121942,0.26166998687796833,0.21305222126514997,0.14954004252319775,0.3084347058207218,0.36416371535561065,0.17904110056518405,0.18895047394376174,0.17136318342795845,0.19379392499238568
min,,,,,0.932322774983526,0.0801435604009731,0.13520072891291268,0.07114342649468988,0.07952128016058319,0.1795668248152312,0.20198989164081568,0.0660684758984014,0.1030842464141823,0.16683275472105036,0.13090796339680544
25%,,,,,0.9999156269371352,0.23527977255648586,0.4990728765241423,0.36962827744964744,0.25953341975479816,0.39792708319894515,0.41798756347253657,0.2938107542076125,0.28494324695596196,0.35526617464157917,0.3154911902005536
50%,,,,,0.999926686256414,0.3048098851596891,0.6389325953337481,0.45612313790795445,0.3239638480016649,0.4848108900861674,0.510933237931949,0.36097587665537345,0.3502757179828987,0.4450383509202679,0.39470389910362574
75%,,,,,0.9999542343014709,0.38865389916875653,0.7997488611327265,0.5680919896043166,0.40856732165632287,0.607787034772188,0.6389168857245446,0.45839465544422753,0.466777610597162,0.5498067437302017,0.5004280606804127
max,,,,,1.00277267642852,1.19423782051109,2.160168163599056,1.7416178082091336,1.1877314208086105,4.713686455040389,6.4631742796869345,1.6426618134417421,2.105320241441742,1.457983701441742,1.917017721441742
