"","V_1","V_2","V_3","V_4","V_5","V_6","V_7","V_8","V_9","V_10","V_11","V_12","V_13","V_14","V_15","V_16","V_17","V_18","V_19","V_20","V_21","V_22","V_23","V_24","V_25","V_26","V_27","V_28","V_29","V_30","V_31","V_32","V_33","V_34","V_35","V_36","V_37","V_38","V_39","V_40","V_41","V_42","V_43","V_44","V_45","V_46","V_47","V_48","V_49","V_50","V_51","V_52","V_53","V_54","V_55","V_56","V_57","V_58","V_59","V_60","V_61","V_62","V_63","V_64","V_65","V_66","V_67","V_68","V_69","V_70","V_71","V_72","V_73","V_74","V_75","V_76","V_77","V_78","V_79","V_80","V_81","V_82","V_83","V_84","V_85","V_86","V_87","V_88","V_89","V_90","V_91","V_92","V_93","V_94","V_95","V_96","V_97","V_98","V_99","V_100","V_101"
"t1",-0.0498203801307604,-0.00859866184475288,0.0425011582766483,-0.0501191658475464,0.0017353403405366,-0.072633047079612,0.00150791823252682,-0.0131757935430933,0.000148546953606714,-0.00144221971204057,0.0159501741152482,-0.00417458806728109,0.00209380454529498,-0.027229676605592,0.09763168419516,-0.0791273125353853,0.0518922635213763,-0.00513712757588036,0.00171280089848661,-0.00809676123169315,0.00916613424178846,-0.132631289268576,0.232179244455254,-0.000309998658560279,0.0989058332166222,-0.00464267936671249,0.0189037546788452,-9.5096301451183e-05,0.000394170221861888,-0.0987698406441904,0.000345477801450583,7.13008075256851e-06,-0.0895408493818038,0.00111288704858184,-0.00199062212344642,-3.81494257805651e-05,0.0137287230766646,0.260960989466103,-0.244637222451564,0.0718449824283357,-0.00190832828000917,-0.259835355719772,0.00506100955993221,0.00693683460693258,0.00491331232576775,0.101603947286188,-0.40861040298081,-0.00164556671052097,0.00668233948791421,0.00278593658016003,0.00356511668578186,-5.03157365701491e-05,-0.163148893781601,0.00150623988264643,-4.75343114919002e-17,0.0205495413751989,1.2093818787993e-05,5.16141448574209e-07,-0.668475494498409,-0.000228542501417556,0.0444765999863575,-0.00244015168617883,-0.00106771728381767,-1.63283654829924e-14,-3.92936933735785e-05,-7.26532832141063e-16,-2.40425933557017e-15,-0.0677333334332892,7.86327030444617e-06,1.46272440891701e-16,2.84024091054147e-17,6.60442050112869e-17,2.90793796830639e-05,3.56444712589499e-16,4.04682878016692e-17,-0.000388961696766766,0.000280832383581705,-0.00137212868987925,6.13858521652954e-18,-8.52913989349034e-17,-1.13465188283958e-16,2.88777904775796e-05,1.33806787990718e-17,5.54639604722338e-17,4.01587552898779e-16,3.36993066272087e-17,-0.000126549145457267,-1.28839218375598e-16,-9.60016631435477e-17,-4.36708023437059e-15,-8.28703564170142e-17,-7.22868442293039e-17,-2.10124232181521e-16,-2.05593080394099e-17,1.0592286331279e-17,-1.81693184694214e-16,-1.25302747973048e-17,1.54129945310453e-17,-2.87585887372113e-17,-7.36970327976776e-17,9.89256580703115e-17
"t2",-0.0176507991016068,-0.0149713699846384,0.0506635046983538,-0.0945702430793672,0.0033304585918853,-0.141716886045109,0.00316764914122917,-0.0726212173158068,-0.000164881771298603,-0.000282863886831942,0.00337640718398594,-0.00294109826330583,0.00172884954978721,-0.0226075505312879,0.0497023078122781,-0.0428420792210069,0.0643077099596833,-0.00579698431889714,0.00192660014543246,-0.00904071554381503,0.0101504384826764,-0.140188300985371,0.242410367925171,-0.000281622924464327,0.162224768072966,-0.00548935492901293,0.137417535420737,-4.66395842729297e-06,0.00088081833145715,-0.242551463640336,0.00118213068834559,-0.000142119290077699,0.0657296986681004,-0.00594649520720623,-0.000707502309409441,-1.62557607822269e-05,0.00805063742579739,0.133609335194066,-0.225063643564997,0.0668078406952786,-0.00193997929834843,-0.281454040571963,0.0064849078133757,0.0114370189707466,0.000357840479718482,0.0625433791890049,-0.269554306953065,-0.0011670627703206,0.00588408468267239,0.00259199316026186,0.00334701683130462,-5.97861454839425e-05,-0.198488932003397,-0.00513304383116389,2.36872143108631e-15,-0.0280345912822887,4.13149359826385e-05,5.25158632296571e-06,0.696375495555778,-7.21614499092013e-05,-0.0361507911381908,-0.00132792435759108,0.0021114168184751,3.35548147724706e-14,-2.89575973221946e-05,9.05146437627231e-17,1.39773099759023e-15,0.0349733033451857,5.5680412552216e-06,-3.0309995101193e-16,3.24891256615551e-16,-3.7004018550819e-16,2.19013104788407e-05,-4.34103564829175e-16,2.03310270637951e-16,8.66107889317833e-05,0.000227585474528915,-0.00112402562675145,6.36473438464313e-16,1.33114973723433e-17,-3.87672848972203e-16,2.39780027958165e-05,5.06026281887104e-17,-1.07091790218189e-16,-5.08034573293612e-16,-5.37272066702355e-17,9.44737686051099e-06,-2.53453742332956e-17,-1.68566135298809e-17,-3.20851541383361e-15,1.41261126311311e-16,3.46008754077492e-16,1.94682912045526e-16,2.89762781840507e-17,-3.81927675150872e-17,3.40081174618571e-18,6.3360167457087e-17,-9.01899574380825e-17,-7.55603439413886e-17,4.48031284399597e-17,-1.402329669074e-17
"t6",-0.018548227146562,-0.0172464554457612,0.0637701405437598,-0.124955419577016,0.00476448444614699,-0.206753851921178,0.00494644084433654,-0.162636408106729,-0.000751716005005458,0.00228521831984205,-0.00284902754387869,0.00227487710423385,0.000438849715443395,-0.00895130633940815,0.0260145808157171,-0.023831671579188,0.0418220245765548,-0.00467402705115211,0.00161469074061232,-0.00814587461482058,0.00953969374820564,-0.14332392728781,0.250439359306901,-0.000306493402937423,0.192451683709982,-0.00678341099933243,0.188509604962352,-7.82636313032532e-06,0.00152954041637302,-0.469746685414724,0.00278002759377759,-0.000432987080752655,0.204374601930766,-0.0238067881768757,0.00375453221424084,6.21364637231864e-05,-0.0114121047799872,-0.147444782678486,0.11697714509352,-0.0207951674805281,-0.000346537975040953,-0.128141729881843,0.00707573824345747,0.0212688199275984,-0.0110725674889819,-0.167029745731286,0.592335910400914,0.00203414087060293,-0.00432593495585162,-0.00157153988699971,-0.00197458126465652,2.39337176824377e-05,0.0780118517215814,0.00189645202092325,-6.57074225156993e-16,0.00899881167410606,-1.31139992394283e-05,-1.61827032707367e-06,-0.200829812959942,1.83765781252385e-05,0.00910650517001389,0.000287758148792505,0.00219316603317344,3.55472966420284e-14,5.3286079085224e-06,1.92663518719783e-16,-3.08047147783891e-16,-0.00618865117961334,-7.25218356712622e-07,3.19204626648714e-17,3.33397547270574e-16,2.90287339184714e-16,-2.05051101093857e-06,3.68704074979908e-16,-1.41183582341567e-16,-4.00900890761718e-06,-4.6751053698303e-06,6.82375123520478e-06,-7.22108904474941e-16,8.23396750607535e-17,1.41410477084886e-16,3.27518366139199e-07,1.83100973644566e-16,-6.41059594337495e-17,-3.04700263322559e-16,-2.58762126173222e-16,5.4558534326661e-07,2.38659392977515e-16,1.38312229527422e-16,-3.99517668745903e-16,-1.03201922645841e-16,9.25986619512016e-17,-6.39445900228908e-16,2.53899319064323e-17,4.47747908918601e-17,7.75176224190818e-17,8.00752793599874e-17,-1.21116315682876e-16,1.35953214471928e-16,-3.41009372237419e-18,-4.04148859741922e-17
"t21",-0.0191949991241412,-0.0189414203017376,0.073796454241756,-0.148493144294619,0.00589560486661955,-0.258260931740364,0.00637343351390728,-0.238327780471328,-0.00126605244611309,0.0046370191973252,-0.00895510035512745,0.00741197559248677,-0.0011199183095717,0.00948995606323339,-0.0117819410476337,0.00832431826022192,-0.00532713214302766,-0.000399840418094802,0.000184726209967685,-0.0013207094039633,0.00178031760926443,-0.0328733113436798,0.0586461007548173,-7.86613626370686e-05,0.0556751955976465,-0.00205574882903498,0.0630174598759876,-2.99326636912047e-06,0.000595671345352904,-0.192550304182846,0.00122536681569138,-0.000205101970988593,0.0972734474514444,-0.0119239706407352,0.00255809173334145,4.47075492810354e-05,-0.011782620881765,-0.180972692070993,0.30256166949498,-0.0960995435122946,0.00355960860308511,0.596917974345084,-0.018449127311357,-0.0431133685638962,0.0134650727897565,0.133584086940832,-0.422647599693756,-0.00121312444309807,0.000493706882416126,4.65855562896823e-05,3.73184939277021e-05,2.46473904779562e-06,0.00838773179452027,0.000231549473836679,-2.8155256640935e-16,0.00136570394339661,-2.01884565126212e-06,-2.58285593036488e-07,-0.0344933380329553,3.55710862007209e-06,0.00178044528210851,7.14136144499112e-05,0.299176286924293,4.83032361055852e-12,1.15163125856097e-06,3.34860078355374e-15,-8.15194219018629e-16,-0.00137489316716295,-1.82536473084623e-07,1.14013394384745e-15,2.36715129390755e-17,-4.25043635369163e-16,-5.57130183972058e-07,-6.52747128334774e-16,2.03812844716938e-16,-1.18809084233863e-06,-1.44661014902769e-06,2.16110759593339e-06,9.39903421271336e-16,-9.56490337925889e-17,1.60290627295645e-16,1.06953200348536e-07,1.84708287183603e-16,-7.45633561532319e-17,-1.66925890834748e-16,2.4407393854021e-16,1.90073035297861e-07,-6.177516528675e-17,-1.06804968783707e-16,6.30468884802544e-17,-1.6764643564837e-16,-2.75743393297169e-16,-2.14144351959797e-16,6.78219703537692e-17,-6.64006649493396e-17,3.75415935318583e-18,-2.03945197627867e-16,1.94314419194998e-16,1.24186820604759e-16,1.66977515608298e-16,1.90452166169601e-16
"t54",-0.0195713932257028,-0.0199346244972626,0.0797034136930807,-0.162395522966611,0.00656611763664215,-0.288818225012695,0.00722218158313742,-0.283762955817318,-0.00157723915211919,0.00607156742892918,-0.0127258614270767,0.0105866506432588,-0.00211611180118055,0.0214699481240197,-0.0368860520953608,0.0298342989379518,-0.0376150810336162,0.00266642032338056,-0.000851529712630451,0.00372580089068506,-0.00402839557784529,0.0519807432101893,-0.0891892066368608,9.99201632580266e-05,-0.0546369295592489,0.00180992440738134,-0.0433079329604285,1.3925028284337e-06,-0.000261564038153591,0.0712483748895819,-0.000347883649275142,4.34201079206237e-05,-0.0201706383156284,0.00195833404225284,-9.52415996453371e-06,5.54751115856776e-07,-0.000894885053810795,-0.0166073557164206,0.0372779030844882,-0.0127000441939045,0.00051687430704276,0.0890624967175761,-0.00284675445256299,-0.00678011542628197,0.00221882548470342,0.0230175182112476,-0.073755622509559,-0.000215992265045505,0.000101589314269219,1.00071168758298e-05,8.06420603884843e-06,5.68739039774719e-07,0.0019384537649417,5.36890607798206e-05,8.44679061978926e-16,0.000313938997407025,-4.63087724534548e-07,-5.88222130473833e-08,-0.00764703328283567,6.82850327527634e-07,0.000332990357905554,-1.49999228362163e-05,-0.86678502541627,-1.39944057128372e-11,5.29203468130607e-07,-9.60603212567673e-15,1.76233401925369e-15,-0.000583873617423097,-6.59476336959265e-08,-3.52229429691259e-15,-1.11843465269633e-15,1.38716623938825e-15,-1.98111875483687e-07,1.14174113602112e-15,-1.18634251424701e-16,-4.28175834306252e-07,-5.29132775010599e-07,7.98275674497974e-07,-3.28997503909068e-16,4.41364644940648e-17,-2.20925812903853e-16,4.00933471560713e-08,-1.43902886740123e-16,2.73417367276358e-16,1.28026356606712e-15,-3.97932440549262e-16,7.39667576968973e-08,-2.02909275104877e-16,1.50592508473994e-16,-1.35972195256502e-17,-1.81144917473273e-16,1.99498822249649e-16,3.70429593533775e-16,-4.67840058746787e-16,1.35493533838884e-16,-4.45012098946094e-17,-6.99415225937484e-17,-3.26118220719059e-16,-3.7008995010659e-16,-7.69896386647681e-17,-1.14201122573295e-16
"t74",-0.0197780113518998,-0.020479683592141,0.0829443870279435,-0.170022578955129,0.00693391863613482,-0.305579498711084,0.00768769003987934,-0.308673702510303,-0.00174780226468769,0.00685761071142055,-0.0147910673791015,0.0123253408289742,-0.00266105678599219,0.0280197190118493,-0.0506012123867459,0.041583224165918,-0.0552382361870286,0.00433775908586246,-0.00141620752114665,0.00647425485771964,-0.00719093288856381,0.0981487482107985,-0.169617856163908,0.00019703613784239,-0.114586261901323,0.00391007183838859,-0.101027341396817,3.77002948944393e-06,-0.000726169498258745,0.214127202754761,-0.00119909068611251,0.000177726514398088,-0.0836346923186669,0.00945335481621355,-0.00138799370662831,-2.31273365245018e-05,0.00491522499674323,0.0709461131846836,-0.103372232118713,0.0314419523261523,-0.00108891263043427,-0.178683726232599,0.00536750839158094,0.0123318869354434,-0.00368263444723421,-0.0348404321753547,0.108650216377911,0.000304520089162984,-9.93303878461032e-05,-8.5271438815687e-06,-6.72899095770121e-06,-3.42216314935126e-07,-0.00114720357285031,-3.00340202800557e-05,5.30117878061448e-18,-0.000154095673752151,2.24919296162723e-07,2.77806697459504e-08,0.00339083590860673,-2.68596278433399e-07,-0.000129604470925894,5.03789948992487e-06,0.282105220388927,4.55420497340375e-12,-1.51263912107875e-07,3.50762127258509e-15,-4.39830250074715e-16,0.000160511810759704,1.33260099683486e-08,1.58566359313452e-15,-4.57147615969389e-16,-1.02182268956371e-15,2.86057273891491e-08,-3.99335871564089e-17,-7.24861648755528e-16,2.97052789202765e-08,1.50654553853803e-08,-4.3704466904217e-09,-1.26723537190522e-16,-3.53722304466078e-15,7.85047061669858e-16,1.03692637925729e-09,-4.37380635163612e-15,-1.74718284994603e-15,0.707106781186547,-2.14249504201244e-15,7.07901389051147e-09,-2.65117910720786e-16,1.7628964344885e-15,3.45279508910439e-16,-5.98487119208941e-16,-8.34350361379e-16,4.60632287574462e-16,1.0493829615147e-15,-5.91050179187876e-17,-7.00206679194286e-16,-2.00605984632363e-16,-2.68101872267139e-16,-2.50955759530229e-16,-2.86666738986006e-16,1.35677268865721e-16
"t75",-0.0197780113518998,-0.0204796835921408,0.0829443870279436,-0.170022578955129,0.0069339186361347,-0.305579498711084,0.00768769003987936,-0.308673702510304,-0.00174780226468776,0.00685761071142041,-0.0147910673791014,0.0123253408289741,-0.00266105678599234,0.0280197190118493,-0.0506012123867456,0.0415832241659183,-0.0552382361870287,0.0043377590858623,-0.00141620752114671,0.00647425485771949,-0.00719093288856392,0.0981487482107986,-0.169617856163908,0.000197036137842361,-0.114586261901323,0.0039100718383886,-0.101027341396817,3.7700294896371e-06,-0.000726169498258589,0.214127202754761,-0.00119909068611261,0.000177726514398029,-0.083634692318666,0.00945335481621334,-0.00138799370662863,-2.31273365244581e-05,0.00491522499674332,0.0709461131846841,-0.103372232118712,0.0314419523261524,-0.00108891263043429,-0.178683726232599,0.0053675083915814,0.0123318869354426,-0.00368263444723421,-0.0348404321753542,0.10865021637791,0.000304520089162407,-9.93303878461451e-05,-8.52714388089042e-06,-6.72899095797974e-06,-3.42216314764035e-07,-0.00114720357285021,-3.00340202808328e-05,-6.76680181764148e-16,-0.000154095673754586,2.24919297736934e-07,2.77806708651047e-08,0.00339083590860567,-2.68596278343492e-07,-0.000129604470926279,5.03789948939849e-06,0.282105220388925,4.55507532262733e-12,-1.51263911414224e-07,2.79515659564893e-15,-4.63202658675594e-16,0.000160511810758664,1.33260114126253e-08,6.11843539564083e-16,9.95190943660104e-16,4.81878140637117e-17,2.8605727062523e-08,-5.40124070856332e-16,8.04706919278392e-16,2.97052783032299e-08,1.50654563309401e-08,-4.37044776475763e-09,1.6667883486747e-16,3.6456150075056e-15,-6.30398318586137e-16,1.03691372221167e-09,4.38141163085402e-15,1.63215782602967e-15,-0.707106781186547,2.28500455812288e-15,7.07900362315077e-09,4.39586156886875e-16,-1.80309750889981e-15,-3.5429174380039e-16,7.56426769587622e-16,4.70551934493097e-16,-7.69948774890377e-16,-6.54522676517678e-16,-4.45538032707576e-17,7.0817241728916e-16,3.30245428606516e-16,4.72466711124716e-16,4.27734076108732e-16,2.43074482823726e-16,-2.45240754648554e-18
"t14",0.0682767977614613,0.0972396613616383,-0.00857719537496315,0.0231418785791422,-6.76939272580253e-05,-0.000673618660748831,0.00645812345734817,0.00245160267632594,0.0833959471886372,-0.204868202973272,-0.00105613905202673,0.00964057532214151,-0.00011081730919758,-0.00305223550539568,0.00161905425427489,-0.00205974387607885,0.0233647259835374,0.0476208981722368,0.000386131752599575,-0.0168663398111101,-0.000425286343985231,-0.00205102496220436,0.00223019510132089,1.46808805394624e-05,0.00463252991003335,0.0247243706439905,0.00628693436530716,8.28475655909906e-06,-0.00453957775550095,0.00772311569665797,-0.0220118876116469,0.00123388379799813,-0.000215532772157134,0.200566002451797,-0.467263849400385,8.77098804718155e-05,0.73887867277007,-0.0324700593371564,0.0329525375776201,0.0131377509225186,0.0353472962150205,0.00318416094533194,0.00417381905237505,0.00669878466053177,-7.83697582379664e-05,-0.0508182369097962,-0.00608394087277114,-3.15478610569297e-05,0.00179317290633606,0.0618174140707476,0.0773818269961486,-1.39441628864674e-05,-0.00639670623921115,-2.33151436556534e-05,1.6696298880056e-15,-6.77059811818488e-06,-0.318158399545668,-1.46664005691319e-05,3.45479656036485e-05,-0.0130928449822409,-1.63423600842219e-05,-9.05861881835216e-05,-9.11091672948236e-07,6.40176760340935e-16,-2.85211139232865e-05,-7.87750488233309e-16,3.06989164864759e-18,8.44254224660473e-05,0.000275713464710793,7.44659953041195e-16,-1.49274430561739e-15,3.31464488466717e-16,1.82840189285399e-05,1.31079494114821e-16,-2.25641959100631e-16,6.12232679201631e-07,0.000177959888920264,-0.00148316474573511,7.7897996405752e-17,-3.1395140730041e-16,-2.89324996075524e-15,0.00539069522711143,5.57267489453375e-17,-8.67596376713359e-17,-2.58623374480446e-16,-1.80284162876923e-16,1.0908671513973e-07,2.21486946686382e-16,-4.89224355343182e-17,-2.60800829789887e-17,-2.6588715896011e-16,-7.91118552235168e-17,-2.50958052734213e-16,-3.0938710076179e-17,-3.10318649560045e-16,-3.56608119040064e-17,4.17899940527385e-16,1.1306193920654e-16,1.44221699310014e-16,-1.03774500100913e-16,2.23582758689699e-16
"t63",0.0705121279855385,0.106054799903982,-0.00980065736160311,0.0270621614061547,-8.19485064233547e-05,-0.000821975746272186,0.00808710929608183,0.0034014710450706,0.128191144115469,-0.356531707695985,-0.00233344119219558,0.0216565210822851,-0.00187355321815146,0.0187685872810168,-0.00318643617315495,0.00326054634180353,-0.0213472325873435,-0.0201605368928619,-0.000141582534345675,0.0046885022286424,9.99387148389172e-05,0.000336930941575872,-0.000349417220022241,-1.79355377862369e-06,-0.000348159665086306,-0.00139698318016551,-0.000106172317327548,3.00689382465319e-07,-0.000196015235670375,0.00047978586520192,-0.00192203443968075,0.000135617513488373,-2.39919186397208e-05,0.0251812204968612,-0.085706442730083,1.66355608208423e-05,0.158765733317608,-0.00718386386841505,0.00770607432150591,0.00311866711647235,0.00856894459985784,0.000776709348167065,0.00102599975141044,0.00165388943311241,-1.95567208327325e-05,-0.012808098139746,-0.00153758430611854,-8.00665141981391e-06,0.000463138581395343,0.0158147743970406,0.0197376815524105,-2.81032756353131e-06,-0.00123513563935203,-3.48003863973609e-06,-6.73390286417988e-15,6.87952541769156e-06,0.866460879328506,-2.34864811052276e-05,2.1799157880531e-05,-0.00596048338345399,-7.34510613324343e-06,-3.67824730630364e-05,-3.65759030042487e-07,-2.40315615137499e-15,-1.11080390293364e-05,2.35702565440227e-15,-3.12164588101355e-16,3.26950916910013e-05,0.000104689111052204,-9.20233399830732e-16,2.8809416021974e-15,-7.18975596245476e-16,6.93613506325053e-06,-5.33298336919346e-17,3.70514199889556e-16,2.35494665158241e-07,6.98643374345305e-05,-0.000598670819764327,7.06074124072634e-16,-1.03028773368923e-15,-1.30746950988938e-13,0.206877148741181,1.53473629620901e-16,4.67020508537341e-16,-8.5458451173955e-16,7.6136446796937e-16,4.16716070486696e-08,-4.94733049536363e-16,-7.00222113722137e-17,-6.11778692807488e-16,3.59885808343234e-16,4.20890150412684e-16,-4.84089392145708e-16,-1.08423957917051e-16,-6.05408874232049e-17,3.29437792996473e-17,-3.15196485778538e-16,-4.65314904400283e-16,-1.85273977338079e-16,1.55433717620407e-17,9.14388532495045e-17
"t88",0.0715101270478508,0.109989701378006,-0.0103467034101532,0.0288117065509259,-8.83093949292299e-05,-0.000888176328134122,0.00881395044685214,0.00382518504286028,0.148168761806592,-0.424154464618194,-0.00290275726383527,0.0270121297548461,-0.00265847184029863,0.0284805716414563,-0.005323927791096,0.00562655283905333,-0.0412183331862364,-0.0502462125066095,-0.000375752176245058,0.0142482267526269,0.000332804315403719,0.00139495605985222,-0.00149226234165095,-9.08912505047588e-06,-0.00255225545273737,-0.012952544633932,-0.00293195307255651,-3.22278948025513e-06,0.00172037519682723,-0.00271351704812502,0.00692368651619368,-0.000347267684379986,6.02161895112557e-05,-0.051837799178623,0.0805699428533752,-1.42950701750058e-05,-0.0916908547861724,0.00370033478042825,-0.00307132505880114,-0.00114471433462934,-0.00276149343599185,-0.000239851226434773,-0.000299386074438886,-0.000466412915440221,5.03347023571993e-06,0.00298503869862906,0.000347488606093266,1.71894897079805e-06,-5.87094926277817e-05,-0.00153671755085841,-0.00183248690457354,8.97763115652654e-08,3.60567739592296e-05,6.99141666227199e-08,-4.64596721242044e-17,-2.80141859189398e-09,0.000947091171096609,-1.17719281251692e-07,2.94351614138488e-07,-0.000169125139962818,-2.17464891136276e-07,-1.67425935860286e-06,-1.77777864740578e-08,6.10184233969777e-16,-6.69134029329003e-07,-2.92956594800763e-16,-8.39383070365212e-16,2.0725134297489e-06,8.69200634187346e-06,3.02084024715727e-17,-3.23388437882173e-16,1.95936078960442e-16,6.56755563160955e-07,-8.35767709163706e-16,2.44981712600296e-16,2.13791168298403e-08,3.43584726541173e-06,2.3208324502794e-05,-3.62754163238465e-15,7.16745765509891e-15,5.4588720595542e-13,-0.863811755930659,-9.97082977680442e-16,-1.09312131915996e-15,7.78105821555239e-15,-8.37090741567253e-17,1.53123096344719e-08,1.38616554732386e-15,7.34891110410341e-16,1.15310091666711e-15,3.71646205016858e-16,3.50947315100483e-16,-7.71857680175858e-16,-1.50434065546675e-16,-2.70305332368765e-16,-4.73847180107966e-17,3.86912357224363e-17,6.87858457609697e-16,2.18975132762915e-16,-2.36046512238292e-16,-1.96888399494668e-16
