,0,1,2,3,4,5,6,7,8,9,10
t1,7.9380293,2.793685,3.678514,10.143628,4.987315,3.79934,5.1568975,7.1152906,4.420937,6.68384,4.8109565
t2,7.8500743,2.9080951,3.7727633,10.211076,5.0913563,3.8933778,5.290488,7.122743,4.398027,6.8012834,4.832827
t3,14.238369,8.578066,2.9921782,7.1653247,8.982017,8.353514,5.636919,1.3843331,7.732974,6.0200567,6.1357675
t4,7.9057927,3.222705,3.864939,10.021412,5.427424,3.8901436,5.8513217,7.456377,4.7660604,7.480252,5.3836994
t5,7.755167,3.2383256,3.7761257,10.064999,5.311986,3.9889414,5.7443285,7.7170405,4.759931,7.3567767,5.5190907
t6,7.893771,2.9476135,3.8134725,10.192025,5.1392865,3.8523958,5.4045386,7.0903816,4.466083,6.924891,4.8951674
t7,7.5605307,3.0997937,3.6103444,10.305718,5.0270977,3.9114985,5.456018,8.022722,4.739559,7.0519443,5.652215
t8,8.039343,3.1137686,3.960613,10.058894,5.4306273,3.763806,5.7853703,6.9785833,4.6652646,7.3711333,5.036914
t9,7.6853795,2.4652689,3.6722813,10.409309,4.5317726,3.9717352,4.452849,6.3339996,3.8757763,5.9151883,3.9171016
t10,7.7385225,2.653784,3.6252835,10.255204,4.7187424,4.0018096,4.660932,6.478857,3.9074514,6.1703334,4.09246
t11,7.890164,2.3677611,3.6103127,10.257663,4.6289916,3.7133293,4.7376237,6.6345706,3.9352813,6.2504516,4.3150992
t12,7.695672,2.6213493,3.4548845,10.079082,4.521204,3.9014103,4.5566,6.3557687,3.6394331,6.2201414,4.0886245
t13,-7.183496,3.772917,5.437618,5.3196545,7.2874713,3.2093027,0.3825817,-0.8155682,2.3493886,1.1900758,5.982072
t14,-7.341553,2.780365,6.3512354,4.7097225,7.224727,3.6449804,0.5702698,-0.036701016,3.3528042,1.5165411,6.1264367
t15,7.718147,2.1955054,3.598487,10.441906,4.4203744,3.7412877,4.6916018,6.7072773,4.021726,6.174343,4.367581
t16,14.481886,8.58773,3.02458,6.9081597,9.019278,8.131103,5.2364874,1.3797616,7.6802826,6.10414,6.216606
t17,14.3691435,8.568898,3.044821,6.974158,9.069456,8.160683,5.20908,1.400546,7.663039,6.1736765,6.149469
t18,14.373677,8.670639,2.9700778,6.767712,8.991121,7.9930105,4.9700103,1.4345708,7.5719066,6.1884756,6.2316146
t19,6.686015,3.9996498,3.3600235,9.251339,5.9397235,5.2474275,5.2531543,9.233578,4.8756013,7.8459334,6.5648484
t20,-7.343119,3.0086362,6.653466,4.7121305,7.3873024,3.6332932,0.119596206,-0.1044438,3.25029,1.948721,6.190479
t21,-7.2800655,2.9208906,6.65823,4.6467805,7.5092363,3.467091,0.08156393,-0.1169221,3.2527506,1.8916906,6.2002597
t22,13.814172,8.084173,3.648297,7.0738416,8.554702,8.701492,6.232159,1.6628978,7.7485104,6.391848,5.5338593
