,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
t1,11.768574,6.3724747,6.2501397,4.5392137,5.4495735,5.059492,6.23119,5.7109785,6.4599137,6.4410715,5.3331766,5.295608,5.778485,4.4796276,4.67671,4.693742,5.7616034,8.307801,5.0848618,4.752286,4.0269413,5.8044977,5.070789,5.27887,2.0474813,4.7555428,5.114225,5.5411615
t2,11.793771,6.3353753,6.295183,4.554221,5.413152,5.0101967,6.1845727,5.7472405,6.492066,6.4767556,5.3126354,5.3181396,5.8067784,4.528722,4.65641,4.702632,5.7900095,8.353333,5.075456,4.7668734,3.9930978,5.8367734,5.104533,5.2407217,2.0356739,4.7431345,5.1077805,5.538902
t3,11.790531,6.3429327,6.27742,4.548557,5.415477,5.0433474,6.2171764,5.73758,6.474948,6.42198,5.3002677,5.284029,5.720573,4.5031276,4.694944,4.724216,5.780136,8.314901,5.077561,4.752965,4.053289,5.8420706,5.114141,5.257269,2.0229836,4.7225003,5.105844,5.562242
t4,11.708092,6.3165503,6.3097644,4.4887514,5.4154234,4.9749913,6.148784,5.759232,6.473756,6.4920435,5.323583,5.3504624,5.8724694,4.565646,4.6767955,4.6855874,5.8029914,8.390079,5.056539,4.752125,3.965625,5.8008037,5.0670733,5.2186656,2.0693338,4.7585297,5.1205926,5.5266814
t5,11.752008,6.364654,6.249588,4.531892,5.4543285,5.050382,6.221447,5.71097,6.463737,6.4658084,5.3451447,5.302531,5.835195,4.4909053,4.6670566,4.6853123,5.766441,8.328834,5.0795875,4.7598615,3.999605,5.785997,5.050785,5.267793,2.0530005,4.762878,5.1174445,5.5371547
t6,11.720961,6.3406606,6.2663317,4.498474,5.4459987,5.022967,6.19624,5.724891,6.4150496,6.4126496,5.3360076,5.348346,5.8587112,4.531728,4.7032647,4.6637077,5.7672358,8.3242655,5.065405,4.7050548,4.051096,5.767103,5.0313463,5.261236,2.1017816,4.7782044,5.136636,5.514114
t7,11.72471,6.338579,6.287188,4.503063,5.431192,5.0071926,6.1792483,5.7429595,6.4773684,6.4777184,5.3275805,5.3220863,5.8336396,4.533025,4.6830397,4.697395,5.7907834,8.362215,5.061327,4.7547445,3.98568,5.794339,5.0607853,5.239702,2.0467796,4.750099,5.118691,5.544725
t8,11.738023,6.3175507,6.3047585,4.497133,5.4089956,5.0133114,6.1841855,5.7712493,6.5244293,6.477492,5.288098,5.2852225,5.8192225,4.5343122,4.723192,4.741209,5.821241,8.368246,5.0345993,4.7837796,4.0007696,5.8148646,5.0900173,5.21618,2.0023386,4.706028,5.100519,5.5878
t9,11.747686,6.3582807,6.2412815,4.5091505,5.4557147,5.0655246,6.2326136,5.712093,6.501418,6.4901834,5.3390455,5.2560353,5.831469,4.4772987,4.692869,4.721439,5.780559,8.339763,5.0623803,4.7971125,3.9783347,5.7705455,5.040392,5.252045,2.0012734,4.731189,5.110572,5.5790143
t10,6.3662663,7.375305,7.680988,1.6730728,5.8859587,4.105587,5.3887925,6.247944,4.81407,3.9963207,2.1467144,7.262793,3.8528688,4.2457647,7.747787,5.000001,5.7423916,4.9032936,3.177147,4.168635,4.7180543,5.8103147,6.848794,6.2892704,4.54882,5.479845,5.427372,4.1236243
t11,12.829945,6.5998335,5.770028,5.1303267,5.58962,5.5119443,6.6476984,5.2313213,6.3707247,6.614428,5.6019597,5.2074594,6.1663575,3.982286,4.134498,4.4862576,5.4503765,7.9971633,5.3986654,4.92824,3.7394195,5.724427,4.985431,5.5218606,2.0432522,4.9300203,5.2317214,5.2150283
t12,6.3462133,7.3789473,7.692229,1.657421,5.888284,4.104302,5.3757186,6.2378125,4.800864,3.973193,2.142826,7.264619,3.8387382,4.246108,7.7637773,4.992193,5.7393713,4.8956084,3.161942,4.1504135,4.722779,5.806846,6.8535795,6.288658,4.555991,5.484493,5.4251685,4.126342
