,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
t1,5.184221,6.9881687,0.45687938,0.027272496,6.220984,3.5318086,10.656743,-0.011429859,4.075721,3.7221327,1.4283975,1.5912582,0.3203988,-0.025728084,1.0747733,2.6563787,-0.074021235,7.054176,11.216175,1.5836021,7.6594915,4.6993737,-0.05547121,-0.282266,2.8065047,3.4822924,-0.4272681,-0.21758015
t2,5.4315557,7.464044,0.44934615,0.029825445,6.6774926,3.8753974,11.318623,-0.011498435,4.3309464,4.184998,1.3816601,1.6816415,0.33863702,-0.030557878,1.0090687,2.6995456,-0.06532393,7.356355,11.76297,1.4625485,8.028544,4.8563056,-0.05494425,-0.31301904,3.3553743,3.71225,-0.44980007,-0.23929645
t3,4.440886,6.3983097,0.4277457,0.023818862,5.730612,2.7816353,9.707239,-0.010051648,3.9800484,3.1073103,1.3117808,1.6289048,0.30681252,-0.036969643,1.2349007,2.466285,-0.06020441,6.4856787,10.191983,1.319455,7.3750815,4.6501136,-0.048245173,-0.24421574,2.1364233,3.2747693,-0.38051003,-0.18603185
t4,7.6053762,9.240936,1.4850428,0.04425992,8.840181,3.2117627,12.975818,-0.015980616,6.551278,3.765924,2.4753735,1.8724662,0.4366804,-0.110450394,2.693262,3.9772701,-0.012178965,9.820703,15.634893,2.5796566,10.622372,6.410043,-0.114895985,-0.2782316,1.9573925,4.3520617,-0.5524868,-0.25232276
t5,7.689875,9.414181,1.4858804,0.04467125,9.016141,3.2883554,13.15018,-0.016344871,6.681478,3.8191426,2.553104,1.9234371,0.44028905,-0.116006814,2.7526433,4.0346684,-0.010018154,9.98162,15.839913,2.590959,10.758049,6.4750633,-0.114785194,-0.2821487,1.9894782,4.349454,-0.5605786,-0.2582193
t6,7.6861277,9.372479,1.49934,0.044372432,8.966551,3.2317152,13.093458,-0.016373562,6.6465044,3.7513008,2.5419858,1.9121189,0.43825048,-0.11520622,2.7658145,4.0250015,-0.010046666,9.972117,15.7836685,2.6197073,10.726996,6.4388695,-0.11478993,-0.27835953,1.9409453,4.3311825,-0.5588175,-0.2559352
t7,7.685247,9.354988,1.5036085,0.044376217,8.964807,3.2265851,13.0633335,-0.016371263,6.6443243,3.7307897,2.5424747,1.9113386,0.4375591,-0.115501806,2.7756743,4.025702,-0.009377279,9.953977,15.761347,2.614733,10.706641,6.4294357,-0.11474827,-0.2773556,1.9157485,4.322077,-0.55773044,-0.2550357
t8,7.7019935,8.906444,1.6637415,0.044918258,8.804923,2.816007,12.518729,-0.016707474,6.4840574,3.4675827,2.448903,1.6886256,0.42889848,-0.11200095,2.8680816,3.980584,0.11425439,9.904262,15.56036,2.775028,10.635151,6.3167815,-0.1154564,-0.2520834,1.7517773,4.353846,-0.55260545,-0.23570587
t9,6.9535246,7.1761,2.1340039,0.041639272,7.4644146,1.1320031,9.9473915,-0.016848557,5.3863335,2.163337,2.3262622,1.2650435,0.39252564,-0.10126426,3.3194377,3.392234,0.55876213,8.946818,13.29548,3.2302275,9.467095,5.948673,-0.09235555,-0.12125218,0.44474328,3.8235862,-0.4822417,-0.14651354
t10,2.6953266,7.32112,-0.00041298885,0.01563174,4.5416594,6.0287232,10.929323,-0.0015051528,0.8134036,6.4648643,-0.01461072,1.3734068,0.25954276,2.8862891,-0.18718018,-0.0023798782,-0.1262512,3.441333,5.8312297,-0.005102749,3.0680664,2.6712065,1.5434723,-0.4343342,8.569515,3.412673,-0.31681582,-0.35806152
