,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
t2,1.9220157,0.70103306,7.674832,5.136206,5.8800936,5.9215684,5.778242,4.794912,7.5014153,4.86762,4.316574,3.5273263,4.851469,3.3124328,5.0336165,4.971704,5.4404745,6.302522,5.634411,5.941083,5.752328,4.159664,4.0986032,4.79034,6.196765,5.894614,4.699391,6.743443,4.3515253,5.3148527,4.839777,3.040774,5.766711,4.744826,5.327602,4.730906,3.9163792,5.73111,6.366606,4.9452724,5.390775,5.17807,6.434284,4.8306,5.7729034,4.236574,6.390276
t5,1.9116153,0.63945097,7.7686505,5.1647177,5.861237,5.9231253,5.7521963,4.7856503,7.491395,4.85357,4.3148437,3.5434377,4.852718,3.3227055,5.0143003,4.9981036,5.4296093,6.3014565,5.6036835,5.959199,5.7208853,4.186709,4.1138244,4.797819,6.169523,5.867414,4.7133713,6.748824,4.320673,5.335529,4.857888,3.0130346,5.7619543,4.7314863,5.3460736,4.7405586,3.917538,5.741627,6.3568697,4.917536,5.3966475,5.177273,6.4366503,4.822832,5.7882094,4.2245927,6.364142
t9,1.9045626,0.6449475,7.7467895,5.1775045,5.851221,5.9279695,5.7578797,4.780596,7.4792666,4.843368,4.3011446,3.5410943,4.84669,3.3364224,5.002089,4.991117,5.434647,6.285063,5.591666,5.9597435,5.709368,4.198923,4.112375,4.7979417,6.1607037,5.8578796,4.716988,6.745541,4.323913,5.326233,4.8716044,3.0043209,5.746088,4.7195516,5.343879,4.742846,3.9096234,5.730556,6.3515787,4.9084134,5.397916,5.1707697,6.4299035,4.812329,5.774836,4.20871,6.351094
t32,1.9274224,0.27444986,8.289545,5.2036786,5.796253,6.000739,5.506407,4.859211,7.3866367,4.7684793,4.453677,3.6995635,4.9494343,3.2124472,4.9496045,5.0925217,5.266612,6.249199,5.478673,6.030083,5.6417437,4.221497,4.2508373,4.9415035,6.0570703,5.776034,4.7151585,6.6823263,4.1596785,5.538489,4.90519,2.9190054,5.7251363,4.7132325,5.5158815,4.802246,3.8801744,5.9199834,6.3289094,4.778682,5.4332776,5.343386,6.4944587,4.782532,5.899424,4.136953,6.3565946
t43,1.9385984,0.33157665,8.166424,5.194041,5.82073,5.987655,5.526918,4.8471723,7.4024677,4.8019943,4.4209256,3.659752,4.956408,3.2290223,4.976771,5.1248093,5.3107667,6.2900233,5.515654,6.0092773,5.659398,4.215024,4.2411695,4.910632,6.079148,5.781702,4.721318,6.7063046,4.1475306,5.5422244,4.908881,2.935351,5.753018,4.729354,5.475223,4.776537,3.9020088,5.9105887,6.345557,4.806636,5.443331,5.3255186,6.480995,4.8075204,5.906817,4.16011,6.372308
t177,1.7569098,-0.09038862,8.90668,5.184165,5.5592904,5.958663,5.560377,4.7759414,7.3667474,4.604714,4.353728,3.6108136,4.843926,3.1920485,4.873471,4.7055597,5.362645,6.1876035,5.4339876,6.1011324,5.6038246,4.277456,4.0067043,4.8853073,6.029101,5.9102015,4.7906857,6.68387,4.5416813,5.2891006,4.6545005,2.9392068,5.4490075,4.862247,5.8303814,4.817196,3.884691,5.6734734,6.32526,4.8285146,5.164734,5.4455986,6.6935825,4.6069765,5.5711265,4.1204376,6.2534924
t315,1.6670517,-0.31459054,9.283264,5.179244,5.499542,5.960443,5.5396237,4.7615614,7.351013,4.563814,4.337967,3.581092,4.7922955,3.1304796,4.8590393,4.677442,5.3789797,6.2404943,5.4456406,6.104314,5.6184993,4.249808,3.9330966,4.8928895,6.021084,5.940588,4.8256054,6.669216,4.607234,5.1960506,4.556578,2.9632828,5.393568,4.9408426,5.99122,4.8337193,3.903716,5.580627,6.359705,4.8369684,5.095976,5.5547423,6.772514,4.574251,5.500072,4.102091,6.272456
t316,1.6970613,-0.2499813,9.18782,5.1807256,5.5170307,5.9575515,5.55142,4.7631025,7.3574405,4.57577,4.3416724,3.591685,4.809095,3.1578646,4.8644114,4.677457,5.373675,6.2161884,5.4417872,6.1091886,5.6130576,4.260249,3.9551198,4.8864603,6.023392,5.930201,4.8151717,6.676394,4.5941,5.222224,4.586283,2.954021,5.407786,4.912518,5.940833,4.828018,3.8974547,5.6096754,6.3449755,4.8335614,5.114409,5.5127234,6.745799,4.584089,5.5159874,4.1086392,6.2643156
t321,1.6959127,-0.24986827,9.188359,5.1805363,5.51629,5.96004,5.5482297,4.7653866,7.3550014,4.5752115,4.342148,3.5912411,4.810049,3.1536205,4.86434,4.6786532,5.373432,6.219538,5.442207,6.1065598,5.6141567,4.2578673,3.9541771,4.888741,6.0232487,5.9293723,4.8146696,6.6744585,4.593075,5.2217956,4.585235,2.9549654,5.4078755,4.9155602,5.944382,4.8283257,3.8975022,5.608002,6.3472185,4.832863,5.114984,5.5179014,6.7481227,4.5841694,5.51687,4.1064835,6.2665386
t322,1.674394,-0.3004136,9.266103,5.1790643,5.5063496,5.96072,5.5398474,4.7643757,7.352394,4.5690556,4.3411975,3.5854895,4.7974944,3.135653,4.8614283,4.6822224,5.375766,6.2368684,5.4445724,6.10354,5.6180215,4.2513223,3.940584,4.892931,6.0222,5.9372263,4.821608,6.6703844,4.600029,5.205775,4.5662065,2.960956,5.4005804,4.932934,5.9777627,4.832159,3.9017906,5.589246,6.356225,4.8357806,5.1036396,5.5454893,6.7649965,4.5788975,5.5080557,4.103863,6.2726803
