"accepted_species","trait_BM_trend_scaled"
"t66",1
"t67",1
"t46",1
"t47",1
"t6",1
"t31",1
"t85",1
"t86",1
"t33",1
"t28",1
"t81",1
"t82",1
"t26",1
"t59",1
"t60",1
"t74",1
"t75",NA
"t50",NA
"t3",1
"t99",0
"t100",0
"t45",0
"t4",1
"t61",1
"t62",1
"t14",0
"t13",1
"t10",1
"t11",1
"t97",1
"t98",1
"t51",1
"t52",1
"t37",1
"t38",1
"t12",1
"t15",NA
"t64",NA
"t65",1
"t27",1
"t93",1
"t94",1
"t53",1
"t54",1
"t25",1
"t83",NA
"t84",1
"t23",1
"t16",1
"t9",1
"t29",1
"t30",1
"t55",0
"t56",0
"t5",0
"t2",1
"t68",0
"t69",0
"t63",0
"t24",1
"t1",0
"t32",0
"t44",0
"t76",0
"t77",0
"t7",0
"t57",0
"t58",NA
"t95",0
"t96",0
"t42",0
"t43",NA
"t21",0
"t22",0
"t72",0
"t73",0
"t39",0
"t18",0
"t8",NA
"t19",0
"t20",0
"t78",0
"t79",0
"t17",NA
"t91",0
"t92",0
"t80",0
"t36",0
"t89",1
"t90",1
"t48",1
"t49",NA
"t41",1
"t40",0
"t87",1
"t88",1
"t35",1
"t34",1
"t70",0
"t71",0
