"accepted_species","trait_ARD"
"t6","0"
"t74","1"
"t75","1"
"t23","0"
"t24","0"
"t97","0"
"t98","0"
"t80","0"
"t81","0"
"t12","0"
"t18","1"
"t53","1"
"t54","0"
"t50","0"
"t8","1"
"t49","1"
"t70","0"
"t71","0"
"t88","0"
"t89","0"
"t58","0"
"t21","0"
"t14","0"
"t31","0"
"t62","0"
"t63","0"
"t61","0"
"t66","0"
"t67","0"
"t10","0"
"t1","1"
"t13","0"
"t91","1"
"t92","1"
"t69","0"
"t11","0"
"t35","1"
"t36","1"
"t44","1"
"t45","1"
"t34","1"
"t32","0"
"t30","1"
"t28","1"
"t29","0"
"t16","0"
"t41","0"
"t42","0"
"t68","0"
"t93","0"
"t94","0"
"t56","0"
"t57","0"
"t99","1"
"t100","1"
"t78","0"
"t79","0"
"t43","1"
"t95","1"
"t96","1"
"t87","1"
"t72","0"
"t73","0"
"t64","0"
"t65","0"
"t82","0"
"t83","0"
"t4","1"
"t90","1"
"t84","1"
"t47","1"
"t48","1"
"t46","1"
"t2","0"
"t7","1"
"t9","0"
"t5","0"
"t3","0"
"t51","0"
"t52","0"
"t22","0"
"t26","0"
"t59","0"
"t60","0"
"t20","1"
"t19","0"
"t15","0"
"t37","0"
"t38","0"
"t25","0"
"t76","0"
"t77","0"
"t17","0"
"t55","0"
"t85","0"
"t86","0"
"t27","1"
"t33","0"
"t39","0"
"t40","0"
