,0,1,2,3,4,5,6,7,8,9,10
t1,12.024315,8.562121,3.1398425,-0.12761295,1.9153708,8.991999,3.74626,2.7946563,5.5104365,4.941904,4.3642488
t2,-0.95278966,7.4366093,2.8350098,6.117843,3.8683064,5.0554404,6.205311,5.223154,7.61742,7.3869905,2.0920799
t3,11.905924,8.882531,3.2591412,-0.16667019,1.8420391,8.554841,3.7079785,3.0936923,5.1766787,5.1657286,4.294184
t4,-0.86991096,7.600376,2.7792442,6.0401154,3.8550048,5.151765,6.2704396,5.1169195,7.552428,7.456214,2.0023637
t5,11.933001,8.877032,3.2963705,-0.13278536,1.8951923,8.609439,3.6255016,3.0215883,5.2448444,5.2151375,4.2449837
t6,11.931171,8.414158,3.1488683,0.008007575,2.1242385,9.253022,3.61635,2.6931486,5.5319204,4.8295712,4.1996326
t7,12.005627,8.445941,3.2577698,0.044121057,2.141059,9.258408,3.5972703,2.6871755,5.5823226,4.94727,4.2517767
t8,-0.9977071,7.4853973,2.815935,6.1426635,4.0175643,5.0164533,6.088041,5.0660825,7.766225,7.3630276,2.0930023
t9,-1.5855892,7.698009,3.715928,7.1744223,4.4158177,4.8737507,5.0329275,5.289118,8.122612,7.4241786,1.7284474
t10,-1.6217703,7.732584,3.7878897,7.148663,4.380038,4.837,5.037934,5.3376966,8.107089,7.34755,1.738733
t11,-1.6884966,7.6950784,3.8697233,7.180394,4.4440637,4.858282,4.921943,5.3374777,8.25715,7.359606,1.6272972
t12,-1.2456691,7.066927,3.4619129,6.8479614,3.4915097,4.9345655,5.5835853,6.352943,6.120378,7.1556664,3.3430161
t13,-0.92939764,7.6835914,3.0075526,6.2001166,3.7276227,5.1556664,6.234431,5.2891803,7.4416227,7.549004,1.7963694
t14,-0.9087161,7.6513124,2.9203553,6.1315913,3.8286107,5.1275706,6.253695,5.236128,7.5460143,7.395325,1.9663259
t15,11.804685,9.879257,3.351286,-0.36679533,1.3132957,6.80581,3.1731026,4.3369093,4.2202716,6.2108264,4.121932
t16,-1.398946,7.7156534,3.6289752,6.850442,4.084217,4.964294,5.4217153,5.528327,7.7274823,7.309241,1.9327649
t17,-1.4319322,7.6912427,3.6402528,6.8957763,4.089845,4.892981,5.4475994,5.442056,7.7297015,7.3024282,1.9416691
t18,-0.19279096,3.4364154,10.675162,7.814046,6.780507,3.3685555,-2.5115793,5.016944,5.0997553,9.155345,4.7324076
t19,-0.90736824,7.7831883,2.9940581,6.120781,3.5763276,5.2072,6.3566394,5.3985963,7.3415785,7.4545646,1.8788176
t20,-0.98480684,8.010356,3.2504072,6.3048882,3.8224506,5.116347,6.093503,5.4428935,7.3486614,7.270858,1.8214624
t21,-0.09437437,3.2901335,10.497074,7.9199467,6.638104,3.446427,-2.383785,4.9050407,4.9911623,9.156301,4.677748
t22,11.720134,9.98929,3.305063,-0.5280019,1.2950575,6.6572905,3.2915401,4.2396374,4.295717,6.1863003,3.959359
t23,-1.7665188,8.059696,3.7665455,7.2086415,4.5082335,4.6450677,4.676826,4.9770637,8.412498,7.622957,1.6972764
t24,12.084624,8.709144,3.2984421,-0.108124286,2.0486681,8.945804,3.5265837,2.8414676,5.585039,5.145525,4.339095
t25,-0.105826795,3.2445822,10.5062895,7.901208,6.6591997,3.479737,-2.357972,4.875132,4.9653144,9.129664,4.6825113
