,Ev Model,Missing Type,Tree Type,Variable Type,Signal,corHMM,phylnn_fill_means,logit_eigenvecs,logit_umap,logit_umap_supervised,logit_autoencoded,logit_autoenc_supervised,xgb_eigenvecs,xgb_umap,xgb_umap_supervised,xgb_autoencoded,xgb_autoenc_supervised
count,400,400,400,400,394.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0
unique,1,2,2,1,,,,,,,,,,,,,
top,BiSSE,mcar,ultrametric,binary,,,,,,,,,,,,,
freq,400,200,200,400,,,,,,,,,,,,,
mean,,,,,0.5705487879568031,0.1498802896479228,0.1580528986880962,0.1775301620362349,0.17825646463852052,0.188701101117939,0.17579745670648783,0.1778427321317831,0.1696949225734619,0.17160289978415816,0.22205678827545264,0.17063641826461237,0.1660396777945867
std,,,,,0.5060572290996349,0.09241180584589719,0.09636372816875195,0.09391985741223534,0.09892104232813476,0.11413297457970005,0.09765689966150264,0.09831850020378106,0.10618675077515043,0.10173018342446304,0.1429719858758254,0.10682637581112836,0.10415936291413513
min,,,,,-4.45628887117237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,,,,,0.429765317339798,0.08259586292225325,0.08824691358024692,0.09992237337988061,0.0975834771763441,0.10100249948377794,0.09861263974229892,0.09895788257680585,0.08952603083197339,0.0928674127784992,0.10378351893833604,0.09281408807948827,0.08772964024594908
50%,,,,,0.619491113722576,0.16029020180621117,0.16477432277622267,0.19693732292445,0.2004551960390056,0.19948243091027848,0.18665646417413395,0.2002321801346837,0.17050286931392877,0.1779900388477078,0.22281108682134723,0.16975510364352575,0.17868219544905883
75%,,,,,0.757590351069702,0.2173699575183309,0.2307859148297991,0.24892289839806522,0.24989905943152368,0.2612722597992936,0.2494529029167899,0.2472503217902649,0.24698037614936633,0.24652625562427538,0.32250512353690475,0.24719036692096283,0.23957413893235116
max,,,,,3.37567270621418,0.4031456414102132,0.5,0.4341607515840563,0.5684423703824427,0.694632524088938,0.5099740665741718,0.4951980274061329,0.5682092230196769,0.49002570431121767,0.7934080848207681,0.5372666437995653,0.6016513351144149
