,Unnamed: 0,Ev Model,Missing Type,Tree Type,Variable Type,Signal,phylopars,phylnn_fill_means,linear_eigenvecs,linear_PEM,linear_umap,linear_autoencoded,xgb_eigenvecs,xgb_PEM,xgb_umap,xgb_autoencoded
count,138.0,138,138,138,138,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0
unique,,1,2,2,1,,,,,,,,,,,
top,,OU,mcar,ultrametric,continuous,,,,,,,,,,,
freq,,138,69,102,138,,,,,,,,,,,
mean,203.2246376811594,,,,,0.17574761140678685,0.7641837457420501,0.7655509381757053,0.8802199608810288,0.8953543402858161,0.842942298501477,0.8359736569955188,0.7996819098267198,0.7948321010868794,0.8129236964448997,0.8219657787859156
std,118.64890352743225,,,,,0.19108940304048994,0.19831381964873468,0.20972217701872373,0.6262104997856235,0.24926948578717234,0.21046611890270156,0.2084847568306009,0.19397003005719618,0.20216538671564574,0.1942482334920151,0.2123236030572316
min,0.0,,,,,7.33137435857406e-05,0.3281407028513769,0.3088503805785697,0.2494361550720567,0.3534765905669255,0.315106026996387,0.4134644946377153,0.259782936638308,0.3026333446300123,0.3278803678786921,0.3562698789046448
25%,106.25,,,,,7.33316521577379e-05,0.6297019705594628,0.6400406121821809,0.6963138521003311,0.7244887743527635,0.7059527006249211,0.6994580832791246,0.6658154911860246,0.6548360841795609,0.6898194590551079,0.6569607383238865
50%,192.5,,,,,0.124081332070981,0.7538628693757883,0.7693202231225551,0.8024358409344357,0.8883378918939392,0.8421051451682001,0.8387095629558565,0.7881779396510904,0.8066568924374129,0.791765618008739,0.8117265589246204
75%,312.75,,,,,0.349853350884857,0.8819824907061027,0.8941860285729268,0.9683820700223242,1.028198469188265,0.9608500098219352,0.9428110293071295,0.9040198624893113,0.8946633442609385,0.9357659394101631,0.9367386442921853
max,397.0,,,,,0.556501104196864,1.3001874571526786,1.410864436070494,7.723249526510616,1.830005566274184,1.661458806196686,1.5943224784425816,1.3019467625983985,1.269744582993316,1.3455676386046136,1.42608680405838
