,Unnamed: 0,Ev Model,Missing Type,Tree Type,Variable Type,Signal,phylopars,phylnn_fill_means,linear_eigenvecs,linear_PEM,linear_umap,linear_autoencoded,xgb_eigenvecs,xgb_PEM,xgb_umap,xgb_autoencoded
count,70.0,70,70,70,70,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0
unique,,1,2,1,1,,,,,,,,,,,
top,,Seed Mass,mcar,ultrametric,continuous,,,,,,,,,,,
freq,,70,35,70,70,,,,,,,,,,,
mean,90.38571428571429,,,,,0.414667907044143,0.5563000746028658,0.583829633220905,0.5821383211775627,0.5780322922840099,0.6266357170139187,0.7176010007118659,0.5508300305028581,0.5124320374886127,0.528829292805874,0.6125301975746266
std,60.358420484597225,,,,,0.11766991419064625,0.43885508054379957,0.45922846910276555,0.4985440163858667,0.5128493885155179,0.4102446030962664,0.442450000483703,0.4652438189468946,0.3867829075151702,0.3726960644771149,0.47881398411631004
min,2.0,,,,,0.161639339937029,0.0103969052339308,0.0164615511941419,0.0139109625698684,0.0048673035707792,0.1015692590417979,0.1221678872728257,0.0059446657644316,0.0049208602738888,0.0077771558550608,0.06275355177772
25%,39.75,,,,,0.31350696229506697,0.2410138822172212,0.25921191351060135,0.26441086144634984,0.14909011240945946,0.3265028941553423,0.41442694328317087,0.2274354065655873,0.21721276857475186,0.24538618887273309,0.26499990148445207
50%,88.5,,,,,0.416576953674898,0.4542728693204868,0.4714887874665913,0.3992245275240226,0.47001223795717717,0.5373418500365436,0.6303885877820827,0.39385726762213036,0.3871067398143546,0.4523725047074493,0.42556111832832644
75%,132.75,,,,,0.5162029692367882,0.7128544338565118,0.7594534416636815,0.7437040620262704,0.7775327504234153,0.8278444892186049,0.9779880693166842,0.746403647337476,0.7043474433676057,0.76763572433395,0.803154403655331
max,197.0,,,,,0.595123978263772,1.6953554321023794,2.323869584722714,2.141974076048476,1.978022103053372,1.9832791371662668,2.2448606967890266,2.1345151887037592,1.600722515382052,1.524332166282052,2.0957077081566737
