,Unnamed: 0,Ev Model,Missing Type,Tree Type,Variable Type,Signal,phylopars,phylnn_fill_means,linear_eigenvecs,linear_umap,linear_autoencoded,xgb_eigenvecs,xgb_umap,xgb_autoencoded
count,76.0,76,76,76,76,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0
unique,,1,2,2,1,,,,,,,,,
top,,LB,mcar,ultrametric,continuous,,,,,,,,,
freq,,76,38,40,76,,,,,,,,,
mean,213.23684210526315,,,,,0.24634413747399564,0.6982657385246032,0.702379494820754,0.795494278687245,0.8028746634871717,0.8192800918627842,0.7089377590672634,0.7419404614685484,0.7369255300738393
std,124.25488518053554,,,,,0.23092761503108142,0.21103218474403646,0.20312459721343482,0.2792353388361952,0.27570578480284036,0.29717383994776236,0.189982042927156,0.22494694158274525,0.23040240668047401
min,14.0,,,,,7.33137435857406e-05,0.3646342446146449,0.3246735568541706,0.3810748657127074,0.401721861503808,0.3787429048133925,0.3620532928922786,0.3402622520702198,0.3362577225694058
25%,82.75,,,,,7.33260303022622e-05,0.5438775460923533,0.5713471530043224,0.6289746884907621,0.6070279579979119,0.6326465866982309,0.5644818772203226,0.556208481924096,0.567992616035121
50%,221.5,,,,,0.2508605150149175,0.6581063700596378,0.6878523068895361,0.7667154684506391,0.7776810545124156,0.7933484002109159,0.6990049161984606,0.7068088401244497,0.719102521228712
75%,334.25,,,,,0.488748310753727,0.8223092595103313,0.8151503101866067,0.9173821870267218,0.8936114545171748,0.9338295791048971,0.8513227127305919,0.9113440355172783,0.8774239232563013
max,389.0,,,,,0.582826384791976,1.362995011541546,1.24445380433514,2.164715516938749,1.993424081953987,2.3313755402134686,1.1704652453361697,1.23498429583617,1.5409547641771657
