,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
t1,8.441718,0.27604342,3.1643658,-0.4007124,7.4783063,-0.15072252,-1.0065838,-0.14918773,7.0990725,-0.21833004,-2.1750126,6.562052,2.8807724,-0.15471435,13.023852,2.9483335,0.49643922,1.1349298,3.2445216,-0.07957075
t2,8.728899,0.28037766,3.2294042,-0.4139448,7.567953,-0.1550252,-1.0248723,-0.15253471,7.2316923,-0.2262229,-2.223955,6.688503,2.9999397,-0.15348358,13.285806,3.0063717,0.509511,1.0850496,3.336959,-0.07208944
t3,7.50306,0.37144122,3.5370445,-0.34743553,10.1913185,-0.09283125,-1.059142,-0.086586095,6.0304346,-0.16743523,-2.438092,7.7856617,0.8738958,-0.32209817,14.004132,3.013524,0.61412275,1.8816544,2.653895,-0.19074634
t4,5.8312473,0.4670459,3.7283168,-0.2829012,12.179446,-0.028286759,-1.0368302,-0.03799643,4.4420624,-0.115489654,-2.5273445,8.424293,-0.12871785,-0.46641618,14.158506,3.071053,0.71930075,2.3242443,1.8702009,-0.2772084
t5,7.1363473,0.05394906,1.5824584,-0.3723089,-0.03933307,-0.23380855,-0.55265623,-0.24677625,7.064557,-0.28368983,-0.8801645,2.277889,5.705303,1.5255982,7.6839614,2.5366063,0.18642008,-0.05542585,2.4675143,2.7744823
t6,3.2027218,0.38557273,2.8937757,-0.16713269,9.635449,0.8325871,-0.7649488,-0.008920856,2.7420032,-0.08536765,-1.8808696,7.108376,-0.2377878,-0.4274432,10.516432,2.4631984,0.6210178,2.1311245,1.0649261,-0.25905448
t7,12.099139,0.11386357,2.6870458,-0.5887804,1.0281318,-0.39917812,-0.92547625,-0.32861367,9.917692,-0.40576196,-1.9224255,3.2873697,7.9731426,2.3532286,12.412522,3.185548,0.35265812,-0.07473556,3.991676,2.8812916
t8,10.831594,0.10021553,2.5269475,-0.5348253,1.0694484,-0.31927466,-0.84225005,-0.3240688,9.611476,-0.39010537,-1.6591128,3.5620425,7.071677,1.7623243,11.485832,3.0440915,0.31715083,-0.040536404,3.621843,2.543289
t9,11.565502,0.10222435,2.5379865,-0.5652983,0.5932179,-0.38671508,-0.8791463,-0.3249201,9.588052,-0.3961856,-1.7986758,3.0288146,7.7984853,2.3668087,11.729249,3.1039143,0.32965285,-0.077608414,3.7769046,2.9568496
t10,9.137892,0.050608743,1.873401,-0.4743639,-0.08185887,-0.33337706,-0.6734147,-0.31269,7.8954387,-0.36339584,-1.1879543,1.9663478,7.2840056,2.4712331,8.8749895,2.797026,0.25399905,-0.10907961,3.197177,3.7102468
t11,11.577685,0.10149899,2.5438795,-0.5656166,0.6013003,-0.3875866,-0.8792563,-0.32496324,9.596749,-0.39652753,-1.8019946,3.0325108,7.7965064,2.3672764,11.751611,3.1066277,0.33011067,-0.077781774,3.789416,2.9527109
t12,11.436386,0.08615387,2.411318,-0.56736445,-0.014071406,-0.40452597,-0.864368,-0.33325404,9.4654665,-0.40935332,-1.731163,2.6272337,8.162012,2.7938988,11.284749,3.2484744,0.33184478,-0.093632996,3.749136,3.3361242
t13,9.352854,0.061245937,2.1018727,-0.4766497,-0.01811383,-0.28816536,-0.7196351,-0.3219009,8.901748,-0.37042573,-1.2826912,2.9135044,6.8632917,1.9609542,9.736293,2.9918644,0.25141907,-0.04874498,3.0983598,2.9891658
t14,-0.050058194,0.63826704,3.7494245,-0.039888658,15.07936,3.7060943,-0.8058147,1.8566452,0.087369815,-0.04962582,-2.282883,9.134317,-0.99779487,-0.7255253,11.103407,2.4887142,1.1341666,3.3858352,-0.0026621877,-0.39347348
t15,6.7140775,0.009373341,1.2051268,-0.43604285,-0.20734623,-0.284943,-0.5271899,-0.28433928,5.5980983,-0.36713105,-0.4947395,1.4672436,7.444343,2.503754,6.4869957,2.49006,0.22919111,-0.13757718,3.4656115,5.155774
t16,11.619268,0.06602531,2.0681899,-0.6036278,-0.14841841,-0.45302036,-0.8127606,-0.3459467,8.271383,-0.45363116,-1.6127408,1.6594471,9.253262,3.618615,10.274917,3.011299,0.3878105,-0.19083083,4.088741,4.7949862
t17,7.3985944,0.02269567,1.585211,-0.41557056,-0.100209646,-0.24700096,-0.58089375,-0.3195617,7.6715503,-0.3360533,-0.7574583,2.3219042,6.664188,2.01321,7.8257775,2.9178615,0.18305936,-0.076027356,2.932548,3.8483176
t18,6.4600434,0.0070713316,1.337192,-0.3914648,-0.13167226,-0.21898417,-0.52929324,-0.31855163,6.8184214,-0.33408105,-0.511277,2.1361587,6.5266876,1.7583282,6.9772515,2.8118074,0.17471322,-0.08534322,2.9489052,4.2068715
t19,9.04624,0.025481166,1.4135025,-0.55618453,-0.2685007,-0.40205985,-0.65947473,-0.2984702,5.855788,-0.4508399,-0.9970568,1.1015278,9.244715,3.876838,7.6891704,2.4284964,0.34615088,-0.20481032,4.032402,5.681359
t20,-0.18270227,0.47820958,2.6239934,0.51401836,10.540273,5.303787,-0.58685964,1.9291968,0.13062131,-0.11709499,-1.6394877,8.488709,-0.83261275,-0.539761,8.245425,1.1565163,1.1558335,2.2942984,0.09212035,-0.2868069
t21,7.6715384,0.019970944,1.4151081,-0.46178192,-0.18117505,-0.30875888,-0.60237664,-0.33062494,6.707605,-0.375663,-0.73698586,1.6833342,7.675414,2.607583,7.691626,2.7293186,0.24329749,-0.14886434,3.4053009,4.7757154
t22,7.069471,0.020430844,1.2615678,-0.44407308,-0.20297554,-0.28885987,-0.5524023,-0.2999071,6.13149,-0.35771435,-0.5407621,1.598735,7.543863,2.4629436,7.010892,2.563438,0.22819349,-0.1479961,3.5021045,5.0762353
t23,-0.09691133,0.56643015,3.3532348,-0.040569752,13.285234,5.2450356,-0.7541903,1.6100665,0.09480537,-0.11650806,-2.1482174,10.125007,-0.93260604,-0.66619456,11.269677,1.6182123,1.1976395,2.8629246,0.34038237,-0.37185034
t24,-0.09491733,0.5741301,3.4145014,-0.05025479,13.376962,5.695465,-0.7922627,1.5122256,0.09107451,-0.13927576,-2.2445307,10.969597,-0.92175925,-0.6807198,12.055159,1.4327847,1.2531029,2.7855122,0.5059334,-0.38179454
t25,-0.15976931,0.6073102,3.3236697,0.35556084,13.887146,4.1567926,-0.69475424,2.3460019,0.13600762,-0.06450493,-1.9921911,8.065087,-1.0629528,-0.67150635,9.239912,1.8267413,1.1532414,3.1608412,-0.039302956,-0.3710842
t26,-0.118586995,0.5503126,3.2556093,-0.034158405,12.75661,5.899457,-0.7502765,1.5944663,0.10141402,-0.14757085,-2.137879,10.741069,-0.9171657,-0.6548285,11.459387,1.2476543,1.2501757,2.668863,0.48850235,-0.36505458
t27,10.170915,0.06507911,1.4539521,-0.6681418,-0.38951957,-0.5248512,-0.7241457,-0.26082805,4.9890995,-0.544363,-1.1293043,0.5516556,11.793952,5.5335584,7.6648474,2.128711,0.4828845,-0.2582896,4.8724623,7.554539
t28,10.326104,0.0632183,1.4799732,-0.6700841,-0.3841778,-0.52586424,-0.73360205,-0.26746067,5.17174,-0.5461555,-1.1609454,0.5796569,11.790809,5.5143137,7.8276386,2.1955614,0.48651996,-0.25917578,4.845448,7.466314
t29,9.005463,0.08571467,1.2767739,-0.63650644,-0.42363983,-0.5154107,-0.666392,-0.22487693,3.8366897,-0.5238152,-0.8765314,0.39687344,11.70918,5.68793,6.3002653,1.4946092,0.4526659,-0.24199116,4.9930367,8.2416315
t30,-0.22874644,0.7185333,3.9874654,1.9065715,16.061367,2.5908444,-0.715293,6.015434,0.18842606,-0.0713994,-2.4005451,7.1226616,-1.2834967,-0.8060739,8.67009,1.5006809,1.3200306,3.985748,-0.12696096,-0.35183755
t31,-0.22571051,0.7236439,4.0151258,1.8526214,16.147219,2.6026168,-0.72136307,5.955169,0.1867639,-0.0699491,-2.4169533,7.1967883,-1.2847959,-0.8052025,8.785747,1.5191069,1.3240974,3.988869,-0.12708332,-0.3559493
t32,-0.20372874,0.46564332,2.5845318,0.59602034,10.056544,6.3510647,-0.58987623,1.9225092,0.14590755,-0.17726038,-1.6968719,9.934839,-0.8542234,-0.5528696,9.08587,0.7621404,1.2500254,2.0838122,0.31463236,-0.27811992
t33,-0.32313016,0.33212498,1.5864,2.5006206,6.2976837,7.285408,-0.37376207,2.4475713,0.2108414,-0.22700523,-1.0688084,8.684066,-0.6760156,-0.4341529,5.744252,0.18496224,1.3464935,1.2361134,0.0646466,-0.15438925
t34,-0.19058168,0.58516455,3.11958,0.9514099,13.138147,4.196809,-0.64544475,2.4809685,0.15027483,-0.06987454,-1.8790511,7.659424,-1.0377373,-0.639512,8.437775,1.5239651,1.1617528,2.861235,-0.05578836,-0.35794818
t35,-0.18565103,0.5906199,3.158687,0.8635174,13.290343,4.186319,-0.6551375,2.4483025,0.14754395,-0.06862684,-1.9020303,7.7171416,-1.0436877,-0.6470812,8.576644,1.5626147,1.1584677,2.921181,-0.055068713,-0.36279282
t36,9.722443,0.09698154,1.3612972,-0.68158203,-0.44976035,-0.5627496,-0.7067762,-0.22184457,3.7985003,-0.56384164,-1.0116482,0.19095483,12.544737,6.1924205,6.651491,1.6151091,0.51311076,-0.26587158,5.2253423,8.659581
t37,9.773206,0.09589371,1.3608093,-0.68468606,-0.4527419,-0.56502354,-0.70657927,-0.21960378,3.7759335,-0.5668288,-1.0167217,0.1720705,12.573517,6.2391167,6.666596,1.6371803,0.5181787,-0.26795363,5.256457,8.682105
t38,9.492668,0.13080338,1.364163,-0.69704,-0.49821785,-0.6064891,-0.7114734,-0.20261268,2.914374,-0.59503245,-0.94320774,0.0001196342,13.365681,6.908186,5.904008,1.3481143,0.5709093,-0.273031,5.5663023,9.69566
t39,7.051459,0.1914026,1.3341792,-0.61275244,-0.5248421,-0.5659172,-0.7061493,-0.20854908,1.102588,-0.63768023,-0.4738644,0.00014920392,13.665529,6.679849,2.836511,0.56644523,0.5915952,-0.1970257,5.75885,11.153973
t40,0.8167495,0.24245593,0.7814007,-0.22128077,-0.42551252,-0.02909243,-0.31818292,0.009974177,0.11046766,-0.54675704,13.231852,1.2826004,7.673549,-0.114785016,-0.029827526,2.4691834,1.0052297,-0.12541912,10.43097,8.623031
t41,-0.3234554,0.86663836,3.115863,5.2873316,20.078787,5.127757,-0.5452458,0.3771933,0.29214153,-0.023458803,-1.9291222,4.617629,-1.4128313,-0.6297369,6.0685573,0.09749131,1.4178125,0.901912,-0.29185927,-0.35382825
t42,-0.35692298,0.79555833,2.660926,5.8497243,17.184156,5.8339095,-0.4610086,1.0656173,0.29298025,-0.010824952,-1.627536,4.394075,-1.2667605,-0.61612874,4.5547695,-0.016708476,1.3365724,0.20557505,-0.3195713,-0.3421769
t43,-0.3972819,0.7147033,3.7667232,5.5366335,13.987596,0.5288109,-0.50811595,12.108583,0.301989,-0.07500392,-2.161391,4.5410457,-1.2890923,-0.782717,4.904318,0.6404725,1.641077,3.5867772,-0.16612175,-0.18779746
t44,-0.4207973,0.6889457,3.5415206,6.0690966,13.127743,0.57583016,-0.4551371,12.410737,0.31623125,-0.07877286,-2.0129747,4.165134,-1.246634,-0.7467884,4.1181784,0.45719877,1.665907,3.2079854,-0.16368844,-0.1543507
t45,-0.36301687,0.87020105,2.7503843,6.6538415,19.347347,5.0606346,-0.39686948,0.012834742,0.33621582,-0.0362043,-1.7644354,3.5816648,-1.3999332,-0.61117196,4.6718135,-0.010278236,1.3963645,0.25047058,-0.36182663,-0.3328326
t46,-0.34155774,0.8161369,2.8354027,5.5008607,17.680914,5.8046474,-0.49674124,1.0423121,0.28481513,-0.009448073,-1.699164,4.770845,-1.3049505,-0.63760626,5.1585174,-0.01416831,1.350937,0.3823987,-0.30962095,-0.36138886
t47,-0.4809269,0.63734365,3.1288733,7.500898,11.185959,0.4017112,-0.31024745,13.711383,0.36213756,-0.0956229,-1.7145303,3.1023088,-1.153313,-0.6981046,2.211596,-0.0021794916,1.7563618,2.5101902,-0.1653042,-0.08529144
t48,-0.36992133,0.8391888,2.7260702,6.340606,19.30819,5.3267927,-0.4621608,0.32963976,0.3207502,-0.02662257,-1.7701172,3.6515665,-1.3488548,-0.58023226,4.523793,-0.0054363394,1.4222535,0.4161433,-0.32860574,-0.30688727
t49,-0.36165583,0.84643126,2.8020837,6.157309,19.514235,5.2878594,-0.47858608,0.3174688,0.31633577,-0.026351511,-1.8023418,3.8130224,-1.3633503,-0.58953387,4.810949,-0.0040342137,1.4244564,0.50664485,-0.3223267,-0.31553856
t50,9.527047,0.18427962,1.4727223,-0.7234286,-0.56626964,-0.6708326,-0.7755664,-0.19755317,1.9428042,-0.670488,-0.89872587,0.00020705661,14.917347,7.878915,4.6670823,1.0537955,0.6663069,-0.2668072,5.916876,11.46335
