"accepted_species","trait_ARD"
"t2","0"
"t29","1"
"t40","1"
"t12","1"
"t76","1"
"t77","0"
"t34","1"
"t35","1"
"t6","0"
"t11","1"
"t1","1"
"t37","1"
"t38","1"
"t78","1"
"t79","1"
"t61","0"
"t62","0"
"t44","0"
"t83","1"
"t99","1"
"t100","1"
"t22","1"
"t88","1"
"t49","1"
"t50","1"
"t27","1"
"t89","1"
"t90","1"
"t41","1"
"t33","1"
"t15","1"
"t21","1"
"t69","1"
"t70","1"
"t8","0"
"t4",NA
"t56",NA
"t57",NA
"t17","0"
"t18",NA
"t24",NA
"t74",NA
"t75",NA
"t52",NA
"t53",NA
"t5",NA
"t39","0"
"t93","0"
"t94","0"
"t47","0"
"t81","0"
"t82","0"
"t51","0"
"t65","1"
"t71","1"
"t7","1"
"t19","1"
"t20","1"
"t63","1"
"t64","1"
"t97","1"
"t98","1"
"t23","1"
"t28","0"
"t84","0"
"t85","0"
"t58","0"
"t26","0"
"t25","0"
"t42","1"
"t43","1"
"t45","1"
"t46","1"
"t30","1"
"t14","1"
"t9","0"
"t10","0"
"t3","1"
"t80","1"
"t95","1"
"t96","1"
"t86","1"
"t87","1"
"t48","1"
"t72","1"
"t73","1"
"t66","1"
"t67","1"
"t68","0"
"t32","0"
"t13","1"
"t36","1"
"t59","0"
"t60","0"
"t31","1"
"t91","1"
"t92","1"
"t54","1"
"t55","1"
"t16","1"
