,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
t1,-0.2981536,-0.047921237,1.7834996,-0.14738001,-0.3139749,-0.52566016,0.0093764495,1.1003205,2.7338295,0.6114945,1.3474594,0.14465056,5.2742023,-0.009293699,-0.83755124,1.0212477,0.00095575326,8.095513,0.47822183,0.0019086252,0.2908895,-0.051308457,-0.22937028,-0.10039101,-0.3757332,0.14031366,0.0849935,-0.0012861594,0.9923052,2.238906,-0.3603958,-0.012763374,-0.012005207,-0.050128512,-0.037909802,0.056792345,-0.1567635,5.339192,-0.0380084,0.06314834,-0.06537966,-0.18507512,0.0129538225,-0.03064182,0.40197632
t2,-0.33727807,-0.050433602,1.6809376,-0.17336433,-0.44435403,-0.65970147,0.008327601,1.6969686,2.6563795,0.9338565,1.9486281,0.17056194,5.963644,-0.002694089,-0.9932397,1.4201514,0.12135146,8.756948,0.8016159,0.0020925167,0.32921246,-0.09204384,-0.23414968,-0.11608428,-0.50595295,0.5177373,0.6730076,0.23625681,0.8345952,2.002193,-0.4447641,-0.025544558,-0.004875957,-0.05679683,-0.047833305,0.058988076,-0.14586352,5.327842,-0.0650261,0.064706996,-0.058165964,-0.19784756,0.016804386,0.16342679,0.2574488
t3,-0.33501202,-0.05322728,1.6856811,-0.17150052,-0.42524806,-0.64149165,0.0078035155,1.5822977,2.5947845,0.87085396,1.881587,0.16783996,5.8469887,0.005275887,-0.96915686,1.3347236,0.10504569,8.592001,0.8292214,0.006174441,0.3274004,-0.08483463,-0.2326408,-0.11332378,-0.48269752,0.47147113,0.5353613,0.19536938,0.8174559,2.029895,-0.4356527,-0.02312139,-0.0045031444,-0.045469202,-0.046503693,0.05924194,-0.15228148,5.2341123,-0.060550205,0.06623631,-0.06144472,-0.19297342,0.016025696,0.08632676,0.26274422
t4,-0.45162886,-0.038770396,1.4931608,-0.23204382,-0.8142782,-1.0722748,0.007889936,3.6862626,2.1460528,1.8379654,3.6056967,0.26049575,7.726343,0.09519664,-1.3947344,2.5265584,0.628316,11.131239,1.7874973,0.0040441514,0.47436154,-0.18296854,-0.24570136,-0.13456734,-0.8212093,1.1806358,1.6891268,1.1986743,1.2402726,1.451283,-0.7042825,-0.030938923,0.32885724,-0.04900921,-0.06210612,0.04884475,-0.15895282,5.740797,-0.15029915,0.07778225,0.46206164,-0.2391391,0.027670141,2.2417243,0.031982057
t5,-0.41625267,-0.05165139,1.5914128,-0.21060732,-0.7048967,-0.9364528,0.006688816,3.0719233,2.4214563,1.583161,3.0699048,0.23375928,7.2372475,0.06350934,-1.2688214,2.1814132,0.56599236,10.51809,1.4343443,0.0016424665,0.43182093,-0.15794556,-0.23989958,-0.12718248,-0.72513,0.9477027,1.3367714,0.996108,1.0131505,1.6129305,-0.61733735,-0.027752994,0.22210035,-0.06059896,-0.055901036,0.053517893,-0.15469818,5.669268,-0.119975135,0.07447871,0.10977946,-0.2180964,0.024002831,1.573203,0.12279704
t6,-0.51669514,-0.031443186,1.4842378,-0.2599019,-0.9978187,-1.284554,0.007155669,4.7758245,1.9202679,2.28119,4.5237837,0.3080676,8.6786995,0.13397726,-1.5937567,3.0813732,0.94018936,12.298371,2.2097414,0.0008488228,0.5453737,-0.23307474,-0.2544301,-0.13774091,-0.98292416,1.5164624,2.2519317,1.6939366,1.4049739,1.1627012,-0.82888925,-0.038534805,0.52584505,-0.052640382,-0.06784734,0.043749835,-0.16274823,6.0202317,-0.18883446,0.0835358,0.9618694,-0.27128956,0.03342246,3.2673995,-0.0012156501
t7,-0.27726465,-0.05011127,1.8637544,-0.11547657,-0.22076769,-0.4197785,0.008596147,0.58898443,2.9111605,0.31211725,0.9044079,0.119368576,4.73832,-0.02141239,-0.69789344,0.4619656,0.0015072356,7.3827977,0.226404,0.010355106,0.25106803,0.13950069,-0.21687236,-0.08006757,-0.23824021,-0.0069588968,-0.0017812669,-0.0031208482,1.1783873,2.3674483,-0.27777344,0.15011907,-0.0153817665,-0.046867803,-0.028420929,0.057215966,-0.1693919,5.4018917,-0.003387963,0.06315401,-0.07252393,-0.14941318,0.009504525,-0.06566087,0.5186545
t8,-0.33629236,-0.053971905,1.7143424,-0.16903919,-0.44796088,-0.6391346,0.007884247,1.7372388,2.713118,0.9438305,1.8978522,0.16974968,5.9250727,-0.012675252,-0.97636765,1.2576945,0.17872894,8.627088,0.7783366,0.00081162015,0.32740927,-0.08152671,-0.22836317,-0.11840269,-0.49054825,0.5216789,0.6118274,0.15551755,0.8152873,2.0638897,-0.4324987,-0.0187018,-0.008723434,-0.059337914,-0.047889344,0.062652044,-0.15202412,5.2508917,-0.054874834,0.06626691,-0.06892682,-0.20061065,0.016060183,0.014864653,0.34792715
t9,-0.28398827,-0.05196733,1.8558762,-0.119210556,-0.25139573,-0.4526217,0.008817422,0.81699204,2.9297838,0.39515886,1.0123506,0.12578437,4.9018035,-0.027951341,-0.7341269,0.53338784,0.0008264737,7.5491486,0.28789547,0.0020194435,0.26103556,0.028236378,-0.2181719,-0.086468905,-0.27171472,-0.0015666102,-0.0010599743,-0.0027655843,1.0731858,2.274279,-0.3023163,0.07138363,-0.014819777,-0.06071705,-0.03141328,0.059545517,-0.16494735,5.345408,-0.0107285725,0.06305267,-0.06986917,-0.15893197,0.010504553,-0.059544202,0.48641488
t10,-0.52465045,-0.02593553,1.4703646,-0.26285794,-1.0064732,-1.304824,0.0072050393,4.8927283,1.78139,2.2342734,4.5625625,0.3111916,8.624311,0.13848072,-1.5983729,3.1090927,0.9486702,12.24069,2.2384915,0.00204653,0.5467055,-0.23530024,-0.2517936,-0.14055972,-0.9890449,1.5862217,2.2672737,1.6917447,1.3789526,1.1425644,-0.8462998,-0.035754617,0.51887125,-0.049141217,-0.06948526,0.04309422,-0.16643521,5.9290853,-0.19447856,0.08298994,1.0043803,-0.2704981,0.03387903,3.3303638,-0.0023945647
t11,-0.517561,-0.025485717,1.470487,-0.25933853,-0.97763556,-1.2790316,0.0074632857,4.772168,1.7969543,2.187375,4.4558554,0.3056258,8.471229,0.1610051,-1.5705912,3.0376387,0.9265128,12.074723,2.2136695,0.0006849382,0.53697336,-0.22830461,-0.25013632,-0.14010747,-0.9651784,1.5460935,2.1829598,1.6220897,1.3620892,1.1652448,-0.8333031,-0.033491008,0.4754643,-0.049112916,-0.06843453,0.043334913,-0.16632551,5.903142,-0.19112642,0.08229916,0.9574594,-0.26705515,0.03315215,3.2162805,-0.0021794147
t12,-0.55999637,-0.020052379,1.5033557,-0.27404127,-1.0801879,-1.3916342,0.0074615898,5.303394,1.6815412,2.373709,4.988535,0.33264124,8.973396,0.14173338,-1.6850029,3.3412092,1.0595886,12.833358,2.409116,0.013022114,0.57541513,-0.25165114,-0.26369804,-0.14292416,-1.0477881,1.7930348,2.4401658,1.8685784,1.4408323,1.2120955,-0.90272224,-0.034575094,0.5892469,-0.04775892,-0.072332546,0.041177996,-0.16986005,6.202387,-0.21394272,0.085627064,1.2228678,-0.29116756,0.0359847,3.7132487,-0.0041843643
t13,-0.53178614,-0.027505282,1.4678099,-0.26894793,-1.0295634,-1.33704,0.0069481973,5.0500164,1.8090749,2.3421962,4.736872,0.3190606,8.817846,0.15380043,-1.634504,3.2051103,1.0111248,12.467375,2.2910662,0.001941526,0.5608696,-0.24341953,-0.25596514,-0.13787796,-1.0136623,1.5925384,2.3822007,1.7534243,1.4066437,1.0761552,-0.86365277,-0.039675485,0.5501124,-0.049264994,-0.07043245,0.043199196,-0.16779739,6.0123763,-0.19853824,0.083597876,1.0811458,-0.2797366,0.034746896,3.5065038,-0.0024288732
t14,-0.57421654,-0.030278431,1.7129349,-0.27251136,-1.0355023,-1.3451108,0.007609121,4.840339,2.0514648,2.1802232,4.7624407,0.32577857,9.017307,-0.00066729315,-1.6478411,3.1937194,0.9540014,13.103716,2.2169795,0.03668528,0.5672095,-0.22168823,-0.2811673,-0.15627548,-1.0103797,1.8600926,2.1077769,1.686999,1.3293649,1.5560309,-0.8670954,-0.028754918,0.49351516,-0.057086553,-0.06921518,0.050579503,-0.18581767,6.6336083,-0.1922579,0.085903466,1.0050684,-0.27548906,0.0338026,3.2084606,0.020339428
t15,-0.63444245,0.6068953,0.98165005,-0.34007365,-1.5040618,-1.8527554,0.007560016,8.382505,0.06016566,3.596309,7.1896195,0.4302209,10.203469,0.7510347,-2.111256,4.6271024,1.7071433,14.10396,3.552292,0.3220993,0.70488864,-0.40147367,-0.25731426,-0.092855364,-1.3600748,2.1330636,4.107952,3.1177537,2.1133964,-0.07786135,-1.17272,-0.041374106,1.3605868,0.051111013,-0.07588352,0.00045034394,-0.13488078,5.3191605,-0.33774424,0.089766204,2.676649,-0.3783457,0.05058054,6.5319347,-0.034286313
