,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
t1,7.3364277,5.3394437,11.328855,10.76984,5.809464,5.599564,7.2519584,4.4828906,3.6175888,5.035916,4.622948,3.941625,5.4680214,4.475891,4.6309767,5.9799795,4.5450234,4.940175,5.7817636,5.511095,4.2777276,5.729752,4.660855,4.156804,5.086498,4.608149,5.0631275,3.491861,4.226289,3.6028957,4.605083,5.1838965,4.7442746,5.323538,5.8648934,5.018737,4.371969,5.195697,4.008095,5.2477617,6.2262454,5.4416428,5.9862747,5.121027,4.035839
t2,7.359605,5.3670154,11.353292,10.793128,5.8078785,5.5269732,7.265282,4.462855,3.5908372,5.0323987,4.6356754,3.867614,5.4874053,4.4817495,4.625592,5.992544,4.5409327,4.9465165,5.7633724,5.5174994,4.2855754,5.785648,4.6596766,4.1448026,5.06564,4.5760756,5.069043,3.4953334,4.221043,3.6204588,4.5595937,5.184176,4.7072616,5.3359737,5.8691487,5.0374937,4.375805,5.177607,4.0091705,5.237094,6.1908255,5.45008,6.0080233,5.0858264,4.011401
t3,7.3452864,5.352298,11.359711,10.8195915,5.8056874,5.55569,7.263362,4.451021,3.6243367,5.0439506,4.634789,3.8984296,5.494571,4.47872,4.6148696,5.9995046,4.531655,4.9434447,5.779218,5.4963593,4.289196,5.766458,4.668816,4.1224713,5.0658455,4.5812993,5.10284,3.4774015,4.204954,3.6142046,4.5759745,5.18409,4.7355947,5.325956,5.8677244,5.025861,4.376646,5.179943,3.9874008,5.2530937,6.2073407,5.451849,6.0164323,5.103942,4.0222893
t4,7.3737082,5.2539883,11.3893175,11.141772,5.723663,5.410929,7.3432555,4.436836,3.5354908,5.017898,4.6137347,3.7299852,5.4534307,4.3920436,4.7132897,6.044576,4.589268,4.8561788,5.8563724,5.5531573,4.19398,5.8509583,4.6448073,4.0861154,4.996629,4.5993457,5.2577043,3.608238,4.3269777,3.704154,4.5226574,5.1407447,4.613445,5.424111,5.791219,5.1194987,4.2964363,5.108755,4.075825,5.306196,6.105661,5.3905706,6.0235906,5.0010285,4.0448284
t5,7.370121,5.310753,11.393294,11.031025,5.754898,5.4347787,7.318322,4.425173,3.569065,5.0311313,4.629411,3.7582858,5.482903,4.4292383,4.6675324,6.036064,4.55981,4.893778,5.817773,5.5248795,4.2389474,5.8424363,4.6573396,4.082627,5.0133185,4.5719237,5.2099185,3.549405,4.268228,3.6753461,4.5234413,5.1585207,4.6571007,5.387534,5.824142,5.0877147,4.3312755,5.1277156,4.032001,5.2840624,6.1362433,5.420982,6.035445,5.0328045,4.0224304
t6,7.374032,5.1749926,11.395162,11.317023,5.670048,5.374984,7.386601,4.4329557,3.5014982,5.006035,4.5917735,3.6928613,5.4199452,4.333083,4.77412,6.069636,4.623089,4.7969527,5.92015,5.5796795,4.1304755,5.8705826,4.6354766,4.063607,4.9661026,4.62865,5.358217,3.6828685,4.399114,3.7471502,4.51526,5.112018,4.560832,5.474518,5.7392344,5.163728,4.243885,5.0739408,4.1237903,5.353201,6.062615,5.348058,6.0185313,4.957995,4.0767093
t7,7.3519,5.3580084,11.313676,10.686425,5.8215995,5.60276,7.2452655,4.513535,3.5931191,5.0232334,4.626557,3.9366791,5.46272,4.4868455,4.638366,5.9622073,4.5562544,4.950009,5.759435,5.53438,4.2827373,5.7285137,4.6463227,4.198646,5.0871263,4.6000805,4.995347,3.5073316,4.2431335,3.608035,4.5963655,5.1900754,4.726857,5.331606,5.8749104,5.027285,4.377389,5.201891,4.030107,5.2229156,6.216007,5.443292,5.97444,5.110092,4.0205154
t8,7.337901,5.33212,11.346626,10.840859,5.802155,5.5763235,7.260757,4.462276,3.625388,5.042033,4.625825,3.924693,5.478485,4.470277,4.6278243,5.9933558,4.540489,4.9342613,5.7918234,5.5023885,4.27738,5.748973,4.6654196,4.1264315,5.0731764,4.60095,5.1169558,3.48841,4.220835,3.6114373,4.5952287,5.181586,4.7440577,5.3272896,5.8609004,5.0231957,4.3687005,5.1858563,3.998943,5.2591915,6.217893,5.4426823,6.0032773,5.114367,4.0355477
t9,7.335623,5.3451986,11.291702,10.639018,5.817469,5.6454153,7.2400546,4.52814,3.5910351,5.020617,4.614161,3.970833,5.440358,4.4796057,4.64666,5.954788,4.559806,4.9447336,5.7680316,5.535924,4.2692347,5.6901636,4.6493464,4.223457,5.110493,4.627148,4.9520054,3.5109458,4.2489605,3.5913007,4.6225667,5.1846433,4.731347,5.3234086,5.866053,5.0163536,4.3715763,5.211131,4.0361896,5.228725,6.2340627,5.4332347,5.948117,5.1254983,4.039908
t10,7.3375497,5.166383,11.3542185,11.328638,5.6392703,5.4322305,7.3934445,4.466363,3.5028944,4.9983964,4.5545716,3.75128,5.3698378,4.289756,4.817725,6.0633907,4.647523,4.754541,5.9561963,5.593357,4.093503,5.8215213,4.6353846,4.090363,4.99081,4.6504316,5.369759,3.7283835,4.442197,3.7370892,4.5588994,5.0911374,4.564531,5.4816117,5.6998324,5.158699,4.206909,5.081494,4.1556144,5.3970504,6.0822873,5.3087144,5.9711843,4.977819,4.104002
t11,7.3727403,5.1756887,11.394318,11.316713,5.6702304,5.3788843,7.386092,4.433979,3.5026448,5.006224,4.5910683,3.697172,5.4191103,4.332763,4.7741976,6.0690556,4.623119,4.796671,5.9204326,5.579441,4.1306396,5.868138,4.635693,4.0644593,4.967318,4.6288414,5.3581843,3.6825452,4.398918,3.7459698,4.517042,5.1119604,4.5625,5.473749,5.7390137,5.1625576,4.2437487,5.074863,4.1235976,5.353927,6.064411,5.3476624,6.0173316,4.9598093,4.077032
t12,7.351055,5.142996,11.383645,11.357631,5.6624265,5.3985906,7.3869634,4.437635,3.5122724,5.006505,4.5764494,3.7169938,5.4014664,4.3192534,4.7868114,6.0714345,4.6255383,4.7838125,5.94215,5.5742407,4.110087,5.846657,4.642994,4.069272,4.981927,4.6570363,5.3927946,3.6991887,4.4099336,3.733488,4.5395603,5.1026354,4.5734644,5.46754,5.725252,5.152474,4.2324176,5.0770817,4.127681,5.373023,6.0811334,5.3370543,6.001908,4.97489,4.102682
t13,7.3711095,5.169535,11.392053,11.325246,5.666722,5.3793097,7.3876715,4.4348445,3.5017493,5.005641,4.5885515,3.6977072,5.4156494,4.3287196,4.7785053,6.0699344,4.625316,4.79254,5.9252763,5.5805573,4.1256638,5.8666873,4.635615,4.0643806,4.967398,4.6329384,5.3648567,3.6877828,4.4036837,3.7470706,4.5189924,5.1098733,4.5610685,5.4755983,5.7352777,5.1638284,4.2400627,5.0738225,4.1267247,5.3576894,6.0635986,5.34447,6.015332,4.9590793,4.0808992
t14,7.3857026,5.187148,11.402828,11.302249,5.670759,5.3594522,7.3896465,4.4292684,3.4937632,5.0050535,4.598471,3.6764908,5.427816,4.3366833,4.771175,6.0709248,4.6234617,4.8002973,5.91251,5.583691,4.137044,5.8850923,4.631411,4.058698,4.95585,4.6148887,5.342289,3.6791158,4.3977313,3.7567537,4.5012274,5.114937,4.550421,5.481157,5.7432685,5.1722646,4.2467146,5.069649,4.1243787,5.3459888,6.0503945,5.351407,6.0272593,4.9462333,4.065017
t15,8.580858,6.032098,7.0387487,3.9776356,5.140413,5.939988,5.656353,5.8037024,3.5223763,5.1168976,4.4974036,4.6457586,5.133396,4.5270104,5.273263,4.884845,5.2819424,4.621082,5.366622,5.9580526,3.8148534,4.9111643,4.159811,5.1766934,5.444505,5.156555,4.208277,4.2981787,4.9911375,4.2096686,4.8685026,5.4240284,5.0832453,5.208028,5.8334527,5.270026,4.090931,5.9441357,5.0863323,4.7406044,5.179241,5.0924945,5.453747,4.8156385,4.320288
t16,7.363496,5.3241105,11.157653,10.169965,5.8496184,5.8073635,7.1948323,4.7113514,3.477824,4.980126,4.5797844,4.0890484,5.346912,4.478762,4.720888,5.868494,4.63135,4.933487,5.7464385,5.651874,4.2310915,5.5571823,4.5951724,4.4427295,5.165647,4.7096076,4.667034,3.6002727,4.359301,3.5786839,4.670239,5.1934543,4.6809273,5.337368,5.869965,5.0115333,4.35223,5.263972,4.1653953,5.1748185,6.2245445,5.3997254,5.831553,5.1224594,4.0532036
t17,7.3780637,5.288097,11.376234,11.019032,5.752913,5.413669,7.318797,4.4521165,3.5397635,5.0150495,4.621721,3.7299993,5.458999,4.421566,4.692088,6.023356,4.583284,4.885712,5.820856,5.552201,4.2190127,5.8433275,4.641067,4.1130157,5.0155663,4.594873,5.174462,3.579031,4.298935,3.6848063,4.528744,5.1549535,4.627948,5.4054637,5.8165197,5.1034107,4.3201833,5.129394,4.0623817,5.272563,6.120158,5.4069943,6.0146008,5.013798,4.031484
t18,8.627002,6.02046,7.005374,3.9917684,5.1213446,5.934311,5.6536226,5.786099,3.5530336,5.126577,4.519538,4.645551,5.1237187,4.5308404,5.2776823,4.8967724,5.288601,4.6327434,5.354079,5.9355903,3.8175085,4.9124727,4.1672716,5.164456,5.4386806,5.146558,4.2150307,4.3247714,4.978453,4.216426,4.8686886,5.410565,5.0742993,5.1873693,5.834896,5.260413,4.1018224,5.927891,5.0749917,4.738097,5.164557,5.0964293,5.4396577,4.825969,4.33017
