,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
t1,-0.2945936,0.0043273806,-0.029560974,-0.17107809,0.042054553,4.2835793,0.14911047,1.629018,-0.0018549429,6.8184643,9.552244,-0.06649723,7.745761,5.6995873,-0.09556414,0.18534584,3.022632
t2,-0.29252958,0.031220347,-0.04613043,-0.17710543,0.0848195,4.454812,0.101056,1.4307591,0.28977802,7.666742,11.522719,-0.08498015,8.575863,8.394073,-0.049785342,0.21318278,4.236989
t3,-0.3248173,0.0010634116,-0.033983544,-0.20005813,0.024256261,4.5625505,0.15935439,1.7671288,-0.0075727478,7.2421613,9.878009,-0.0785741,8.162084,5.7598495,-0.07990915,0.21806486,3.1184974
t4,1.1348025,0.13400304,-0.00081234693,-0.10196761,0.25563714,0.00067310996,1.0275382,0.54987323,1.7574551,2.9188528,10.853792,0.6982016,2.6607347,12.359095,-0.077339634,0.06356059,6.9803104
t5,0.73782367,0.19305053,-0.0044145095,-0.11247196,0.3109958,0.27828878,1.9615678,0.30308214,3.1973681,4.303549,15.676253,0.31410754,3.9923587,18.460632,-0.013708446,0.09032677,9.636096
t6,0.19453686,0.16310553,-0.00031344892,-0.060277816,0.22977461,0.00029329053,2.4074435,-0.0074920966,3.4341934,3.4644377,12.909699,-0.02262168,3.1373398,15.737814,0.5820226,0.057881813,7.609809
t7,-0.0018797448,0.19778238,-0.0066106063,-0.06366478,0.24972975,0.03805621,3.2154796,-0.016275017,4.121641,3.9142654,15.605162,-0.039880954,3.608216,19.201351,1.346618,0.0831088,9.098178
t8,-0.12212608,0.14575414,-0.027301598,-0.0123774195,0.08783727,0.026566256,3.2223253,-0.031367235,3.842821,2.5071037,11.155302,-0.108279824,2.3507452,15.079195,3.7463243,0.05929855,5.908313
t9,-0.1044197,0.16163394,-0.024093682,-0.020656705,0.12526393,0.06516316,3.3474739,-0.030575465,4.0080543,2.9554114,12.682783,-0.09056607,2.7824605,16.414742,3.1446903,0.06811705,6.8463736
t10,-0.15314236,0.11371879,-0.020037787,0.18623391,0.040303495,0.0004531433,3.0336587,-0.030252684,3.2928567,1.8475915,8.67958,-0.115759104,2.0602648,11.95017,3.287383,0.04519004,4.21072
t11,4.2144146,0.16200405,-0.014726346,-0.2289548,0.40698895,0.01535438,0.37616667,1.3492181,-0.01727063,1.2601855,12.078438,2.899029,1.6764494,12.15148,-0.3693735,0.082624644,9.332509
t12,4.6031137,0.15195411,-0.021089133,-0.2541253,0.366014,0.01664498,0.10226628,1.5943863,-0.027680868,0.666012,11.73151,2.8201234,1.291064,10.886901,-0.40367207,0.10179449,8.947488
t13,4.7540593,0.18327028,-0.02669729,-0.2569989,0.43904394,0.019760389,0.43768966,1.5872035,-0.02419148,1.2945685,13.754227,3.2377245,1.8543111,13.655543,-0.4125509,0.105215125,10.626364
t14,0.9238593,0.04580401,8.611918,-0.18816979,3.1912205,0.016220056,0.0775308,-0.04295706,6.1583886,0.069678225,-0.45103464,-0.20248318,-0.070218414,3.1892183,-0.010838809,0.07044008,0.16174303
t15,5.1830792,0.18239921,-0.02932573,-0.27791432,0.43012157,0.020870764,0.310073,1.7561675,-0.02907664,0.93943286,13.791046,3.2911088,1.5518875,13.266333,-0.44278783,0.114391714,10.6674595
t16,5.3388157,0.1849773,-0.028683744,-0.2913681,0.43715885,0.02145615,0.26095283,1.843358,-0.03087546,0.96186376,14.044805,3.3991675,1.4985639,13.530089,-0.45330957,0.11980865,10.887608
t17,5.415182,0.15022899,-0.019977624,-0.3063681,0.3521227,0.020890707,0.02193263,1.9279548,-0.037988205,0.077371694,11.885458,2.974904,0.6674668,10.174459,-0.46664932,0.12748973,8.980809
