"","V_1","V_2","V_3","V_4","V_5","V_6","V_7","V_8","V_9","V_10","V_11","V_12","V_13","V_14","V_15","V_16","V_17","V_18","V_19","V_20","V_21","V_22","V_23","V_24","V_25","V_26","V_27","V_28","V_29","V_30","V_31","V_32","V_33","V_34","V_35","V_36","V_37","V_38","V_39","V_40","V_41","V_42","V_43","V_44","V_45","V_46","V_47","V_48","V_49","V_50","V_51","V_52","V_53","V_54","V_55","V_56","V_57","V_58","V_59","V_60","V_61","V_62","V_63","V_64","V_65","V_66","V_67","V_68","V_69","V_70","V_71","V_72","V_73","V_74","V_75","V_76","V_77","V_78","V_79","V_80","V_81","V_82","V_83","V_84","V_85","V_86","V_87","V_88","V_89","V_90"
"t23",-0.0572729579725271,-0.050339153785543,0.0805055462024066,-0.4809134378349,0.00123136643159098,-0.00621338150004121,0.022290885835718,-0.0118448834658554,0.00900835888318542,-0.00317269858486287,0.000448380368239495,0.000371842117963638,-0.00178729941770438,0.00312743849294575,-0.00845349949672615,0.00392368288354708,-6.8576395513269e-05,0.00265681613216128,-0.00628559861356683,0.00153419552307074,-0.000917944047193725,0.000127443461320688,-0.00114924645994079,0.00238309326695222,-0.00269176100892409,0.00137810998041211,-0.00208024078089729,-0.0013099757507703,6.97601687730075e-05,0.00185567346210084,-0.000765156809466587,0.00140617303388204,-0.000193442515263959,-1.27396164974234e-12,-8.88969959137719e-06,-0.00207354066053037,-0.00755060304958947,0.282623744269873,-0.0143353911194935,0.000103555178723828,0.000291532498288709,3.45881574248692e-06,-6.92999637733557e-18,-3.29886781776529e-07,-3.53131996312529e-16,-2.36436025190666e-16,-3.04887440850496e-16,-2.64586963851714e-05,-3.93286056100347e-05,0.000110449948890416,0.000140756684882429,-0.405398575813945,0.707106781186568,7.47858688718546e-05,1.73451490518781e-15,3.2683807304044e-05,-6.48992980621463e-05,-3.60615242032501e-06,0.000132088511302691,1.45246717200927e-16,-1.2239101388081e-05,-2.8246831642682e-16,-9.18325475043145e-06,-7.32875758298478e-06,3.77220662485411e-05,4.38296417039128e-06,-4.90801050833813e-05,-5.04788956550243e-17,-3.63866944500338e-17,9.38117861070134e-05,1.67693929311021e-17,-1.96878844170875e-05,-1.89891004244144e-16,-6.80125082765484e-17,5.17985926612574e-17,-2.19514737305671e-16,3.38620692162265e-06,1.66630627925831e-16,-7.53734819085776e-18,-2.98780407167231e-17,7.4359424503867e-17,5.82773634722498e-19,4.02859463238387e-17,-6.7419137519834e-17,1.69896359737018e-17,-4.87009386468388e-17,-1.52371184246739e-17,4.58652292142911e-17,2.73971088400381e-17,1.73840016655946e-16
"t24",-0.0572729579725265,-0.050339153785543,0.0805055462024068,-0.480913437834901,0.00123136643159114,-0.00621338150004147,0.0222908858357184,-0.0118448834658558,0.00900835888318476,-0.00317269858486264,0.000448380368239117,0.000371842117963203,-0.00178729941770389,0.00312743849294564,-0.00845349949672587,0.00392368288354739,-6.85763955130818e-05,0.0026568161321616,-0.00628559861356743,0.00153419552307081,-0.000917944047193645,0.00012744346131906,-0.00114924645994046,0.00238309326695246,-0.00269176100892393,0.0013781099804128,-0.00208024078089656,-0.00130997575077019,6.97601687723719e-05,0.00185567346210085,-0.000765156809466329,0.001406173033882,-0.000193442515263758,-1.27441317085274e-12,-8.88969959048103e-06,-0.00207354066053018,-0.00755060304958994,0.282623744269873,-0.0143353911194921,0.000103555178722787,0.000291532498288686,3.4588157427365e-06,-2.3711228187449e-16,-3.29886780963034e-07,-1.65384775831772e-16,-2.58373819508661e-16,-3.27186940058658e-16,-2.64586963856072e-05,-3.93286056091008e-05,0.000110449948892881,0.000140756684881715,-0.405398575814017,-0.707106781186526,7.47858688859071e-05,-5.88616799570295e-16,3.26838073056941e-05,-6.48992980651229e-05,-3.60615242054622e-06,0.00013208851130265,-1.37281626491157e-16,-1.22391013893423e-05,2.70043708840464e-16,-9.18325474802098e-06,-7.32875758219316e-06,3.77220662485055e-05,4.38296416963254e-06,-4.90801050830201e-05,2.00958930562887e-16,-6.39529279045712e-17,9.38117861067728e-05,-7.12185051620294e-17,-1.96878844165568e-05,-4.04965574319598e-16,5.25422088673554e-16,1.31348264474075e-16,1.01558135797399e-16,3.38620692194399e-06,1.33401522794214e-17,-1.30540681102274e-16,7.39895570762317e-17,-5.60790781728174e-17,-6.04085022696361e-17,-6.26210546477719e-17,3.10506401001779e-16,5.43328297673269e-17,1.84277370327798e-16,7.21241628274482e-17,9.9368151800873e-17,6.85373236970719e-17,5.06607967142945e-17
"t22",-0.057253814003989,-0.0503093654539256,0.0804205381239786,-0.480293322474992,0.00122931414419863,-0.00620233747055865,0.022248155967464,-0.0118192217608809,0.00898461816390358,-0.00316380666188947,0.000447008048737126,0.000370672454571325,-0.00178116801045355,0.00311615707112937,-0.00841363114164748,0.00390105254268786,-6.81038453869229e-05,0.00263754550852826,-0.00623602936076267,0.00151944453509446,-0.000907998270246455,0.000125925043036162,-0.00113491655659333,0.00235211120360968,-0.00265656346118889,0.00135899249630438,-0.00205080984604536,-0.0012898575408492,6.86600710201607e-05,0.00182379999838672,-0.000751909041710975,0.00137812914287204,-0.000189539078657992,-1.23246398990206e-12,-8.56627756857963e-06,-0.00199559681965214,-0.0072659205963255,0.271336357338191,-0.0137433430210177,9.88975439023237e-05,0.000278238273167435,3.27632333918873e-06,1.07620940046284e-15,-3.0902634878695e-07,1.80148332734826e-17,2.22665349066248e-16,2.58467594979429e-16,-2.37179291952536e-05,-3.36698388403244e-05,9.02225507455963e-05,7.40374085493799e-05,0.819293933796007,-4.08562073062058e-14,0.000108889396794499,-1.51093779261606e-15,3.65946850790373e-05,-7.17799918223054e-05,-3.95445523183561e-06,0.000141513278832679,1.52170148976771e-16,-1.29344641312877e-05,6.4605450526482e-17,-9.6640159758756e-06,-7.70394820248095e-06,3.95675383488566e-05,4.58816223952312e-06,-5.11106107649806e-05,-3.04975918803536e-17,8.53315962804128e-17,9.70329114273825e-05,6.99701688254885e-18,-2.03310164247163e-05,-3.12918184377311e-16,-2.32602084449139e-16,-1.54302635264573e-16,1.81951997581966e-16,3.48816536816148e-06,-3.21088421306558e-17,9.38848193239794e-17,-1.93069566783406e-16,9.50651251763689e-17,-4.17076442003797e-17,6.8640203491683e-17,-3.25672902289556e-17,4.74449469499205e-17,-2.90363119476064e-16,-1.00701154631225e-16,2.9543930825911e-17,-1.06797970196224e-16,1.0001346039659e-16
"t10",-0.0566084063322984,-0.0493007224287555,0.0775193364217305,-0.459045016826483,0.0011585349122417,-0.00582072225967731,0.020768102639688,-0.0109265075961679,0.00815193909607062,-0.00285101514055478,0.000398513872596984,0.000329277462781685,-0.00156307465025922,0.00271361334721661,-0.00696233467448252,0.00306118525840883,-5.01930417086001e-05,0.00190209048709163,-0.00432111401036416,0.000929913222285299,-0.000500577031461503,6.23176587994105e-05,-0.000527575076231104,0.00102403706114246,-0.00114535133490564,0.000523906346692643,-0.000757428219966063,-0.000381590503988828,1.85282404660035e-05,0.000323225507633914,-0.000126189556167402,-3.41458121467949e-05,8.20785134361657e-06,1.88530663539699e-12,1.92236002430027e-05,0.00506831766484505,0.0186677823094477,-0.873426269731837,0.0507563997976687,-0.000535632459027092,-0.00161327226386921,-4.9647807931865e-05,-1.01120724585158e-15,-1.19719547854398e-05,6.47426971996545e-16,2.43344510306319e-17,3.49236402312307e-16,-0.000148500392366342,-0.00016804031633074,0.00041784899292882,0.000396083284142724,-0.0078374091912311,0,0.000241157287813461,3.51960681615254e-16,8.02146706215421e-05,-0.00015484054030401,-8.41291324060113e-06,0.000285392079269973,-1.78148870181189e-17,-2.48748140106818e-05,-2.04848003232849e-16,-1.82482830226099e-05,-1.44731525795574e-05,7.35601476143518e-05,8.44254841550509e-06,-9.13070374703343e-05,5.27741761100927e-17,-8.05966233429222e-17,0.000165571906561044,-7.40186907334164e-17,-3.42630381000814e-05,8.20544398272739e-16,-7.17856280542057e-17,6.22813129022032e-17,-9.50669895500285e-17,5.75976851014065e-06,5.38649925369161e-17,-6.46135861241325e-17,-4.45388265750656e-18,2.04139022623455e-17,7.15793998486076e-18,1.3357551852069e-18,3.8805376357391e-17,4.75771599668773e-17,-1.95083124703081e-17,-5.34682101227919e-17,1.20922986790007e-16,-4.03650443491395e-17,1.97549081392391e-16
"t59",-0.0232009777336727,-0.228224831140031,-0.0508306305683587,0.0371542465587274,0.000213599658258973,-0.0012102173166355,0.0010877789284455,-0.00149987147209368,-0.331016249804734,-0.00565005923788307,0.000490430904308766,0.000381612872499231,-0.00163698470880433,0.00100560824662476,-0.00757428733959212,0.054666014382453,-4.9442170220303e-05,0.0020101968615453,-0.00204228248728885,0.000613279715172309,-0.00109020230212899,-0.492498026803111,-0.00371750042032391,0.028448714542534,-0.106856725835456,0.254656211854995,0.0102763425516616,0.000990609438754079,-3.59320537098344e-05,-0.000240932234780554,8.31471589852065e-05,0.000151129817520609,-2.26989142037244e-05,-2.05129641798785e-13,-8.6213800312734e-07,-0.000130319413404236,-0.000213078697925072,0.000479807683105323,0.000266296787624899,-2.41083066015389e-05,-7.99102427531857e-05,-1.85901724947106e-06,3.27143038338583e-16,-1.54450662760284e-06,2.0490895465612e-16,2.38420204961875e-16,-2.3746882503582e-16,-2.85043377130769e-05,-3.6222511090973e-05,9.514271809811e-05,0.000100165323789844,-1.00375236013334e-05,9.15933995315754e-16,6.8148216573441e-05,1.45754230223389e-16,2.55783145370414e-05,-5.02810240841462e-05,-2.77359491923081e-06,0.00101680296666312,-3.40682486871775e-17,-9.01560734447913e-06,-9.80040434321116e-17,-6.83494927321288e-05,-5.36843320395427e-06,2.75682024822494e-05,3.19602545360753e-06,-1.51962627114763e-05,7.36365764360792e-17,-2.23876143749943e-15,2.89058844805365e-05,3.18569918914753e-16,-1.41422842630099e-05,-0.707106781186548,5.14588766258245e-14,1.17958145828365e-14,1.94888321062426e-15,1.0412875712806e-06,-6.23620094562997e-16,-3.14259785424102e-15,-2.48295729876541e-15,4.8885772866384e-16,4.14892614582186e-16,-9.42763727369286e-17,-8.81142460582171e-16,7.78316309627365e-16,-3.19477547622167e-16,-2.49423746363298e-16,3.15019577567268e-16,2.02792096217908e-16,2.60062495474012e-16
"t60",-0.0232009777336727,-0.228224831140031,-0.0508306305683583,0.0371542465587275,0.000213599658258956,-0.00121021731663584,0.00108777892844536,-0.00149987147209374,-0.331016249804734,-0.00565005923788306,0.000490430904308935,0.000381612872499304,-0.0016369847088045,0.00100560824662484,-0.00757428733959248,0.0546660143824534,-4.94421702203415e-05,0.00201019686154529,-0.00204228248728897,0.000613279715172318,-0.00109020230212899,-0.492498026803111,-0.00371750042032386,0.0284487145425339,-0.106856725835456,0.254656211854994,0.0102763425516617,0.000990609438754239,-3.59320537096362e-05,-0.000240932234780314,8.31471589850035e-05,0.000151129817520496,-2.26989142041998e-05,-2.04950720103856e-13,-8.62138003213684e-07,-0.000130319413404696,-0.000213078697925289,0.000479807683106792,0.000266296787624725,-2.41083066012475e-05,-7.99102427533401e-05,-1.85901724962616e-06,-2.6515784660582e-16,-1.5445066274583e-06,-9.87876464837886e-17,-3.1499020268668e-16,1.75238106573368e-16,-2.85043377128166e-05,-3.6222511091531e-05,9.51427180980388e-05,0.000100165323789806,-1.00375236013056e-05,7.7715611723761e-16,6.8148216573162e-05,-1.91393476025402e-16,2.55783145371411e-05,-5.02810240843819e-05,-2.77359491886095e-06,0.00101680296666408,1.96196446725096e-16,-9.01560734497392e-06,8.651398280428e-17,-6.83494927334799e-05,-5.36843320330792e-06,2.75682024814023e-05,3.19602545325134e-06,-1.51962627120338e-05,-6.87702758565439e-17,2.12862743468738e-15,2.8905884475678e-05,-2.52043316766263e-16,-1.41422842468194e-05,0.707106781186547,-5.10960771482542e-14,-1.1711831904775e-14,-2.65219434828885e-15,1.04128756794091e-06,6.3020252484411e-16,2.96694103488895e-15,2.39005377975235e-15,-4.63389049714291e-16,-3.87426852294537e-16,1.9763503059146e-16,6.95118620921608e-16,-5.29835760575866e-16,1.39323480071777e-16,3.1797016174181e-16,-1.41152076648711e-16,-1.14398830161526e-16,4.39900041133593e-17
"t67",-0.023210769865008,-0.228399265009677,-0.0509029420953703,0.0372202215093757,0.000214108104384679,-0.00121332342597716,0.00109083220728223,-0.00150475242303527,-0.332393452642044,-0.00567552123204813,0.000492915477695916,0.00038361928380991,-0.00164668963916407,0.00101201183337515,-0.00764717850711091,0.05542097328919,-5.04435132274216e-05,0.0020564442554664,-0.00210156725856613,0.000651928216810808,-0.00126261356031284,0.50704189507925,-0.00266580387906484,0.0238665289400538,-0.0905907138442652,0.229558873048428,0.00936622389215055,0.000928028719900971,-3.38449003936885e-05,-0.000229698853709399,7.93374209798314e-05,0.000145738410073698,-2.19026928294909e-05,-2.00202017062789e-13,-8.43595779632377e-07,-0.000127559337566641,-0.000208572069137491,0.000469912831044583,0.000260880240545276,-2.36335197082653e-05,-7.83441432050711e-05,-1.82423708779488e-06,-5.10962481994469e-17,-1.51693057162946e-06,-1.3939472731601e-16,-7.75473919557394e-17,1.09070396139142e-16,-2.80372801106952e-05,-3.56496705204989e-05,9.36664284882251e-05,9.86742813173645e-05,-9.89126300607324e-06,-2.77555756156289e-16,6.71841007868538e-05,-2.91654178129566e-16,2.52404622334733e-05,-4.96244822323116e-05,-2.73773051817078e-06,0.00100414353142455,1.69951362171559e-16,-8.90730183474881e-06,2.13003785569525e-16,-6.75402902123427e-05,-5.30513910537936e-06,2.72459799751465e-05,3.15899399286579e-06,-1.50247419607155e-05,1.28413133975808e-15,-7.95313276550179e-16,2.85938390360707e-05,-6.03892204202396e-16,-1.39915887909772e-05,2.1664420762344e-15,-4.25260467280439e-15,5.49174342050051e-15,0.707106781186548,1.03043688186158e-06,-5.53700266689883e-16,-9.0035592553931e-16,2.03061055137932e-15,-1.65911733540892e-15,8.75085473005385e-16,1.03384710283965e-15,4.20721239612108e-16,2.20950435697299e-16,-4.14561833009364e-17,2.30543974063159e-16,-1.60318118432967e-16,-1.69898189098752e-16,8.16521177257932e-17
"t68",-0.023210769865008,-0.228399265009678,-0.0509029420953704,0.0372202215093757,0.000214108104384679,-0.0012133234259773,0.00109083220728229,-0.00150475242303516,-0.332393452642044,-0.00567552123204801,0.000492915477695852,0.000383619283809748,-0.00164668963916392,0.00101201183337504,-0.00764717850711044,0.0554209732891905,-5.04435132273316e-05,0.00205644425546646,-0.00210156725856607,0.000651928216810659,-0.00126261356031297,0.507041895079252,-0.00266580387906489,0.0238665289400534,-0.0905907138442654,0.229558873048428,0.00936622389215038,0.000928028719900707,-3.38449003938278e-05,-0.00022969885370931,7.93374209798662e-05,0.00014573841007377,-2.19026928295428e-05,-2.00297677842654e-13,-8.43595779516262e-07,-0.000127559337566669,-0.000208572069137779,0.00046991283104475,0.000260880240545394,-2.36335197083216e-05,-7.83441432048125e-05,-1.82423708734739e-06,7.64031586888606e-17,-1.51693057162753e-06,2.67718741336708e-16,1.59520340677378e-16,-2.60108680831772e-16,-2.8037280110473e-05,-3.56496705204044e-05,9.36664284884549e-05,9.86742813173798e-05,-9.89126300542792e-06,-4.9960036108132e-16,6.71841007865593e-05,-2.9205240880328e-17,2.524046223376e-05,-4.96244822317788e-05,-2.73773051797831e-06,0.00100414353142261,-1.86232017316396e-16,-8.90730183548904e-06,-1.55015746443936e-16,-6.75402902109666e-05,-5.30513910558363e-06,2.72459799753339e-05,3.15899399307388e-06,-1.50247419621546e-05,-1.14536778035316e-15,5.79294778949624e-16,2.85938390338301e-05,4.58235904133239e-16,-1.39915887959142e-05,-1.9493712581085e-15,4.04151397263785e-15,-5.53456854821465e-15,-0.707106781186547,1.03043687325957e-06,5.39494623038144e-16,7.52219641139865e-16,-2.0270366855205e-15,1.76957124210364e-15,-9.57114373048352e-16,-9.71273941203948e-16,-3.83922745578371e-16,-1.73180458288911e-16,-9.21140674166058e-17,-2.23564726564383e-16,2.79131726580432e-17,5.97331265279873e-17,1.3321632230646e-16
"t14",-0.022744139296418,-0.22015245878768,-0.0475353101106197,0.0341721018605501,0.000190932374499728,-0.00107232437275306,0.000952962611790648,-0.00128649745012333,-0.271999055776202,-0.00456709405243966,0.000386017649435723,0.000297637555014847,-0.00123650764180372,0.000743771334040633,-0.00478228699975503,0.0279191819424464,-1.76311231592468e-05,0.000602980791951868,-0.000390454176354582,-0.000118715806155335,0.000657849251966158,-0.0178292141457907,0.00413516684558435,-0.0428478127018068,0.167045864923785,-0.575302293243762,-0.026269190859559,-0.00446756689943447,0.000201411452336995,0.00376985954977295,-0.00151693312025588,0.00201517560192636,-0.000271400278182902,-6.88217828223473e-13,-2.67816674857613e-06,-0.000396245944396363,-0.000646652587365645,0.00140754505878857,0.000767328644955099,-6.67160509099883e-05,-0.000219835432626953,-4.84454230839557e-06,8.33882881140719e-15,-3.8256418620118e-06,2.56232563887318e-16,3.73655923794555e-14,0.707106781186548,-6.4870939860061e-05,-7.98305564874129e-05,0.000206233819820687,0.000209699223174526,-2.06562067915778e-05,-2.22044604925031e-16,0.000137056184759628,-6.91372176034258e-16,4.89225439051391e-05,-9.54039761071977e-05,-5.22753256889627e-06,0.00186864737365318,-3.64339119090112e-16,-1.61952271486543e-05,2.63588541756862e-17,-0.000121676965704853,-9.53268809058769e-06,4.86954047472663e-05,5.615826901009e-06,-2.62929220204487e-05,-1.09592728797632e-16,-2.45481823127605e-16,4.87703042677913e-05,-4.15901603109421e-17,-2.3691940204492e-05,-2.13538423976476e-16,-2.24376481917773e-16,1.22357272036803e-16,-3.75194693112889e-16,1.72369588594802e-06,2.6257968548545e-16,3.31415435280377e-17,-2.51007314136277e-16,-2.61836614963743e-16,-9.57074171660361e-17,-7.43246164001573e-17,2.73049636136463e-16,-2.18437967398151e-16,9.75144556995993e-17,-4.0571224607283e-17,1.60731147612391e-16,1.10309157788838e-16,1.41038665261921e-16
"t15",-0.022744139296418,-0.22015245878768,-0.0475353101106197,0.0341721018605501,0.000190932374499853,-0.00107232437275284,0.000952962611790453,-0.00128649745012394,-0.271999055776202,-0.00456709405243957,0.000386017649435688,0.000297637555014909,-0.0012365076418035,0.000743771334040411,-0.00478228699975472,0.0279191819424462,-1.76311231592664e-05,0.000602980791951618,-0.00039045417635486,-0.000118715806155426,0.000657849251966131,-0.0178292141457905,0.00413516684558422,-0.0428478127018073,0.167045864923786,-0.575302293243762,-0.0262691908595593,-0.00446756689943367,0.000201411452337471,0.00376985954977248,-0.00151693312025581,0.00201517560192606,-0.000271400278182786,-6.87907319799297e-13,-2.67816674757623e-06,-0.0003962459443998,-0.000646652587364045,0.00140754505878807,0.000767328644954861,-6.6716050911615e-05,-0.000219835432627175,-4.84454230516234e-06,-8.10955228473004e-15,-3.82564186706476e-06,-5.34347625814171e-16,-3.77307364469713e-14,-0.707106781186548,-6.48709398609303e-05,-7.98305564860573e-05,0.000206233819823239,0.000209699223176643,-2.06562067909394e-05,-1.94289029309402e-16,0.000137056184762128,1.08491913670133e-15,4.89225439056879e-05,-9.54039761082202e-05,-5.22753256874957e-06,0.00186864737365226,4.64681839473094e-16,-1.61952271483035e-05,-2.95019873980535e-16,-0.000121676965704771,-9.53268809055817e-06,4.86954047475198e-05,5.615826900969e-06,-2.62929220202177e-05,1.86027314357915e-16,4.15477621073977e-16,4.87703042675683e-05,-8.11385741182689e-17,-2.36919402046041e-05,-7.61370805608985e-17,-2.42511391867497e-16,6.54597334572772e-17,2.42180137838461e-16,1.72369588592991e-06,4.27569137414731e-17,1.79433195922791e-17,1.50209705547785e-16,4.0392713710457e-16,-3.66157867989571e-18,6.82854967765517e-17,-1.93912995654375e-16,1.4924935486358e-16,-5.08791727526347e-18,-1.50597296921186e-17,3.14702896054511e-16,-1.50559110535335e-16,1.15262171955812e-16
