,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
t1,13.170718,-0.23365791,6.2649217,5.4563265,2.7949758,5.210259,1.788068,-0.014288797,-0.14811616,0.15149368,-0.19077967,-0.04840215,11.76031,-0.18542235,0.7695613,0.8067067,-0.1895434,-0.030969359,5.775458,3.1203327,10.788286,-0.010175335,4.811878,2.191119,1.4448211,8.912973,-0.052756846,-0.09500645,-0.14324462,5.302649,-0.42145795
t2,14.89105,-0.23563763,6.9717026,5.9189115,3.140145,6.0124936,2.166228,-0.017253203,-0.16731356,0.16619673,-0.22550848,-0.045813378,13.208334,-0.21655996,0.88272846,0.9253136,-0.21276745,-0.03941133,6.6799693,3.5186741,12.262038,-0.013174198,5.2632647,2.467184,1.3010168,10.053904,-0.035548132,-0.1039924,-0.15184268,6.16963,-0.48166507
t3,12.319717,-0.21352774,5.979403,5.2890415,2.6804173,4.8379292,1.760974,-0.012734447,-0.13839933,0.14110297,-0.17554529,-0.061238788,11.044524,-0.16656312,0.6406595,0.674628,-0.17869444,-0.01986804,5.196571,2.8811116,9.924704,-0.0077306796,4.503959,2.074893,1.4972638,8.379838,-0.05302702,-0.08445307,-0.13581277,4.8975277,-0.3853523
t8,10.773123,-0.22486913,4.9997706,2.2905881,4.163029,3.8056498,0.69667965,-0.036363818,-0.18703082,0.07356744,-0.49681258,0.9110214,12.180983,-0.24647427,4.069859,2.2905645,-0.022647899,-0.24035081,10.39757,5.3339925,16.103867,-0.06365393,3.9997735,2.699906,1.2125689,7.5754147,0.5620379,-0.41095018,-0.11435191,8.118289,-0.45475945
t32,1.772191,2.3115625,1.37568,-0.0017664352,3.7873185,-0.067232884,-0.028731177,-0.024688326,-0.18931174,0.032593634,-0.6452484,0.60271424,6.0456104,-0.24435896,5.8746295,6.606561,4.353345,-0.27177328,9.601733,6.7129407,11.585758,-0.11135786,1.1505958,-0.0065135458,3.2370102,7.1067014,3.136026,-0.31346878,-0.05077835,3.3315177,-0.14354423
t110,-0.35973203,5.145221,0.15852295,-0.008876103,2.4961247,-0.176782,-0.01591439,-0.014015174,-0.16155247,0.119252495,-0.6649958,2.559999,2.4675817,-0.2689969,8.13315,11.620914,8.2116585,-0.19962117,8.58153,7.2665977,7.292631,-0.16665478,0.012141538,0.6236837,7.0345254,8.436947,4.18703,-0.12437247,-0.047802866,-0.034398686,1.4460611
t169,-0.66347295,6.4893646,-0.0091444915,-0.016035806,2.0443938,-0.19563253,-0.031099528,-0.011866718,-0.13772775,0.18614952,-0.61227256,4.293833,0.934059,-0.27907372,9.729692,14.035241,9.017294,-0.16305138,7.8215604,8.398641,3.5500805,-0.20393775,0.06479169,2.5154748,8.801052,8.362959,4.4033537,-0.025739603,-0.0695114,-0.12352366,3.8184233
t213,-0.7684307,6.8291125,-0.007061073,-0.019736107,1.853256,-0.19922644,-0.040330756,-0.011647995,-0.12672563,0.21175802,-0.5782521,4.9832983,0.4762601,-0.27609554,10.4492855,14.764858,9.079437,-0.14963076,7.448737,8.888498,1.9933562,-0.2173015,0.08153831,3.2711732,9.449221,8.18213,4.263846,0.031604886,-0.08137697,-0.11258995,4.9295554
t214,-0.9013659,7.2743053,-0.0013623821,-0.024789158,1.7037265,-0.20376834,-0.05907733,-0.012187135,-0.11538968,0.24951304,-0.5326966,6.0737634,0.0034109282,-0.2732261,11.497712,15.682886,9.256822,-0.13915277,6.9684644,9.566998,-0.0021400945,-0.23725764,0.106842965,4.397315,10.379711,7.803381,4.0835366,0.44172004,-0.09376428,-0.079104744,6.4479795
t245,-0.9110701,7.2392564,-0.0041899513,-0.024197243,1.7566758,-0.20405115,-0.058500938,-0.01254153,-0.11548815,0.25219524,-0.5314077,6.126245,0.004618078,-0.27583537,11.462118,15.746515,9.363511,-0.1388704,6.905944,9.656134,-0.0023209979,-0.23777576,0.110947214,4.435345,10.487411,7.7614465,4.1991925,0.48616233,-0.09218216,-0.10113661,6.4700317
t246,-0.9082534,7.2485886,-0.0054956577,-0.024217803,1.7474909,-0.20439601,-0.05940302,-0.012506126,-0.11587709,0.25207692,-0.53077674,6.119936,0.0046362644,-0.27598366,11.451673,15.715295,9.349574,-0.13915056,6.892403,9.661709,-0.0023462072,-0.237297,0.11056274,4.4137454,10.458697,7.78691,4.199822,0.49773052,-0.09245891,-0.10028081,6.4520545
t222,-0.9088713,7.2818456,-0.00574657,-0.02361155,1.7378142,-0.20851198,-0.057832405,-0.012250885,-0.118503906,0.25099096,-0.53945184,6.0609465,0.0052765235,-0.27781814,11.389877,15.780651,9.513735,-0.1442545,7.036777,9.6008835,-0.0014168094,-0.23666279,0.10449014,4.317574,10.530042,7.891815,4.230712,0.42526153,-0.09077575,-0.12289234,6.4666147
t240,-0.85120517,7.0965476,-0.011864233,-0.021547664,1.8048139,-0.2072555,-0.0486386,-0.011981745,-0.12352518,0.23174706,-0.56076676,5.5307574,3.479317e-05,-0.2778934,10.864255,15.307558,9.463988,-0.15165322,7.252574,9.235511,0.9193978,-0.22652872,0.091143146,3.7733843,10.138585,8.011049,4.3367376,0.15115653,-0.08410152,-0.14512405,5.7160516
