,models,spearman_values,pvalues,hochberg_adjusted_p_value
0,phylopars_cont,-0.5914424685979649,9.865848347668402e-208,1.9731696695336803e-206
1,xgb_eigenvecs_cont,-0.5477825874052952,1.6207393158197534e-172,3.0794047000575313e-171
2,xgb_autoencoded_cont,-0.5321790266408125,3.776184381873691e-161,6.797131887372644e-160
4,xgb_umap_cont,-0.5089672059319611,2.649495083860211e-145,4.2391921341763377e-144
3,corHMM_bin,0.5105644386072176,2.6460161169291453e-145,4.498227398779547e-144
5,linear_umap_cont,-0.5033162698127724,1.2550083226857465e-141,1.8825124840286198e-140
6,linear_eigenvecs_cont,-0.49871587727234623,1.097007030034088e-138,1.5358098420477232e-137
7,linear_autoencoded_cont,-0.47992395451178244,3.97755948870963e-127,5.1708273353225184e-126
9,xgb_autoenc_supervised_bin,0.4432422632146899,8.831031662219454e-106,9.7141348284414e-105
8,xgb_eigenvecs_bin,0.44331060684023144,8.132342291880346e-106,9.758810750256415e-105
10,logit_umap_supervised_bin,0.4309830389749363,1.7217336986588408e-99,1.721733698658841e-98
11,xgb_autoencoded_bin,0.43076524208322897,2.215065848937474e-99,1.9935592640437266e-98
12,xgb_umap_supervised_bin,0.42229083986476557,3.476115959860274e-95,2.7808927678882193e-94
13,logit_eigenvecs_bin,0.41472734345706047,1.5330270617856038e-91,1.0731189432499226e-90
14,logit_umap_bin,0.41014339818941625,2.2343811703711333e-89,1.34062870222268e-88
15,xgb_umap_bin,0.409089639186803,6.946526347770768e-89,3.473263173885384e-88
16,logit_autoencoded_bin,0.3935808809811208,7.758473526055322e-82,3.103389410422129e-81
17,logit_autoenc_supervised_bin,0.3891264971380673,7.00516571957863e-80,2.101549715873589e-79
18,phylnn_fill_means_bin,0.28754196598211534,7.614584644592369e-43,1.5229169289184738e-42
19,phylnn_fill_means_cont,-0.10010102020651883,2.5473189984643073e-06,2.5473189984643073e-06
