"","c1","c2","c3","c4","c5","c6","c7","c8","c9","c10","c11","c12","c13","c14","c15","c16","c17","c18","c19","c20","c21","c22","c23","c24","c25","c26","c27","c28","c29","c30","c31","c32","c33","c34","c35","c36","c37","c38","c39","c40","c41","c42","c43","c44","c45","c46","c47","c48","c49","c50","c51","c52","c53","c54","c55","c56","c57","c58","c59","c60","c61","c62","c63","c64","c65","c66","c67","c68","c69","c70","c71","c72","c73","c74","c75","c76","c77","c78","c79","c80","c81","c82","c83","c84","c85","c86","c87","c88","c89","c90","c91","c92","c93","c94","c95","c96","c97","c98","c99","c100","c101","c102","c103","c104","c105","c106","c107","c108","c109","c110","c111","c112","c113","c114","c115","c116","c117","c118","c119","c120","c121","c122","c123","c124","c125","c126","c127","c128","c129","c130","c131"
"t3",-0.0138282597375616,0.0104540377542414,-0.0687268687744755,-0.0132485542929038,-0.00746139216045134,0.0196498659740884,-0.0298894351235393,0.000957449495326452,-0.00550280390013814,-0.00897649729452465,0.000163807620801167,0.0542390413468493,-0.00397603737331376,-0.0363945984212784,0.00171459417319819,-0.0102624891992865,0.00340073161071533,-0.0255121472821852,0.0012556481821357,0.0183291277185677,-0.000222532867897477,-0.0495132164200943,-0.065647274872638,-0.0141793565378304,0.00189910103214545,0.00159428038500748,-6.51990520347736e-05,-0.00303950820582767,-0.0230937720017553,-0.00286005666306129,1.08363795152674e-05,-0.0117131990545744,-0.00659893923504247,-0.00119248484267433,0.0182038125650297,-0.0246736860945981,0.00280544349992069,-0.0435414379350515,0.00477035547877974,-0.00878844661134024,0.00819733690900378,0.00464347453124338,-0.000199758757341367,-0.00124657722666009,0.00649603651054473,-0.00439681607833313,-0.018083649307793,-0.00135083208733528,4.65020850504866e-06,-0.0207419938486595,0.0247644122566422,-0.0142546465308713,-0.00744505861018529,0.00159998326671289,-0.00226768437346982,-2.43332275802351e-14,-0.0589835893011624,-4.02395944575119e-15,0.031958187695215,0.0122273518915167,0.0377199658440236,0.00174606022751975,8.72693620570737e-05,-0.000218629784875091,-6.61151916362263e-15,-0.0524893918302583,0.482597237569524,-0.0179885086291784,-0.0412837411926634,0.00346443246012595,-0.0114714289676395,-0.000764166128596711,-5.3761405600474e-05,1.1291350433538e-16,0.0209939063988812,0.000432009618956875,2.88580951326546e-15,-0.00539335312668625,-0.000100679927224011,0.00145840987934562,-0.000256566484042753,0.0187458660850948,0.0013252980702975,0.000993956402029657,0.0102399413284674,2.91664006355824e-14,0.000968681168130248,-0.000584364875164359,-0.172205505307366,-6.16127637796501e-05,1.46188696526939e-14,1.61606011027436e-05,0.808561306863345,0.196506144498527,-9.46290025383006e-05,5.62967334373843e-15,0.0303213540866592,-0.000444823955486346,5.68843956731984e-05,0.000280726977025818,1.27774417448463e-15,-0.000296720175402278,-5.48305385716006e-16,0.00941964124952799,4.47228669433738e-16,0.000700831344721252,0.000141573014059315,-0.00277012243344156,4.96101176091557e-06,-2.07187362188955e-06,3.28583150148119e-16,-1.24162455791397e-15,2.53594335347859e-16,-5.78376236771902e-16,-0.000319413584183556,2.48365847693562e-16,-6.99283285006147e-08,-0.000769563735519071,5.61821769147833e-16,-2.45159433544311e-07,2.1210729218952e-17,-1.18114517955545e-17,-3.14770751982082e-16,6.35902621192994e-16,3.34424533057941e-15,4.98700620909268e-15,3.00994384454322e-16,2.32508827292968e-15,9.07066835669362e-15,1.37718289147174e-14,-0.0873704056661014
"t7",-0.0222105245929592,0.00490614475237447,-0.0512196601182442,-0.0135462945434295,-0.0257546630653817,0.01274580568414,-0.0222372180110023,0.00772731623625765,-0.008669848465626,-0.0130829145060647,0.000226846734268231,0.0435007227258695,-0.00322231298374974,-0.0299607254209469,0.00147559555361422,-0.017054733374332,0.00240716424640052,-0.0321792436131331,0.00839195756679743,0.025876001344891,-0.000267948654841202,-0.0461074584696322,-0.0554575185122347,-0.00517888652064966,0.00140777549344132,0.00156089199286588,-0.00012544877875937,-0.00324791683650291,-0.0424415388266452,-0.00229900500625611,9.39109952294288e-06,-0.0105062234956113,-0.0109605789946923,-0.00110652312762952,0.0172675428452705,-0.0245079713622141,0.00761622877487234,-0.0431268836424898,0.00478540303655598,-0.0156193724775067,0.00716068486745015,0.00832602383830366,-0.000201484153989735,-0.00217246127263095,0.0110603708058708,-0.00744493664502219,-0.0190866316791662,-0.00143294926211422,5.08503722439594e-06,-0.0342956421664543,0.0409054845221867,-0.023542273972055,-0.0122652722590174,0.00263376626808512,-0.0027383989241036,-4.02546481568206e-14,-0.0970091365955975,-9.55309694991922e-15,0.0525047962528119,0.0199936301696524,0.0524542932024799,0.00252058835020291,0.000129542180003515,-0.000361560257777977,-1.09514127996163e-14,-0.0869722902144868,0.799877835810342,-0.0299587238809084,-0.0689209110532487,0.00580630054678831,-0.0192291357594249,-0.00128136413729705,-0.000137014497479187,1.85361221502017e-16,0.0357702196511164,0.000735297373809329,8.19513539951992e-16,-0.0303398160469288,-0.000798082723346008,0.00251459099418368,-0.00043447705409214,-0.140924003196547,0.00312343813894467,-0.0033795892892152,0.0231589940957601,5.78041349990167e-15,0.00233246203930662,-0.0014073788352775,0.189578520670017,6.17399620579818e-05,-9.02160925825483e-15,-0.000169875690218559,-0.489874430012249,-0.022282100484854,-3.48508608034488e-05,-3.07422035466345e-15,-0.00508474477968566,6.28221428744342e-05,-7.50900391643168e-06,0.00029810743515132,-1.95315808939058e-15,1.19756229332649e-05,-4.87486251118673e-16,0.0108862089260562,1.92115423316967e-15,0.000846130566884226,0.000178034943913809,-0.000361511699868373,6.35374826650944e-06,-3.56674191204633e-07,6.89707124507998e-19,1.22963325101798e-15,-1.21853778231822e-15,-4.48276844665609e-16,-7.75306594301719e-05,1.67523904173818e-16,-9.31729551325528e-08,-0.000203241257775672,1.10053465116479e-15,-6.934106244263e-08,-1.86616035425708e-15,3.01267972673409e-17,-6.98095637157642e-16,-5.18962373740591e-16,-1.21735329819719e-15,2.58833339080116e-15,2.07855153246615e-15,2.97977706319879e-15,9.69165229182888e-15,1.30662154409879e-14,-0.0873704056661127
"t38",-0.0472364485665726,-0.0108699391782057,-0.00824753914095118,-0.0251248865674329,-0.149860178970189,-0.0183665397405712,-0.00599408837209266,0.190918818493481,0.0894964366074087,0.109604277926157,0.0008604716189817,-0.0112304107969224,0.000873285551228478,0.00864240354086184,-0.000703608942313374,0.126767855216001,0.00741375100310729,-0.000297105557185743,-6.35343876354199e-05,-0.00187201157790698,2.73901071825045e-05,0.00254198741306492,0.00121742238238735,-0.00623362410872073,0.000188033441313971,4.92196132453276e-06,-1.63941904891239e-06,-3.12453978530775e-05,-0.00152400614533744,1.38512054868265e-05,3.23907736046209e-08,-0.000116127078218313,-0.00204838874293613,-3.09174802196233e-05,0.00092149247903499,-0.00712802881079882,0.0357871482235568,-0.0012065207111786,0.000184051483038955,-0.0041055722056126,-0.000214245679446828,0.00298403861990922,-1.45852133789199e-05,-0.00103457665382597,0.0815891732171613,0.004438404874593,-0.000912272571517133,-8.23098960089654e-05,6.12804934105223e-07,-0.905845823858588,-0.210085957156081,0.10220938295627,0.013220646010088,-0.00266417253136147,0.000731437760915235,-1.96468714267161e-15,0.0540581459801267,3.13546279829778e-15,-0.0124635586463337,-0.00328340037933977,-0.00297334579635368,-0.000134115129138221,-6.51620976166751e-06,3.07763335726799e-05,2.15076104454326e-16,0.00387993585376984,-0.0328234938827339,7.8933247770096e-05,-0.00195822359522699,0.0761198746216254,0.000316961818819777,-1.49779137728972e-05,3.02412377023598e-06,1.86428153930108e-15,0.00258056625105193,5.56131913804775e-05,5.15562919503528e-16,0.00043558752696919,1.07929928236596e-05,0.000231233976698919,-0.0072268196326525,0.00129762138771084,0.000299703661637109,3.15813106553821e-05,0.0024369088581396,2.33199466614912e-15,0.000280688057751095,-0.000169394366199405,-0.000333478721904511,-7.2823849276819e-08,2.76551917965581e-17,-1.90425751264973e-05,-0.00354022157024371,0.0140480303190677,-2.79186000964487e-05,-6.77565019986191e-16,-1.98668677472203e-05,2.77175869927784e-07,-3.44965512372397e-08,5.16927581306999e-05,1.18471218285673e-15,8.92926452640456e-08,1.65255588436224e-15,0.00198794978697339,9.52636249304156e-16,0.000160118734088058,3.52339006847682e-05,-3.71641505940038e-06,1.29050534445529e-06,-4.1373731115176e-09,7.64369615500667e-16,8.64202020091539e-17,-2.88906283857248e-15,2.2101628033498e-16,-1.09997964600699e-06,4.52700174065914e-16,-2.05116639880584e-08,-3.06528426991339e-06,2.36003106932894e-15,-1.10374438486429e-09,7.62099874237699e-16,8.06119412585689e-17,-8.35573588438762e-16,2.19895048695916e-16,1.36358311540657e-15,1.29308058420752e-16,-2.37910859138755e-16,9.48529594341369e-16,9.33691956668689e-15,1.3170145857437e-14,-0.0873704056661039
"t56",-0.0480459024227552,-0.0112195683577628,-0.00866980528413807,-0.0274522289262146,-0.166333159018679,-0.0211497866245637,-0.00708605237184712,0.229099427003307,0.117307201559333,0.149000651972021,0.00119812984127366,-0.0171011054724575,0.00137591914478724,0.0144447174093253,-0.00137533490062188,0.272323126904954,0.0161798335743915,-0.000907801551045361,-0.000197412775805949,-0.00660059008269552,0.000137121187564892,0.0180974183111849,0.00944141475451236,-0.0679736119938864,0.00219281511293161,-1.8809037760241e-05,6.13653810703048e-06,9.93840110871782e-05,0.00418805678894456,-2.84161745606951e-05,-5.30580834907047e-08,0.000153787219732361,0.00206453166248898,2.75671937434059e-05,-0.000700550387399764,0.00478554742525257,-0.0236102885084809,0.00059638097358618,-8.60845010526543e-05,0.00178657116733962,9.22824824006569e-05,-0.00116125751029264,5.20814908764438e-06,0.000364809452817109,-0.0245808163004261,-0.00127410694967327,0.000211410348288991,1.82858925153801e-05,-1.04525293703525e-07,0.0756303936429106,0.0156020354100516,-0.00745234438748202,-0.000655260612539484,0.000127401706400974,-3.43375766001001e-05,-5.62910361482427e-15,-0.00120589476347102,-1.31183468342719e-16,9.74184498857514e-05,1.88387714865237e-07,-1.5709497878933e-06,1.8049507020523e-07,3.6572331100857e-08,-3.08547892861216e-07,1.25057038725001e-16,-0.000187596287095306,0.00180642714666785,-2.0348055860623e-05,0.00106716355513987,-0.882820071412353,-0.00955009552291311,-0.000234252350315553,2.76137498402038e-06,-3.58270031154698e-15,0.00119064179229353,2.50076917104699e-05,1.3042376605479e-15,0.000188706024930603,4.5562465941082e-06,9.75042446318618e-05,-0.0757749613745047,0.000474868993822267,0.000109967912296096,1.15897322915748e-05,0.000894311845124566,3.11448459350548e-15,0.000103184009185352,-6.22716254598544e-05,-0.000123318456854601,-2.69750277914723e-08,1.16453401867243e-15,-7.08893233610184e-06,-0.00132729466351324,0.00528081549858397,-1.05465717470737e-05,5.78584562641645e-16,-7.67276164887612e-06,1.07380986898737e-07,-1.33794938506518e-08,2.0088516994443e-05,-2.67854194813048e-16,3.50805951529948e-08,-2.54604503131023e-16,0.000782763474166748,1.70740336316036e-16,6.37592722814702e-05,1.42561742300203e-05,-1.51125006531529e-06,5.27429218061798e-07,-1.70164440894983e-09,-1.2873513320478e-15,-7.86560409973685e-16,2.15535539906089e-15,2.67660089638443e-16,-4.62920857036689e-07,-2.54152258679421e-16,-8.67504809671218e-09,-1.30045256491279e-06,8.17290049211261e-16,-4.71820432449653e-10,-3.10183044055736e-16,-7.67254937504591e-17,4.16108695947051e-16,2.17750399547997e-16,2.63492202738496e-15,5.96564441928451e-15,1.39671438286189e-15,3.26105306203421e-15,8.67868075854059e-15,1.34059379841931e-14,-0.0873704056661133
"t70",-0.0481671423844923,-0.0112718427066339,-0.00873280322997512,-0.0277979188148362,-0.168775744300097,-0.0215608747457819,-0.00724690680614643,0.234715407821744,0.12136463352455,0.154730512820828,0.0012471428647599,-0.0179474622036964,0.00144820736981744,0.0152759126265197,-0.00147067900121608,0.292884442030501,0.0174172113529619,-0.000992875581759258,-0.000216052927702413,-0.00725650163126555,0.00015222012737924,0.020225941488253,0.0105655375842408,-0.0763837628224428,0.00246575490767992,-2.19432089274408e-05,7.1630458767814e-06,0.000116561135564455,0.004936129352418,-3.38971764125214e-05,-6.40331760910239e-08,0.000188079520180208,0.00257820859199981,3.48062827696561e-05,-0.000898727325803762,0.00622480675731666,-0.0307740446861082,0.000807253801712765,-0.000117473187616114,0.0024651138893106,0.000127536550222075,-0.00163167779581539,7.42758637984741e-06,0.000521439985578536,-0.0361858856223909,-0.00189373259446481,0.000328922343154707,2.87255551611693e-05,-1.75231880088609e-07,0.157430049550924,0.0338358658304442,-0.0162683136976673,-0.00165577503651816,0.000326584810270586,-8.86804577918393e-05,5.84767159095831e-15,-0.00432280550839987,2.10119793222319e-15,0.000603950379451888,6.02338141480541e-05,2.65666877385096e-05,-9.75973233870403e-07,-1.24426439664918e-07,8.25101554608871e-07,2.02582414427204e-15,0.000233112557560191,-0.00209613487221456,1.04573451334609e-05,-0.000392894909124369,0.189497314779371,0.00199967974752822,4.67656717600582e-05,-2.36703013015181e-07,1.92431422047679e-15,3.39458581704531e-05,5.83939078950231e-07,2.90769054430401e-15,-1.25224635876583e-06,-5.01754629532217e-07,-3.01972671862818e-05,0.841877684493228,0.000373286476795631,7.43335513611373e-05,7.48751203336637e-06,0.000572929856298198,2.0762103847194e-14,6.27132185513401e-05,-3.78465747931787e-05,-7.51375674229674e-05,-1.6486015072979e-08,5.37861815856236e-16,-4.37556286660164e-06,-0.000831007161547949,0.00332335744464866,-6.69911517742247e-06,1.52756677091073e-15,-5.05899786708083e-06,7.11367060493888e-08,-8.87856389303974e-09,1.33695145060884e-05,1.0041239694454e-15,2.3709782144197e-08,9.03991876180912e-16,0.000530649305741241,-2.31274607616084e-15,4.38561863041665e-05,9.99465001779089e-06,-1.06546632874362e-06,3.73909607015949e-07,-1.21445990172937e-09,1.13055080957764e-15,-1.20352077843024e-17,-2.73553854702607e-15,-1.9096224258051e-15,-3.37988836690522e-07,-2.17462696496484e-17,-6.36301373206911e-09,-9.5657612368973e-07,-4.04522700010718e-15,-3.49403964930843e-10,8.75377176163109e-16,-5.17032454427607e-16,-2.77682083846466e-15,4.13018382750668e-16,1.16362182568559e-15,2.48258837958564e-15,2.2867415212319e-15,2.09719509611843e-15,9.54322277902714e-15,1.38728171175506e-14,-0.0873704056660896
"t71",-0.0482016654904433,-0.0112867121252578,-0.00875070004797775,-0.0278958709635784,-0.169467162896368,-0.0216769784831134,-0.0072922674580904,0.236297767143848,0.122502595852351,0.156334745344821,0.00126085045860066,-0.0181832774455708,0.00146832219992188,0.0155067077344716,-0.00149702347077215,0.298551498513691,0.0177581208585288,-0.00101615634765482,-0.000221152478859467,-0.00743560780176981,0.000156326645202712,0.0208032661806549,0.0108702774122907,-0.078659887646218,0.00253960391646508,-2.27792708865878e-05,7.43681738368427e-06,0.000121134238424809,0.00513493011722573,-3.53474178501399e-05,-6.69251419138482e-08,0.000197073989405917,0.00271199222341878,3.66848562234245e-05,-0.000949891957331624,0.00659477972550152,-0.0326143765780917,0.000860814991511497,-0.000125427111477329,0.00263651578423676,0.000136437786488325,-0.00174990700369978,7.98314014655685e-06,0.000560623045783727,-0.0390667029391307,-0.00204717197627683,0.000357699095097767,3.12762875059038e-05,-1.92259778077978e-07,0.176361448917681,0.0380291962966686,-0.0182937742431093,-0.00188110600991571,0.000371364640619231,-0.000100886622456818,2.52255532372628e-15,-0.00500030505433408,-2.03941137858195e-15,0.000710412516444893,7.23317720717096e-05,3.21468485696525e-05,-1.19837841279545e-06,-1.54612204383269e-07,1.03386029250248e-06,-6.15650675830241e-16,0.000304006017588269,-0.00274664835439177,1.47543749742755e-05,-0.000576590342240764,0.298937609270609,0.0031656332102291,7.45359813854761e-05,-4.25786316821547e-07,1.36942345821833e-15,0.000159157100788412,4.08804930422995e-06,-9.37497575068063e-17,4.23749839803696e-05,1.45643224232237e-06,4.25543118325471e-05,-0.377787164662682,5.58912881950813e-05,2.21217496172893e-05,2.71737675696274e-06,0.000216240095021794,0.707106781186533,3.32921056826085e-05,-2.00987674586399e-05,-4.6879694284861e-05,-1.0525851021172e-08,-1.47822527366925e-14,-2.9384258480411e-06,-0.000585404142178591,0.00237371198436346,-4.89101153637909e-06,-1.89965784671046e-15,-3.94456849623167e-06,5.58380181714518e-08,-6.98539705537501e-09,1.05601124568441e-05,-5.79498882555566e-16,1.90932001599542e-08,3.02802915521815e-15,0.000428844263902766,1.20930171011982e-15,3.60150008310304e-05,8.36434417434222e-06,-8.96301990218053e-07,3.16102452140854e-07,-1.03268051857041e-09,5.33733586307447e-16,-6.29810089654531e-17,2.51145821556279e-16,7.91523658911139e-16,-2.92705898376808e-07,4.79885277437429e-17,-5.52959897034465e-09,-8.33035295372021e-07,2.99262147893914e-15,-3.05772753755523e-10,-3.34679615390736e-15,-8.65158036264588e-16,8.42324706144447e-18,2.55431220787371e-16,3.71141383331803e-15,5.21066402397842e-15,8.97140984083373e-16,2.67254726815412e-15,7.47673864099123e-15,1.39171307794022e-14,-0.0873704056661078
"t72",-0.0482016654904433,-0.0112867121252578,-0.00875070004797758,-0.027895870963578,-0.169467162896368,-0.021676978483114,-0.00729226745809029,0.236297767143848,0.122502595852352,0.156334745344821,0.00126085045860068,-0.0181832774455715,0.00146832219992236,0.0155067077344711,-0.00149702347077136,0.29855149851369,0.0177581208585284,-0.00101615634765475,-0.00022115247885956,-0.0074356078017695,0.000156326645202841,0.0208032661806539,0.0108702774122905,-0.0786598876462166,0.00253960391646639,-2.27792708872829e-05,7.4368173838706e-06,0.000121134238425021,0.00513493011722578,-3.53474178500496e-05,-6.69251424281205e-08,0.000197073989405443,0.00271199222341856,3.66848562230917e-05,-0.000949891957331528,0.00659477972550054,-0.03261437657809,0.00086081499151131,-0.000125427111477245,0.00263651578423579,0.00013643778648893,-0.00174990700369809,7.98314014625785e-06,0.00056062304578389,-0.0390667029391294,-0.00204717197627573,0.000357699095097282,3.12762875057996e-05,-1.92259777520525e-07,0.176361448917675,0.0380291962966685,-0.0182937742431092,-0.00188110600991586,0.000371364640618948,-0.000100886622455067,6.12657073197758e-15,-0.00500030505433397,-7.20720042525278e-16,0.000710412516447075,7.23317720718444e-05,3.21468485693286e-05,-1.19837841381698e-06,-1.54612200210249e-07,1.03386029364508e-06,-8.47553607171776e-16,0.000304006017585828,-0.00274664835437113,1.47543749744225e-05,-0.000576590342244838,0.298937609270599,0.0031656332102289,7.45359813878453e-05,-4.2578632033173e-07,-9.59994317818727e-16,0.000159157100789051,4.08804929934964e-06,-4.13017859226515e-15,4.2374983996486e-05,1.45643224578892e-06,4.25543118296829e-05,-0.377787164662643,5.58912881552689e-05,2.21217496245135e-05,2.71737671186933e-06,0.000216240095007395,-0.707106781186561,3.32921056322438e-05,-2.0098767372375e-05,-4.68796942535848e-05,-1.05258496154169e-08,1.25570475397801e-14,-2.93842583925408e-06,-0.000585404142139185,0.00237371198439022,-4.89101153984924e-06,4.61135754625743e-17,-3.94456848643328e-06,5.58380171547111e-08,-6.98539469605912e-09,1.05601124506106e-05,-1.11046533772398e-15,1.90931969743442e-08,-4.9821605991821e-15,0.000428844263917308,1.27822382703897e-15,3.60150008410839e-05,8.3643441747131e-06,-8.96301996006099e-07,3.16102454712609e-07,-1.03268117997835e-09,-3.99841375066177e-16,9.17724309478692e-16,9.40072826153726e-16,-1.93662913202903e-16,-2.92705899088639e-07,8.73033020998472e-16,-5.52960036871166e-09,-8.33035300126235e-07,1.71245100897126e-15,-3.05772515185584e-10,-5.41444006609923e-16,1.59143117971893e-15,1.22280043090611e-15,2.40003756168935e-17,2.70178451517097e-16,5.23938275916261e-15,9.40867866047518e-16,2.73985000466877e-15,1.08152237092162e-14,1.32506466674771e-14,-0.0873704056661052
"t33",-0.0467143603106754,-0.0106390880625466,-0.00796048066543549,-0.0234421340140655,-0.137647179678017,-0.0161777085654188,-0.00509822764480281,0.158827315014306,0.0624601314996807,0.0688628726161115,0.000496559796813686,-0.00380225378266688,0.000195078199889692,-0.000154486079461176,0.000748613795129027,-0.283201527175911,-0.0185392407318867,0.0573756274420011,-0.0340840869110322,-0.0453964169622475,0.000332743042154928,0.0303112442613039,0.0148765634680011,-0.0890554381630745,0.00279296086589333,-1.32848020918982e-06,3.4912776294242e-07,-5.94123291872058e-06,-0.0007516129751782,1.34375426528395e-05,4.06278886985374e-08,-0.00017225942978871,-0.00360192370567663,-5.83770287496575e-05,0.00191470695734321,-0.0160745803937723,0.0817038054056516,-0.00354869354262895,0.000577759889317582,-0.0142173617406251,-0.000753409010785005,0.0125474278022971,-7.52736542260559e-05,-0.00553525209762371,0.899376771223266,0.0783748713543516,0.0070426605410235,0.000470792341826888,-1.0945589595215e-06,0.128438335132499,0.0108316336979053,-0.00398339282792568,0.0020806665376649,-0.000454827113372536,0.00012972854291061,1.30260129243486e-14,0.019117183845495,-8.34495154393292e-16,-0.00571850562659353,-0.00177571634533331,-0.0016744206351545,-8.02138237745198e-05,-4.04516107231268e-06,1.95216900566474e-05,-8.59415659998879e-16,0.00264053744090292,-0.0224693974661501,5.680424513881e-05,-0.00140504391034505,0.00374845263380817,-0.00035000581796823,-2.61807153429839e-05,2.57068090667523e-06,-1.85232303028697e-16,0.0022187276519532,4.79727195847644e-05,-7.04804272843877e-16,0.00037807538853849,9.43389632336081e-06,0.000203013805073786,-0.000596128235635423,0.00116978516555119,0.000271999748754882,2.87749541989564e-05,0.00222253199835416,2.45737767072064e-16,0.000259482913626799,-0.000156600594746523,-0.000312180800321205,-6.8338273693845e-08,1.6136575600546e-16,-1.79792639098443e-05,-0.00336628980035856,0.0133891059407787,-2.67166376666939e-05,1.46233096087217e-16,-1.9300868381379e-05,2.69778768409133e-07,-3.35982119905772e-08,5.04038875291982e-05,-2.04838892046514e-16,8.75902617246775e-08,-3.06531232263591e-16,0.00195234834556173,4.59441508580975e-16,0.000158143135860119,3.5059741767019e-05,-3.70623364766711e-06,1.28978269893553e-06,-4.14607482494797e-09,-1.48575358917135e-16,-1.02909308111422e-17,2.82299295355552e-16,1.62628675458496e-16,-1.11239817387263e-06,2.24012813477684e-16,-2.07819025953869e-08,-3.10925886963276e-06,4.18939565486727e-16,-1.12266436406143e-09,-9.14755537005791e-16,1.21857568400496e-16,-7.27481206265628e-17,8.4636749769183e-17,2.12408217403561e-15,3.51222916903791e-15,1.33746762921432e-15,2.42476773145965e-15,8.88008168214277e-15,1.36614103963507e-14,-0.0873704056661058
"t122",-0.0473012495190146,-0.0108890598613466,-0.00825683652556576,-0.025005554096863,-0.148496547568542,-0.0179186073004885,-0.00575311785316238,0.181132908506412,0.0757559405976269,0.0856387211212949,0.000627683362779663,-0.00510332067357297,0.000267775043458994,-0.000220342344851538,0.0011780038898034,-0.471673557124436,-0.0311661185652252,0.116071489860803,-0.0695446496815048,-0.0985827098484301,0.000842172910812213,0.0869743122055878,0.0438291331174336,-0.287313373954186,0.00915021204521812,-5.63865685809079e-05,1.83582176414441e-05,0.0002925898626264,0.0121627563988886,-8.06403003491653e-05,-1.48842842318517e-07,0.00043006274861513,0.00584535132958363,7.91492789901076e-05,-0.00207067014136632,0.0146332921624066,-0.0726126987260814,0.0021257088515557,-0.000320828473886324,0.00714712909343031,0.000373416276252503,-0.00539685532277177,2.86507283273448e-05,0.00206905427669198,-0.266647220265625,-0.0215862228910137,-0.00137100587382607,-8.51467781859402e-05,1.17213276114622e-07,0.00228003290090849,0.000340143099737726,-0.000133123820367861,0.000143931984488606,-3.27207212304186e-05,9.51375737069611e-06,8.50561573301598e-16,0.0022077465808287,6.01780251600962e-16,-0.000837959416321157,-0.000310648844060653,-0.000307216515065474,-1.58556039712391e-05,-8.39398383028208e-07,4.17081682628277e-06,5.54305470673298e-16,0.000625331627776125,-0.00537120743376076,1.50358098634878e-05,-0.000384762953387937,0.00107249806961743,-0.000100313280836551,-7.527524813842e-06,7.71330877922065e-07,-1.61546592713844e-16,0.000725316842325632,1.58140367616044e-05,-1.04890774511064e-15,0.000126545773128585,3.21236504416358e-06,6.99391235102525e-05,-0.000209423203506155,0.000424603134141133,0.000100303303976597,1.07078888474705e-05,0.000828920748350056,-5.894628094473e-16,9.98341140005538e-05,-6.0253986310517e-05,-0.000123665001598607,-2.72254840204936e-08,-1.00955301032482e-15,-7.26717379049911e-06,-0.00138391233993474,0.00553557728943412,-1.11547161482224e-05,4.99665471414407e-16,-8.36739676672829e-06,1.17508739363528e-07,-1.4659337286534e-08,2.20560151252691e-05,6.02216919301178e-16,3.89278565868431e-08,-3.6249553951001e-15,0.000870362374394794,3.0620676092616e-15,7.1562299467782e-05,1.61878829836597e-05,-1.72167629397837e-06,6.02780623386116e-07,-1.9521277565799e-09,1.24433199214255e-15,-7.06141728914544e-16,-4.03354756386359e-15,-1.1371620400222e-14,-5.37599684383861e-07,-5.548185246573e-16,-1.00983248440114e-08,-1.51599635787746e-06,-1.3643603444085e-14,-5.51869489480215e-10,2.04624154254533e-15,-9.01654917145952e-15,-1.08155896400301e-14,-2.22662141862303e-14,-1.16450408110316e-13,0.707106781186553,-1.39707873103345e-14,5.01668936527266e-15,7.70336176222683e-15,1.13137437141918e-14,-0.0873704056660711
"t123",-0.0473012495190146,-0.0108890598613466,-0.00825683652556577,-0.0250055540968635,-0.148496547568541,-0.0179186073004886,-0.00575311785316202,0.181132908506412,0.0757559405976269,0.0856387211212949,0.000627683362779694,-0.00510332067357248,0.000267775043459385,-0.000220342344851602,0.00117800388980326,-0.471673557124436,-0.0311661185652253,0.116071489860803,-0.0695446496815048,-0.0985827098484302,0.00084217291081192,0.0869743122055882,0.0438291331174344,-0.287313373954186,0.00915021204521757,-5.63865685811791e-05,1.83582176417033e-05,0.000292589862626639,0.0121627563988882,-8.06403003492557e-05,-1.48842842407549e-07,0.000430062748615091,0.00584535132958392,7.91492789897654e-05,-0.00207067014136629,0.0146332921624072,-0.0726126987260826,0.00212570885155716,-0.000320828473886638,0.00714712909342982,0.000373416276251952,-0.00539685532277084,2.8650728327991e-05,0.00206905427669253,-0.266647220265627,-0.0215862228910134,-0.00137100587382494,-8.51467781861404e-05,1.1721327584827e-07,0.00228003290091378,0.00034014309973885,-0.000133123820367686,0.000143931984488642,-3.27207212305267e-05,9.51375737018571e-06,7.64015373492703e-16,0.00220774658082942,2.92480770285365e-16,-0.000837959416320706,-0.000310648844060064,-0.000307216515064062,-1.58556039713214e-05,-8.39398382318622e-07,4.17081682453339e-06,2.41446508759509e-17,0.000625331627776075,-0.00537120743376009,1.5035809863238e-05,-0.000384762953386385,0.001072498069615,-0.00010031328083604,-7.5275248149111e-06,7.71330880908987e-07,2.65653126417361e-16,0.000725316842324231,1.58140367616099e-05,9.40184006630165e-16,0.000126545773129158,3.21236504740557e-06,6.99391235078252e-05,-0.000209423203509318,0.000424603134141907,0.000100303303976254,1.07078888475757e-05,0.000828920748349028,-3.88234886233991e-16,9.9834114000059e-05,-6.02539863111559e-05,-0.000123665001602294,-2.72254853065945e-08,3.68651004533471e-16,-7.26717378937477e-06,-0.00138391233993218,0.00553557728942872,-1.11547161468895e-05,-3.94862932960325e-16,-8.36739677154667e-06,1.17508740276093e-07,-1.46593402626849e-08,2.20560151310756e-05,-7.61044281030447e-16,3.89278490952322e-08,3.27234847515604e-15,0.000870362374386234,-2.99782624498511e-15,7.15622994736359e-05,1.61878829818848e-05,-1.72167629057254e-06,6.02780627237449e-07,-1.95211201139504e-09,-1.21841344571881e-15,8.69149790944218e-16,3.25046016341256e-15,1.08791910054801e-14,-5.37599679772268e-07,7.59229745425826e-16,-1.00983320760378e-08,-1.51599636833377e-06,1.413573161057e-14,-5.51884392222904e-10,-3.71015445592897e-15,9.0085700651681e-15,1.01256921860697e-14,2.27066757007476e-14,1.20013142985329e-13,-0.707106781186543,1.61646399449672e-14,-6.39607635870715e-18,1.08338391895458e-14,1.55443977781743e-14,-0.0873704056661362
