accepted_species,estimate
t206,0.97342896
t240,0.7930838
t354,0.82772934
t346,0.82772934
t238,0.5569858
t267,0.5569858
t275,0.5569858
t276,0.5569858
t386,0.5569858
t387,0.5569858
t390,0.5569858
t391,0.5569858
t373,0.5569858
t357,0.5569858
t295,0.5569858
t367,0.5569858
t368,0.5569858
t286,0.5569858
t287,0.5569858
t349,0.5569858
t350,0.5569858
t364,0.5569858
t407,0.5569858
t408,0.5569858
t409,0.5569858
t399,0.5569858
t400,0.5569858
t356,0.5569858
t412,0.5569858
t413,0.5569858
t397,0.5569858
t398,0.5569858
t358,0.5569858
t359,0.5569858
t251,0.5569858
t255,0.5569858
t403,0.5569858
t404,0.5569858
t296,0.5569858
t179,-0.8146031
t165,-0.30387262
