,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
t1,12.786945,5.8688183,1.7880018,2.1582627,7.6605597,4.191404,4.6338744,4.9804974,4.4649277,3.5400908,2.4204245,4.8157134,4.679803,5.065141,5.584409,5.3667493,4.408868,3.0309536,6.7037244,7.8358035,5.295682,7.490029,2.7241464,4.384589
t2,12.762797,5.8338437,1.7586468,2.1463935,7.6497893,4.1848593,4.6575456,5.0099773,4.485782,3.576079,2.450083,4.8047695,4.714905,5.0800395,5.5612645,5.377314,4.3820386,3.0274882,6.7199836,7.816222,5.2845755,7.468733,2.7015362,4.3959923
t3,12.782276,5.8379498,1.773154,2.1671007,7.667586,4.203705,4.626678,4.995336,4.5054016,3.566265,2.4646878,4.7922745,4.698144,5.0921483,5.5886865,5.4019637,4.398015,3.0405984,6.7038684,7.824756,5.2663236,7.4903336,2.7259114,4.3784466
t4,12.77749,5.7337937,1.7137303,2.1587415,7.692469,4.2427077,4.67145,5.0605597,4.570435,3.6757514,2.5374682,4.695197,4.8076468,5.1596546,5.558781,5.4371033,4.3448863,3.0071902,6.7340384,7.82453,5.189456,7.4937377,2.6893835,4.345638
t5,12.741755,5.8753977,1.7679576,2.1230445,7.612657,4.139231,4.662128,4.9978547,4.4405837,3.5343642,2.4057755,4.868041,4.6761403,5.0360417,5.5466957,5.3447866,4.3874474,3.038481,6.721935,7.7998757,5.337418,7.441518,2.6988044,4.4386706
t6,12.729981,5.87022,1.7543707,2.1382961,7.565421,4.105792,4.71591,5.0050893,4.4312572,3.5394125,2.4078808,4.885121,4.681459,5.0354724,5.5287848,5.3396344,4.3926,3.0361335,6.732799,7.7955475,5.3582163,7.4294505,2.6293485,4.485943
t7,12.368153,5.393665,1.6949906,3.2071002,7.9249454,5.032301,4.630623,5.0537686,4.921392,4.0047493,3.3237727,4.2298927,4.9628205,5.471531,5.900646,5.5151634,4.3826923,2.8808339,6.6122313,7.78913,5.304671,7.4448266,2.9726748,4.187557
t8,12.38331,5.358086,1.7080103,3.1958346,7.953271,5.0214024,4.595252,5.0458293,4.940427,4.0348635,3.3321173,4.218656,5.003624,5.5042467,5.914837,5.5119166,4.380807,2.8499384,6.635467,7.841134,5.2650576,7.4847045,2.9768806,4.1992497
t9,12.38057,5.40342,1.7366383,3.1669924,7.967462,5.0164804,4.588158,5.019439,4.9238906,3.98877,3.2885447,4.2168207,4.969013,5.4880743,5.90467,5.4944816,4.411942,2.859543,6.600249,7.836097,5.271038,7.496663,2.9610744,4.1718993
t10,12.346044,5.3819275,1.7375687,3.2928865,7.930233,5.100538,4.62706,5.0073543,4.89689,4.037896,3.3737247,4.2532787,4.9717197,5.474326,5.9260535,5.4940777,4.417968,2.853026,6.579709,7.7517576,5.338637,7.425429,3.0139923,4.1938
t11,12.240696,5.4029093,1.8286818,3.3969638,7.907086,5.2126045,4.5748224,4.924385,4.9250956,4.050637,3.4494643,4.2016535,4.9608216,5.5549145,6.0183215,5.399331,4.4301805,2.7540188,6.5286846,7.750579,5.3470216,7.416178,3.0235322,4.2321243
t12,12.260502,5.368576,1.8026859,3.4227986,7.8943863,5.2118754,4.602839,4.9455395,4.915616,4.096601,3.4750736,4.230864,4.9965672,5.5263386,6.004172,5.424505,4.4145536,2.7813532,6.545171,7.727717,5.3574157,7.3907275,3.054474,4.2513413
t13,12.2938595,5.3434496,1.7625471,3.378238,7.9457173,5.166288,4.5834675,4.9868765,4.936317,4.0761256,3.4434834,4.213447,5.0075493,5.518777,5.979229,5.4585767,4.4133654,2.8053136,6.587988,7.795076,5.3182178,7.4498453,3.037561,4.221069
t14,12.485899,5.437065,1.6938417,2.9394863,7.9325237,4.870178,4.622433,5.0633855,4.8862767,3.9557495,3.1674495,4.2642117,4.9550805,5.4510193,5.821576,5.5299926,4.3885026,2.8939722,6.6215496,7.8213496,5.241846,7.49303,2.9017332,4.166322
t15,12.575727,5.4678707,1.673341,2.7394285,7.9087806,4.722986,4.6257243,5.096817,4.867432,3.9350073,3.0470853,4.300649,4.9793067,5.421737,5.7516336,5.5402856,4.3550615,2.9192696,6.65584,7.8561125,5.1488814,7.526865,2.8177552,4.1762633
t16,12.3069935,5.3843937,1.7632123,3.3631072,7.9446955,5.1586223,4.602087,4.9761667,4.866733,4.068667,3.4197588,4.281311,4.948303,5.4704347,5.9600525,5.4701743,4.4453506,2.8231628,6.554714,7.705965,5.3848042,7.4244633,3.0349188,4.1850123
