,Unnamed: 0,Ev Model,Missing Type,Tree Type,Variable Type,Signal,phylopars,phylnn_fill_means,linear_eigenvecs,linear_PEM,linear_umap,linear_autoencoded,xgb_eigenvecs,xgb_PEM,xgb_umap,xgb_autoencoded
count,1000.0,1000,1000,1000,1000,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
unique,,5,2,1,1,,,,,,,,,,,
top,,BM,mcar,ultrametric,continuous,,,,,,,,,,,
freq,,200,500,1000,1000,,,,,,,,,,,
mean,198.5,,,,,0.8661807896743966,0.4160090422922601,0.680958929047606,0.6261125732625165,0.462917386456745,0.6252854380907136,0.6611862004313437,0.47838175212402584,0.49344580482930805,0.5366785158106101,0.49220194431719344
std,115.52313878871018,,,,,0.2947633719668694,0.29385727138498746,0.3013786138953711,1.0362539333667464,0.3387274557935841,1.1726379392999513,0.9505182745673739,0.3371725892775583,0.3210802169531026,0.31570268669019974,0.31808120849314375
min,0.0,,,,,7.33151671655025e-05,1.1473439470088831e-05,0.0008694596360479,0.002362948042108,0.0003396201456457,0.0073749007353514,0.0008969836220765,1.0668344582054346e-05,2.673706145097099e-05,1.2441079718328308e-05,3.616706145100346e-05
25%,99.25,,,,,0.9662719237273115,0.2004106923594245,0.49463440586356855,0.3239926688160349,0.22180952445993657,0.35815379880550613,0.37689811195824247,0.24948912637521076,0.2777345287373715,0.32138172578601487,0.26381729150685085
50%,198.5,,,,,0.999931465957869,0.3647250348723768,0.6502626983261257,0.5275160578592443,0.39265769753398755,0.5566157563866667,0.5864432272869589,0.41899008114742103,0.455629373573078,0.515366878642838,0.4564200871376376
75%,297.75,,,,,1.00005974775928,0.608252607245412,0.8304487769363358,0.7658935406769557,0.6621739369938131,0.7791261571772544,0.8217668768109012,0.6820472739953061,0.6797734282675263,0.743268390461099,0.6934684152968027
max,397.0,,,,,1.00408297895345,1.6364799746993726,2.5674409718537747,24.05592447332989,2.4927368383036628,27.096518627439547,18.24276378864078,2.6075951610797183,2.1819403773311827,2.495646739148974,2.270867299148974
