,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
t6,-0.15119928,0.4427541,0.8583049,-0.43230572,-0.16595164,-0.20070495,-0.06089902,4.031209,-0.06619763,-0.07661433,3.8184292,-0.018901799,2.952123,-0.027711768,3.0016901,3.3527725,-0.011670759,3.9713192,-0.12689234,0.020437978,-0.15319146,2.9527943,0.023978058,-0.122981325,0.84084946,4.5545278,5.575814,-0.19455406,1.0194427,3.8333628,5.0730524,3.2877655,0.008019135,-0.43094462,0.25568548,7.0134673,4.460245,-0.0060647954,0.016637221,0.47291976,1.2161674
t7,-0.16818926,0.097772695,0.16548473,-0.60097283,-0.2080816,-0.30973965,-0.07414547,4.4296446,-0.052135445,-0.116069004,3.977047,-0.0472473,2.819018,-0.020197691,2.7508326,4.4701276,-0.011651953,3.6316774,-0.13043897,0.011275631,-0.14362817,3.3416243,0.014083024,-0.1500514,1.1565987,5.171983,5.6893115,-0.21383137,0.26396996,3.2221732,5.2882595,4.35533,0.007766326,-0.5200508,-0.0015531199,6.8158307,5.9938416,-0.0052698343,0.011098687,-0.012849127,-0.053701043
t3,-0.18498953,-0.0057918527,-0.022697784,-0.7473712,-0.2414064,-0.40486503,-0.084803596,4.7703853,-0.039561734,-0.16389108,3.9816468,-0.078189455,2.931758,-0.026568394,2.4307086,5.374318,-0.012720754,3.327822,-0.12358492,0.0060998425,-0.15250364,3.570472,0.0042948457,-0.18048455,1.3163195,5.656703,5.7367196,-0.22991814,-0.07235846,2.8435555,5.5172234,5.2841187,0.007299214,-0.5663714,-0.004910449,6.511084,7.443331,-0.004701632,0.0068702213,-0.057232,-0.24862033
t4,-0.18512835,-0.0050036954,-0.021131149,-0.74147093,-0.24021654,-0.40169853,-0.084779136,4.761745,-0.039806694,-0.1602181,4.0104747,-0.07695995,2.91625,-0.025785757,2.437672,5.3516407,-0.012638858,3.3456805,-0.121949784,0.0066177887,-0.1522087,3.5628374,0.0045612217,-0.18005016,1.3102794,5.661363,5.736173,-0.22898108,-0.06805376,2.859559,5.504805,5.264527,0.007289965,-0.5639882,-0.00471332,6.5386486,7.3942924,-0.0046709296,0.006829119,-0.05535897,-0.24092339
t10,-0.20098329,-0.015073292,-0.0473882,-0.8460094,-0.257434,-0.46616897,-0.086849414,4.6337247,-0.028639406,-0.21448404,3.7458906,-0.09081338,2.9452298,-0.03275672,2.0159707,5.8923097,-0.013232892,3.1487403,-0.108935006,0.003541997,-0.1634033,3.6179125,0.13799834,-0.19811,1.4217846,5.8461027,5.4802628,-0.23785646,-0.16367942,2.5881925,5.690013,5.657175,0.007885172,-0.57622963,-0.0077839936,5.977187,8.227944,-0.0035031824,0.0046727303,-0.08201755,-0.38662755
t11,-0.20497967,-0.018218677,-0.0537752,-0.8766326,-0.26218465,-0.4828012,-0.08809104,4.6760964,-0.026223943,-0.22792871,3.6957893,-0.09556463,2.971068,-0.034727566,1.9414213,6.085989,-0.013355288,3.1114073,-0.10555872,0.0037043702,-0.16619441,3.6476762,0.23628338,-0.202254,1.4485891,5.9205446,5.463924,-0.24221985,-0.19064063,2.5247362,5.760384,5.8449736,0.008086072,-0.5867545,-0.008573549,5.890801,8.528757,-0.0033953881,0.004203251,-0.09088064,-0.4254636
t21,-0.29850605,-0.11510143,-0.22574644,-1.8232648,-0.44572154,-1.1686031,-0.09688744,4.664369,1.3071903,-0.4949173,-0.07669231,-0.33519855,3.542282,-0.14351842,0.0005637388,11.857505,-0.012965719,1.3358562,-0.09586657,0.0076024556,-0.34624407,3.9857223,6.2024956,-0.2684381,0.29975396,5.424199,3.3882523,-0.36923182,-1.0658274,1.4423572,6.8934455,10.814805,0.76766956,-0.96342254,-0.04205981,0.31449777,17.09576,0.7630188,2.3965697,-0.32903925,-1.5416856
t22,-0.29346892,-0.11289251,-0.22138807,-1.7911651,-0.43821678,-1.145382,-0.09600461,4.6327252,1.2543786,-0.48639655,-0.06831161,-0.32870105,3.495034,-0.14068393,0.0004446546,11.643874,-0.012852718,1.3686094,-0.0946929,0.0073534218,-0.34042907,3.9570107,6.0426564,-0.2644933,0.32999122,5.3982654,3.4040372,-0.3638415,-1.0423437,1.4633974,6.8121257,10.630917,0.7294885,-0.94575596,-0.0410854,0.3964019,16.788383,0.73722714,2.323385,-0.32194588,-1.5099319
t31,-0.32945898,-0.14900611,-0.28881893,-2.18785,-0.5340586,-1.4400162,-0.09883475,4.3718133,2.0090895,-0.5881619,-0.25659814,-0.40799066,3.4818516,-0.1865519,0.004168389,13.9736185,-0.011325642,0.6943564,-0.096590295,0.02237824,-0.41942063,4.0797405,8.649744,-0.28816855,-0.03036504,4.9587226,2.119455,-0.40668923,-1.3805993,1.2893264,7.1700153,12.352554,1.4169925,-1.127211,-0.055839535,-0.28486246,20.3021,1.4574543,3.5660386,-0.400227,-1.9341935
t32,-0.2625852,-0.112025745,-0.22845416,-1.7084483,-0.41374123,-1.0861728,-0.08296713,3.7174225,1.4284965,-0.46295467,-0.15382871,-0.3192517,2.7653112,-0.14509284,0.0023814505,10.68199,-0.010669639,1.0912938,-0.08183124,0.017107017,-0.32654843,3.5560174,6.424498,-0.22707841,0.21469402,4.4936657,2.3105986,-0.32569563,-1.0527263,1.3411977,5.896449,9.782492,1.0158086,-0.8640364,-0.043454796,-0.11896497,15.822803,0.9670658,2.4221725,-0.31307486,-1.5036608
t33,-0.3156431,-0.14153847,-0.27826,-2.0993583,-0.5107803,-1.3765373,-0.09598957,4.238681,1.9205232,-0.5656164,-0.23886256,-0.39228678,3.357242,-0.1784867,0.0038714353,13.365408,-0.010979152,0.7587105,-0.09493149,0.020855064,-0.40298545,3.9616227,8.220037,-0.27658096,-0.022411449,4.837601,2.1620734,-0.39133224,-1.3220681,1.2931564,6.921981,11.902586,1.3566651,-1.0770577,-0.053648032,-0.25688416,19.493929,1.3455776,3.3423736,-0.38669237,-1.8573195
t37,-0.31853253,-0.15391698,-0.2865668,-2.1376784,-0.5267604,-1.3986251,-0.09499644,4.0662622,1.9141089,-0.57850426,-0.27541536,-0.40566763,3.2663212,-0.18256952,0.0043012816,13.633488,-0.0101028895,0.6572835,-0.09572908,0.02317521,-0.40658584,3.987525,8.661625,-0.27555558,-0.03200101,4.7043405,1.8001972,-0.39703104,-1.3705437,1.3562647,6.954253,11.864737,1.3526521,-1.0973296,-0.05474929,-0.32857612,19.674664,1.5148686,3.474683,-0.3886638,-1.896356
t38,-0.29528508,-0.13643378,-0.26665288,-1.973685,-0.4844746,-1.2802134,-0.09002009,3.889297,1.6869828,-0.5295058,-0.23817594,-0.3772537,2.9780643,-0.16906652,0.0037214782,12.47599,-0.00956744,0.76957256,-0.084721796,0.022889547,-0.38036513,3.7642221,7.9178076,-0.25242195,-0.012307607,4.542256,1.8628695,-0.36828968,-1.2583338,1.3560321,6.450583,10.963971,1.19313,-0.9981202,-0.050358713,-0.27990964,18.176651,1.3461791,3.1245117,-0.35627413,-1.750005
t50,-0.24767786,-0.25731918,-0.28351223,-2.3166475,-0.5147227,-1.2236483,-0.093226895,3.4604766,1.7417275,-0.64355636,-0.34290287,-0.4598528,4.1232295,-0.13580675,0.008112935,14.232119,-0.0071747126,-0.017984662,-0.2643581,0.91692954,-0.41744125,4.142024,12.380656,-0.29073682,-0.15280892,3.7061996,-0.002178364,-0.3972584,-1.3835167,0.0028085578,7.5185423,9.787362,1.4286214,-1.0566394,-0.061440643,-0.42074358,21.084438,1.1063848,4.646042,-0.36467585,-1.9127307
t89,-0.18126623,-0.39705503,-0.18892811,-2.0968854,-0.39987907,0.34468225,-0.060907576,1.321712,-0.036093492,-0.68078977,-0.27758613,-0.49554497,6.54755,0.05445849,0.017268645,12.688466,-0.006548778,-0.10642463,-0.28049546,3.9827347,-0.41744462,2.8021717,18.85194,-0.24834813,-0.4843391,1.539064,-0.040767178,-0.23739986,-0.94935715,0.07410548,6.7148075,2.1160145,0.010868834,-0.17973872,-0.052987613,-0.45812407,15.837228,-0.0019482392,1.0739018,-0.17113836,-1.3343018
