,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
t1,8.555619,8.570347,5.309477,2.685046,2.4172492,5.0020003,3.5048683,3.957548,5.491638,5.5135,3.962212,4.0998945,4.8565626,5.738379,5.594605,5.8335595,3.0175767,5.353532,4.5566583,5.7964168,5.54734,3.7839525,5.309895,5.435663,4.806373,4.1007586,5.4890018,6.2352285,4.4770427,5.5472865
t2,8.550913,8.573482,5.3041763,2.696294,2.4005575,4.9463334,3.448899,3.918417,5.4974675,5.502463,3.9421701,4.097709,4.8651223,5.760583,5.6184688,5.8876257,3.0120585,5.3633704,4.56705,5.813435,5.5320644,3.7485664,5.3347616,5.415846,4.8715453,4.0750446,5.473022,6.23656,4.4579964,5.604343
t3,8.600987,8.529934,5.3211727,2.6813521,2.4176648,5.0324855,3.5453775,4.0230517,5.476382,5.4946165,3.9713242,4.1148934,4.8202252,5.702103,5.5717974,5.78175,3.0405707,5.385768,4.5487986,5.765847,5.583844,3.8064682,5.2670307,5.488342,4.7712445,4.0981846,5.541675,6.210051,4.5141354,5.506199
t4,8.491611,8.629083,5.359352,2.6668253,2.4719272,5.087889,3.5559716,3.9623682,5.4707046,5.5256424,4.020929,4.119819,4.9221687,5.688819,5.5137386,5.740161,2.948847,5.316595,4.5257626,5.806941,5.5826106,3.7721703,5.258237,5.4610558,4.662569,4.077731,5.4763565,6.219049,4.55629,5.4505486
t5,8.439196,8.636698,5.3510275,2.674766,2.424745,5.028634,3.5034409,3.924875,5.5191984,5.562599,3.9531143,4.058972,4.953263,5.712173,5.5918846,5.827738,2.917535,5.3117085,4.5486674,5.8039403,5.5433164,3.759743,5.263509,5.3997746,4.6994658,4.1425524,5.4312887,6.217082,4.508984,5.4713516
t6,12.524107,5.888361,6.25511,3.1583593,4.47871,5.2430863,5.0813093,4.2133336,6.3847384,5.2594066,4.4241953,4.1482654,3.2267895,6.026733,5.752927,4.2893515,5.4049892,4.89083,4.2465,3.5698225,5.558587,5.7041736,5.611873,5.9761477,5.1438193,5.4768085,4.7326326,5.6627464,4.9516683,4.419069
t7,8.446844,8.655342,5.319225,2.6585863,2.4505627,5.0560055,3.5238132,3.8965733,5.4953136,5.5610194,3.990707,4.093478,4.9358706,5.7347813,5.5648665,5.8260303,2.9683688,5.2737184,4.544568,5.8515077,5.546037,3.7796044,5.3219986,5.3839946,4.7382336,4.10977,5.4033375,6.2523794,4.4585347,5.525957
t8,8.496551,8.575004,5.317069,2.6199815,2.4384613,5.1133375,3.6003375,3.975389,5.497067,5.5917687,3.990104,4.1087995,4.8827977,5.6982965,5.54469,5.718149,2.974927,5.229696,4.552827,5.851438,5.6177745,3.8238354,5.3039813,5.436166,4.6777854,4.1427693,5.392202,6.2078466,4.4506955,5.4827356
t9,8.395333,8.713586,5.3150396,2.6859875,2.429643,4.9604387,3.4244044,3.7972496,5.5142164,5.5624933,3.9684465,4.0829473,4.9851017,5.79864,5.6000834,5.925739,2.931238,5.2774415,4.5644026,5.886738,5.4804997,3.7031186,5.3925514,5.3195963,4.8431706,4.0780497,5.357458,6.2879715,4.429918,5.607394
t10,8.400186,8.713608,5.3075576,2.683747,2.4373975,4.961255,3.4302661,3.7955978,5.5132318,5.557652,3.9714417,4.0826774,4.9767275,5.7940974,5.604693,5.93517,2.950308,5.27361,4.5641136,5.8895783,5.483639,3.720033,5.3950386,5.312497,4.8516145,4.0820556,5.357717,6.283404,4.417628,5.617575
t11,8.488657,8.621751,5.3617907,2.6500115,2.4529996,5.115075,3.5842328,3.9664328,5.479909,5.5745945,4.031113,4.139135,4.919003,5.722548,5.496241,5.7088404,2.9403133,5.2763877,4.5366297,5.829713,5.575165,3.7614095,5.3062706,5.463633,4.643008,4.095177,5.442739,6.2441816,4.5418634,5.4351034
t12,12.618859,5.8862824,6.284054,3.15199,4.507792,5.284593,5.1294427,4.1966314,6.373729,5.185214,4.436622,4.2112103,3.186785,5.96467,5.716067,4.3115687,5.4718747,4.9106584,4.219791,3.5273902,5.4879093,5.7641644,5.665861,6.017565,5.206967,5.4984794,4.7321854,5.6759596,4.9214253,4.4148474
t13,12.587587,5.8899565,6.2660403,3.1591225,4.499735,5.2664666,5.108582,4.2111573,6.381979,5.2108936,4.4238877,4.1861324,3.206624,5.987009,5.7325735,4.30647,5.446503,4.898832,4.228254,3.5476117,5.5095673,5.7405257,5.6423063,5.9983206,5.183785,5.4822516,4.7384877,5.6669807,4.937193,4.4094143
t14,12.575852,5.8937073,6.269359,3.1479442,4.475776,5.2581706,5.104664,4.203196,6.37205,5.226313,4.430391,4.1727166,3.2058947,6.0006256,5.7318325,4.3001223,5.436416,4.903832,4.2365527,3.5492911,5.5270386,5.732282,5.632398,5.9979253,5.170753,5.4840813,4.7302804,5.6760626,4.936066,4.4174266
t15,8.41704,8.668102,5.32016,2.6847916,2.405087,5.0024486,3.4464865,3.8705547,5.503813,5.5665903,3.9453328,4.093056,4.969617,5.769835,5.583324,5.849547,2.896928,5.2965746,4.557231,5.8515043,5.5138965,3.699662,5.3221116,5.3896003,4.7589173,4.0670547,5.4052753,6.273962,4.478047,5.551561
t16,8.410318,8.675857,5.3544583,2.671378,2.4360318,5.030517,3.480707,3.889211,5.4951158,5.557391,3.976887,4.0995464,4.9852057,5.736246,5.5448003,5.812589,2.8771932,5.303202,4.544873,5.8512096,5.5429287,3.7018938,5.300577,5.4103246,4.712455,4.063374,5.409847,6.2561154,4.5269556,5.4980927
t17,8.349759,8.771501,5.3530974,2.680552,2.456832,5.0578423,3.5386336,3.8068283,5.550016,5.673521,4.024581,4.0724587,5.0402613,5.95724,5.545086,5.815869,2.8704693,5.2320237,4.5646544,5.852071,5.300201,3.7552276,5.514502,5.2986383,4.7134724,4.23158,5.328228,6.502727,4.48877,5.43222
t18,12.656856,5.8857517,6.2623453,3.181159,4.5327353,5.2745414,5.1204224,4.221389,6.3980207,5.167281,4.417927,4.2133684,3.2013488,5.9639883,5.732972,4.3187976,5.474171,4.894997,4.2225413,3.5409195,5.4758058,5.7610416,5.660164,6.006815,5.206294,5.4800878,4.7533593,5.6449385,4.935079,4.408461
t19,12.73126,5.9134197,6.2198606,3.2122197,4.5373006,5.274649,5.110185,4.267279,6.409534,5.1050897,4.3725734,4.2215753,3.235164,5.9208307,5.7316866,4.3647327,5.4966073,4.8854628,4.206882,3.5737166,5.421441,5.7718987,5.6564484,5.976124,5.24265,5.434456,4.8005342,5.6209636,4.9600153,4.3675776
t20,8.275947,8.820867,5.3056765,2.7166278,2.3775256,4.9538617,3.3782637,3.7272353,5.5504165,5.6603813,3.9386988,4.067473,5.0760994,5.9140024,5.6078644,5.929681,2.8246596,5.2286625,4.586493,5.912859,5.352035,3.6045964,5.472813,5.2554092,4.821653,4.093753,5.292249,6.422025,4.414724,5.586057
t21,8.372455,8.711136,5.356389,2.6742742,2.4232779,5.03289,3.4689822,3.8498418,5.507272,5.5961137,3.9819322,4.0971093,5.013921,5.764789,5.543966,5.8096642,2.8534317,5.263377,4.5502872,5.8699374,5.517255,3.6707296,5.332755,5.3784337,4.707503,4.071939,5.368679,6.2716393,4.504282,5.502663
t22,8.417992,8.725651,5.3548374,2.7271726,2.3919022,4.9768944,3.4385264,3.8533785,5.5134068,5.575983,3.9788628,4.0883136,4.987548,5.8579926,5.567674,5.8672314,2.8887355,5.3691278,4.5576115,5.804678,5.392425,3.6566417,5.392824,5.372909,4.7796707,4.0990043,5.459711,6.3717227,4.5422287,5.4925323
t23,8.164246,8.945368,5.21886,2.7554672,2.3276849,4.8986917,3.3073967,3.6072059,5.60664,5.7658577,3.8978593,4.041556,5.13371,6.126662,5.6765413,6.0185494,2.7825422,5.1709514,4.625908,5.9472237,5.1164355,3.5508924,5.6557245,5.126981,4.912325,4.1505394,5.206431,6.667929,4.3178205,5.6403947
t24,8.421874,8.692069,5.3521204,2.655528,2.5103211,5.0824842,3.5352955,3.8678074,5.4861264,5.550095,4.037663,4.1054726,4.975881,5.70733,5.5257645,5.7874055,2.9502048,5.25581,4.525613,5.854536,5.5609083,3.780118,5.3034244,5.3845215,4.68744,4.0956616,5.396076,6.227062,4.501198,5.4911103
t25,8.363576,8.699626,5.369372,2.6287968,2.4792283,5.1008725,3.5599248,3.8830957,5.5139422,5.6091213,4.013998,4.080427,5.0162306,5.714534,5.518817,5.7574306,2.86233,5.2175674,4.5404787,5.8791246,5.563556,3.7571135,5.3136077,5.376576,4.632287,4.137481,5.3302746,6.249676,4.511827,5.4299307
t26,8.276729,8.832864,5.3326902,2.7021294,2.4545581,4.993068,3.4257772,3.7191248,5.5436764,5.6477118,4.0142946,4.0603614,5.1154475,5.9818983,5.570215,5.9164352,2.826221,5.2473927,4.5562296,5.899122,5.271782,3.669364,5.5303483,5.242789,4.768627,4.15738,5.2951717,6.527036,4.467313,5.51875
t27,8.303991,8.814299,5.3350787,2.6955495,2.434383,5.0183744,3.4804103,3.753777,5.5651035,5.694633,4.0074496,4.0647683,5.0813274,6.021952,5.5665493,5.868195,2.8371756,5.215646,4.577143,5.883452,5.2323165,3.706081,5.571847,5.251661,4.7562156,4.2155724,5.2846737,6.5713196,4.4603605,5.4750934
t28,8.30312,8.825176,5.3532176,2.7092166,2.4031794,4.982008,3.4578383,3.7405667,5.5744963,5.695908,3.9945893,4.0673003,5.1012964,6.088878,5.5652413,5.888331,2.8025768,5.224627,4.589686,5.89968,5.1591234,3.67098,5.6282706,5.2410517,4.786694,4.23168,5.269136,6.645949,4.4865355,5.486192
t29,8.278662,8.8411665,5.3358006,2.7148254,2.4035206,4.9717803,3.4234881,3.7181518,5.5726376,5.6957417,3.9933493,4.0606227,5.1229496,6.0999846,5.5770617,5.915055,2.7918262,5.2211094,4.5858502,5.914999,5.1433945,3.6477764,5.63401,5.2216516,4.799267,4.2039456,5.257896,6.667409,4.4683614,5.511521
t30,12.836765,5.88859,6.203882,3.254455,4.5903144,5.2836995,5.107601,4.292485,6.4454837,5.0297585,4.3559732,4.252019,3.2417738,5.893529,5.7499413,4.375354,5.5131474,4.861886,4.198604,3.5740626,5.366285,5.7804933,5.6739826,5.97756,5.2622957,5.423241,4.8321447,5.5793166,4.970852,4.365157
t31,8.097163,8.98276,5.1476297,2.76993,2.1838005,4.7848015,3.1695223,3.5263655,5.633223,5.7929683,3.7634854,4.0617085,5.1549473,6.1302595,5.7372637,6.1355734,2.7193892,5.1284885,4.6816235,6.044583,5.153069,3.4242017,5.68969,5.066089,5.0209913,4.0413394,5.099924,6.612115,4.221514,5.814318
t32,12.905859,5.902356,6.239752,3.2509675,4.6056027,5.306063,5.1588707,4.267393,6.4435267,4.985041,4.382629,4.298381,3.1793704,5.859198,5.7274666,4.393827,5.5864315,4.8821173,4.18921,3.518861,5.327228,5.842902,5.7191715,6.047167,5.3025265,5.4630814,4.824592,5.577861,4.9338136,4.3895226
