"accepted_species","traits"
"t1",1
"t2",1
"t3",1
"t4",0
"t5",0
"t6",0
"t7",0
"t8",1
"t9",1
"t10",1
"t11",0
"t12",1
"t13",1
"t14",1
"t15",0
"t16",1
"t17",1
"t18",1
"t19",0
"t20",1
"t21",1
"t22",0
"t23",0
"t24",0
"t25",0
"t26",1
"t27",1
"t28",1
"t29",0
"t30",0
"t31",0
"t32",1
"t33",1
"t34",1
"t35",1
"t36",1
"t37",1
"t38",1
"t39",0
"t40",1
"t41",1
"t42",1
"t43",1
"t44",1
"t45",1
"t46",0
"t47",1
"t48",0
"t49",0
"t50",0
"t51",0
"t52",1
"t53",0
"t54",0
"t55",0
"t56",0
"t57",1
"t58",1
"t59",1
"t60",0
"t61",1
"t62",1
"t63",1
"t64",1
"t65",0
"t66",0
"t67",0
"t68",0
"t69",0
"t70",0
"t71",0
"t72",0
"t73",0
"t74",1
"t75",1
"t76",1
"t77",1
"t78",1
"t79",1
"t80",0
"t81",0
"t82",1
"t83",1
"t84",1
"t85",0
"t86",1
"t87",1
"t88",0
"t89",1
"t90",1
"t91",0
"t92",0
"t93",1
"t94",0
"t95",0
"t96",0
"t97",0
"t98",0
"t99",0
"t100",0
"t101",0
"t102",1
"t103",1
"t104",0
"t105",0
"t106",0
"t107",0
"t108",1
"t109",0
"t110",0
"t111",0
"t112",1
"t113",1
"t114",1
"t115",1
"t116",1
"t117",1
"t118",1
"t119",1
"t120",1
"t121",1
"t122",1
"t123",0
"t124",1
"t125",0
"t126",0
"t127",0
"t128",0
"t129",1
"t130",1
"t131",0
"t132",0
"t133",0
"t134",0
"t135",0
"t136",1
"t137",1
"t138",0
"t139",1
"t140",0
"t141",0
"t142",0
"t143",0
"t144",1
"t145",0
"t146",1
"t147",1
"t148",0
"t149",0
"t150",0
"t151",1
"t152",1
"t153",1
"t154",1
"t155",0
"t156",1
"t157",0
"t158",1
"t159",1
"t160",0
"t161",1
"t162",1
"t163",0
"t164",0
"t165",1
"t166",1
"t167",0
"t168",0
"t169",0
"t170",1
"t171",1
"t172",1
"t173",1
"t174",1
"t175",1
"t176",1
"t177",1
"t178",1
"t179",0
"t180",0
"t181",0
"t182",0
"t183",1
"t184",1
