"accepted_species","traits"
"t54",0
"t61",1
"t62",1
"t67",0
"t75",0
"t83",1
"t84",1
"t88",0
"t98",0
"t102",NA
"t104",NA
"t105",1
"t108",0
"t109",0
"t110",1
"t112",1
"t113",1
"t116",1
"t119",1
"t121",NA
"t122",1
"t123",1
"t125",1
"t127",0
"t128",1
"t129",1
"t130",0
"t131",0
"t132",1
"t133",1
"t135",1
"t138",1
"t139",1
"t140",0
"t141",1
"t142",1
"t143",1
"t144",NA
"t145",1
"t148",1
"t149",1
"t150",0
"t151",1
"t152",0
"t154",1
"t157",0
"t158",NA
"t159",NA
"t160",1
"t161",1
"t165",0
"t166",0
"t167",1
"t169",0
"t170",0
"t171",0
"t172",1
"t173",1
"t174",1
"t175",1
"t176",1
"t177",NA
"t178",1
"t179",1
"t180",1
"t181",1
"t182",1
"t183",1
"t184",1
"t185",0
"t186",1
"t187",1
"t188",NA
"t189",1
"t190",1
"t191",1
"t192",1
"t193",1
"t194",0
"t195",0
"t196",1
"t197",1
"t198",1
"t199",1
"t200",1
"t201",1
"t202",0
"t203",NA
"t204",NA
"t205",0
"t206",0
"t207",1
"t208",1
"t209",1
"t210",1
"t211",1
"t212",0
"t213",0
"t214",1
"t215",1
