,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
t3,9.054718,-4.700451,-0.5689161,4.029231,6.3063703,7.9292345,1.9807816,3.2527351,2.1577673,4.109195,5.181912,9.182399,7.4077883,1.8411233,9.814006,2.8900523,3.744142,8.448838,6.880354,6.5081477,5.8046765,4.4955773,4.9954047,5.559145,5.0578613,4.3973203,6.0239234,7.0037637,7.8248396,5.098976,4.35048
t5,9.082675,-4.7470407,-0.598279,4.0140476,6.310442,7.864969,1.8891906,3.3026285,2.11983,4.0340605,5.244683,9.193418,7.470095,1.8946501,9.754733,2.8893998,3.8353488,8.456537,6.901842,6.5271606,5.7506933,4.5375385,4.938418,5.577999,5.130707,4.404082,6.002065,6.968311,7.872321,5.048633,4.3935833
t6,9.073589,-4.736565,-0.585409,4.018259,6.2992573,7.874262,1.9144996,3.2983003,2.137082,4.0589857,5.2253633,9.191579,7.4461236,1.888082,9.780155,2.8807595,3.8101919,8.45878,6.891882,6.5227675,5.7686167,4.524447,4.949711,5.5678735,5.10431,4.395206,6.0134845,6.983265,7.8566246,5.0645323,4.3817263
t7,9.073444,-4.7537203,-0.6086807,4.0286665,6.2973413,7.8411646,1.8213085,3.3204627,2.0932524,3.9868975,5.3157134,9.176496,7.480985,1.9064592,9.710787,2.906774,3.903997,8.450273,6.9227514,6.5359764,5.6851244,4.556965,4.9280434,5.6074533,5.2027807,4.399019,5.971272,6.9662476,7.8847857,5.021784,4.41576
t8,9.077565,-4.70343,-0.62978524,4.0116663,6.3439307,7.85216,1.8808784,3.2698157,2.1314654,4.017797,5.2213893,9.192452,7.463037,1.8858,9.748235,2.9077313,3.8436313,8.465528,6.8449035,6.5374928,5.7695355,4.47952,4.926319,5.5564885,5.1416883,4.436655,6.0211577,6.9962354,7.8269506,5.100358,4.3349075
t4,9.052262,-4.703784,-0.5777415,4.03358,6.2962627,7.909968,1.945171,3.264364,2.1442285,4.0783453,5.2076483,9.17641,7.4153647,1.8496559,9.788002,2.8982313,3.780118,8.449289,6.8931103,6.5174727,5.7826486,4.504112,4.984103,5.565103,5.0957,4.3945847,6.0160346,6.9989967,7.8295674,5.0842237,4.3618827
t22,3.9227443,6.594578,5.3078895,6.7060976,3.4417982,6.926523,3.5652869,2.7170322,3.5815759,5.901222,5.686638,7.188183,3.8075783,2.739189,7.310415,5.863783,4.122481,5.4476347,7.1294346,6.0533977,4.9590726,4.4204855,3.9833236,5.7689247,5.369151,3.3852842,6.6608996,4.4637685,5.9190454,5.199415,6.012156
t23,3.8786178,6.564057,5.259016,6.6676106,3.4403145,6.9563603,3.5585065,2.7337637,3.5629237,5.914406,5.7018933,7.1809726,3.7998853,2.7814624,7.2985168,5.8688865,4.1232004,5.4390845,7.1209164,6.0347247,4.935836,4.3982654,3.9924567,5.7991347,5.3780727,3.3589137,6.6714635,4.4791107,5.931379,5.222451,6.039556
t24,3.4896739,6.2839007,4.8609705,6.284482,3.4120204,7.173518,3.4887593,2.814784,3.4609342,5.971296,5.7961135,7.0863557,3.7320876,3.1670318,7.1532316,5.891857,4.0972447,5.405997,7.098677,5.9249406,4.814364,4.272064,4.0718913,6.0028195,5.3878303,3.0896924,6.7081256,4.556943,6.052387,5.443363,6.239348
t54,3.5241795,6.621364,4.8559675,6.5690994,3.4037278,7.1424437,3.4279356,2.721371,3.5768125,5.8471184,5.843483,6.997137,3.6997275,3.2606142,7.0866537,5.808323,4.0506988,5.4603353,7.105058,5.941356,4.9345074,4.398668,4.1258783,5.8611116,5.2719436,3.100002,6.6711144,4.3820972,6.1060143,5.3368263,6.158948
