,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
t1,5.58447,7.873967,3.534348,5.583126,4.824168,5.4819283,4.9433355,4.6234646,5.110029,3.189386,2.9287617,7.679098,4.9758463,6.0301104,6.936865,6.804233,4.239889,5.8054357,6.404275,5.37083,5.150629
t2,5.5402956,7.9574256,3.6214623,5.6609,4.881144,5.4421167,4.88743,4.595106,5.1724377,3.2809973,2.9354236,7.7267914,4.96547,6.0339303,6.927387,6.758625,4.3213334,5.8514094,6.398005,5.3062973,5.101553
t3,5.6129074,7.9868517,3.5707488,5.6697383,4.8643064,5.413445,4.833622,4.564001,5.1830897,3.3236854,2.9718611,7.752929,4.9395895,5.9980793,6.9572144,6.779714,4.35618,5.836174,6.3971543,5.2704954,5.091637
t4,5.641092,7.944957,3.6346087,5.630637,4.830961,5.4131966,4.8684354,4.6416955,5.1508784,3.281235,2.9966972,7.7086425,4.998074,6.0067034,6.907311,6.8248734,4.3326745,5.8320823,6.363407,5.30265,5.0928154
t5,8.435596,8.479009,1.5308956,5.484768,5.016333,5.10228,3.9421237,3.8586178,4.5950866,4.1336117,3.9765816,8.917554,4.536055,5.2270317,8.206315,6.6661057,4.7909207,6.494344,6.819901,4.521194,4.947211
t6,5.5762544,7.8754725,3.5658233,5.595164,4.843625,5.478315,4.942117,4.6248903,5.1190367,3.194661,2.9249344,7.688092,4.984543,6.0395064,6.9319057,6.790577,4.255487,5.821359,6.402243,5.365057,5.137475
t7,5.4184675,7.9430366,3.755804,5.6547394,4.8904424,5.4415164,4.895584,4.6249824,5.1575103,3.2782118,2.9466577,7.697648,5.0145793,6.052743,6.8989964,6.7591085,4.328735,5.861868,6.3585453,5.3253736,5.0856667
t8,5.424755,7.8180475,3.7024457,5.571318,4.8618417,5.5459623,4.98891,4.625803,5.1109796,3.1326938,2.8470755,7.625807,4.9665675,6.0823126,6.8723035,6.748914,4.2162914,5.8558817,6.4118366,5.416959,5.206394
t9,5.7216263,7.916445,3.3493903,5.579653,4.766695,5.4490438,4.906698,4.6007323,5.102338,3.2290776,2.9779832,7.7059665,4.951145,5.9818873,6.9905305,6.8597727,4.237604,5.7306776,6.4101744,5.344855,5.1398306
t10,8.572557,8.556824,1.5779397,5.3864903,5.0401144,5.067652,3.8455195,3.9228733,4.4834557,4.233166,4.008984,8.998991,4.5744643,5.1941795,8.290944,6.6729627,4.8858423,6.5133624,6.905868,4.431244,5.018748
