"","Galium_labradoricum","Galium_tenuissimum","Galium_concinnum","Galium_eriocarpum","Galium_sterneri","Galium_nuttallii","Galium_circaezans","Galium_angustifolium","Galium_boreale","Galium_trifidum","Galium_mexicanum","Galium_mollugo","Galium_odoratum","Galium_parisiense","Galium_divaricatum","Galium_murale","Galium_uliginosum","Galium_triflorum","Sherardia_arvensis","Asperula_molluginoides","Crucianella_gilanica","Rubia_cordifolia","Rubia_tinctorum","Rubia_peregrina","Coprosma_robusta","Coprosma_foetidissima","Nertera_granadensis","Oldenlandia_corymbosa","Spermacoce_brachystema","Knoxia_sumatrensis","Psychotria_micrantha","Psychotria_chagrensis","Psychotria_brachypoda","Psychotria_papantlensis","Psychotria_tenuifolia","Psychotria_grandis","Psychotria_horizontalis","Psychotria_serpens","Notopleura_macrophylla","Coussarea_contracta","Tarenna_mollissima","Pavetta_australiensis","Atractocarpus_sessilis","Rosenbergiodendron_formosum","Tocoyena_pittieri","Randia_hebecarpa","Randia_armata","Gardenia_jasminoides","Genipa_americana","Alibertia_edulis","Coffea_canephora","Coffea_arabica","Coffea_congensis","Cyclophyllum_coprosmoides","Ixora_pendula","Ixora_javanica","Pentagonia_macrophylla","Nauclea_officinalis","Neolamarckia_cadamba","Guettarda_tikalana","Guettarda_odorata","Guettarda_uruguensis","Exostema_caribaeum","Hamelia_axillaris","Hamelia_patens","Macrocnemum_roseum","Stephanostegia_capuronii","Vincetoxicum_hirundinaria","Asclepias_ovalifolia","Asclepias_vestita","Asclepias_cordifolia","Asclepias_syriaca","Asclepias_incarnata","Calotropis_gigantea","Cynanchum_acutum","Hoya_australis","Nerium_oleander","Lacmellea_panamensis","Catharanthus_roseus","Vinca_minor","Plumeria_alba","Plumeria_rubra","Alyxia_ruscifolia","Aspidosperma_cylindrocarpon","Aspidosperma_spruceanum","Alstonia_muelleriana","Fagraea_berteroana","Chironia_linoides","Exacum_affine","Gentiana_clusii","Gentiana_lutea","Gentiana_sceptrum","Gentiana_andrewsii","Gentiana_affinis","Gentiana_triflora","Gentiana_scabra","Centaurium_erythraea","Centaurium_tenuiflorum","Cicendia_quadrangularis","Geniostoma_rupestre"
"Galium_labradoricum",0,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,13.736098,13.736098,13.736098,16.378018,16.378018,16.378018,41.741678,41.741678,41.741678,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Galium_tenuissimum",12.804422,0,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,13.736098,13.736098,13.736098,16.378018,16.378018,16.378018,41.741678,41.741678,41.741678,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Galium_concinnum",12.804422,12.804422,0,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,13.736098,13.736098,13.736098,16.378018,16.378018,16.378018,41.741678,41.741678,41.741678,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Galium_eriocarpum",12.804422,12.804422,12.804422,0,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,13.736098,13.736098,13.736098,16.378018,16.378018,16.378018,41.741678,41.741678,41.741678,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Galium_sterneri",12.804422,12.804422,12.804422,12.804422,0,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,13.736098,13.736098,13.736098,16.378018,16.378018,16.378018,41.741678,41.741678,41.741678,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Galium_nuttallii",12.804422,12.804422,12.804422,12.804422,12.804422,0,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,13.736098,13.736098,13.736098,16.378018,16.378018,16.378018,41.741678,41.741678,41.741678,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Galium_circaezans",12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,0,1.35675,1.418748,11.845654,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,13.736098,13.736098,13.736098,16.378018,16.378018,16.378018,41.741678,41.741678,41.741678,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Galium_angustifolium",12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,1.35675,0,1.418748,11.845654,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,13.736098,13.736098,13.736098,16.378018,16.378018,16.378018,41.741678,41.741678,41.741678,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Galium_boreale",12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,1.418748,1.418748,0,11.845654,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,13.736098,13.736098,13.736098,16.378018,16.378018,16.378018,41.741678,41.741678,41.741678,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Galium_trifidum",12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,11.845654,11.845654,11.845654,0,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,13.736098,13.736098,13.736098,16.378018,16.378018,16.378018,41.741678,41.741678,41.741678,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
