,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
t1,11.881394,2.4189188,2.3380096,6.4128165,7.12112,3.232437,4.965674,6.1846547,7.0955377,4.059442,3.6295078,5.7316513,5.2435966,4.338882,5.50267,4.8793626,4.0520535,2.8659341,6.267533,5.6009145,4.9098134
t2,11.912666,2.426836,2.37119,6.4162765,7.122679,3.2536924,4.9276304,6.1592493,7.083129,4.0620666,3.5705347,5.684823,5.187365,4.3369856,5.5261655,4.9080606,4.0790305,2.8971405,6.323201,5.5738525,4.8951755
t3,11.880682,2.3952618,2.418673,6.3820124,7.086981,3.2599292,4.924922,6.1281943,7.061158,4.0228925,3.5571067,5.67937,5.190039,4.3033757,5.495912,4.9409037,4.0979304,2.894487,6.337138,5.5824842,4.870589
t4,11.8461485,2.3564973,2.3289447,6.392574,7.0307617,3.2731621,4.987971,6.1497164,7.0426326,4.025627,3.682185,5.7711754,5.2886987,4.264809,5.5082297,4.8950086,4.0818667,2.877619,6.2192674,5.631564,4.874757
t5,11.955288,2.4108868,2.420128,6.446004,7.1146946,3.3074765,4.938751,6.113892,7.0586686,4.090303,3.556968,5.7021194,5.174392,4.346354,5.4823933,4.959892,4.1235046,2.9539971,6.3307104,5.6137285,4.839571
t6,11.881157,2.338281,2.4214587,6.4085374,6.999398,3.3617976,4.9917254,6.074094,6.977999,4.0442266,3.702772,5.796682,5.313395,4.2693753,5.433232,4.9300838,4.1536202,2.9588926,6.1944647,5.6808224,4.8419986
t7,12.025986,2.4195328,2.4188507,6.5159883,7.1248336,3.3488717,5.000267,6.127254,7.052731,4.1610723,3.636865,5.7587876,5.2204757,4.3842444,5.4377093,4.9478354,4.1228685,3.0031002,6.255626,5.66844,4.8271847
t8,12.001736,2.3365805,2.5993052,6.5367417,6.9532666,3.491373,5.0736356,5.9633217,6.929483,4.1450124,3.783077,5.8545346,5.324124,4.289403,5.3082776,5.023634,4.2480736,3.1028214,6.1044583,5.7883234,4.7569366
t9,11.897763,2.3433068,2.4355555,6.434604,6.982258,3.3837318,5.0064487,6.0684624,6.965723,4.0666714,3.705748,5.7996407,5.30278,4.2727757,5.4254794,4.945538,4.1628547,2.9808702,6.1819015,5.6930294,4.8322062
t10,11.792507,2.293919,2.2925904,6.3248553,6.9839134,3.318723,4.951195,6.091724,6.9781394,3.972056,3.7290707,5.813445,5.3797355,4.2049103,5.5060368,4.850943,4.127584,2.8713171,6.1820126,5.653096,4.8865004
t11,11.774457,2.3395896,2.305125,6.2709846,6.9801064,3.3045855,4.8810267,6.101686,6.9555593,3.9264238,3.6749306,5.770083,5.3385787,4.2397766,5.533762,4.8285694,4.1436067,2.8670652,6.237532,5.5949845,4.9571486
t12,10.696021,1.7776566,1.2945586,5.2369123,6.3334093,3.2862575,4.578666,6.1413746,6.5202713,3.0250428,4.3398886,6.191946,6.264557,3.6421762,5.8939505,4.1086607,4.0951056,2.2711604,5.7094502,5.524638,5.4253435
t13,11.649122,2.2499163,2.1988828,6.1665187,6.8845115,3.3056543,4.876299,6.100841,6.8958225,3.8255832,3.7857924,5.846134,5.4773474,4.138516,5.5630107,4.74712,4.1426935,2.7998943,6.1467576,5.613081,4.9896474
t14,11.934792,2.3741128,2.4301445,6.44188,6.9921546,3.4094667,4.953217,6.0213413,6.950556,4.090483,3.69706,5.7990866,5.29522,4.3029513,5.439784,4.9241,4.20135,3.0055335,6.1839724,5.6824613,4.874675
t15,12.003858,2.380096,2.4652247,6.524769,7.069728,3.390023,5.056343,6.091704,7.0233293,4.1586366,3.7348013,5.8251486,5.2880034,4.353251,5.3784943,4.972238,4.147065,3.0306606,6.166235,5.734372,4.7946434
t16,12.046045,2.324788,2.6865182,6.584418,6.938947,3.5793986,5.1048083,5.920878,6.8848925,4.1882005,3.8347323,5.8773994,5.3862963,4.3159437,5.2413316,5.050288,4.274342,3.1783679,6.0449734,5.853941,4.723025
t17,12.074532,2.3541014,2.7083304,6.6038895,6.973523,3.4967916,5.135918,5.967591,6.9546056,4.218724,3.8181536,5.9008837,5.3009477,4.330324,5.216158,5.0910835,4.2590027,3.1996932,6.0907836,5.8252454,4.7102017
t18,12.127618,2.2907002,2.8748217,6.671919,6.8894587,3.618102,5.1863966,5.839057,6.8761506,4.2846346,3.8750222,5.9811115,5.341818,4.310711,5.128391,5.168375,4.3519917,3.2912421,5.9794974,5.9136243,4.6566596
t19,1.586419,10.895404,0.27848116,7.5001726,5.8339877,5.0988,6.6549854,2.856419,4.41847,5.66002,5.882667,6.497409,3.0374606,7.9986606,5.013513,3.539342,2.9347494,6.0223074,4.7460017,8.394991,5.415481
t20,12.738262,2.450163,2.8679295,7.3784575,7.4586897,3.557731,5.840153,6.335068,7.4160814,4.9782667,4.163828,6.2663393,5.292196,4.8327184,4.741543,5.461307,3.9721298,3.4831514,5.7898054,6.3610163,4.200583
t21,11.799445,3.343276,8.055635,4.3642406,4.928289,4.639054,4.930092,5.870127,3.599462,4.0122323,3.3513181,2.3783073,4.566378,1.2992816,4.2413955,5.0332823,3.9446857,5.4925327,4.152627,3.7937267,6.504398
t22,12.08598,2.3098924,2.7479281,6.626567,6.91736,3.5987916,5.1439524,5.881036,6.8833594,4.229492,3.8533013,5.919603,5.3641996,4.3135147,5.1958942,5.095253,4.3114653,3.2226722,6.015065,5.8857136,4.6866765
t23,12.157672,2.3256352,2.8383045,6.700797,6.93301,3.632634,5.2170644,5.884329,6.907369,4.2930784,3.9026496,5.9393053,5.360995,4.347936,5.1017613,5.1401772,4.310583,3.3211474,5.986193,5.932731,4.627232
t24,12.703408,2.420768,2.883513,7.329305,7.430378,3.5734026,5.80077,6.3071156,7.387848,4.937356,4.154129,6.248135,5.3233805,4.807185,4.7520285,5.440279,3.9961421,3.475686,5.818112,6.333084,4.226009
