,models,stat,p value,hochberg_adjusted_p_value
0,corHMM_xgb_umap_supervised,-21.371731711593572,4.2400038649303805e-68,5.512005024409495e-67
1,corHMM_logit_autoenc_supervised,-21.115643762676264,5.476157620613058e-67,6.571389144735669e-66
2,corHMM_logit_autoencoded,-20.62056752344862,7.738473464446475e-65,8.512320810891122e-64
3,corHMM_logit_umap,-20.22265231363893,4.152092425506605e-63,4.1520924255066045e-62
4,corHMM_logit_eigenvecs,-19.875009999330093,1.3485146893251065e-61,1.2136632203925959e-60
5,corHMM_logit_umap_supervised,-19.69858258944903,7.888784170455793e-61,6.311027336364635e-60
6,corHMM_xgb_umap,-18.44401041056587,2.2217163030965973e-55,1.555201412167618e-54
7,corHMM_xgb_autoencoded,-16.061175767543897,3.9574096026933565e-45,2.374445761616014e-44
8,corHMM_xgb_autoenc_supervised,-15.031855266880031,8.754627562379897e-41,4.377313781189948e-40
9,corHMM_xgb_eigenvecs,-14.264082730223663,1.357170973719233e-37,5.428683894876932e-37
10,corHMM_phylnn_fill_means,-13.827677784780676,8.370806932985257e-36,2.511242079895577e-35
11,corHMM_xgb_PEM,-13.408367447923519,4.2139812633746104e-34,8.427962526749221e-34
12,corHMM_logit_PEM,-11.536518706794242,9.094340506661514e-27,9.094340506661514e-27
