,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
t15,-0.02606912,0.3079986,-0.007196401,8.046037,-0.014473946,6.9434757,-0.030060822,2.150744,1.3095931,-0.028589591,-0.04895589,14.143205,3.6066687,-0.29525626,-0.011445998,0.13554643,0.045834858,3.8663528,5.544731,5.6345935,0.1705258,-0.15206167,0.033947222,-0.12972406,0.038176827,2.0239735,8.579644,0.42847663
t16,-0.01838108,0.5205935,1.5019475,7.090578,-0.003768658,6.71328,-0.017888935,-0.010993967,1.6472278,-0.033086535,1.5750306,13.903447,-0.30474016,-0.13331397,-0.005466619,0.16072725,0.110356286,4.4141116,3.7644567,3.7287667,0.22314781,-0.11611973,0.0076867044,-0.11581921,0.020751307,4.49165,7.01866,2.1665025
t30,-0.040646013,0.18027619,-0.021941544,10.138397,-0.02420833,8.416529,-0.032671288,5.1091566,1.5174226,-0.039263148,-0.15788347,15.785967,9.505314,-0.5051198,-0.019004826,0.14361732,0.088724524,2.3148427,7.6066008,7.7730565,0.2184571,-0.22210167,0.10414961,-0.13756263,0.04307687,-0.00037887788,10.943528,-0.13885681
t44,-0.03594115,0.27988714,-0.015845163,9.775688,-0.020889925,8.253436,-0.037454944,3.9324136,1.5431899,-0.031500068,-0.09541862,16.464258,6.3989143,-0.40709057,-0.015081006,0.15747611,0.06359409,3.7225845,6.6621013,7.0156994,0.20407295,-0.20406483,0.069150515,-0.14933594,0.03753548,1.5296012,10.472994,-0.052639853
t45,-0.03363615,0.30889142,-0.013455988,9.622784,-0.019144585,8.309709,-0.036686897,3.4368615,1.4647152,-0.03160331,-0.077618815,16.571583,5.4279203,-0.3862649,-0.015159082,0.16235715,0.054146826,4.094519,6.333952,6.7250757,0.20331365,-0.19980417,0.05924445,-0.15257423,0.036151063,1.8081478,10.348991,-0.030183604
t35,-0.026206978,0.46590796,0.17698582,8.797571,-0.010829807,8.074931,-0.026223928,1.0723294,1.6708137,-0.035891857,0.36390525,16.509548,0.3646784,-0.23354962,-0.010608726,0.18063904,0.013828512,4.9899673,4.6692033,5.0440507,0.21889192,-0.17260522,0.016046846,-0.14355896,0.024018731,3.5340128,9.132843,1.2930743
t36,-0.03035503,0.3826053,-0.0101172915,9.348135,-0.01581316,8.35452,-0.034001905,2.3489356,1.5097276,-0.036511995,-0.03793644,16.714333,3.2019837,-0.33611798,-0.01607522,0.1746669,0.038661566,4.7657995,5.687097,5.902416,0.2015553,-0.1866107,0.036762938,-0.15642603,0.03496258,2.5309193,10.143141,0.5051775
t56,-0.047687456,0.17227061,-0.031279523,11.8953,-0.027508227,9.63495,-0.036174394,6.8554955,1.35673,-0.05116209,-0.2204599,18.416616,12.5702505,-0.6269124,-0.024870433,0.17403777,0.10510795,2.2958248,8.733347,9.251729,0.2548869,-0.27806935,0.14684269,-0.15713409,0.04579836,-0.18980801,13.163105,-0.25197113
t137,-0.053138256,0.12193959,-0.04235885,15.252749,-0.02634872,11.298474,-0.025157623,10.32232,1.8979259,-0.0607757,-0.34708548,21.100555,19.36687,-0.84498614,-0.042854328,0.17756905,0.15029375,0.24300225,12.338513,12.257964,0.3742435,-0.3320558,0.22457318,-0.11853608,0.07244562,-0.7707532,15.951721,-0.4196922
t252,-0.055073217,0.10754733,-0.04554457,16.258968,-0.025126066,11.768814,-0.020756474,11.360036,2.02656,-0.062397152,-0.38458812,21.921122,21.438437,-0.9062498,-0.048142295,0.17579415,0.16573335,-0.004064197,13.40447,13.227315,0.41367298,-0.34673497,0.2468089,-0.10198557,0.082014345,-0.9616115,16.751093,-0.47580275
t253,-0.055078145,0.10715357,-0.045483958,16.257462,-0.025148831,11.7743,-0.02071471,11.360301,2.0223162,-0.06247259,-0.38460666,21.91659,21.438864,-0.9065436,-0.04820741,0.1756321,0.1657349,-0.004059677,13.401543,13.222233,0.41362244,-0.34686902,0.24686258,-0.10197561,0.08212247,-0.9617607,16.755266,-0.47571144
t112,-0.050187893,0.1412186,-0.037043944,13.690572,-0.02751771,10.6228895,-0.031407773,8.741591,1.5773473,-0.056079976,-0.29057348,20.00441,16.273846,-0.7466764,-0.034009967,0.17713122,0.12844218,1.186161,10.740702,10.928863,0.3192991,-0.31052145,0.1895216,-0.14324021,0.059001077,-0.488696,14.738483,-0.33412167
t82,-0.048281785,0.1568951,-0.033455946,12.536404,-0.028157244,10.074161,-0.03579774,7.598436,1.3916961,-0.052651893,-0.24791647,19.128857,13.96263,-0.67434365,-0.027613662,0.17687032,0.11266234,1.8569715,9.488361,9.891997,0.27839908,-0.2932896,0.16324317,-0.15836322,0.049248315,-0.28687996,13.800543,-0.27484727
t73,-0.052465126,0.13730845,-0.039767742,13.905935,-0.026949905,10.528056,-0.025983749,9.160905,1.4330024,-0.060456477,-0.30435908,20.028181,17.03486,-0.7785174,-0.036758095,0.18065041,0.13411288,1.1243358,11.035986,11.188442,0.33971357,-0.3192557,0.20206551,-0.12830405,0.056449097,-0.6462232,14.889533,-0.38253015
t184,-0.05772419,0.11710759,-0.050507504,16.359486,-0.02638067,11.798294,-0.018531762,11.515449,1.7011532,-0.07489975,-0.3903564,22.028933,21.721668,-0.9400077,-0.0525893,0.1942888,0.16299,0.06846176,13.444386,13.287069,0.42545855,-0.35569862,0.2602653,-0.10146251,0.072883636,-1.1193618,17.064228,-0.5395106
t185,-0.057922564,0.11917015,-0.050646108,16.353502,-0.026490064,11.7944355,-0.018302374,11.5112915,1.6945049,-0.07444042,-0.39199203,22.06176,21.719213,-0.9402996,-0.052036036,0.19449411,0.16364475,0.07333542,13.451133,13.341837,0.42700762,-0.3564405,0.2609657,-0.10073029,0.072113134,-1.1198108,17.056358,-0.5411183
t226,-0.05749841,0.122835785,-0.04976848,16.163382,-0.026787765,11.705667,-0.01957984,11.265317,1.6580368,-0.07435928,-0.38170424,21.89186,21.229284,-0.9260299,-0.050918117,0.19575238,0.16022345,0.25775838,13.195924,13.071538,0.41652894,-0.35314777,0.25525203,-0.10615612,0.07012053,-1.0730956,16.884758,-0.5260276
t227,-0.05783555,0.12044946,-0.05044177,16.347977,-0.026570337,11.777821,-0.018789334,11.455752,1.6978269,-0.07501081,-0.38847876,22.010035,21.609661,-0.93746734,-0.052072864,0.19540884,0.16268347,0.14176391,13.400349,13.227142,0.42313123,-0.35539755,0.25952995,-0.102902,0.07189129,-1.1103384,17.021547,-0.5370666
