"accepted_species","trait_ARD"
"t16","1"
"t10","0"
"t11","0"
"t62","0"
"t96","1"
"t97","1"
"t69",NA
"t92",NA
"t93","0"
"t78","0"
"t3","0"
"t58","0"
"t59","0"
"t38","0"
"t39","0"
"t13","0"
"t27","0"
"t28","0"
"t18","0"
"t88","0"
"t89","0"
"t46",NA
"t65",NA
"t66","1"
"t83","1"
"t84","1"
"t19","0"
"t55","0"
"t49","0"
"t50","0"
"t40","0"
"t53","0"
"t54","0"
"t48","1"
"t74","1"
"t75",NA
"t64","1"
"t14","1"
"t15","1"
"t29","1"
"t30",NA
"t43","0"
"t44","1"
"t21","0"
"t17",NA
"t37","0"
"t9","0"
"t5","0"
"t24","1"
"t6","0"
"t60","0"
"t61","0"
"t81","0"
"t82","0"
"t85","1"
"t47","1"
"t1","0"
"t20","0"
"t63","0"
"t76","0"
"t77","0"
"t8","0"
"t94","0"
"t95",NA
"t67",NA
"t68","0"
"t36","0"
"t86","0"
"t87","0"
"t72","1"
"t73","1"
"t2","1"
"t41","0"
"t42","0"
"t34","0"
"t35","0"
"t22","0"
"t45","0"
"t70","0"
"t71","0"
"t23","0"
"t98","0"
"t99","0"
"t100","0"
"t33","0"
"t7","1"
"t56","1"
"t57","1"
"t25","1"
"t26",NA
"t90","1"
"t91","1"
"t4","1"
"t12","1"
"t79","1"
"t80","1"
"t31","1"
"t32","1"
"t51","1"
"t52","1"
