,Ev Model,Missing Type,Tree Type,Variable Type,Signal,corHMM,phylnn_fill_means,logit_eigenvecs,logit_PEM,logit_umap,logit_umap_supervised,logit_autoencoded,logit_autoenc_supervised,xgb_eigenvecs,xgb_PEM,xgb_umap,xgb_umap_supervised,xgb_autoencoded,xgb_autoenc_supervised
count,400,400,400,400,394.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0
unique,1,2,2,1,,,,,,,,,,,,,,,
top,ARD,mcar,ultrametric,binary,,,,,,,,,,,,,,,
freq,400,200,200,400,,,,,,,,,,,,,,,
mean,,,,,0.29822086637849704,0.11679297620229175,0.15344370264947726,0.1662977037405993,0.1374720273235876,0.17103778370643322,0.17478513205641552,0.1740640016801834,0.17387600726758726,0.14289129127375783,0.14458237080743142,0.16271200947293665,0.197245395305098,0.1560176445251096,0.15278995781121693
std,,,,,0.5901478845427133,0.08267792808102743,0.08967280077169712,0.09338555184756815,0.09648634802036897,0.09986076884212818,0.1113114238104644,0.09919966893554333,0.10278635524296831,0.10254579083696991,0.10758193413529335,0.10396836582530224,0.1336819068532575,0.10895819037883481,0.10326587682939942
min,,,,,-2.19252390637731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,,,,,0.107987249795648,0.05783691757373196,0.09009259259259259,0.10360679321687859,0.07382183667060488,0.10375487725879454,0.10005351824194494,0.1129113552808231,0.11003180879514642,0.06922413050448545,0.07067009348374022,0.09387683903804425,0.10022004939439598,0.08038685251645866,0.08294248167398371
50%,,,,,0.286271468762057,0.10892579886977924,0.15446742545481246,0.1706298502511071,0.12767921772470353,0.17569134292275265,0.170264178869245,0.1814413566833952,0.17599431146073166,0.1392649178307277,0.12925347374979657,0.16366740391318524,0.18989440359814963,0.15203249284883483,0.14528969738451059
75%,,,,,0.458367881113337,0.16520525798749974,0.21401732872430468,0.23313462580202515,0.19182868533198447,0.23316963342908947,0.2412023317232363,0.2362099322235695,0.23540442026735287,0.19817773223851598,0.2014709948964814,0.2194818840035211,0.2766424197054956,0.21643831404186112,0.20914466701934473
max,,,,,7.12894767384982,0.4005364665925096,0.6223456790123457,0.4937452399075711,0.6259912220998257,0.6649985347123388,0.7261739178262274,0.7980373816621219,0.9336717817480921,0.542354507836132,0.7043336186151661,0.7872545988707584,0.7534333492156753,0.8843692413460056,0.7396554158669479
